,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coffee,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
belt,1.4971043,0.6258677,0.47065032,1.2615588,0.70801497,1.1423384,0.91533697,0.5852282,1.3636614,1.4325273,0.0,1.3249471,1.4470167,1.0511795,1.3002216,0.7775381,0.45777953,1.1572527,1.2643316,0.5827,0.78109926,0.929807,0.42554396,0.89373124,0.44542432,1.1114442,1.1112658,1.0383538,0.98177326,1.350003,1.439683,0.9145115,1.4014916,0.7530693,0.21500707,1.4437138,0.8273214,1.2589737,1.3114846,1.1599427,1.149407,1.0227867,1.2218347,0.78756315,1.2301843,0.6922548,0.4337734,0.8396388,0.57694167,0.63426524,0.68421656,1.10572,0.6901438,0.9448162,0.8883451,1.323976,0.90094084,1.3054452,0.4504627,1.1595273,1.0344056,1.2783368,1.2105696,1.3246629,0.5636239,0.68294954,0.6547475,0.6320394,1.3416198,1.526061,0.4994629,1.2397363,0.42927396,1.0076737,0.6565669,1.0714321,0.52963877,1.0317883,1.3586798,1.301921,1.3583105,0.413283,0.30171537,0.3830703,0.64739436,0.89869183,0.74225354,0.32659024,1.2224209,0.6244729,1.3293338,1.3390807,1.2330637,0.9781285,1.4097474,0.8081515,1.0524393,0.46989948,1.251154,0.80269766,1.3655486,0.4073845,1.2233136,0.53109443,1.1886058,1.4055059,0.8058842,1.0907161,0.52841425,1.2714062,1.3547863,1.5169411,0.832442,0.6138427,1.3568009,1.0438286,0.47239846,1.0672871,1.4901987,1.1384671,1.0762594,0.56754214,0.24854457,1.3453164
bench,0.58879375,1.3845556,1.503083,0.82540566,1.3510538,1.2012924,1.2647053,1.0956144,0.5862552,0.4106127,1.3249471,0.0,0.825601,0.71138865,0.68188965,1.1324885,1.3356252,1.1531079,0.62341565,1.4958223,1.0122908,1.0798194,1.1605645,1.060717,1.4843748,0.9194375,0.5600849,1.0088912,1.0291384,0.6256416,0.8348312,1.1733143,0.39321506,1.4096776,1.4297998,0.4327184,1.2695357,0.9177788,0.5904516,0.9841131,0.63619375,0.7532076,0.8474222,1.4596313,0.9090704,1.3228441,1.2942264,1.2184293,1.299896,1.3000776,1.3048986,0.889501,1.2821927,1.0822692,1.2865717,0.82045364,1.2846068,0.97509587,1.4506629,0.715816,1.1434832,0.81769216,1.0587935,0.5466263,1.2957473,1.0317631,1.2131937,1.2534959,0.8161904,0.8759566,1.2545415,1.0403134,1.4354255,1.0083346,1.2534189,1.1279174,1.481808,0.5910431,0.6160096,0.57871425,0.8064428,1.3851595,1.417415,1.322938,1.1473241,1.0184803,1.2798568,1.3933189,0.7798271,1.1404108,0.5260376,1.102441,0.8645502,1.1048887,0.6887182,0.99249685,0.8810947,1.3050796,0.6732458,0.99307597,0.7433247,1.3478603,0.9148928,1.2656076,0.88921696,1.0413713,1.456233,1.1067307,1.3836415,0.77263975,0.74070156,0.53280616,1.3527617,1.3731109,0.99486536,1.0948172,1.296308,1.0524985,0.6393441,0.9212657,0.9363131,1.1436286,1.4774809,0.6772851
bib,0.4978879,1.2991375,1.4309876,0.66363,1.2418215,1.0083327,1.1399434,1.3089975,0.735815,0.53282213,1.4470167,0.825601,0.0,0.7058178,0.86526126,1.1350284,1.4189315,1.0482208,0.81399775,1.3723967,1.2549247,1.0988591,1.4910574,1.1139632,1.4254489,0.8848455,1.0927085,1.0872793,1.0712711,0.854355,0.67487156,1.2202681,0.6557405,1.2802764,1.4870389,0.6127051,1.2007505,0.96634454,0.6252843,0.7616147,1.060491,1.0103724,0.90671355,1.2258391,0.90145767,1.0808812,1.3447386,1.18446,1.2410382,1.2157241,1.2513441,0.9514283,1.2234206,0.8140268,0.9166537,0.8242166,1.1933326,0.60794085,1.511968,0.8064892,1.0746737,0.871252,0.97000664,0.5382627,1.2983224,1.3798053,1.331373,1.3451383,0.7428495,0.507001,1.3164694,0.79476506,1.3090963,0.8032371,1.1119163,0.87200874,1.423445,1.0033054,0.382114,0.6319953,0.63309467,1.4150141,1.4173295,1.3761331,1.1891558,1.0558776,1.2892343,1.484096,0.9086705,1.3134924,0.90174824,0.7524479,0.88271,1.1323439,0.5924777,1.2454429,0.9766431,1.4603231,0.84451675,1.2820126,0.85187733,1.4641907,0.8756311,1.3636463,0.71179324,0.7247009,1.1638193,0.98062044,1.3335217,0.9261812,0.5544953,0.6133774,1.3321983,1.2157276,0.6536339,0.9864006,1.2786341,1.0153251,0.5890428,0.9122259,0.9721553,1.4443071,1.4162683,0.8518809
blanket,0.6730069,1.2334704,1.172302,0.8433796,1.147063,1.1810043,1.1437044,1.0566534,0.9204161,0.57240665,1.0511795,0.71138865,0.7058178,0.0,1.0757463,0.99045646,1.283171,1.1043712,0.93681175,1.0616926,1.1134001,1.1940126,1.1033216,1.1338247,1.1283045,0.8665062,0.91448444,0.73091274,0.9605345,1.0030756,0.8664485,0.94529665,0.65766513,1.1384785,1.0734413,0.8137575,1.212634,1.0511348,0.5970874,0.91176116,1.0720776,1.0311042,1.053609,1.1546288,1.0862697,0.9500302,1.0364192,1.1785495,0.9826799,1.1757941,0.96054816,0.8789319,1.0744503,0.7557762,1.1756008,1.0847961,1.05478,0.9362888,1.1526113,0.88798594,1.1213498,0.85034835,1.0366708,0.4261365,1.1111091,1.1678753,1.0717834,1.1312147,0.9596938,0.9012595,1.1167798,0.85053885,1.192119,0.53551555,0.93730545,1.1114767,1.2049537,0.8438026,0.51736146,0.582842,0.80958986,1.1069788,1.1198261,1.0308998,0.53487515,0.97620755,0.9719457,1.2186046,0.812937,1.0677781,1.1053985,1.0970106,1.1424706,1.0608009,0.82956433,1.0568954,0.81019723,1.2193314,1.0085685,1.1033083,1.1734165,1.1187503,1.0632727,1.1433927,0.8805034,1.0593983,1.107305,1.0753871,1.1431663,1.0656224,0.85438627,0.96977776,1.2720311,1.0628316,1.0263888,1.1650311,0.86038667,1.1744397,0.9044211,1.1174879,1.0552815,1.1174679,1.1747874,1.0691979
boat,0.74947286,1.2909536,1.3536813,0.82072324,1.1613162,0.95525384,1.2629023,1.1865423,0.52605176,0.7170206,1.3002216,0.68188965,0.86526126,1.0757463,0.0,1.1577716,1.3210102,1.064385,0.883994,1.4194582,0.9504218,1.1039139,1.2180362,0.92718107,1.3843575,0.83944124,0.9021865,1.1902897,0.8536029,0.7875291,0.8401437,1.2173421,0.7425893,1.348448,1.3454192,0.6670052,1.270802,0.9416203,0.86744624,1.0025843,0.7855049,0.82836735,0.85192424,1.2941412,0.8604737,1.297179,1.1635294,1.1308866,1.3186777,1.2074795,1.270539,1.0655882,1.2274182,1.2834777,1.2240202,0.8255695,1.3350875,1.0312196,1.3813901,0.79891783,0.9557446,0.8931378,1.1091533,0.7890149,1.2380887,0.9354146,1.0043395,1.1005657,0.88197535,0.9008146,1.2281849,1.0730958,1.2538699,1.2475933,1.2230225,1.0413235,1.356388,0.89171374,0.8046024,0.8321733,0.91027385,1.3125298,1.3596566,1.201876,1.3589704,1.1662067,1.2087101,1.2803597,1.0264288,1.0467272,0.6314938,0.97246367,0.8409616,1.015127,0.72553074,1.198688,1.046907,1.3528223,0.7459998,0.929291,0.4517789,1.3730311,0.6555052,1.1033494,1.0857358,0.92774,1.353013,1.0963845,1.316001,0.7569866,0.8064841,0.60788184,1.1745892,1.3790238,1.0316615,1.0622703,1.3884674,1.0893312,0.7064625,0.7730568,0.90210503,1.1932878,1.4083376,0.6468953
book,1.1799858,0.9372044,0.9862455,1.2904282,0.86345243,0.77940273,0.9120362,0.49229574,1.1148852,1.0838943,0.7775381,1.1324885,1.1350284,0.99045646,1.1577716,0.0,0.64598864,0.8465154,0.67919624,1.0432624,0.7660903,0.5830652,0.8092924,0.80175555,1.0063767,1.2742178,0.9217029,0.914849,1.0354074,1.1579374,1.0907017,1.0012534,1.2297616,0.84289217,0.8639859,1.031784,0.7997938,0.91660213,1.1480014,1.003323,1.0975363,0.87429774,1.2020087,1.1521865,1.290463,1.2478417,0.97894394,0.7696466,1.1318839,0.63477266,0.8253231,1.351512,1.1637652,1.1654612,0.8827923,1.3114498,1.0202746,1.2694741,0.8434783,1.2124714,0.95331883,1.1100907,0.8052973,1.331969,0.39899343,0.7522414,0.72419643,0.8762907,0.9415406,1.1596057,0.9518724,1.203599,1.1458426,0.75795496,1.105303,1.2659638,1.0039505,0.86672413,1.2273402,1.3109114,0.9458685,0.7043915,0.8921027,0.89043933,0.90337706,0.6359811,0.69550514,0.88868684,0.8064847,0.5245025,1.051996,1.0685712,1.191602,0.78202903,1.3281882,0.5977036,1.1336757,0.8484308,1.2306715,0.6030149,1.1714793,0.78113216,1.1408317,1.0221132,0.94360024,1.0893319,0.8951926,0.7908089,0.97302717,1.1761196,1.2549859,1.2125632,0.618376,1.1736915,1.2184391,0.7937987,0.60740536,0.7679291,1.1377779,1.0451843,0.9005767,0.6765926,0.9613219,1.1500546
bottle,1.3987877,0.6764499,0.63182503,1.377775,0.64663696,0.92096007,0.92362684,0.5135265,1.3599851,1.4513608,0.45777953,1.3356252,1.4189315,1.283171,1.3210102,0.64598864,0.0,0.99724364,1.0066698,0.83107173,0.8150097,0.46521002,0.34674406,0.903648,0.64692676,1.263129,1.0162325,1.075125,1.0391427,1.2574916,1.3946358,1.0344168,1.3682718,0.7979563,0.5058946,1.3893671,0.35145116,1.1489314,1.4125901,1.1107692,1.0595886,1.0881962,1.1576344,0.9575944,1.3087621,1.0140091,0.605688,0.68655926,0.8093713,0.7665106,0.74472666,1.1946142,0.9270782,0.98713243,0.74208236,1.3447925,0.983787,1.4035006,0.49156147,1.242935,1.0176429,1.0034344,0.70058995,1.4625058,0.6933125,0.67072946,0.69570607,0.6360774,0.93284804,1.3069663,0.6186679,1.2460324,0.7019542,1.0241698,0.8509252,1.2395148,0.6748713,0.9760805,1.4579442,1.3980414,1.3601456,0.6299031,0.60901785,0.68780833,0.7809949,0.69199187,0.8286809,0.4516595,0.91272867,0.60765123,1.1257572,1.2349346,1.2313037,0.9915842,1.3553406,0.74591064,1.0097436,0.48795646,1.2037698,0.6779974,1.2647399,0.53573394,1.2631941,0.55962366,1.0754074,1.2783293,0.9183258,0.8377956,0.63940924,1.2070383,1.2607102,1.3868876,0.5741673,0.8652928,1.3119093,0.86142844,0.4585979,0.834872,1.3278996,1.1716101,1.0978239,0.4663121,0.48023725,1.2864797
bowl,1.0962387,0.9237249,0.9766343,1.2285717,0.8306972,0.71635807,0.8917488,0.90713334,0.8463674,1.1013775,1.1572527,1.1531079,1.0482208,1.1043712,1.064385,0.8465154,0.99724364,0.0,0.86794555,0.92814744,1.1977489,0.5090472,1.0948898,1.1120411,0.9777166,1.1657864,1.0875554,0.6841366,0.9380454,1.0358998,0.5103244,0.8658674,1.152808,0.97130865,1.131393,0.9756174,0.47435212,0.4722234,1.1855679,1.0128523,1.2719717,0.9833341,1.2419446,0.80901766,1.2455976,1.1965853,1.2064881,1.1071187,1.2163727,0.83568263,1.0604792,1.2133712,1.2203201,1.0649186,0.8345575,1.2762654,0.8479131,0.93753886,1.0730747,1.2388686,0.89300686,1.172765,0.5982605,1.2160397,1.008976,1.2545171,1.030923,0.9444874,0.7897905,0.65250957,1.0533925,0.76027393,1.1445744,0.83248883,1.2558751,1.137563,0.9638241,1.1434562,1.1506727,1.2198762,0.8463625,1.075747,1.158064,1.0609957,1.1556073,1.0173563,0.45274574,1.0557272,1.0846598,1.0523869,1.135227,0.41020745,1.1634147,0.9490338,1.2817528,0.89566535,1.2339028,1.0350108,1.1851838,0.8362342,1.1125176,1.034421,1.0964206,1.075941,1.0635475,0.3612336,0.5885631,0.8444822,1.0019609,1.1173904,1.1041567,0.73668146,0.5297871,1.224922,0.79931414,0.86640257,1.148179,0.82273847,0.65796626,1.0837144,1.0346502,1.2424281,1.2079588,1.2200294
box,0.93491817,1.3103087,1.3131144,0.99990803,1.1278491,0.91992587,1.0865511,0.74112666,0.86566806,0.51556534,1.2643316,0.62341565,0.81399775,0.93681175,0.883994,0.67919624,1.0066698,0.86794555,0.0,1.352064,1.0937544,0.6527087,1.1070639,1.0267179,1.3006146,1.1706779,0.7689041,0.88290524,0.9547662,0.76712793,0.828184,1.1196206,0.7291173,1.2156647,1.3187693,0.42348242,0.92427087,0.7298993,0.9312824,0.77896655,0.8654468,0.75201786,1.0305204,1.3403289,1.0726167,1.3795407,1.3881774,1.0669954,1.4059304,1.1380434,1.1014581,1.153504,1.3137845,1.2196252,0.8467868,1.0191175,1.1088592,1.0361373,1.3138106,1.0237552,1.0317069,0.9385699,0.63420594,0.99777734,1.1302214,1.0734857,1.1241106,1.1994116,0.5385195,0.872798,1.1698638,0.9058957,1.4431432,0.92410636,1.3180648,1.2327465,1.3024627,0.8422015,0.8813642,0.97928697,0.6887925,1.261383,1.3746918,1.2826533,1.2134672,0.8607499,1.1362275,1.2458215,0.7256071,0.8307347,0.71359926,0.9198325,0.96966976,0.94705576,0.9996447,1.024375,1.1682132,1.2320814,0.9553671,0.93920213,0.8978802,1.3165722,1.0397211,1.2891937,0.9613662,0.8983904,1.267946,0.9514582,1.1829431,0.8640113,0.9487663,0.75036156,0.95964354,1.4216626,0.9563258,0.8468635,1.2060853,0.6305504,0.58616394,0.9652921,0.8685312,1.1413531,1.4348565,0.9507928
bread,1.4343908,0.6826142,0.25772607,1.2977711,0.73899746,1.1555064,0.71191126,0.9757628,1.4991221,1.4835358,0.5827,1.4958223,1.3723967,1.0616926,1.4194582,1.0432624,0.83107173,0.92814744,1.352064,0.0,1.1364137,1.1318567,0.7837424,1.146528,0.15698981,1.1244578,1.3306625,0.61713696,1.0812311,1.4229324,1.1985939,0.4965567,1.4865825,0.4467957,0.43520153,1.5282913,0.8647539,1.0787988,1.3792024,1.2127696,1.403705,1.2507885,1.2404068,0.2670486,1.1131471,0.43797183,0.59585714,0.95002425,0.54592645,0.8590226,0.64135563,0.8125171,0.5619917,0.87518024,0.7515457,1.2890303,0.28208864,1.04719,0.49000823,1.2702858,0.90525115,1.2549282,1.0252212,1.276081,0.8454777,1.0924568,0.93779826,0.8297589,1.2954168,1.3027335,0.68383515,0.83328927,0.4079988,0.9523977,0.71406066,0.8349326,0.23219275,1.2844752,1.4115814,1.271525,1.1249912,0.61870235,0.43586284,0.5037479,0.7069845,1.1131855,0.6527811,0.49060273,1.3413172,0.958248,1.5200224,1.0456911,1.2411436,1.0179179,1.3862572,0.9000299,1.03559,0.73488086,1.3492391,1.1065655,1.366613,0.47720885,1.2379866,0.7380178,1.2050638,1.1035411,0.55331635,1.0473553,0.4447404,1.2384014,1.3344679,1.4705569,0.81890464,0.4202333,1.0107098,1.1424892,0.76047397,1.050698,1.3851352,1.2188294,1.1440092,0.9638994,0.37806368,1.4336085
broom,1.1044244,0.85963297,1.0912089,1.0459553,1.0209409,0.96591103,1.0123335,0.85410094,0.80445564,1.217299,0.78109926,1.0122908,1.2549247,1.1134001,0.9504218,0.7660903,0.8150097,1.1977489,1.0937544,1.1364137,0.0,0.98194486,0.5960602,0.90005857,1.0141695,0.87231785,0.7363699,1.1852722,1.0148697,0.98766696,1.3350506,1.012447,1.1838733,0.96844214,0.80342644,1.1763111,1.0605311,1.1733224,0.9841586,1.1609068,0.52549136,0.75637627,0.9628849,1.2516695,1.1507068,1.1091782,0.8417863,0.77491945,0.9366237,0.82690644,0.95728534,1.1830466,1.1253035,1.2040765,1.2779696,1.1221573,1.2921472,1.2241354,0.9425435,1.0871122,0.8929709,1.0566361,1.0916941,1.245194,0.6707193,0.28638488,0.62900484,0.67965555,1.1834325,1.3889067,0.8519062,1.3166903,1.0483184,1.0250324,0.80903834,1.1221592,1.0644286,0.6880937,1.29895,1.1751648,1.1942055,0.7176598,0.7879467,0.7917042,0.7925111,0.82019067,0.92674935,1.0055773,0.9822931,0.71001196,0.70975333,1.2462761,1.09071,0.88734823,1.1848005,0.8651998,0.992863,0.8154777,0.97695917,0.5086952,1.0286864,0.8745022,0.9679444,0.7915498,1.070554,1.3032646,1.14157,0.926439,1.0702772,1.1158355,1.3078939,1.2277628,1.0221673,1.093921,1.2945769,0.86546034,0.633608,1.1879073,1.3666114,0.9425417,0.9900341,0.4409516,0.9500704,0.9327011
bucket,1.1938233,0.8910614,0.96990955,1.3681663,0.6832172,0.6509254,0.9927012,0.47635877,1.1030841,1.1399932,0.929807,1.0798194,1.0988591,1.1940126,1.1039139,0.5830652,0.46521002,0.5090472,0.6527087,1.1318567,0.98194486,0.0,0.6858152,0.99439025,1.0292083,1.3357232,0.96060014,0.969202,0.9635639,1.0618048,0.9266886,1.1046071,1.1259172,0.9767271,1.0469735,0.98199916,0.2907611,0.83443743,1.2418569,0.906252,1.0949619,0.95869285,1.1964574,1.1164609,1.2833459,1.3415357,1.0507334,0.84445894,1.2034925,0.93291205,0.94911134,1.335006,1.2219486,1.1207874,0.7845916,1.2753507,1.0584724,1.2572613,0.8691664,1.2454346,0.98111963,0.97944605,0.4719627,1.360606,0.87987447,0.92657906,0.8249457,0.84970057,0.72817564,0.9283462,0.91942793,1.0552831,1.1660033,0.9246987,1.1252486,1.2778205,0.9715003,0.9285443,1.2769144,1.3355151,1.0538465,1.0098754,1.1439179,1.0921581,1.0532047,0.61400485,0.7474079,0.88117117,0.76027775,0.7481501,0.99038696,0.8473139,1.1321361,1.0063369,1.309546,0.7637529,1.1320221,0.813759,1.1212059,0.67872006,1.1367207,0.9113848,1.1697562,0.9013705,0.99315304,0.8304374,0.9804377,0.72168714,0.8905642,1.0692757,1.1306632,1.0427948,0.43791878,1.2366402,1.1471847,0.8626168,0.79640484,0.6031475,0.8830091,1.047822,1.0460373,0.7777786,1.0054046,1.2227569
can,1.3827486,0.70452267,0.69977456,1.3420745,0.8080608,1.0947212,1.0102812,0.5708976,1.1997011,1.4159734,0.42554396,1.1605645,1.4910574,1.1033216,1.2180362,0.8092924,0.34674406,1.0948898,1.1070639,0.7837424,0.5960602,0.6858152,0.0,1.0022697,0.5771846,1.0368673,0.8120866,1.0156175,0.9982013,1.1866347,1.4288478,0.99098223,1.315515,0.87442297,0.4402473,1.3829033,0.5977969,1.1405107,1.3240013,1.2204674,0.8114794,0.89459854,1.1335447,1.0356287,1.3262655,0.940171,0.51495713,0.79174006,0.6946286,0.89557266,0.78966033,1.1122088,0.85584164,0.95948887,1.0764279,1.3235381,0.9840059,1.4907942,0.52574986,1.245894,1.0406446,0.9726314,0.9339049,1.2869539,0.6897819,0.46751046,0.66078335,0.5737367,1.1363527,1.4910452,0.5474996,1.1903615,0.7906309,0.963254,0.6086289,1.2570297,0.7344503,0.6161823,1.4232686,1.2159625,1.4033659,0.59168786,0.52433497,0.5863308,0.616663,0.8753343,0.73627234,0.59123933,0.9341343,0.5901852,0.994368,1.3791149,1.2571212,1.0569651,1.2773864,0.7996265,0.7838635,0.4930982,1.1910102,0.5469507,1.2706165,0.55297893,1.1978527,0.5309217,1.1922754,1.4134123,1.0201662,0.9649348,0.7035989,1.259281,1.3323548,1.444565,0.8437561,0.8418335,1.4359484,1.0539066,0.3285582,1.141255,1.4571439,1.141981,1.1311765,0.28604507,0.5018233,1.2288256
car,1.0900848,0.963832,1.0531143,1.0496475,0.91013527,0.899864,1.0121527,0.92048204,1.0944599,1.1386018,0.89373124,1.060717,1.1139632,1.1338247,0.92718107,0.80175555,0.903648,1.1120411,1.0267179,1.146528,0.90005857,0.99439025,1.0022697,0.0,1.1096172,1.0866793,0.9635293,1.1503396,1.0051886,0.95588905,1.1628504,1.1450323,1.019995,1.0537504,1.036614,1.1408198,1.0821307,1.0243176,1.1532855,0.9251435,0.9571594,0.9280752,0.982689,1.1512891,0.97754294,1.196093,0.9177344,0.78581095,1.0967906,0.9457281,0.96525717,1.2138646,0.9974455,1.093868,1.1243238,0.97111064,1.13621,1.2268376,0.9057327,0.98294675,1.0676455,0.9788251,1.1515291,1.1865493,0.8801218,0.84648836,0.8584114,0.9469928,1.0822929,1.1572608,1.0043709,1.1400753,1.0527872,1.0451509,1.101186,1.0340092,1.0611252,0.96953285,1.1275043,1.1251181,1.142069,0.96673566,1.0510818,0.91973776,1.0480492,0.89124256,1.034601,0.905097,0.9017856,0.72538745,0.9724256,1.1205429,0.96261364,1.076065,1.0948042,0.8325006,1.0325943,0.84727985,1.0562001,0.9273485,0.8815235,0.9064346,1.0112835,1.085212,1.0947641,1.1011006,1.0855914,1.029936,1.0328333,0.8651959,1.1234064,1.1570864,0.93788165,1.0946704,1.1977198,0.9765304,0.90353966,0.9558912,1.2478064,0.8695724,0.42811525,0.8231132,0.9121052,0.9361468
carrot,1.5160956,0.63710064,0.22520268,1.3411951,0.68960476,1.1364571,0.83444184,0.86855745,1.4473708,1.4871572,0.44542432,1.4843748,1.4254489,1.1283045,1.3843575,1.0063767,0.64692676,0.9777166,1.3006146,0.15698981,1.0141695,1.0292083,0.5771846,1.1096172,0.0,1.1206253,1.2679251,0.8625058,1.0426495,1.3571652,1.2704908,0.68560636,1.454289,0.61801994,0.276744,1.5153466,0.77540576,1.1721629,1.4263947,1.1756767,1.2998934,1.2722468,1.2480974,0.36395484,1.1888531,0.50768775,0.45928252,0.9021044,0.5905807,0.842926,0.59407127,0.919532,0.62071145,0.9213333,0.7504697,1.3236953,0.5206559,1.1770881,0.40574777,1.3062999,0.88939184,1.2530191,1.0923218,1.3616805,0.8169834,0.92016196,0.8586742,0.68962705,1.3233541,1.3809817,0.4398017,0.9992864,0.40566528,1.0055366,0.7206619,0.995546,0.18653727,1.2674072,1.4470494,1.3503821,1.2153145,0.54967827,0.33714986,0.40598,0.63998294,1.0424579,0.6233912,0.32535148,1.3492453,0.8365666,1.4759338,1.1376309,1.2541435,1.0389715,1.3934789,0.9354459,1.0244892,0.6404959,1.318986,1.0065237,1.3447382,0.49492204,1.2087935,0.57070494,1.3007072,1.1954734,0.6250651,1.0819411,0.3690589,1.2287607,1.3300253,1.4994185,0.8001773,0.5039888,1.1502203,1.1274782,0.6496344,1.0259798,1.4200529,1.1778378,1.1796982,0.8336586,0.33026302,1.380845
cat,0.73179424,1.0590711,1.166548,0.61068666,1.1244019,1.1326244,1.2135249,1.2622731,0.6286694,0.8579887,1.1114442,0.9194375,0.8848455,0.8665062,0.83944124,1.2742178,1.263129,1.1657864,1.1706779,1.1244578,0.87231785,1.3357232,1.0368673,1.0866793,1.1206253,0.0,0.9583758,1.1425753,0.90705794,0.8678191,0.9500397,1.085748,0.9129486,1.1727141,1.0770832,0.94957644,1.3429301,1.0275921,0.60094637,1.1240277,0.7567618,1.0949357,0.9314551,1.12169,0.91059196,0.985986,0.86463237,1.1476691,0.9245698,1.157031,1.1057274,1.0346386,1.0219635,0.92729867,1.2739861,0.83693194,1.2485693,0.8837911,1.1317505,0.8536197,1.0060209,0.91383153,1.226662,0.7330028,1.1798115,1.040017,1.0004802,1.1050652,1.0934725,1.0252504,1.027297,0.96148336,0.9789326,1.061799,0.8981087,1.0099416,1.1813805,0.95318556,0.79201806,0.7578777,1.0552934,1.1470475,1.0899947,0.96561027,0.96679074,1.2279547,1.0827975,1.1478071,1.0943344,1.1719928,0.8651686,1.058511,0.97356594,1.1015186,0.67717695,1.1613126,0.9081358,1.1362174,0.9069117,1.0609955,0.8356756,1.1215307,0.7079474,1.0195626,1.053041,1.0526934,1.2266943,1.1531366,1.2243915,0.99161595,0.92031384,0.8607361,1.3176942,1.0408738,1.0444022,1.2109091,1.118822,1.3275424,1.0620352,0.85603356,1.0766145,1.0356307,1.0638177,0.73114693
chair,0.89765114,1.0613538,1.3706801,0.91969746,1.2035903,1.0474131,1.1102394,0.94903135,0.80387014,0.8116599,1.1112658,0.5600849,1.0927085,0.91448444,0.9021865,0.9217029,1.0162325,1.0875554,0.7689041,1.3306625,0.7363699,0.96060014,0.8120866,0.9635293,1.2679251,0.9583758,0.0,1.0755473,0.94165784,0.7610905,1.0157655,1.1417192,0.7544514,1.2162218,1.1578686,0.7138908,1.0078256,0.9046831,0.8806701,1.014545,0.5124034,0.76824,0.8951927,1.4122416,1.1644202,1.2965622,1.1138442,0.9053838,1.1920141,1.0322347,1.1880988,1.0380291,1.2631369,1.1459703,1.339325,1.0461655,1.2333413,1.1321653,1.2046684,1.0286433,1.0205281,0.7665158,0.9509518,0.9075061,0.97637165,0.71664435,0.8263355,1.0481856,0.9292226,1.0565975,1.0866165,0.99057317,1.3414571,0.921373,1.0313191,1.1963385,1.3041663,0.56673455,0.9447397,0.86405396,1.0377053,1.0504239,1.1179054,1.1191697,1.0033746,0.93628824,1.083712,1.2062128,0.7130415,1.058569,0.71170515,1.1678753,1.0472355,0.8989484,0.9567128,1.0776447,0.90039957,1.0719365,0.85812867,0.6963587,0.87256235,1.2290486,0.9965435,1.1462705,1.0450213,1.1559952,1.2481927,1.1168014,1.2594107,0.99491924,1.0197506,0.8138975,1.2072185,1.323494,1.1424978,0.9594749,1.0047284,1.0919583,0.90703356,0.8562828,0.9022982,0.82626504,1.2458601,0.5332976
chips,0.99880606,1.0723795,0.91408145,1.1444211,1.0548733,1.1699934,0.814494,0.8759026,1.2088057,1.0347315,1.0383538,1.0088912,1.0872793,0.73091274,1.1902897,0.914849,1.075125,0.6841366,0.88290524,0.61713696,1.1852722,0.969202,1.0156175,1.1503396,0.8625058,1.1425753,1.0755473,0.0,0.92006594,1.1372132,0.9436931,0.59137,1.1519761,0.71783566,0.95686674,1.0171529,0.91821384,0.6986475,1.1490856,1.0204678,1.2269316,1.0129834,1.1531316,0.9120036,1.1854672,0.9794057,1.020032,1.0333776,0.9575638,1.0694964,0.78946495,0.9914604,0.99395937,0.9570201,0.91660917,1.2760912,0.61435735,1.0815964,0.9770307,1.1433337,0.9924873,0.9901414,0.7850569,0.9963902,1.0259426,1.1523683,0.9697135,1.0652626,0.8837616,1.0385158,1.048485,0.6740332,1.0993346,0.7246607,1.0372915,1.1198184,0.95846975,0.9685627,1.0753748,1.0604299,0.88430244,0.964936,1.0015757,0.93574375,0.9331387,1.0424439,0.73509836,1.007177,0.9178504,1.0006857,1.195996,0.926734,1.2156384,0.8894537,1.1613595,0.7666791,1.0236189,0.97466314,1.1778187,1.0486498,1.2264891,0.79866654,1.1220347,1.1270994,0.9825584,0.8916937,0.870912,0.9124993,0.8864137,1.1148883,1.0980616,1.1021018,0.9444966,0.9970119,1.0161251,1.1061757,0.8884097,0.9652235,0.95407784,1.1168582,0.9995493,1.106004,1.0125328,1.2687862
