subject_id,age_mo,n_categories,mean_distance,std_distance,min_distance,max_distance
00500001,25,122,0.9969116449356079,0.23949582874774933,0.08002579212188721,1.6310012340545654
00500001,26,134,0.9967373609542847,0.24744805693626404,0.08046871423721313,1.6228970289230347
00500001,27,119,0.9970499277114868,0.2529793083667755,0.050454139709472656,1.5891975164413452
00500001,28,120,0.995973527431488,0.2472374588251114,0.023644208908081055,1.6193337440490723
00400001,10,114,0.9951443672180176,0.2624967396259308,0.03803229331970215,1.6119763851165771
00400001,11,152,0.9958749413490295,0.26428380608558655,0.017779111862182617,1.6393146514892578
00400001,12,143,0.9954597353935242,0.27667132019996643,0.020900249481201172,1.6664220094680786
00400001,13,152,0.9962393045425415,0.26101431250572205,0.026068568229675293,1.635622501373291
00400001,14,147,0.9966268539428711,0.2673148214817047,0.026438117027282715,1.638710856437683
00400001,15,142,0.9958533644676208,0.27638325095176697,0.05166482925415039,1.623560905456543
00400001,16,121,0.9960618615150452,0.2625781297683716,0.06879448890686035,1.6218926906585693
00400001,17,139,0.9953362941741943,0.25775790214538574,0.033016324043273926,1.6464978456497192
00400001,18,126,0.9962366819381714,0.2575162947177887,0.02653491497039795,1.6359275579452515
00400001,19,134,0.9956591129302979,0.26100531220436096,0.007584929466247559,1.684438943862915
00400001,20,135,0.9955050945281982,0.24792352318763733,0.04001891613006592,1.57768714427948
00400001,21,137,0.995685338973999,0.2355285882949829,0.006795644760131836,1.6347808837890625
00400001,22,122,0.9956464767456055,0.2486068308353424,0.0186007022857666,1.5574344396591187
00400001,23,145,0.9963081479072571,0.24407127499580383,0.03503608703613281,1.5695528984069824
00400001,24,129,0.9967150092124939,0.2522905468940735,0.017314672470092773,1.6360528469085693
00400001,25,137,0.9969580769538879,0.24563875794410706,0.03579622507095337,1.6060020923614502
00400001,26,137,0.9970127940177917,0.25907304883003235,0.07692360877990723,1.5997014045715332
00400001,27,130,0.9974143505096436,0.2521527409553528,0.06387710571289062,1.5967199802398682
00400001,28,135,0.9956153631210327,0.2588783800601959,0.06963348388671875,1.6193444728851318
00400001,29,106,0.9958637952804565,0.2394919991493225,0.18342220783233643,1.571507215499878
00430001,11,98,0.9958449602127075,0.2624308168888092,0.01881587505340576,1.6154804229736328
00430001,12,139,0.9957507848739624,0.2729541063308716,0.04991644620895386,1.6356351375579834
00430001,13,141,0.9959526658058167,0.24300797283649445,0.02875959873199463,1.6035082340240479
00430001,14,143,0.9968775510787964,0.26461541652679443,0.04243415594100952,1.6405789852142334
00430001,15,142,0.9963974952697754,0.2560562193393707,0.008599638938903809,1.6169154644012451
00430001,16,142,0.995368242263794,0.26212382316589355,0.05677300691604614,1.6595709323883057
00430001,17,145,0.9967094659805298,0.2502405047416687,0.01949673891067505,1.6243555545806885
00430001,18,138,0.9950587153434753,0.2557307183742523,0.005493044853210449,1.5678536891937256
