,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,ladder,lamp,meat,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
bed,0.97121316,1.4655342,1.4910247,0.7342937,1.390775,1.3920628,0.78728473,0.932505,0.50611705,0.8266629,0.0,1.3085775,0.3597821,0.69171494,1.3881876,0.35492808,0.7655461,0.7444991,1.4539487,1.127218,0.39544147,1.2513497,1.1653299,1.0992299,1.0662014,1.0822552,1.2496864,0.94046164,0.7037603,1.2931962,0.60368925,1.2050261,0.40178335,1.1759094,1.4585036,0.17955685,1.110775,0.92119914,0.96949255,0.572793,0.48933506,0.8255087,1.4094847,1.3438389,1.4180658,1.2070228,1.3421749,1.3357872,1.2799194,0.73262143,1.3497486,1.3198206,0.56955457,1.2920046,0.8038128,0.9995481,1.0218552,1.3856401,0.92282724,0.59448767,0.98454726,1.1563733,0.88886464,1.3054274,0.9037645,0.8457563,1.1777867,0.92711765,1.209479,1.3701997,0.72538286,1.4217136,1.372346,0.89672196,1.138504,0.7318239,0.8618365,0.52830297,1.2773316,1.2727497,1.346904,1.0993018,1.0827552,1.0384319,1.0622616,0.8156308,1.3842411,1.4586047,0.539742,1.2908989,0.62113076,1.2289426,1.1680691,1.0178545,0.85198647,0.8217743,0.7745563,1.0724266,1.0097448,1.0300292,0.72198695,0.78897214,0.4629537,1.499299,0.84630096,1.2022383,1.1849039,0.84074366,1.3204381,1.1983751,1.0637394,0.782735,0.71443903,0.42170393,1.2353798,1.4243103,1.1294296,0.96363735,1.0146977,0.9337402,0.84237444,0.6680811,1.0175817,1.155628,0.8896985,1.4543457,0.7621098
belt,1.1890374,0.77284455,0.5623052,1.3292966,0.49582195,0.62506896,1.2304357,0.9610598,1.1755637,1.051783,1.3085775,0.0,1.2941124,1.4271996,0.6113157,1.2552001,1.3171899,1.1620328,0.31147027,0.52329206,1.2994063,1.2640474,0.8164153,0.6849537,0.6123354,0.62334406,0.97805023,0.6810838,1.060568,0.30238307,1.2649877,1.1539656,1.278794,1.259107,0.3758278,1.3152752,0.61918336,1.2334137,1.1109403,1.2581468,1.3000447,1.1446407,0.81058514,0.8569298,0.34457397,0.8220178,0.9740342,0.74066275,0.7884741,1.3458724,0.29815102,0.9170316,1.248431,0.76603127,1.1281747,1.2532974,1.3384588,0.31911033,0.9612665,1.3461775,1.0109798,0.8569968,0.9850381,0.3604623,1.3620396,1.4868047,0.7991737,1.07404,1.2619497,0.49228585,1.1260672,0.40248787,0.8461814,0.89794993,1.2981795,1.3671616,1.1311555,1.3385084,0.89879555,0.93018323,0.6059047,1.0753384,1.0341618,0.4824723,1.3226991,1.1067857,0.28407145,0.6900799,1.4008375,0.6095455,1.1900741,1.1311982,0.91804904,1.1744123,1.3038049,1.3613163,1.2595881,1.1986985,1.0216584,1.1380272,1.1070079,0.62424207,1.3289902,0.5376709,0.7496425,1.0638145,0.9480572,1.2245089,0.8959331,1.0409198,0.9758854,1.2429334,1.2884793,1.2775884,0.7774823,0.8740032,0.87676936,1.2160356,0.7473955,1.054227,1.2554449,1.2420958,0.9789465,0.8275825,1.0794773,0.39657927,1.0852432
bench,1.0525781,1.388258,1.5541642,0.7224084,1.4564172,1.4152279,0.9093256,1.0142756,0.3844489,0.91363233,0.3597821,1.2941124,0.0,0.83445454,1.4040518,0.47575712,0.72058934,0.9101636,1.4278445,1.1418551,0.5006307,1.2470442,1.0439005,1.1595182,0.85285765,0.9777729,1.2959726,1.0152466,0.4146508,1.3291626,0.7220867,1.2239318,0.2234006,1.1893492,1.4710544,0.44099128,1.1975652,0.8783965,1.0845602,0.5032948,0.41252136,0.8447485,1.4101517,1.3138876,1.4801358,1.194768,1.1930774,1.2814164,1.3834395,0.71587944,1.3795404,1.1762441,0.7040471,1.3825558,0.89784086,1.0763922,1.0316978,1.365916,0.80967313,0.6138096,0.8424448,1.094441,0.8704889,1.2430073,0.9549107,0.7336834,1.0672866,0.8901951,1.1998769,1.3805516,0.68196064,1.3883197,1.329104,0.7228402,1.142503,0.7877086,0.7687364,0.82328546,1.22206,1.2609515,1.2493433,1.1305802,1.1024543,0.9075435,1.1033812,0.8146476,1.3975773,1.4771727,0.68088984,1.189175,0.52619135,1.2236073,1.2493006,1.0517741,0.80550164,0.90218693,0.7523676,0.9676926,0.8512751,0.896714,0.7560958,0.81103337,0.5713088,1.3929675,0.96939325,1.0544446,1.0235041,0.7422802,1.2331461,1.2437,1.0504158,0.7498292,0.8111836,0.34730613,1.2836592,1.3762335,1.159703,0.9938596,0.94207686,1.0918068,0.80601203,0.716041,0.96170557,1.1543683,0.7850528,1.4466493,0.6834912
bib,0.7239015,1.1982701,1.2020391,0.5265944,1.3314536,1.349091,0.7900964,1.257623,0.863759,0.91765136,0.69171494,1.4271996,0.83445454,0.0,1.2858839,0.6464168,0.72213423,0.58499444,1.4651927,1.3453602,0.7120358,1.015246,1.3052615,1.2827444,1.3993139,1.2039751,0.99113715,1.1854044,1.0922381,1.4017837,0.8956229,1.0969901,0.81016994,0.9902134,1.4280274,0.8104144,1.2850745,0.87191,0.87204224,0.8308873,0.7314579,0.813731,1.0856034,1.0228376,1.3860266,1.2291547,1.009466,1.1027439,1.2159003,0.8098517,1.34654,1.1768557,0.86647516,1.0376389,0.7695527,0.7281574,0.6377719,1.3838193,1.1795523,0.5542454,0.72850704,1.0649981,1.2495908,1.5183098,0.7453145,0.710943,1.2804489,1.0568095,0.9818016,1.2931417,0.8322122,1.3456663,1.1687407,1.0988449,0.96599686,0.5071956,0.7485812,0.33464682,1.2714915,1.1794418,1.2729481,0.76550627,1.0044807,1.3021775,0.82877713,0.9325986,1.4107509,1.3294833,0.6248804,1.3722751,0.80581295,1.0642829,1.0557956,0.9180717,0.62450016,0.8639966,0.6212412,1.0123136,0.82758975,1.1909174,1.0341344,1.1458846,0.87281674,1.4102542,1.0583652,0.991191,1.2394087,1.0911953,1.128829,0.88661546,1.1448686,0.6879096,0.9738338,0.8372445,1.3090627,1.1432133,0.901929,0.8519412,1.1532155,1.026891,0.9791782,0.8826082,1.0922008,1.2800477,1.194809,1.3202004,1.0176526
bird,1.2069558,0.91250634,0.520534,1.3915383,0.5473006,0.71155477,1.1696253,0.79141444,1.3236035,1.0879731,1.3881876,0.6113157,1.4040518,1.2858839,0.0,1.3348842,1.255379,1.0997816,0.5163941,0.7232643,1.3598154,1.0474901,0.9247102,0.6785325,0.76628673,0.7675314,0.76698864,0.9052901,1.123853,0.607686,1.2471821,0.9904622,1.3744667,1.0796598,0.47197992,1.3394254,0.67937034,1.249372,1.1139748,1.3295352,1.3807718,1.1781712,0.7947208,1.0076971,0.3001647,0.50939655,1.0479051,0.8815821,0.31360638,1.3098423,0.663526,0.8956156,1.2293067,0.7753215,1.2326957,1.0651813,1.3068407,0.65071255,1.103913,1.404996,1.1665689,0.7871379,0.95906574,0.49455154,1.2808156,1.4089596,0.8856158,0.94418526,1.0820966,0.79078174,1.2163544,0.65569913,0.80704004,0.99817574,1.1214955,1.3775029,1.264678,1.2761022,0.87310946,0.8373848,0.845363,0.78156155,0.93988514,0.79326713,1.2033237,0.78732026,0.4926964,0.6110047,1.3375276,0.6186164,1.3533859,0.99859494,0.76677656,1.1867117,1.2228514,1.1880122,1.3109,1.1381729,1.2125049,1.0900581,1.1478596,0.9981051,1.2668033,0.6233548,0.9523271,1.0851208,0.8601556,1.1691644,0.9784553,0.74728155,0.79100347,1.2996993,1.2421117,1.3330731,0.60263854,0.87389934,1.1579719,1.2818598,0.87451065,0.92550963,1.1176668,1.0816121,0.9765891,0.6573607,1.0528609,0.708309,1.109603
blanket,0.9870177,1.2587936,1.409938,0.76388586,1.3343121,1.309495,0.70256245,1.0733619,0.73522687,0.6363027,0.35492808,1.2552001,0.47575712,0.6464168,1.3348842,0.0,0.7101164,0.92320603,1.3933713,1.3147641,0.6469678,1.2350602,1.0174783,1.1811012,1.1879067,1.1186658,1.170434,0.9030172,0.80931926,1.3555026,0.6620924,1.2656778,0.4526986,1.1934694,1.3607147,0.5331139,1.2083373,0.78899854,0.8770358,0.7877846,0.67720675,0.74340785,1.3627028,1.2650702,1.3266928,1.2799476,1.2520001,1.2205093,1.1504476,0.8210523,1.3511978,1.0593072,0.7118667,1.2510974,0.8473448,0.9768202,0.99695945,1.2761583,0.83625275,0.40757817,0.55732787,1.1847439,1.0691274,1.4498372,0.96551496,0.64461064,1.0932966,1.0661237,1.2093697,1.313557,0.56325865,1.2899952,1.350018,1.0800192,1.1238528,0.4672944,0.62359184,0.73757184,1.226224,1.2130858,1.1810677,1.0652405,1.1234066,0.8001216,1.0611401,0.94171005,1.3857694,1.3946044,0.5632877,1.3335705,0.84961104,1.2483686,1.2062817,0.93607426,0.63480526,0.9193097,0.64198565,0.91999596,0.7531686,1.0180807,0.9045572,0.96544325,0.6016296,1.3459964,0.832672,0.8693168,1.1268309,0.9974265,1.207264,1.1849681,1.1466421,0.6735693,0.8554152,0.6704504,1.2794514,1.3598721,1.113752,0.96875685,0.6985836,1.0825527,1.0642115,0.8793699,1.1226203,1.2550659,1.0222813,1.3573151,0.97374445
boat,1.0359182,1.216576,1.3146441,0.906484,1.285154,1.2717757,0.637101,1.0255152,0.8805641,0.70764333,0.7655461,1.3171899,0.72058934,0.72213423,1.255379,0.7101164,0.0,0.92972374,1.335578,1.3280649,0.7901681,1.0045099,1.1566668,1.1400069,1.2022387,0.7839061,1.0092459,1.1908184,0.941215,1.3507813,0.80519867,1.1961094,0.8608281,0.99526376,1.2027655,0.753894,1.2117959,0.9148242,1.0969203,0.96955276,0.80327654,0.9309672,1.2775512,1.2219964,1.2863668,1.2814147,1.1618313,1.1643848,1.1940813,0.9006072,1.2796042,1.0889407,0.5795759,1.2068968,0.9438483,0.9823685,0.8421856,1.2737731,1.0218432,0.5541141,0.8338145,1.0846969,1.0116472,1.4257929,0.85232496,0.7161176,1.2245725,0.7108811,1.0008234,1.2995641,0.97836435,1.3383576,1.1757897,1.106055,0.8628276,0.62458557,0.94508886,0.84609234,0.88352436,0.9398089,1.1520929,1.0704643,1.1513007,1.1774373,0.84074867,0.95544636,1.315872,1.3082974,0.5647368,1.2882124,1.0308783,1.1907203,1.1771314,0.942889,0.7033061,0.55794334,0.8203682,0.8201864,0.9776289,0.8905641,1.0460988,1.1279274,0.573192,1.2517573,1.0613538,0.9188124,1.0683664,0.9214437,1.0410576,1.1508937,0.80256426,0.7532712,0.6801283,0.8349259,1.1278646,1.2046176,1.1670887,0.6565883,1.1299247,0.6727908,1.089616,0.88013434,0.89259917,1.1574719,0.88877106,1.3235793,1.0673617
book,0.98593664,1.2428904,1.1279857,0.9143651,1.1232835,1.091466,0.96307915,0.84297395,0.9816338,1.1649405,0.7444991,1.1620328,0.9101636,0.58499444,1.0997816,0.92320603,0.92972374,0.0,1.1254344,0.9907349,0.51333356,1.1131643,1.1080666,0.8568873,1.0621328,0.94990396,0.962027,1.1605413,1.001162,1.1074095,0.9312689,1.0546978,0.9358654,1.0655811,1.0667444,0.8313582,0.8754045,1.192934,0.9160856,0.9739054,0.73508596,1.1309848,1.1075425,1.1445906,1.1696162,1.0717015,1.18923,1.1041446,1.0222578,0.8953569,1.1938059,1.1989946,1.0716882,0.8143039,1.0093017,0.85888803,0.9311528,1.2443429,1.2929852,0.9022082,1.0812198,0.91670257,1.1198902,1.0935632,0.951516,1.0117377,1.0285699,0.960964,1.0878507,1.1794571,0.8591098,1.2627743,1.044755,0.873303,1.0535522,1.0265758,1.0986822,0.28660822,1.009183,0.89367265,1.2246721,0.8471086,0.79448646,1.1057112,1.0313778,1.0601833,0.9910447,1.2203734,0.66064644,0.8702094,0.88440025,1.0550206,0.9610048,1.0901374,0.94508314,0.8068795,1.0732343,1.0524094,1.1763033,1.0949262,1.0605106,0.9242061,0.99207133,1.2403898,1.13339,1.1337153,1.109457,1.0296761,1.1100316,0.82893676,0.99129033,1.0772929,1.080874,0.7544985,0.8766412,1.1554372,1.0362711,0.92251354,1.0410807,0.71584785,0.81106365,1.0327674,0.9899162,0.90204185,1.0687866,1.2328002,1.009142
bottle,1.2048912,0.67693186,0.39954275,1.3675346,0.30219525,0.4954493,1.2090448,0.77189755,1.3587207,1.1827489,1.4539487,0.31147027,1.4278445,1.4651927,0.5163941,1.3933713,1.335578,1.1254344,0.0,0.56256396,1.3703802,1.2254615,0.86136925,0.4609027,0.70962167,0.6640069,0.7351519,0.9363367,1.1580049,0.27596915,1.2716354,1.1382858,1.354011,1.2593175,0.21061993,1.456425,0.44497776,1.3552132,1.0499078,1.3912776,1.3914492,1.210529,0.7032581,0.8175982,0.30448973,0.8049288,0.9331923,0.7860043,0.78108996,1.2466848,0.30264896,0.67395973,1.3688834,0.5204358,1.2383374,1.2537594,1.3360904,0.24472511,1.0935318,1.3683137,1.1242888,0.8202254,1.0738289,0.28766888,1.3818228,1.3838263,0.79277027,0.9241861,1.2411588,0.3550321,1.173415,0.4831941,0.6697257,1.0200038,1.2443676,1.4125274,1.2681458,1.4156485,0.721267,0.7907796,0.68051624,1.1319709,1.0137898,0.64863753,1.3670015,1.212091,0.31701928,0.45523572,1.3335683,0.4278884,1.319354,1.1506121,0.86142117,1.2060938,1.2921367,1.1486157,1.387701,1.0002714,1.177726,1.0338358,1.2166766,0.8275794,1.3764049,0.35448587,1.0323514,1.0242524,0.9587508,1.2011687,0.69265765,1.0170889,0.7126751,1.3423932,1.3420199,1.4072156,0.5031276,0.7499071,0.93905437,1.1292679,0.742842,0.82481396,1.3059851,1.3535483,0.94398063,0.6996843,1.0479641,0.29621285,1.264324
bowl,1.1963274,0.95309573,0.6503382,1.363188,0.62087506,0.6494252,1.2044342,0.81443924,1.0640972,1.2290268,1.127218,0.52329206,1.1418551,1.3453602,0.7232643,1.3147641,1.3280649,0.9907349,0.56256396,0.0,0.8268542,1.0819039,0.9989904,0.47280455,0.6297275,0.81604207,0.9383343,0.8782997,1.0666238,0.5394481,1.1331694,0.95524406,1.1873764,1.1069074,0.6376051,1.0900478,0.43551064,1.2673528,1.0170809,1.2304163,1.0140226,1.2950875,0.6516832,1.0382469,0.6477033,0.8821707,1.0831686,0.97092634,0.8436232,1.09166,0.6160407,0.97272474,1.2931613,0.7802759,1.2813323,1.0888813,1.3226998,0.6649503,1.1107893,1.3820496,1.2014621,0.91439855,1.1324137,0.5109466,1.2345375,1.4021771,0.9459024,1.0710373,1.0746899,0.6136633,0.8672756,0.5735047,0.6076298,0.7549091,1.0792639,1.4529371,1.1746628,1.165966,1.0237015,1.0510992,0.8786009,0.9590018,0.9801545,0.6814772,1.2171707,1.2076572,0.320256,0.73530835,1.1542262,0.5621833,1.1105841,0.9743605,0.8974086,1.1422966,1.2205534,1.2464188,1.3957372,1.238583,1.2130042,1.1186279,1.1299533,0.6125417,1.2655791,0.68198633,0.95760167,1.125335,0.89587903,1.2435212,0.9568587,0.90202975,1.0191324,1.3238131,1.3509175,1.1534423,0.6149576,1.0221212,0.92760396,1.2234137,0.81676483,0.9314102,0.6665978,1.2643466,1.0068855,0.8683598,1.1445823,0.7167429,1.1416107
box,0.98648584,1.3327887,1.4281423,0.85951495,1.3811812,1.3052843,0.8723097,0.82647103,0.60732627,1.0665922,0.39544147,1.2994063,0.5006307,0.7120358,1.3598154,0.6469678,0.7901681,0.51333356,1.3703802,0.8268542,0.0,1.1870909,1.1030662,0.82424724,0.8401093,1.0716602,1.1451099,1.0496188,0.7922417,1.2943671,0.7286626,1.1548812,0.6568724,1.1333241,1.3535657,0.3725506,0.8723874,1.0295852,0.92367804,0.69377244,0.3430184,0.9824161,1.3237878,1.3384156,1.4116778,1.1911836,1.3124673,1.3048351,1.2512949,0.69255966,1.4076705,1.2285731,0.8732976,1.1539624,0.9809089,0.8651882,0.9960358,1.411094,1.0036012,0.72075176,1.0348597,1.131099,1.0032668,1.2279394,0.9801153,0.8494849,1.0604866,0.9086195,1.143203,1.3642411,0.5954055,1.3873339,1.204009,0.6969915,1.0552517,0.88517237,0.92443985,0.49801224,1.238288,1.1868612,1.2132498,0.95187104,1.0316201,1.1675348,1.0631824,0.9576637,1.2206178,1.4069918,0.43146557,1.0684987,0.6127301,1.1464052,1.1447718,1.0196931,0.88675463,0.8001761,0.9228747,1.067901,1.0630864,1.0649825,0.8749562,0.82900554,0.682883,1.4507834,0.98798805,1.1557777,1.1070604,0.8796264,1.2192578,1.0350965,1.041595,0.8702992,0.87003183,0.5444219,1.1206306,1.3654903,1.1367556,0.9115249,1.0554459,0.82158726,0.73670566,0.83500516,0.9805668,1.1460023,0.9071157,1.4708235,0.8876711
bread,0.84604084,1.1369696,1.057014,1.077911,1.0851293,1.1101594,1.1084664,1.1690748,1.2231575,1.0982829,1.2513497,1.2640474,1.2470442,1.015246,1.0474901,1.2350602,1.0045099,1.1131643,1.2254615,1.0819039,1.1870909,0.0,1.2850084,1.2635902,1.3314154,1.2819915,0.9891864,1.1480062,1.3353738,1.1679751,1.0651753,0.29007947,1.1973032,0.04678893,1.1980352,1.2148998,1.2337278,0.62462395,0.95813876,1.1724117,1.1097316,1.1249102,0.9792486,1.017603,1.0492404,1.0205208,0.9020186,1.1226106,0.79863346,1.0445768,1.1932428,1.1200078,0.99176115,1.0306851,1.1293118,0.5909521,0.8279632,1.2518294,1.3364222,1.14273,1.1621569,1.0882994,1.2098563,1.2269815,0.29120493,0.8922534,1.2557082,1.2036104,0.018693388,1.1496476,1.1389248,1.1688136,0.9446648,1.1766638,0.28878844,1.0496175,1.0299644,1.0296744,1.0742759,1.0369791,1.1939166,0.8901198,0.93376863,1.3050997,0.12035495,1.0555241,1.1196611,1.0613114,1.2371881,1.1749337,1.1772859,0.34704608,1.1583743,0.4818356,0.9689018,1.1120734,1.1256905,1.0611627,1.1600487,1.1137036,1.0779983,1.3440619,1.1273001,1.1925033,1.2399735,1.0239469,1.1058898,1.1258076,1.087871,0.95841473,1.2003553,1.0742992,1.1119058,1.1871493,1.106994,1.0172504,1.1207538,0.9814532,1.2479749,1.1318325,0.6845683,1.0625575,1.186658,1.0456535,1.318993,1.2435747,1.1509484
broom,1.2592819,0.7999879,1.0031291,1.1700478,0.9999508,0.8986884,1.0541028,0.82992184,1.0795654,1.0329845,1.1653299,0.8164153,1.0439005,1.3052615,0.9247102,1.0174783,1.1566668,1.1080666,0.86136925,0.9989904,1.1030662,1.2850084,0.0,0.7912551,0.6615178,0.95536035,1.0339915,0.9548963,0.77608067,0.8886629,1.0374018,1.2096653,1.09664,1.2607348,0.68594563,1.0344853,0.88951325,1.2101395,1.0126343,1.0286168,1.1150706,0.9837767,1.0677865,1.0761139,0.9460336,0.874636,1.0849535,0.8130666,1.037913,1.2119552,0.96474797,0.95180535,1.1745249,1.1830533,1.1886889,1.2414546,1.2957294,0.97380036,0.43214262,1.1279225,0.9555847,0.8278142,0.5296896,0.7790561,1.2863545,1.1632044,0.100895226,1.0690039,1.2962412,1.0196016,0.98825526,0.80542976,1.0304404,0.9684429,1.2461153,1.1451353,1.1170152,1.2942098,0.69360083,0.7250202,0.8194915,1.0528804,1.0338364,0.82009447,1.2943751,1.0775608,0.9249087,0.936788,1.0263655,0.72659147,1.0257306,1.1756699,0.891511,1.1829686,1.217545,0.979435,1.0756645,1.0017287,0.95189893,0.69310117,1.0192189,0.9581812,1.0653919,0.85551,0.91006553,0.94062406,0.7901114,0.7639748,0.6971507,1.0643895,0.9946562,1.1214716,0.7810981,1.011625,0.997885,1.0208007,0.98640525,1.0292292,0.85186297,1.0995233,1.0919302,1.036011,0.82236135,1.0047191,0.4928357,0.84427625,0.9923821
bucket,1.2334106,0.8676276,0.72311956,1.390022,0.67041844,0.6649063,1.1584599,0.5161625,1.2232705,1.2334027,1.0992299,0.6849537,1.1595182,1.2827444,0.6785325,1.1811012,1.1400069,0.8568873,0.4609027,0.47280455,0.82424724,1.2635902,0.7912551,0.0,0.4592961,0.67147857,0.9335464,1.0820777,0.90339357,0.6902138,1.1379397,1.10752,1.0941772,1.2495254,0.62326837,1.0127654,0.12837964,1.3757207,0.8065517,1.2457192,1.0017459,1.1758859,0.9057214,1.1683786,0.7452839,0.8416444,1.227587,1.075435,0.8407061,1.0728483,0.7451165,0.77572787,1.3603213,0.78153884,1.3236866,1.2300504,1.4572271,0.6610017,1.0333683,1.2037514,1.0576298,1.0497159,0.97138846,0.4968034,1.3739576,1.3268013,0.7622615,0.70762295,1.2624669,0.7568369,0.9195779,0.7021903,0.80689096,0.82694507,1.1704876,1.3516597,1.2496504,1.1776735,0.962026,1.0207357,0.8563845,1.0261433,0.94089323,0.6731901,1.3593669,1.1920115,0.5745024,0.75473166,0.799893,0.48534894,1.0913821,1.1320825,0.7489812,1.260424,1.1527897,1.0873071,1.3277926,0.95609945,1.1547712,1.059345,1.2200645,0.8485892,1.2126318,0.67395127,1.1262194,1.1136032,1.0029595,1.1127774,0.8849733,0.8703423,0.59858155,1.2225977,1.2164112,1.1166438,0.48152602,1.0799317,1.1127924,1.2792523,0.76046526,0.5965721,1.0045987,1.300554,0.6899523,0.7625232,0.79189986,0.7106315,1.1578816
can,1.2974869,0.95500827,0.9671022,1.2564934,0.90491426,0.8643363,1.2542963,0.7009895,0.9396364,1.0629643,1.0662014,0.6123354,0.85285765,1.3993139,0.76628673,1.1879067,1.2022387,1.0621328,0.70962167,0.6297275,0.8401093,1.3314154,0.6615178,0.4592961,0.0,0.69001967,1.2052085,0.812207,0.6469233,0.71335506,1.1476424,1.1692815,0.95845467,1.2965677,0.8445318,0.89930993,0.5406363,1.1517793,1.0351535,0.8936681,0.9246586,1.0036232,1.1015224,1.1560712,0.8388889,0.7435639,1.1309656,1.0008637,0.9687204,1.091104,0.8242756,0.9242723,1.2195531,1.1368058,1.1782728,1.3070376,1.4126887,0.7304134,0.7387811,1.2246386,1.0670756,1.0128405,0.7615389,0.4569621,1.3846843,1.3578115,0.6566782,0.8441753,1.3276601,0.99106836,1.0246525,0.7689752,1.0694095,0.5004014,1.2829193,1.3448269,1.1160258,1.2623456,1.0398881,1.0784693,0.67537796,1.087278,1.0585874,0.6546208,1.4061515,0.97281986,0.7440207,0.926431,1.0400912,0.57442313,0.76988673,1.1524532,0.8266824,1.3037052,1.2476714,1.2877342,1.1189224,1.079971,0.9270309,1.0353588,0.94599134,0.752089,1.1273996,0.83104646,0.86356556,1.0969181,0.9611318,0.9045932,1.0336397,1.0242397,0.80014455,1.0886526,1.0545129,0.923119,0.8746737,1.1035138,1.1043215,1.3515255,0.87822187,0.9577345,1.0627303,1.0402066,0.74148595,0.77643716,0.6790493,0.8424743,0.7789877
car,1.14066,1.0681407,0.8561246,1.249442,0.7762344,0.8497179,1.0403302,0.86025757,1.0568086,1.056411,1.0822552,0.62334406,0.9777729,1.2039751,0.7675314,1.1186658,0.7839061,0.94990396,0.6640069,0.81604207,1.0716602,1.2819915,0.95536035,0.67147857,0.69001967,0.0,1.0879517,0.93166673,0.85353976,0.631908,1.1925504,1.1571289,1.0631456,1.2469712,0.72222894,1.086362,0.7344219,1.2160121,0.9933951,1.1434431,1.0271271,1.0982907,1.0209255,1.1181933,0.73368543,0.8738118,1.1931971,0.9623599,0.92743134,1.1159415,0.6762297,0.9640162,1.189068,0.94900084,1.0358635,1.2430141,1.2870424,0.6599196,1.0317658,1.1282077,1.0406204,0.95794535,0.9172344,0.6480247,1.2597286,1.2806728,0.9573772,0.57574195,1.268879,0.8756598,1.1405549,0.7928307,1.0071669,0.81048834,1.2174423,1.3078572,1.2224853,1.1508151,0.89825594,0.9948587,0.8608586,1.1034014,0.97952515,0.69491136,1.2811766,0.9993352,0.68379426,0.87683177,0.91112876,0.7046013,1.0787563,1.1417164,0.8502931,1.1659689,1.1290871,1.0272615,1.1797168,0.9844766,1.0844557,0.9923182,1.1185045,0.7474865,1.1582332,0.7574611,0.9868331,1.1809427,0.97071505,1.067471,0.9917136,1.0336239,0.6210453,1.1176735,1.1314877,1.0331185,0.75028586,1.0826203,1.0647662,1.1879342,0.8791752,0.6145722,1.1502926,1.1453733,0.6913415,0.6519069,0.7813145,0.76555127,1.0390081
carrot,0.9205226,0.8857321,0.69174623,1.1033869,0.7976883,0.81161773,0.8427346,1.0361058,1.2320739,1.1090174,1.2496864,0.97805023,1.2959726,0.99113715,0.76698864,1.170434,1.0092459,0.962027,0.7351519,0.9383343,1.1451099,0.9891864,1.0339915,0.9335464,1.2052085,1.0879517,0.0,1.11061,1.3055592,0.9743974,1.0961983,1.1219312,1.2192323,1.0664511,0.6021148,1.2393262,0.9045253,1.2019852,0.9901755,1.2641354,1.2546873,1.1821638,0.6465114,0.84853566,0.7676426,0.943004,0.89471555,0.9265673,0.76854974,1.160687,0.93753445,0.7999264,1.1004033,0.6627475,1.1843287,0.96951675,0.8875635,0.9614081,1.1846824,1.1446831,1.1042987,0.9172113,1.2177366,1.0418788,1.118436,0.956148,0.98377293,1.0778639,1.0216643,0.7223441,0.9910283,0.9519094,0.49328786,1.2275357,1.0027299,1.0247698,1.124865,1.0926712,0.82015026,0.71430194,1.0486113,0.60314035,0.94547814,1.0303998,1.0811625,1.0623248,0.8457463,0.8215567,1.0771278,1.0107379,1.2524867,1.1320162,0.88181233,1.1129521,1.0341626,0.7973076,1.1435882,0.9936062,1.1436266,1.011944,1.2070137,1.1393926,1.045923,0.85931975,1.0781533,0.81975293,0.88596237,1.1152598,0.52632207,0.5919962,1.0288455,1.2432313,1.1683502,1.2882545,0.8357689,0.820182,0.9062189,0.6726957,0.9624811,0.8224826,1.1386863,1.1584051,1.1465502,1.0709636,1.2220616,0.8753817,1.2385001
cat,0.89401704,1.1105645,0.9575662,1.1281447,0.860381,0.8543747,0.91195697,1.0992748,0.83039427,0.5685603,0.94046164,0.6810838,1.0152466,1.1854044,0.9052901,0.9030172,1.1908184,1.1605413,0.9363367,0.8782997,1.0496188,1.1480062,0.9548963,1.0820777,0.812207,0.93166673,1.11061,0.0,1.0084622,0.7669204,0.9748474,1.1275818,1.0566859,1.1740222,0.9145255,0.9696116,1.034464,0.84195006,1.0507668,0.9064737,1.0931695,0.9430733,1.035092,1.0843858,0.7993328,0.94227326,1.1060401,0.922493,0.92419755,1.0795778,0.7728698,1.1038876,0.9169002,1.0317543,0.9064663,1.0198475,1.1774081,0.84867555,0.84931767,1.1519122,1.106997,1.0339199,0.94238436,0.83454645,1.1763322,1.1714265,0.9555926,1.1109618,1.1686329,0.8726518,1.1429378,0.7433474,1.0635996,0.9815487,1.1965868,1.1209283,1.0459477,1.0892413,1.1754501,1.1224103,0.8460815,1.0572424,1.0277468,0.8498912,1.164711,0.9129197,0.8359082,0.9874067,1.2085702,1.0290726,0.95506215,1.1291869,0.95886016,1.0048655,1.163503,1.2513787,0.9725585,1.222408,1.094378,1.1813381,0.88825274,0.7849447,1.0359885,1.0468534,0.31404483,1.0821917,1.058773,1.0982043,1.1861122,1.0802774,1.1159,1.0501498,1.0408226,0.9961764,1.1310434,1.1085285,0.9845008,1.1781347,1.0223703,1.1187198,1.080665,0.9378117,1.0886346,1.0182796,1.0916951,0.9063504,0.8976585
