category,cdi_category,bv_umap_x,bv_umap_y,things_umap_x,things_umap_y
cookie,food_drink,8.066001,2.207829,-1.3702173,4.357923
corn,food_drink,8.175029,2.7232494,-0.5260711,3.6631832
couch,furniture_rooms,5.828244,5.8296356,1.1078986,7.292254
cow,animals,5.0957055,3.4590843,2.1984994,2.1718237
cracker,food_drink,8.065334,1.933752,-1.4525748,4.267098
crayon,toys,7.8989377,4.331276,0.87106454,5.161208
crib,furniture_rooms,5.4237084,5.480349,1.4512249,7.4705167
cup,household,7.4449706,3.7051363,0.48165193,6.3429213
deer,animals,5.1959133,3.1106446,1.7597361,2.0393333
diaper,clothing,6.466158,5.2753115,1.7482878,8.117373
dish,household,7.275245,2.3366456,0.56057626,6.4203506
dog,animals,4.9572783,3.5232375,2.2744243,2.3267226
doll,toys,6.2874217,5.230019,2.0998304,8.5978
door,furniture_rooms,5.718421,5.062025,1.0927094,7.076693
drawer,furniture_rooms,6.057235,4.597437,1.1312995,7.062152
dress,clothing,6.3245025,6.2508903,1.8749859,8.74615
drink,food_drink,7.082704,2.787896,-0.6145685,4.9508424
dryer,furniture_rooms,5.5635743,5.186101,1.3444278,6.967599
duck,animals,6.0116076,3.4285917,1.8307271,2.2888346
ear,body_parts,8.275462,5.2828703,3.0569572,9.33096
egg,food_drink,8.516997,3.962026,-0.58165723,3.8095214
elephant,animals,4.5949836,4.152637,2.0389698,1.8438054
eye,body_parts,8.441553,5.129301,2.9178526,9.300837
face,body_parts,6.5069647,6.326695,2.9234834,9.403936
finger,body_parts,8.107964,5.314877,3.0133631,9.233287
firetruck,vehicles,4.8132653,5.1156077,3.3813455,5.643023
fish,animals,6.7417955,3.8280685,1.6448807,2.4806209
flag,outside,7.6921544,4.156238,3.5626872,5.3581843
flower,outside,7.1203785,3.6203985,1.402657,3.568837
foot,body_parts,7.310632,5.277403,2.6598074,9.3428
fork,household,7.072149,3.991654,1.0067866,5.76663
frog,animals,5.6234684,3.3346703,1.6355674,2.4097264
game,toys,4.3792386,5.633099,4.2171965,5.842592
giraffe,animals,4.8969135,3.2359874,2.0335922,1.8514453
glass,household,6.903159,2.6631393,0.33723578,6.0507526
glasses,household,8.340784,5.2013397,1.7787311,8.829171
glove,clothing,6.7938843,5.1189947,1.3832884,8.989629
glue,toys,7.002841,2.9517097,0.3798481,5.230898
grass,outside,3.6048193,5.0596795,1.9662725,4.956159
gum,food_drink,6.7263455,3.4247928,0.37664363,5.3019876
hair,body_parts,6.5698028,6.383664,2.2477198,9.181049
hamburger,food_drink,7.875695,2.1531804,-1.5613576,4.3914423
hammer,household,6.896603,4.1017966,1.3616273,5.4095144
hand,body_parts,6.5659623,5.8102016,2.975422,9.259069
hat,clothing,8.079253,4.6628923,1.6230701,8.962267
helicopter,vehicles,3.5241535,5.4343796,3.3599746,5.634959
horse,animals,5.2019343,3.117013,2.1883643,2.1278653
hose,outside,4.39258,4.963202,1.639547,5.5520363
ice,food_drink,7.502671,2.2177575,2.3153784,4.9994073
jacket,clothing,6.2550106,6.448134,1.7047508,9.183088
jar,household,7.092313,2.8714159,0.38316125,5.9367814
jeans,clothing,6.3261504,6.3715243,1.6868277,9.152063
juice,food_drink,7.2343473,2.7843397,-0.70327634,4.8361993
knife,household,7.0136933,4.1444864,1.2158091,5.722681
ladder,outside,5.855269,4.941776,1.9742541,5.6460977
lamp,household,7.248941,3.944481,0.9498069,6.9284077
leg,body_parts,7.3944006,5.386114,2.5241432,9.288185
lollipop,food_drink,8.185403,3.8367064,-0.06768547,4.9030094
meat,food_drink,7.8090396,2.1583064,-1.3247465,4.1925926
melon,food_drink,7.78226,2.5440965,-0.6366278,3.6925538
milk,food_drink,7.040164,2.8931444,-0.7933089,4.576919
mitten,clothing,6.4510646,5.7088914,1.4710432,8.574628
money,household,6.4877863,3.9249666,3.901505,5.2359085
mop,household,6.8094664,4.2531805,1.4160569,5.726566
motorcycle,vehicles,4.847958,4.9372272,2.8707604,6.072084
mouth,body_parts,8.282247,5.3318615,3.0186324,9.462924
muffin,food_drink,7.9309134,2.148058,-1.5007651,4.496433
nail,household,8.352487,4.503347,1.2714487,5.36446
napkin,household,6.650859,4.4531198,0.8400279,7.384351
necklace,clothing,8.291267,4.9572363,1.7667818,8.67584
nose,body_parts,8.34666,5.2170353,2.8836663,9.344469
nut,food_drink,8.543389,4.230653,-0.92152137,3.9208305
orange,food_drink,8.462419,3.8692224,-0.5308585,3.6947408
oven,furniture_rooms,5.6942253,4.9775376,1.3483804,6.92475
owl,animals,5.219214,3.643308,1.739828,2.2035453
pajamas,clothing,6.2307215,6.2506495,1.8427571,8.859459
pancake,food_drink,7.753973,2.053316,-1.6148123,4.5371666
pants,clothing,6.4586735,6.4377613,1.7291765,9.131548
paper,household,4.7139874,5.631599,4.1004863,6.095341
pasta,food_drink,7.799695,1.6920191,-1.2818527,4.297409
pastry,food_drink,8.019941,1.9253885,-1.5372916,4.486037
pen,toys,7.673869,4.3398805,1.0696337,5.2900243
pencil,toys,7.550252,4.2944965,1.0608104,5.26323
penguin,animals,5.590683,3.3407943,1.7901301,1.9515363
pickle,food_drink,8.348705,3.3558707,-0.9713479,3.970892
pig,animals,5.0918,3.1478102,2.183772,2.2102575
pillow,household,6.690308,4.6882834,1.0288545,7.5785284
pizza,food_drink,7.777201,1.9561499,-1.4977466,4.481287
plant,household,6.893505,3.7455618,1.8545904,4.6802983
plate,household,7.818231,2.5825787,0.55951005,6.4257975
pony,animals,5.136163,3.1204553,2.2497337,2.07588
popcorn,food_drink,7.553741,2.3258936,-1.1215837,4.274891
popsicle,food_drink,8.171723,4.6268034,-0.5513943,4.597827
potato,food_drink,8.477127,4.267117,-0.7768381,3.7983785
pretzel,food_drink,7.8463416,2.3136413,-1.5087456,4.5420966
pudding,food_drink,7.5829306,2.2848134,-0.934034,4.4924164
pumpkin,food_drink,8.431456,3.8257236,-0.4567621,3.634622
purse,household,6.468105,4.8884153,1.5209903,9.098903
radio,household,7.167887,4.0606904,1.1441429,6.7833405
raisin,food_drink,8.434012,4.671931,-0.98701626,4.01522
refrigerator,furniture_rooms,5.6972485,5.0730844,1.4386796,7.0758734
rock,outside,4.308789,4.2973638,2.1182723,5.03933
rooster,animals,5.3643293,3.2847307,2.0946515,2.1883538
sandbox,outside,4.373978,5.693803,2.1213472,5.862777
sandwich,food_drink,8.019382,1.8136245,-1.6116959,4.406067
sauce,food_drink,7.722658,2.0474634,-0.6481864,4.927752
scarf,clothing,6.4898815,6.357113,1.7934918,8.874452
scissors,household,6.9638333,3.913512,1.0651228,5.503715
sheep,animals,4.7912464,3.6089737,2.149211,2.1970654
shirt,clothing,6.366215,6.4409704,1.7409127,9.1508465
shoe,clothing,6.855246,5.165326,1.7307948,9.187209
shorts,clothing,6.649493,6.184077,1.7804915,9.123561
shovel,outside,6.7973657,3.9638321,1.5650288,5.5256433
shower,furniture_rooms,5.5757174,5.2813025,1.1816554,7.2915254
sink,furniture_rooms,5.7442985,4.5794115,1.2436564,7.2343626
sled,vehicles,4.1401224,5.279507,1.9801211,5.952192
slide,outside,4.0336757,5.089556,2.1964924,5.776261
slipper,clothing,8.141979,4.702496,1.4469777,8.758128
snow,outside,4.323484,4.2949553,2.7938628,5.023282
snowman,outside,5.592059,3.4364953,3.0417469,5.0968037
snowsuit,clothing,6.33458,6.310742,1.859027,9.317331
soap,household,7.757113,3.9319882,0.27364612,5.3278375
sock,clothing,6.932349,5.1427283,1.4924929,8.703249
soda,food_drink,7.034542,2.893797,-0.5520068,4.9900627
soup,food_drink,7.6420684,1.8763325,-1.20739,4.600924
spoon,household,7.0623703,3.8860729,0.772653,6.0320888
sprinkler,outside,4.3812017,4.8322587,1.800735,5.3403697
squirrel,animals,5.0030704,3.445703,1.8780338,2.3286557
stick,outside,6.695736,4.172945,1.8643138,5.0010285
strawberry,food_drink,8.3073225,4.1488414,-0.58323914,3.8183641
stroller,vehicles,5.602996,5.1096044,2.2376802,6.593102
sweater,clothing,6.217756,6.507503,1.9038675,8.998316
swing,outside,3.6949272,4.952,2.1807585,5.694395
table,furniture_rooms,4.7044344,5.6224675,1.0501987,6.969038
tape,household,7.686178,3.6158981,0.46597895,5.5094337
tiger,animals,5.131367,3.2028449,1.9583699,1.9130163
toast,food_drink,8.016327,1.9283353,-1.660518,4.309107
toe,body_parts,8.195317,5.247016,2.562042,9.338332
tooth,body_parts,8.246124,4.885209,2.8939052,9.470516
toothbrush,household,6.3610115,3.6391265,0.85668623,5.462398
towel,household,6.701318,4.510703,1.167368,7.5611444
toy,toys,6.967245,3.340458,4.1002054,5.763601
tractor,vehicles,4.5540147,4.8454185,3.0157359,5.863334
train,vehicles,5.2442427,5.048316,3.1665058,5.8415513
tray,household,4.790196,5.4278746,0.90718645,6.8380475
tree,outside,3.3814166,4.898551,2.2344663,4.804155
tricycle,vehicles,4.567539,4.82285,2.617646,6.169722
truck,vehicles,4.5278234,4.878168,3.1478388,5.854751
turkey,animals,5.1489363,3.914383,1.9706283,2.3111162
vacuum,household,6.485103,4.602121,1.4511206,5.9541645
watch,household,8.294551,4.763736,1.4245259,9.067385
window,furniture_rooms,5.5050616,5.061792,1.0584882,7.0872097
wolf,animals,5.65523,3.2699392,1.8415823,2.020165
yogurt,food_drink,7.1956463,2.5116568,-0.9352724,4.559077
zebra,animals,4.883406,3.213678,1.9466429,1.8767958
