subject_id,age_youngest,age_compared,correlation,n_common_categories,hours_compared,n_rdm_pairs,cor_se
00320001,9,13,0.8669475598702122,87,8.21,3741,0.016349562879842853
00320001,9,14,0.8328388547802682,87,8.26,3741,0.016349562879842853
00320001,9,15,0.8365031708414695,87,5.1000000000000005,3741,0.016349562879842853
00320001,9,16,0.8341935579401196,87,7.77,3741,0.016349562879842853
00320001,9,17,0.8125103110650342,87,5.970000000000001,3741,0.016349562879842853
00320001,9,18,0.7952377353166721,87,6.84,3741,0.016349562879842853
00320001,9,19,0.8237333877693577,87,4.62,3741,0.016349562879842853
00320001,9,20,0.7728696345211002,87,5.93,3741,0.016349562879842853
00320001,9,21,0.5809322857233662,87,6.72,3741,0.016349562879842853
00500001,12,13,0.7388404974320747,88,1.73,3828,0.0161627045958809
00500001,12,14,0.6406386830005241,88,4.76,3828,0.0161627045958809
00500001,12,15,0.7224360090981515,88,5.89,3828,0.0161627045958809
00500001,12,16,0.7341849596566812,88,5.65,3828,0.0161627045958809
00500001,12,17,0.6977938062474478,88,0.43000000000000005,3828,0.0161627045958809
00500001,12,19,0.6210074100547216,88,0.11,3828,0.0161627045958809
00500001,12,20,0.6040543689326902,88,0.93,3828,0.0161627045958809
00500001,12,21,0.6190502112640756,88,1.78,3828,0.0161627045958809
00500001,12,23,0.6393036023764417,88,4.08,3828,0.0161627045958809
00500001,12,24,0.5647774548073253,88,0.63,3828,0.0161627045958809
00500001,12,25,0.5988345969440134,88,2.5,3828,0.0161627045958809
00500001,12,26,0.5846523326143239,88,0.09,3828,0.0161627045958809
00500001,12,27,0.5906986818423771,88,2.14,3828,0.0161627045958809
00500001,12,28,0.6418918180527664,88,0.55,3828,0.0161627045958809
00400002,13,14,0.6114378369321477,93,6.3100000000000005,4278,0.015289018630918963
00400002,13,15,0.6450615762830725,93,6.65,4278,0.015289018630918963
00400002,13,16,0.6125060203829874,93,5.69,4278,0.015289018630918963
00400002,13,17,0.6935267989174638,93,4.1,4278,0.015289018630918963
00400002,13,18,0.6073943947279165,93,5.3500000000000005,4278,0.015289018630918963
00400002,13,19,0.6584670999260263,93,5.54,4278,0.015289018630918963
00400002,13,20,0.680616912065681,93,4.29,4278,0.015289018630918963
00400002,13,21,0.6684541946833358,93,6.51,4278,0.015289018630918963
00400002,13,22,0.6371832127389407,93,5.14,4278,0.015289018630918963
00400002,13,23,0.5266525944044382,93,4.54,4278,0.015289018630918963
00400002,13,24,0.6302027685724652,93,1.4300000000000002,4278,0.015289018630918963
00400002,13,25,0.4976358368922788,93,0.0,4278,0.015289018630918963
00510002,13,14,0.7902863960435619,128,5.51,8128,0.011091956367701423
00510002,13,15,0.7354541751868728,128,8.43,8128,0.011091956367701423
00510002,13,16,0.7178920974864029,128,6.44,8128,0.011091956367701423
00510002,13,17,0.7137106753633368,128,6.63,8128,0.011091956367701423
00510002,13,18,0.7219646260802818,128,8.3,8128,0.011091956367701423
00510002,13,19,0.7338926989895733,128,0.0,8128,0.011091956367701423
00430001,11,12,0.6883028729038012,73,4.61,2628,0.01950685786602176
00430001,11,13,0.6747568900347549,73,5.140000000000001,2628,0.01950685786602176
00430001,11,14,0.6875300481310246,73,4.0600000000000005,2628,0.01950685786602176
00430001,11,15,0.6712005917083348,73,2.0,2628,0.01950685786602176
00430001,11,16,0.7321871059830213,73,4.53,2628,0.01950685786602176
00430001,11,17,0.721503982646582,73,2.71,2628,0.01950685786602176
00430001,11,18,0.6734446781640012,73,3.34,2628,0.01950685786602176
00430001,11,19,0.47857892299044863,73,0.39,2628,0.01950685786602176
00430001,11,20,0.42304645892736026,73,0.6200000000000001,2628,0.01950685786602176
00430001,11,21,0.6612194530703466,73,0.73,2628,0.01950685786602176
00430001,11,27,0.5469275346295248,73,0.34,2628,0.01950685786602176
00430001,11,28,0.4988687597344641,73,2.01,2628,0.01950685786602176
00430001,11,29,0.6505574871379733,73,0.48000000000000004,2628,0.01950685786602176
00560001,13,14,0.7118692795322734,74,5.32,2701,0.019241446072101123
00560001,13,15,0.6052333510221385,74,1.46,2701,0.019241446072101123
00560001,13,16,0.6500436903016464,74,1.55,2701,0.019241446072101123
00560001,13,17,0.6729252230652917,74,2.7600000000000002,2701,0.019241446072101123
00560001,13,18,0.5428471768782939,74,2.84,2701,0.019241446072101123
00560001,13,19,0.6252468717399624,74,3.5500000000000003,2701,0.019241446072101123
00560001,13,20,0.6363787526364738,74,2.1,2701,0.019241446072101123
00560001,13,21,0.6214673563408781,74,2.68,2701,0.019241446072101123
00560001,13,22,0.6475410469199223,74,2.1100000000000003,2701,0.019241446072101123
00560001,13,23,0.6372479247400745,74,1.23,2701,0.019241446072101123
00560001,13,24,0.6576566739403472,74,0.8300000000000001,2701,0.019241446072101123
00560001,13,25,0.5433200508976536,74,0.8200000000000001,2701,0.019241446072101123
00560001,13,27,0.5807793052952945,74,0.02,2701,0.019241446072101123
