subject_id,age_from,age_to,age_midpoint,correlation,n_common_categories,hours_from,hours_to,hours_bin,n_rdm_pairs,cor_se
00500001,27,28,27.5,0.5425320830759337,88,2.14,0.55,1.3450000000000002,3828,0.0161627045958809
00400002,13,14,13.5,0.6114378369321477,93,6.16,6.3100000000000005,6.235,4278,0.015289018630918963
00400002,14,15,14.5,0.6515792820249494,93,6.3100000000000005,6.65,6.48,4278,0.015289018630918963
00400002,15,16,15.5,0.746184133043956,93,6.65,5.69,6.17,4278,0.015289018630918963
00400002,16,17,16.5,0.7575857600713357,93,5.69,4.1,4.895,4278,0.015289018630918963
00400002,17,18,17.5,0.6942723026171793,93,4.1,5.3500000000000005,4.725,4278,0.015289018630918963
00400002,18,19,18.5,0.6811198264523333,93,5.3500000000000005,5.54,5.445,4278,0.015289018630918963
00400002,19,20,19.5,0.7572649360386787,93,5.54,4.29,4.915,4278,0.015289018630918963
00400002,20,21,20.5,0.73769186648501,93,4.29,6.51,5.4,4278,0.015289018630918963
00400002,21,22,21.5,0.8106151238531518,93,6.51,5.14,5.824999999999999,4278,0.015289018630918963
00400002,22,23,22.5,0.7392052669996139,93,5.14,4.54,4.84,4278,0.015289018630918963
00400002,23,24,23.5,0.64961031374983,93,4.54,1.4300000000000002,2.9850000000000003,4278,0.015289018630918963
00400002,24,25,24.5,0.5187199695831747,93,1.4300000000000002,,0.7150000000000001,4278,0.015289018630918963
00510002,13,14,13.5,0.7902863960435619,128,7.54,5.51,6.525,8128,0.011091956367701423
00510002,14,15,14.5,0.7888316882187356,128,5.51,8.43,6.97,8128,0.011091956367701423
00510002,15,16,15.5,0.7920843364618898,128,8.43,6.44,7.4350000000000005,8128,0.011091956367701423
00510002,16,17,16.5,0.8205181724512909,128,6.44,6.63,6.535,8128,0.011091956367701423
00510002,17,18,17.5,0.796243610563862,128,6.63,8.3,7.465,8128,0.011091956367701423
00510002,18,19,18.5,0.7742276374643945,128,8.3,,4.15,8128,0.011091956367701423
00430001,11,12,11.5,0.6883028729038012,73,1.19,4.61,2.9000000000000004,2628,0.01950685786602176
00430001,12,13,12.5,0.8040766808302894,73,4.61,5.140000000000001,4.875,2628,0.01950685786602176
00430001,13,14,13.5,0.8155090031294996,73,5.140000000000001,4.0600000000000005,4.6000000000000005,2628,0.01950685786602176
00430001,14,15,14.5,0.7757252952454435,73,4.0600000000000005,2.0,3.0300000000000002,2628,0.01950685786602176
00430001,15,16,15.5,0.7677763840483647,73,2.0,4.53,3.265,2628,0.01950685786602176
00430001,16,17,16.5,0.8303385006438389,73,4.53,2.71,3.62,2628,0.01950685786602176
00430001,17,18,17.5,0.8023066825104709,73,2.71,3.34,3.025,2628,0.01950685786602176
00430001,18,19,18.5,0.5907352093427105,73,3.34,0.39,1.865,2628,0.01950685786602176
00430001,19,20,19.5,0.30227443552305894,73,0.39,0.6200000000000001,0.5050000000000001,2628,0.01950685786602176
00430001,20,21,20.5,0.502137566306151,73,0.6200000000000001,0.73,0.675,2628,0.01950685786602176
00430001,21,27,24.0,0.6204855281261331,73,0.73,0.34,0.535,2628,0.01950685786602176
00430001,27,28,27.5,0.44936513322458044,73,0.34,2.01,1.1749999999999998,2628,0.01950685786602176
00430001,28,29,28.5,0.643413788845175,73,2.01,0.48000000000000004,1.2449999999999999,2628,0.01950685786602176
00560001,13,14,13.5,0.7118692795322734,74,1.74,5.32,3.5300000000000002,2701,0.019241446072101123
00560001,14,15,14.5,0.7951197827104941,74,5.32,1.46,3.39,2701,0.019241446072101123
00560001,15,16,15.5,0.654499260827602,74,1.46,1.55,1.505,2701,0.019241446072101123
00560001,16,17,16.5,0.7041120938019227,74,1.55,2.7600000000000002,2.1550000000000002,2701,0.019241446072101123
00560001,17,18,17.5,0.798933956009689,74,2.7600000000000002,2.84,2.8,2701,0.019241446072101123
00560001,18,19,18.5,0.7790065940736677,74,2.84,3.5500000000000003,3.1950000000000003,2701,0.019241446072101123
00560001,19,20,19.5,0.7480334451645403,74,3.5500000000000003,2.1,2.825,2701,0.019241446072101123
00560001,20,21,20.5,0.7662107874074656,74,2.1,2.68,2.39,2701,0.019241446072101123
00560001,21,22,21.5,0.7245325197032202,74,2.68,2.1100000000000003,2.3950000000000005,2701,0.019241446072101123
00560001,22,23,22.5,0.7176620819434362,74,2.1100000000000003,1.23,1.6700000000000002,2701,0.019241446072101123
00560001,23,24,23.5,0.7142384551185743,74,1.23,0.8300000000000001,1.03,2701,0.019241446072101123
00560001,24,25,24.5,0.6675649618166424,74,0.8300000000000001,0.8200000000000001,0.8250000000000001,2701,0.019241446072101123
00560001,25,27,26.0,0.5670068410430558,74,0.8200000000000001,0.02,0.42000000000000004,2701,0.019241446072101123
