,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
cracker,0.6126151,0.9433525,0.91768146,1.1804142,0.9044281,1.106178,1.237391,0.6609244,0.9134945,1.1480622,1.0321243,1.2628804,1.0606263,1.0006886,0.6967081,1.0246205,1.1580234,1.1021904,1.249546,1.3980112,1.1702299,0.4974326,1.2118429,1.2740049,0.92504394,1.3030894,1.2716583,1.0319306,0.5436845,1.1553754,1.2702653,0.9116618,1.0134498,0.89195395,1.0590558,0.0,1.1707811,0.9680807,1.2898476,0.77680564,0.5879346,0.869347,1.1421002,1.0463176,0.9513328,0.9588412,1.1381823,1.127141,1.0152061,0.9569354,0.8451084,0.85078764,1.1196698,0.7974118,0.96247596,0.67173207,0.98833793,1.1138126,1.0055346,1.0697407,0.8545258,0.9192953,0.6374953,0.7921998,1.1301963,0.8164952,1.0840237,1.1039389,1.0472709,1.0421385,0.95629215,1.0370643,1.2787577,0.9269934,0.68253994,0.6764805,1.1422509,0.72470593,1.162005,0.86108136,0.40271026,1.0473055,1.199896,1.1248351,0.9387548,1.029549,1.1029108,0.5277717,0.9908683,0.94284594,1.0573674,1.1823599,1.1271353,1.0413002,0.6199877,0.7576932,1.21922,0.5409392,1.0777194,1.3478777,0.82227784,0.9430851,1.0276608,1.1364174,1.1014036,1.0592507,1.0031894,0.6608516,0.81529236,0.93720526,1.2356766,0.97309065,0.79374945,1.0387498,1.2004006,1.0959826,1.3069223,1.0522162,1.0609891,1.1269814,1.1166624,1.1949966,1.0523567,1.1046549,1.1140828,0.8316276,1.1530563,0.9908146,1.0624827,1.0712992,1.1445801,0.94052184,0.9693098,0.9815783,1.2084324,1.1611007,1.1038046,1.1420513,1.0844166,1.2325418,1.2777159,1.0668017,1.2268614
crayon,1.4031996,0.6293753,0.69123113,1.2099643,1.4857019,0.85797936,1.0006993,0.8311101,0.5459299,1.3291473,1.5543184,0.5143706,0.9166393,1.5220569,1.2283769,1.4872719,1.3508312,0.9547634,0.26320136,0.4006226,1.2015133,0.9378955,0.55609703,0.72297746,1.0118667,0.47688442,0.64621353,0.34230638,1.2875187,0.8483981,0.650224,1.4523988,0.6759928,1.0359226,1.25204,1.1707811,0.0,1.2882526,0.22586477,1.2293509,1.1797496,1.2597231,1.1425633,0.81639653,1.4327149,0.61531156,0.73464316,1.1399839,0.6086474,1.2713531,0.694411,0.3438803,0.8030257,0.9979174,0.79067266,1.0417148,1.3241515,0.36372435,1.1687514,1.2340767,0.656772,1.1966478,0.9201346,1.404935,0.88088816,1.1606613,1.3321102,1.4181032,0.6979586,1.3951476,0.8279002,0.908128,0.3883924,0.9537633,1.2951524,1.3101244,1.2909029,1.4328727,1.3202918,0.9438399,1.2874737,0.38445884,0.465366,0.653947,0.79338574,0.5664341,1.1868236,1.3361897,1.4878801,1.3499461,1.3766004,0.17178738,0.16516417,0.6592329,1.2632334,0.79086196,0.53473496,1.3546515,0.8991374,0.50639695,1.1292698,0.5946413,1.2135314,0.68800795,0.5308305,1.419679,1.2351032,1.1721097,1.2426785,1.2511302,1.1192188,1.5143993,1.2667902,1.1754832,0.64873654,1.3879143,0.6630892,1.50352,0.5902462,1.1411421,0.2886114,1.0435603,1.2416723,0.9108276,1.2803352,0.7702031,1.0211793,1.5334404,1.2942812,1.4954935,0.76499057,0.51423985,0.32963055,0.5830725,0.5251605,0.5212578,1.3282832,1.1493984,1.1544085,0.9989559,0.61018777,0.3317479,0.927652
crib,0.8741101,1.351781,1.3341194,0.97951245,0.96207845,1.1687834,1.1241629,1.1311094,0.6528673,0.83235323,0.6902425,1.0170496,0.5066403,0.9948183,0.90588945,0.7325948,0.8318641,0.7628792,1.1195911,0.93805623,0.5457771,1.310869,0.98337305,0.7981403,1.1251736,0.8817425,1.0550652,1.3024585,0.84604824,0.4634114,1.0330455,0.85525596,0.86367863,0.92146885,0.48829257,0.9680807,1.2882526,0.0,1.1211836,0.938185,0.8640663,0.8487209,0.6670918,0.6923902,0.96935505,1.3786057,1.22248,1.1601255,1.3420621,1.0318956,1.4061549,1.2996466,0.95035315,1.2621287,1.0686243,1.0281605,0.8683981,1.3665264,1.0242879,0.9327078,1.2261178,1.135738,1.1638147,1.0945911,1.1588616,1.0055293,0.97476923,0.93512756,1.0631884,0.9635555,1.0211858,0.558662,1.0373911,1.1690753,1.0533581,1.1483881,0.8271185,0.99732983,1.0270998,1.2820264,1.06057,1.3946016,0.93993294,1.2508602,1.3482945,1.3007298,0.5011723,0.9123956,0.8850714,0.9313508,0.76952887,1.1751231,1.1846433,1.1451373,1.0407586,0.9930759,0.8857278,0.89573884,0.87986004,1.0504229,1.0239068,1.1573374,0.7255517,0.7561401,1.1766193,0.5597968,0.9742268,1.0351756,0.9807034,1.0368928,1.0692638,0.95858073,1.0317507,1.0417552,1.07492,0.7240789,0.7991237,0.81980485,1.2494491,0.9971364,1.1937608,0.9964627,0.84887767,1.0568466,0.9784932,1.202033,0.79096663,0.8667215,1.0743072,0.59094447,0.89993846,1.4316484,1.3219717,1.1928288,0.91622674,1.0583456,0.776032,0.915631,0.95773834,0.869261,0.9122931,1.3053755,0.7794038
cup,1.4901109,0.7482222,0.75118,1.2236031,1.5269481,0.7221129,0.87112737,0.98116696,0.6004759,1.3154231,1.4422965,0.6265811,0.9388075,1.5152142,1.2246065,1.4596016,1.336416,0.92192566,0.09943533,0.15555048,1.0878974,1.103126,0.55878407,0.4933235,1.0585811,0.26598114,0.5556394,0.6770818,1.2405815,0.78071046,0.48954225,1.3302445,0.6513118,0.94143856,1.1678784,1.2898476,0.22586477,1.1211836,0.0,1.1851192,1.1138263,1.2103671,0.97440404,0.7373222,1.3778696,0.7524215,0.6628148,1.0974057,0.72234553,1.1863828,0.9233221,0.57633984,0.66921437,1.1732596,1.0202569,1.1404389,1.1457767,0.46840852,1.1387156,1.1479158,0.7712912,1.1829066,1.0154543,1.463172,0.7620225,1.140861,1.3080356,1.3688524,0.6659519,1.464283,1.202337,0.8747874,0.26245934,1.1041703,1.3514459,1.3595692,1.1137662,1.440222,1.243058,1.0866513,1.3061571,0.37473583,0.4631257,0.7757267,0.9523657,0.5873255,1.0181581,1.329282,1.4947159,1.3769224,1.2597828,0.4056965,0.48485643,0.73440814,1.2723768,0.90278554,0.44183707,1.35856,0.8045023,0.4393096,1.1211207,0.7260388,1.2823339,0.67247576,0.57275516,1.2244428,1.1608347,1.238822,1.287832,1.3463597,1.1973429,1.4727746,1.3470515,1.2560563,0.895477,1.2221024,0.62046695,1.4492542,0.73256385,1.1000918,0.30303657,0.9802347,1.3021215,1.1383855,1.1494915,0.95089537,0.93088186,1.4922398,1.284772,1.3893317,0.5800087,0.6915744,0.5014699,0.79015255,0.5265962,0.49855775,1.2797881,1.0293381,1.14314,0.8873096,0.62534386,0.50255406,0.82182723
deer,0.6672673,1.1986599,1.0771029,1.0779763,1.014668,1.092062,1.1453736,1.0611327,1.1190938,1.0345613,0.93393743,1.2618256,1.0615156,0.9798656,0.85161763,0.9996185,1.0407162,0.914914,1.1480908,1.2068452,1.0394554,1.0678716,1.1042434,1.1779736,0.8333415,1.2017436,1.0262924,1.1431122,0.7435025,1.1161867,1.0883669,0.9890626,1.1174178,1.0667151,1.0527868,0.77680564,1.2293509,0.938185,1.1851192,0.0,0.63310325,0.69632447,1.048509,1.1637044,0.95403945,1.1831636,1.0803949,1.0511595,1.1500652,0.9360133,1.2022243,1.1023892,0.9871021,1.1326439,1.1893462,0.76852304,0.9251278,1.2353569,1.073711,0.93712604,1.0537114,1.0606521,0.88304985,0.9925528,1.1773365,0.058542848,1.0602945,1.0014441,1.0140039,1.0745016,1.0683854,1.0070852,1.1857945,1.1009673,0.83002186,1.0101515,1.1104145,0.945433,0.9607911,1.0866952,0.8843898,1.2101078,1.2085991,1.1409786,1.1795428,1.0517893,1.1133126,0.8741964,0.9755609,1.0054075,0.96360636,1.1932217,1.1965367,1.0757266,0.9815755,0.99120826,1.1999818,0.7087995,0.9223423,1.1952704,0.14337069,1.0486383,1.0104619,1.1436623,1.2207065,1.0171093,1.0093818,0.5122168,0.955102,1.0058899,1.012469,0.99092174,0.98764646,1.1112269,1.1434252,0.97873104,1.2525328,0.94354236,1.2278526,1.1045438,1.1626194,1.110846,0.99097407,1.0910702,0.999564,0.97959536,0.83745956,1.0115604,0.904382,0.9248648,1.1049085,1.2339015,1.2501165,1.1145555,1.1824172,1.0505251,0.99395514,1.002418,0.9332369,0.9407101,1.2200159,1.2199541,1.1321731
dog,0.5904538,1.0984102,1.0847051,1.0748587,1.0679499,1.09312,1.1367348,1.0178739,1.0344349,1.1051998,0.94964254,1.2158325,1.1253649,1.1023921,0.5046608,1.0013343,1.05691,0.9623023,1.0821983,1.1528163,1.0648637,0.9503095,1.0211158,1.1205868,0.93942356,1.1427296,0.932608,1.1301049,0.117687285,1.1263831,1.0153788,0.9817962,1.1044595,0.96680844,0.94401765,0.5879346,1.1797496,0.8640663,1.1138263,0.63310325,0.0,0.71419996,1.1072012,1.1236967,1.1232903,1.1640298,1.0037103,1.1093103,1.0617067,0.9210324,1.2305912,0.9243343,0.91170067,1.0609471,1.2105131,0.4848721,1.0056679,1.1173509,1.0750602,1.0031115,1.087766,0.9170691,0.9328824,1.0731413,1.0068452,0.6183941,1.117967,1.0732012,0.97076404,1.117559,1.1616511,1.0271176,1.0626945,1.1357191,0.7031145,0.99271595,1.1413958,0.9051227,1.0653849,1.1650469,0.6764095,1.1356074,1.1535332,1.1690326,1.1507274,1.1290258,1.0743605,0.4380806,1.0405842,1.097791,1.0599564,1.100738,1.1129506,0.9835892,1.00215,0.8908101,1.0412691,0.70936835,0.96190816,1.1633018,0.6276194,1.1321539,1.0964646,1.0844835,1.1117988,1.064991,0.94018465,0.5382049,0.8454592,0.938655,1.1175873,1.0420177,0.92656237,1.1400996,1.2063047,1.0949776,1.1849542,1.0361037,1.0855578,1.0605228,1.0350443,1.1532626,1.0470772,1.1618834,1.0238737,1.0573553,1.0055722,0.9161327,1.0403553,0.9875738,1.0295253,1.1544541,1.1478263,1.2211096,1.1695807,1.0006043,1.0071872,1.0318134,0.9985601,0.93573034,1.1894419,1.1220508,1.142095
doll,0.7015679,1.137598,1.0802412,0.9269782,0.95956683,1.097787,1.1018972,1.0694406,1.0714219,0.88428974,0.7703329,1.2866131,1.083838,0.72209686,0.89858824,0.8673806,0.8783876,0.65664184,1.1234024,1.1487777,0.74368805,1.0600749,1.1731056,1.0750178,0.89890987,1.1889828,1.0137933,1.2099481,0.8080914,1.0598966,1.1107187,0.9668519,1.2587199,1.0522705,0.94786304,0.869347,1.2597231,0.8487209,1.2103671,0.69632447,0.71419996,0.0,1.0917355,1.1138027,0.8703805,1.1308563,1.0592592,1.1604158,1.2173544,0.9698588,1.1725438,1.1020874,0.9694428,1.1163431,1.2414259,0.62443614,0.87513995,1.2712636,0.851691,1.1063005,0.9097348,1.0251076,0.9118651,0.91595083,0.9049986,0.7482701,1.1011292,0.7903691,1.0154798,1.0447712,1.0629092,0.98989904,1.1878735,1.201094,0.8538274,0.9775112,0.9711132,0.7543747,1.0230848,1.1827521,0.7719343,1.2245637,1.1323102,1.1214018,1.1261994,1.1197361,1.0188084,0.8642298,0.77753854,1.0541098,0.8176863,1.2361007,1.2184557,1.0005362,0.97883016,1.0364946,1.1112252,0.7643054,0.9724784,1.1232622,0.75280464,1.1820494,0.89395237,1.0436571,1.255394,1.02167,1.0993717,0.782809,0.92224675,0.8578369,1.0239298,0.8721738,0.8774044,1.0616117,1.091107,0.99223816,1.2365463,0.8316969,1.140157,1.2333833,1.2248436,0.9902564,0.87258005,1.0035113,1.0476154,0.92112947,0.8449799,0.830837,1.0333627,0.83304644,1.0723379,1.1742097,1.2483401,1.0579777,1.1139665,0.89240086,0.8091129,0.99374723,0.939661,0.9163495,1.2670857,1.2538278,1.1398954
door,1.2021329,1.1187911,1.2603025,1.2207026,0.9280195,1.1710447,1.1000897,1.1380335,0.9085431,1.0790632,0.8352951,0.8883163,0.808691,1.0435872,1.1673169,0.9279661,1.1313646,1.1109743,1.000314,0.9664064,0.91027933,1.2514981,0.7544887,0.76287216,1.1045381,0.66552395,1.0383164,1.1024358,1.0923761,0.5825931,0.953631,0.548545,0.873082,0.9844608,0.6478138,1.1421002,1.1425633,0.6670918,0.97440404,1.048509,1.1072012,1.0917355,0.0,0.6423178,0.8819907,1.1433172,1.1285585,1.0354031,1.1017338,0.9807939,1.1846143,1.2735187,0.94579035,1.088844,1.0494877,1.3360777,0.9757733,1.1341667,1.1554868,0.84827596,1.3515813,1.0090944,1.1109134,1.1123155,1.0806649,1.1157556,0.9543311,1.0926299,0.96370393,0.9282965,1.1376718,0.59248817,0.7568438,0.905588,1.1700197,1.163496,0.85579157,1.2031491,1.0776798,1.177853,1.256345,1.1247457,0.7835247,1.0015577,1.1528659,1.1742175,0.56742984,1.2147156,0.9470669,0.7444403,0.8782371,1.0906593,1.1163574,1.0320436,1.0555518,1.0642498,0.7903824,1.1465683,0.81520045,1.1519821,1.1616724,1.050825,0.912135,0.8764034,0.9574726,0.26556695,0.9699804,1.1979952,1.1350092,1.1753622,1.2101933,0.93803686,1.1407502,0.93656176,1.0228184,0.47430778,0.9017438,0.9830331,1.1689103,0.6788392,1.0007422,1.2046194,1.1666873,1.17151,0.94935924,1.2217987,0.8645911,1.0160437,1.1415361,0.83229244,0.9508013,1.1800467,1.1780258,1.2070905,0.74501026,1.2545865,1.1826522,0.8582787,1.048929,0.91763145,0.5705202,1.1143743,0.4035163
drawer,1.2231,0.9116418,1.0113217,1.1485255,1.2666532,0.9755281,1.0206872,0.9175129,0.66946715,1.0824063,1.2555642,0.67636734,0.6725915,1.3566475,1.2178785,1.2674062,1.1584469,0.8678165,0.81427014,0.62823474,0.69101816,1.0358757,0.6540891,0.60684574,0.9583488,0.5127445,0.92155474,0.9624114,1.1903129,0.5575016,0.6885278,1.2367493,0.7500342,0.6651557,0.87565446,1.0463176,0.81639653,0.6923902,0.7373222,1.1637044,1.1236967,1.1138027,0.6423178,0.0,1.2473994,0.949859,0.88017374,1.107624,0.9013096,1.2163273,0.9597414,0.9077708,0.8153359,1.1308684,0.80636865,1.0629251,1.0438967,0.9621535,1.2154129,1.1139029,0.9833377,1.2281377,1.0735304,1.2252877,1.0547394,1.157375,1.0909218,1.2798505,0.9061713,1.3408628,1.022941,0.6458339,0.50248474,1.0406113,1.208821,1.1594577,0.92628783,1.3249023,1.2719239,1.1413076,1.2497128,0.9621801,0.67212117,0.90758204,1.0800552,0.89979637,0.58151877,1.2387179,1.364177,1.2313826,0.9109809,0.6472767,0.72598565,0.8639321,1.1401328,0.9100518,0.6254524,1.1466286,0.8791139,0.7578685,1.1218647,0.8447791,1.0060742,0.46216267,0.7089527,0.91048366,0.9232703,1.121615,1.2450024,1.3812388,1.2017534,1.3914244,1.1892475,1.1772735,0.97141165,1.0021766,0.5611143,1.222869,0.9540048,1.0696229,0.7476287,1.065977,1.1135411,1.0783353,1.1154234,0.99495155,1.0290807,1.4010859,1.2399849,1.0233011,0.65223056,0.968426,0.96981585,1.0752391,0.72310406,0.86871445,1.1107638,0.91472983,1.1392376,0.925374,0.6778605,0.8175599,0.69102365
dress,0.9001974,1.0989343,1.1449447,1.0476484,0.50007045,1.1206123,1.0771102,1.1796575,1.2866896,0.9660499,0.64143074,1.188095,1.0983311,0.26097667,1.0196687,0.6037262,0.9640766,1.1507453,1.3229971,1.3968354,1.0940833,1.0451471,1.2760075,1.2446696,1.0613098,1.2948915,1.2173692,1.2094502,1.025839,1.1096873,1.302641,0.6862453,1.1962107,1.1149478,0.8980535,0.9513328,1.4327149,0.96935505,1.3778696,0.95403945,1.1232903,0.8703805,0.8819907,1.2473994,0.0,1.0823901,1.2057635,0.8497694,1.2072345,0.8359494,1.0282673,1.3086112,1.2130263,0.9189439,1.1643806,1.2040789,0.87198657,1.2661437,0.82948333,0.8793042,1.1860027,0.8143535,0.99864423,0.6496012,1.0318213,1.0387857,0.8685229,0.74337447,1.1215489,0.5583609,1.0637188,1.0977318,1.3582698,0.91807276,0.9268284,0.8278668,0.87482274,0.74718237,0.9020186,0.88282835,0.9506619,1.1882176,1.1832895,0.9389075,1.0457888,1.2462807,1.0315984,0.9934217,0.3946672,0.5135867,0.86951065,1.4657267,1.4484365,1.253863,0.8003157,1.0092696,1.2331332,0.8385297,1.0747684,1.3745505,1.0859795,1.2254755,0.74857247,1.2307031,1.2401477,0.7388772,1.0643264,1.0975859,0.9438799,0.84585524,1.0250267,0.3719058,0.78321445,0.64377654,1.0836504,0.6984635,1.3184903,0.82708234,1.1856252,0.95088995,1.3580035,1.0175811,0.9795029,1.0133935,0.94284797,1.1875271,0.9575352,0.5014847,0.89841104,0.8336884,1.3103348,1.1480457,1.1725197,1.0640285,1.1160266,1.3879014,1.0017506,0.9429035,1.0245942,1.0675709,1.205244,1.2694147,1.044916
ear,1.3663414,0.333556,0.67769367,1.2344368,1.2092642,0.9592585,1.0478284,0.8965176,0.9257278,1.3606949,1.4162929,0.8028259,1.2254921,1.1058558,1.2476594,1.3875928,1.3685389,1.1852897,0.7990048,0.9647916,1.3535628,0.4551854,0.8843579,1.0053382,1.0487249,0.85139674,0.9552244,0.52500874,1.204154,1.1257652,1.0168223,1.2219312,0.9946184,1.1196632,1.336133,0.9588412,0.61531156,1.3786057,0.7524215,1.1831636,1.1640298,1.1308563,1.1433172,0.949859,1.0823901,0.0,0.9432703,1.0486276,0.5329435,0.9808167,0.2566138,0.73457277,1.0630988,0.47120124,0.9157058,1.1611851,1.2475245,0.3014866,1.14518,1.2244593,0.77766013,0.7571934,0.7028304,0.95237446,0.71461964,1.1504009,1.1441822,1.2561334,0.7998404,1.1647339,1.2045519,1.0790834,0.72888696,0.6355178,1.2216622,1.1297942,1.2459228,1.1525068,1.3374032,0.44091988,0.99511933,0.35654128,0.81988895,0.61766195,0.21589637,0.7967543,1.1421938,1.2593579,1.2032249,1.080679,1.26144,0.76481676,0.7882441,0.8596745,1.0628445,0.92670095,0.9313325,1.3037367,1.0716584,1.0168731,1.148031,0.71543866,1.153798,1.0116992,0.6187094,1.3152804,1.2056587,1.1219126,1.2650852,1.1364417,1.3314836,1.180826,1.0532104,0.8995771,0.9452552,1.2060161,1.1567452,1.3924346,0.5716634,1.2381911,0.6980038,1.0127845,1.2419803,1.1544331,1.2122875,0.82746965,1.255567,1.2800109,1.1151063,1.4665607,1.0001007,0.19809973,0.3883372,0.8515435,0.85573137,0.9815262,1.3898617,1.1733037,1.1986895,1.0860592,0.95865387,0.4955693,1.0388119
egg,1.228852,0.8249281,0.60669667,1.0612161,1.3486624,0.55652153,0.6002021,0.8991318,0.96074134,1.1717355,1.3010309,1.0177419,1.1048198,1.2394137,1.0968995,1.2965358,1.1940627,1.0173502,0.7261139,0.674696,1.1491079,0.8712195,0.80909,0.6929146,0.8873378,0.7576514,0.76821816,0.9215063,1.1174046,1.037528,0.4746467,1.2107258,1.0186769,0.7438469,1.2107219,1.1381823,0.73464316,1.22248,0.6628148,1.0803949,1.0037103,1.0592592,1.1285585,0.88017374,1.2057635,0.9432703,0.0,1.0049793,0.785431,1.1794243,0.9149787,0.6019877,0.67338866,1.1365943,1.0895336,0.91612166,1.0439012,0.9686609,0.96925735,1.1243693,0.7147868,1.2030334,0.9326906,1.247202,0.8342957,1.037086,1.2478925,1.276,0.9199241,1.3602171,1.037569,1.0034174,0.6523765,1.1456633,1.0861331,1.0685779,1.044816,1.1620746,1.1839718,1.1289572,1.017953,0.7140558,0.7809644,1.0100483,1.0669881,0.5361983,1.1563419,1.1099801,1.3106364,1.344747,1.1901141,0.7574105,0.8210741,0.7681385,1.1122458,0.95988023,0.6813199,1.1405936,0.90267533,0.7091183,1.0047835,0.7954823,1.2863238,0.79079163,0.7663142,1.3068295,1.0300063,1.0908047,1.1391729,1.2508781,1.1291623,1.3379467,1.194313,1.250169,0.87714547,1.2124836,1.0234996,1.2698524,0.8959497,1.0879639,0.72854006,0.7994138,1.1152498,0.9021625,1.0505998,0.9807197,0.91944337,1.3297706,1.1568105,1.3584499,0.63579273,0.83729523,0.9311635,0.9710345,0.8535802,0.63283366,1.1737566,1.0104048,1.1089045,0.9020134,0.99076235,0.78165287,1.0352721
elephant,1.0744469,1.0060251,1.1120423,0.96094394,0.67362416,1.0688297,1.0571897,1.1890415,1.2937775,0.9069685,0.8481051,1.1216964,1.2515938,0.9028246,1.0470188,0.93783695,0.8942701,1.1671536,1.0754819,1.1144394,1.0630982,1.0425837,0.9920722,1.1728873,1.0263227,1.1521124,0.97738856,1.1500561,1.0419608,1.2857037,1.0632024,0.89733434,1.0917126,1.078014,1.0979784,1.127141,1.1399839,1.1601255,1.0974057,1.0511595,1.1093103,1.1604158,1.0354031,1.107624,0.8497694,1.0486276,1.0049793,0.0,1.0441025,0.8851074,0.9214736,1.1638412,1.0233923,0.972272,1.0666382,1.2257377,0.92638177,1.0300999,0.96446574,0.8342525,1.229004,0.92044413,1.0973375,0.83314747,1.1340029,0.9730964,0.9366011,0.79595447,1.1343194,0.95277095,1.1190138,1.1628244,1.0646375,1.0401638,1.0674458,1.0190153,1.0399433,1.0576172,0.77578366,0.945411,1.141718,0.9723481,1.2450081,1.1010457,1.0229138,1.1476054,1.1053144,0.96599334,0.9241002,1.0125421,0.9571999,1.1284533,1.1680361,1.1561205,1.1071142,1.083023,1.1408521,1.063419,1.0522645,1.1265666,1.0495387,1.2095522,1.1719837,1.1420248,1.0800744,0.90644467,0.7794374,1.1195438,0.955231,0.9973969,0.9470401,0.7882772,1.1400187,1.0129147,1.2362493,0.79372895,1.0925971,0.88512576,1.0565983,0.7547069,1.078553,1.0214877,1.1204658,1.1392524,0.843226,1.1825223,1.0590914,0.77959085,0.849699,0.97031873,1.174789,0.99317485,1.0298425,1.0506628,1.2473447,1.2779986,0.99113417,0.7838367,0.96848756,0.88085043,1.1225172,1.084049,0.95986843
eye,1.2706649,0.61631507,0.7127007,1.1810129,1.3048602,0.89849985,0.9709047,0.8668665,0.9431692,1.2760563,1.3258779,0.7364257,1.1621554,1.2498587,1.0815487,1.3184404,1.2353493,1.1859155,0.809247,0.8557936,1.2805784,0.664781,0.8443655,0.92378694,1.0084563,0.7921505,0.93657345,0.5893727,1.1098986,1.0879055,0.8397777,1.1364429,0.98702174,1.0420322,1.2434719,1.0152061,0.6086474,1.3420621,0.72234553,1.1500652,1.0617067,1.2173544,1.1017338,0.9013096,1.2072345,0.5329435,0.785431,1.0441025,0.0,1.068789,0.6012865,0.647909,1.0093558,0.7377995,0.9499379,1.043425,1.2107935,0.44263148,1.2050431,1.1995368,0.7710106,0.89631736,0.88998955,1.2114565,0.8099991,1.0977288,1.1387384,1.2303557,0.807931,1.1802766,1.1439384,1.1636118,0.7109091,0.8949857,1.0660197,1.1189154,1.1258819,1.2413739,1.2172639,0.76115185,1.031841,0.53985804,0.8856388,0.74877137,0.5010108,0.7157868,1.1260791,1.1150401,1.2903001,1.1235126,1.2843862,0.77519476,0.7806144,0.6724696,0.9998249,0.9959678,0.87992465,1.186846,1.063934,0.8809645,1.0834795,0.6362483,1.2853087,0.92581624,0.47520262,1.3116007,1.0659454,1.0711898,1.2846994,1.0887972,1.2410876,1.2661697,1.0980649,1.0052989,0.9498986,1.1995475,0.9006954,1.3463151,0.755165,1.0785567,0.55699325,1.0892227,1.1736295,1.1253693,1.2290483,0.8469682,1.1670437,1.2984111,1.2392849,1.3666358,0.8481817,0.5454742,0.56922483,1.0963306,0.9242523,0.87037396,1.2498628,1.2246882,1.2256796,1.0849497,0.90439016,0.5939517,1.0719757
face,0.91757125,1.1458172,1.0598474,0.95181257,0.8425931,1.0272431,1.0488911,1.0685737,1.2543044,0.95302266,0.7970933,1.1991457,1.1405468,0.8299793,0.8538167,0.9131863,0.87942576,1.0594908,1.2022967,1.1951506,1.0004568,1.0767134,1.1898599,1.2414974,1.075258,1.2463562,1.107899,1.2349113,0.8876872,1.2443159,1.1503277,0.70687467,1.0923147,1.1125693,0.98610926,0.9569354,1.2713531,1.0318956,1.1863828,0.9360133,0.9210324,0.9698588,0.9807939,1.2163273,0.8359494,0.9808167,1.1794243,0.8851074,1.068789,0.0,1.043581,1.3062384,1.1360923,1.0053296,1.1458601,1.0485225,0.914858,1.0134096,1.1846733,0.9388628,1.1562428,0.33148098,1.0459024,0.8619825,0.8841503,0.9367363,0.88536537,0.7553483,1.1937311,0.86105585,1.1848344,1.1793444,1.2120208,1.1326882,0.9376423,0.9215472,0.96843094,0.9531732,0.8827176,0.8679909,0.86100066,1.0463072,1.3233938,1.1649477,0.8550622,1.1504084,1.0224932,0.8485604,0.83014417,0.8932656,0.8720457,1.2749118,1.281179,1.1700003,0.9006915,1.1465023,1.2463433,0.9312492,1.085239,1.1493554,0.9489985,1.1649816,1.0936561,1.278292,1.2632929,0.83230495,0.9644201,0.9363283,0.990807,0.87413883,0.99997336,0.59380466,0.99974906,0.9778739,1.302722,0.8502383,1.1572081,0.8389896,1.1603609,0.98435235,1.178739,1.146052,0.98588467,1.2008674,0.97978544,1.1184049,1.1492441,0.73721516,0.85257894,0.89784294,1.1721132,1.108437,1.1464084,1.1361972,1.2912257,1.1840957,0.9382966,0.93036205,0.95156825,1.0327661,1.2093576,1.2660129,1.0271972
