,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,stick,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bed,0.86261547,1.0527407,1.37976,0.8483073,1.3166649,1.3493674,0.90638036,0.926561,0.7107081,0.9501045,0.0,1.0249668,0.094842255,0.6609025,1.0783668,0.40491188,0.79829645,1.3135473,1.1292019,0.7661723,1.1324301,1.1298895,1.0811332,1.053281,1.1422896,0.5409976,1.2160082,0.84565246,0.6725374,1.3064907,0.97361493,0.9004615,0.33691263,1.3426712,1.3706565,0.40167886,1.2610337,1.0025823,1.0378566,0.95164025,0.4420045,1.0407414,0.9996978,1.3564142,0.96552753,1.2125947,0.9622639,1.360272,0.9824251,1.3141971,1.028548,0.90498054,1.2450737,1.200511,1.3123115,0.89623606,1.2375507,0.8575616,1.3364216,1.2049575,0.7453189,0.8740753,0.5307481,1.0053587,0.9117869,1.3459475,1.0003017,0.8880108,0.8659081,1.2030845,1.1198239,1.3675151,0.9698174,1.2238749,1.2224332,1.3459994,0.6509896,0.99567276,0.62401336,0.54278034,0.7594905,1.3374634,1.3339984,1.0905098,0.9883201,1.1247308,0.91797316,1.2275096,1.1424026,1.1300347,1.0560285,0.9320313,1.1005957,0.6294359,1.1494691,0.7710383,1.2578645,0.68957293,0.9704344,0.7431282,0.83093274,1.2544365,1.3835286,1.0790061,0.8648367,1.0998254,1.1713355,1.3210739,0.82018876,0.5311527,1.2639484,1.3241401,1.3470998,0.9118813,0.9618201,1.3183231,0.81424093,0.94779855,1.4146824,0.8715738
belt,1.2932984,0.68786824,1.0781677,1.1923913,0.83103406,0.5770301,1.3446224,0.69740486,1.3663678,1.267678,1.0249668,0.0,0.8595922,1.250941,1.0703528,1.1496387,1.3458039,0.5386227,0.6451387,0.99186486,0.97198087,0.7284539,0.77501845,1.1815816,0.50597095,1.1001228,0.69320536,1.2801957,0.71283793,0.9690539,1.1283553,1.0181497,0.55148786,0.6964795,0.39135975,1.1350178,0.52105385,1.3237907,1.1989081,0.83658975,1.0351954,0.88425004,1.2237314,0.80008674,1.3329351,0.8588922,0.775733,0.96538526,0.5688561,0.6795921,1.2431991,1.2374675,0.58188725,0.608786,1.1350213,1.1947643,0.91060793,1.3218396,0.596808,0.8515201,1.3411455,1.3778871,1.1617277,0.6163001,0.926555,0.67685735,1.2982137,1.2728513,0.94846576,1.0107296,1.2808826,0.65601283,0.5196365,0.8072042,0.803185,1.0125805,0.8710319,1.2762543,1.2567458,1.1475966,1.2955545,0.35630047,0.42383593,0.83229035,1.3563836,0.30168986,1.374217,0.848138,0.7459767,1.096668,1.2638657,0.884348,0.38423157,1.2755935,0.6869601,1.2806454,0.8576608,0.8684452,1.1387902,1.0371335,1.3152592,0.369339,0.6891779,0.8880274,1.3781499,0.88489634,1.0276822,0.91021377,0.98460823,1.435769,0.98118323,0.764624,0.6500133,1.2996776,0.55037826,0.9528261,1.415052,0.5818493,0.5346129,0.91903806
bench,1.0477732,0.9320042,1.2676278,0.91065013,1.2039824,1.1731112,1.0420074,0.77338535,0.8707799,1.0413096,0.094842255,0.8595922,0.0,0.89449114,1.0636911,0.58531964,1.0086669,1.1516178,0.9730392,0.8230189,1.1019299,1.0409124,0.91723305,1.108772,0.97642976,0.6163997,1.0901214,0.96219265,0.62338364,1.2085574,0.9489093,0.9226501,0.22980702,1.188848,1.1761247,0.5148033,1.0573491,1.0853311,1.0964942,0.8843363,0.51816285,0.95846933,1.0273056,1.2408897,1.0676064,1.1073303,0.9267515,1.2655954,0.8927529,1.1489075,1.123952,1.013743,1.127644,1.0578119,1.2238606,0.98388237,1.147463,0.96076155,1.2111661,1.1707263,0.87889063,1.071592,0.7094389,0.89418644,0.8302599,1.2611091,1.0174589,0.9331033,0.84675944,1.138786,1.1690636,1.2489884,0.76856756,1.1589139,1.101796,1.2190921,0.6260525,1.0508314,0.8291328,0.64868927,0.9565885,1.154191,1.1546454,1.0624815,1.1090225,0.9674681,1.0802974,1.1604917,1.0616643,1.1243832,1.0955136,0.96202195,0.94008183,0.78454995,1.0829785,0.9570833,1.2039454,0.69813883,0.94559705,0.8320602,0.969393,1.0968977,1.2552812,0.9870656,0.9919337,1.0049623,1.1429867,1.1908758,0.898967,0.7907109,1.2295448,1.1994933,1.2707694,1.0109886,0.7847579,1.2267271,1.0068923,0.91917026,1.2927033,0.8401003
bib,0.7617048,1.0607586,1.2943826,0.5986812,1.3660386,1.4957234,0.6063152,1.4109807,0.73889065,0.9544009,0.6609025,1.250941,0.89449114,0.0,1.0880408,0.29937017,0.70477396,1.4759281,1.3794744,1.0533655,1.0563455,1.154134,1.2964542,1.0205516,1.4395479,0.7446835,1.1607358,0.83389485,1.1194677,1.3794408,0.9015964,0.8833471,1.0992414,1.2442902,1.506412,0.6912735,1.497395,0.95051646,1.0779408,1.1362683,0.7586949,0.8966177,0.89546597,1.4370617,0.7228881,1.0249541,1.1543944,1.3865178,1.0794623,1.3367473,0.9915814,0.8450674,1.2945881,1.2429712,0.9631332,0.7034773,1.3615404,0.44874996,1.4134107,1.3496857,0.74905854,0.6425603,0.3556949,1.0488094,1.220053,1.4509127,0.81583273,0.8327689,0.6828331,0.9940124,0.9796926,1.2776656,1.3454866,0.9198688,1.1189196,1.2969837,1.021299,0.9836758,0.21597004,0.545127,0.58019143,1.4981065,1.4588424,1.0099529,0.866548,1.4144706,0.70920604,1.3337849,1.3142221,1.2399175,1.0444539,1.0698636,1.3628142,0.5370806,1.1075668,0.26052272,1.1423576,0.77886593,0.9746694,0.9336208,0.82767636,1.3230017,1.4415503,0.9060965,0.8028447,1.1461085,1.1099063,1.2180521,0.8016133,0.58011484,1.2591962,1.1903721,1.1662058,0.7050133,1.3255022,1.3997958,0.7669165,1.1545899,1.390768,1.052361
bird,0.86529946,1.2446694,0.987586,1.1463128,1.0948945,1.0487067,1.0940275,0.95765865,1.0281768,0.8911518,1.0783668,1.0703528,1.0636911,1.0880408,0.0,1.0706769,0.95353836,1.0516846,0.9705371,0.96739006,1.0938846,1.0860829,0.97301966,0.69196516,1.0329053,0.9247608,1.1493232,0.8185681,1.0584046,0.9762168,1.0416305,0.9134471,1.046456,1.1211288,1.1012154,0.97025156,1.0418004,0.8374927,0.8998655,0.98180383,1.0221806,1.0329683,1.0595436,1.0024453,0.949842,1.1874425,0.97673726,0.9898739,1.1248299,1.024434,0.84920204,0.7710211,1.1214502,1.0401278,1.0912609,1.0456799,0.9169697,1.1732675,1.0405612,0.8523936,1.1271541,0.95196605,1.1802299,1.0418956,0.9418562,1.0144079,1.0550985,0.9170393,1.2117358,1.1124264,0.9095305,1.1734756,1.0918603,1.0951612,1.2073731,1.0159267,1.0585786,0.7585696,1.1648362,1.1341403,1.0118548,1.0675279,1.1136334,0.92671406,0.922441,1.0607748,0.9180396,0.9567747,1.012502,0.7932446,0.9774794,0.99811244,1.0498875,1.0040324,1.0099998,1.077874,1.0598788,1.1087716,1.0528244,0.9678719,1.0625404,1.1420175,1.0602282,1.1497731,0.9909742,1.0842061,1.0689493,1.096429,0.9905231,1.0123769,0.93648565,1.2050416,1.1586814,1.1227287,1.0830783,0.9012882,1.0260504,1.1344005,1.108714,1.0186775
blanket,0.7495148,1.1131123,1.3755183,0.67763925,1.3420948,1.4971505,0.6732491,1.1781727,0.7391564,0.9035645,0.40491188,1.1496387,0.58531964,0.29937017,1.0706769,0.0,0.7779213,1.4260105,1.287252,1.0270755,1.1392167,1.0876151,1.1804414,1.072707,1.2951317,0.69417703,1.3104776,0.6742785,0.90463895,1.3454437,0.994289,0.8882452,0.80930233,1.3410169,1.5144112,0.5369178,1.4178302,0.8837789,1.0789465,1.041745,0.6266506,0.8106196,1.0692459,1.4147398,0.89994633,1.264033,1.0900915,1.3113308,1.1480564,1.2534739,0.9800651,0.85798913,1.3487427,1.156055,1.185935,0.8598687,1.3791397,0.6113046,1.4226804,1.2283854,0.7713343,0.74825007,0.38744485,0.95567536,1.0445486,1.4141169,0.81024295,0.83263385,0.68624616,1.1626467,1.100394,1.4235687,1.0914407,0.9271924,1.253226,1.3832929,0.76114404,0.90600127,0.32863313,0.50461507,0.7022143,1.476141,1.4718441,1.1003368,0.8721446,1.2946789,0.7452544,1.2127461,1.2540326,1.1750093,1.0770106,1.0441892,1.2838846,0.5234526,1.1507978,0.42811596,1.1943363,0.699735,0.9468755,0.9191034,0.85898805,1.3852499,1.4281441,0.947476,0.8493849,1.1017482,1.0852572,1.3302989,0.67253107,0.552956,1.3413169,1.3841811,1.3426293,0.7316961,1.0957565,1.3537741,0.81377435,1.0978492,1.4849732,0.92602664
book,0.40710878,1.3757141,1.0750049,1.0567088,1.1805103,1.3858215,0.7000601,1.1741937,0.7297634,0.77464634,0.79829645,1.3458039,1.0086669,0.70477396,0.95353836,0.7779213,0.0,1.2942605,1.1681819,0.5249111,0.9233794,1.2439238,1.0775089,0.951495,1.2617298,0.9052022,1.4017129,0.6538473,1.1463178,1.1130302,1.1028106,1.0028847,1.0898693,1.3953216,1.3765942,0.9326585,1.2741156,0.5822964,0.8584812,1.1459721,0.9281162,1.1509429,1.0566604,1.245218,0.8657375,1.2476647,1.1657493,1.0708427,1.2659699,1.2446394,0.575156,0.67922395,1.3531195,1.2993127,1.1531653,1.040597,1.2456899,0.84436506,1.413502,1.1931139,0.920329,0.34943628,0.8384298,1.2137542,1.0720236,1.2061568,0.9343048,0.884335,1.2103838,1.1761885,0.83247447,1.3767117,1.3714614,1.1144928,1.3783941,1.1992908,0.9765831,0.8552253,0.8101025,1.0135113,0.23589712,1.2791057,1.2971013,1.1115766,0.6505207,1.3473581,0.45767742,1.0742506,0.978178,0.8887875,0.75224274,1.015592,1.3132116,0.8937088,1.093816,0.76046515,1.1771159,1.1774448,1.1015576,0.86478907,0.8211403,1.4725033,1.1904156,1.2151258,0.78300965,1.2631071,0.97587216,1.1669865,0.98098564,0.5310595,1.1451623,1.4299574,1.2738987,0.79494107,1.322423,1.1056086,0.66911757,1.208992,1.4395704,1.0622576
bottle,1.3184922,0.9678809,0.875935,1.3647281,0.5265983,0.39781332,1.3992286,0.6149097,1.3026552,1.224908,1.3135473,0.5386227,1.1516178,1.4759281,1.0516846,1.4260105,1.2942605,0.0,0.54213035,0.98089665,0.882694,0.9016912,0.5269052,1.1772962,0.42256618,1.333596,0.69549876,1.3311578,0.94573605,0.6848867,1.1812769,1.1624707,0.93269396,0.74824333,0.2515052,1.2564126,0.13124382,1.30041,1.1506016,0.8967503,1.254827,1.0368872,1.1520724,0.51544666,1.2498932,1.0016901,0.8811673,0.7415499,0.88081604,0.7295371,1.1184754,1.2724664,0.73484397,0.7990887,1.0282784,1.2540224,0.8092911,1.4596249,0.6201378,0.80810976,1.3169687,1.3264155,1.4185426,0.900046,0.8916026,0.45829308,1.0914094,1.144985,1.219382,1.0615743,1.1211755,0.48119062,0.487383,1.0010713,0.9174695,0.90143186,0.9994066,1.2591076,1.4421458,1.3419492,1.2918494,0.38206226,0.36345005,1.0178989,1.3286011,0.3879367,1.3036939,0.7068074,0.6478133,0.9610119,1.145757,0.97323465,0.64572537,1.2967417,0.8152417,1.3665259,0.82458186,1.15141,1.1401997,1.101146,1.2302291,0.48476171,0.27240002,1.0549221,1.2541788,0.85142386,1.0112355,0.81669354,1.1780882,1.4312074,0.950099,0.81985354,0.55350274,1.2764629,0.50391746,0.75176466,1.2898508,0.5647769,0.4739914,0.97697604
bowl,1.3341914,1.0763159,0.7634447,1.3472657,0.5089218,0.559366,1.2674799,0.48123282,0.9384897,1.307786,1.1292019,0.6451387,0.9730392,1.3794744,0.9705371,1.287252,1.1681819,0.54213035,0.0,0.74414456,0.78286976,1.026093,0.47580504,1.1329304,0.4571917,1.0785689,0.94318503,1.2990987,0.8396603,0.5177078,1.1889092,1.1281528,0.8504299,0.8545326,0.6277747,1.1480252,0.420447,1.3182673,1.1930523,0.8948585,1.0622315,1.1488173,1.24126,0.5539102,1.2812009,1.13518,1.0665666,0.6558052,1.00926,0.83889234,1.1477697,0.9173418,0.95156044,0.7829428,0.9460761,1.3057777,0.86829793,1.3939555,0.8453599,0.91965187,1.2578965,1.3255492,1.3868729,0.94623226,0.859102,0.6053128,0.9993162,1.004111,1.2492167,1.1749048,1.1288604,0.78103375,0.70831597,0.9471584,1.1224465,0.8173105,0.9047885,1.2787646,1.3947787,1.3564566,1.1360729,0.6105431,0.63503796,0.9211202,1.3581218,0.5616835,1.2218024,0.7855652,0.4156394,1.1073284,1.1215415,0.94338614,0.751791,1.2254269,0.79802096,1.3584499,0.8759734,1.2304454,1.0129317,0.6690473,1.0123987,0.7024597,0.51565295,0.9593489,1.0141512,1.0820171,1.1145246,0.7778906,1.2033786,1.1397594,0.9090091,1.0729673,0.83778197,1.1149769,0.7548139,0.77334726,0.93489754,0.81948286,0.78594047,0.98465985
box,0.88053507,1.2110889,1.0747057,1.1508745,1.0684829,1.1385518,0.99327284,0.7334575,0.5472221,1.0868919,0.7661723,0.99186486,0.8230189,1.0533655,0.96739006,1.0270755,0.5249111,0.98089665,0.74414456,0.0,0.9734055,1.1534439,0.77747965,1.0488794,0.7401683,0.84270525,1.347883,1.0105958,0.7642045,0.9625246,1.0650856,0.95960784,0.78051406,1.2400693,1.0694828,0.7869864,0.8648275,1.0570378,0.9327993,0.74616444,0.64980817,1.2775054,1.1885369,1.1123023,1.1037444,1.2350779,1.1988776,0.99306846,1.0919645,1.1216518,0.9023122,0.84939885,1.2993301,1.2206647,1.296782,1.1906444,1.0366039,1.1464267,1.2587333,1.1319903,0.9361596,0.8384926,1.0498947,1.0693767,0.61761594,0.87945867,1.0525045,0.92204267,1.3137803,1.2079242,1.0115489,1.2796211,1.0843695,1.1106911,1.3448019,1.1648417,0.73497516,1.1568329,1.0640535,1.1859897,0.55034906,0.9482025,0.9923963,1.1005154,1.0693115,0.9573951,0.8629517,0.9518257,0.7285949,1.0662305,0.85408914,0.9148617,1.0432229,0.86027443,0.9742014,1.0561633,1.1549127,1.2355958,1.0900948,0.55939627,0.8357435,1.2408327,0.9915171,1.1974968,0.72052646,1.2179139,1.1035305,1.1485765,1.135116,0.5751702,1.0595661,1.3946924,1.1675953,0.99532956,1.0589238,1.0026888,0.5893421,0.8894675,1.2373887,0.73773146
bread,1.0316875,0.9712545,0.774917,1.1057054,0.8497318,0.8275208,1.0652976,1.0702804,1.0406498,1.1240853,1.1324301,0.97198087,1.1019299,1.0563455,1.0938846,1.1392167,0.9233794,0.882694,0.78286976,0.9734055,0.0,1.0090452,1.0515783,1.0914527,1.0602617,1.0109615,0.68229616,1.1477503,1.1500053,0.9047824,0.9312683,1.0745189,1.16905,0.6299112,0.68723726,1.1853024,0.9240975,1.1488671,1.1397227,1.178496,1.164289,0.9360738,0.9770823,0.86244833,1.0984415,0.8646639,0.8778169,0.96352863,0.76705873,1.0368694,0.9558907,1.0047843,0.82701415,1.0651721,0.7711315,1.1044871,0.7552663,1.0417084,0.91574574,1.0528191,1.1207458,1.0552645,1.1328807,1.0669333,1.1301634,0.9586381,0.9980355,1.1625147,1.0365936,1.069018,0.96928513,0.56525695,1.1425841,0.9731607,0.8799209,0.614168,1.2660156,1.1348857,1.1385177,1.1812336,0.8882215,0.86600626,0.73783267,1.0984106,1.1090553,0.9360008,0.99932724,1.0703144,0.78863585,1.07339,1.0032375,1.2270746,0.90853477,1.1693715,0.94113314,1.0748273,1.1203713,1.2025188,1.0268732,0.995181,0.9972164,0.6488277,0.6684821,1.0203555,1.0388466,1.1238878,1.0027107,0.8548564,1.1296592,1.0957221,0.9416263,0.8320457,0.7065684,1.1105556,1.181469,0.960848,1.0299902,0.961937,0.8273465,1.1162074
broom,1.1853178,0.75302863,1.0024086,0.9362734,1.064806,0.97737545,0.9514927,0.94200534,1.2039181,1.1768053,1.1298895,0.7284539,1.0409124,1.154134,1.0860829,1.0876151,1.2439238,0.9016912,1.026093,1.1534439,1.0090452,0.0,0.9747139,1.1566038,0.90710807,1.2604682,0.6671215,1.156171,0.9099697,1.0918698,0.9429573,0.9739495,0.95079035,0.7609116,0.7781923,1.0883416,0.8984909,1.1382902,1.0063789,1.0288212,1.1140864,0.7299442,1.1591744,1.0175135,1.2737142,0.7014823,0.8142436,1.0081881,0.6663009,0.7140533,1.1804373,1.212632,0.8024111,0.72503597,0.9513127,1.1735744,0.9016998,1.0100002,0.8855723,0.9046091,1.3145343,1.25851,1.0965705,0.5842328,0.9855917,1.068794,1.1014923,1.1877507,0.8424165,0.9049468,1.018556,0.90494573,0.79676735,0.8822157,0.87348914,0.96915287,1.0034385,1.1435559,1.1131114,1.0299151,1.1673963,0.86503786,0.8534771,0.9834052,1.176576,0.83825123,1.2519915,1.080518,1.0499717,0.99688494,1.0786515,1.049951,0.7301334,1.1836532,0.79039806,1.1824994,0.86466277,0.7798441,0.7021246,1.1684514,1.2232655,0.7428976,1.0330285,0.901721,1.111317,0.5725644,0.7350029,0.83847505,0.9340734,1.2778945,1.0314426,0.6789099,0.8011576,0.99737686,0.8400616,0.9965708,1.2011418,0.99064696,0.8158105,1.1235416
bucket,1.2118218,1.142638,0.75781405,1.2844996,0.7426623,0.8320162,1.1287347,0.569841,1.1012751,1.2353693,1.0811332,0.77501845,0.91723305,1.2964542,0.97301966,1.1804414,1.0775089,0.5269052,0.47580504,0.77747965,1.0515783,0.9747139,0.0,1.0711558,0.4844374,1.2045556,1.012023,1.2293214,0.8437441,0.62108284,1.1539835,1.1606756,0.817581,0.99265176,0.80181694,1.1316452,0.2202633,1.1946051,1.0944616,0.8252927,1.104018,1.0307734,1.1886529,0.7300631,1.24046,1.0150881,1.1306193,0.6522321,1.0729523,0.8763787,1.002856,1.0980091,1.1160457,0.7727827,0.83631206,1.3390704,1.0245131,1.2451355,1.0678713,0.963019,1.2236891,1.2102826,1.3171933,0.91321087,0.79319197,0.7610378,0.8102352,0.96945,1.1462486,1.0550127,1.0651585,0.9979342,0.636824,0.98904324,1.1415588,0.88062793,0.8136175,1.2027204,1.3066051,1.3233447,1.0777161,0.7406366,0.79951286,0.93584114,1.2410381,0.73987025,1.1356626,0.81440955,0.6258702,0.92649364,1.0223855,0.8415656,0.89320576,1.2282724,0.8033823,1.2790171,0.87685627,1.1755445,0.9990903,0.953109,1.0316726,0.97068703,0.7240659,0.8653251,1.1105069,0.98309255,0.97125584,0.75532037,1.3059057,1.2201755,1.0741608,1.0728683,1.0396703,1.0576509,0.6541597,0.73588824,1.1123894,0.99632466,0.94371223,0.97285175
butterfly,0.7965349,1.2366666,0.9021854,1.1747785,1.1435181,1.0490975,0.95612735,1.1359591,1.058813,0.86652744,1.053281,1.1815816,1.108772,1.0205516,0.69196516,1.072707,0.951495,1.1772962,1.1329304,1.0488794,1.0914527,1.1566038,1.0711558,0.0,1.1795628,1.0086025,1.2049756,0.88960445,1.1012542,1.0241481,1.1048355,0.95471144,1.1043451,1.1977146,1.1650094,1.0726534,1.1549836,0.8750411,0.7096022,1.0453976,1.0479707,1.053354,0.9063053,1.0280029,0.92214566,1.1636953,0.9437261,0.9790541,1.1449249,1.0565943,0.68761456,0.7797185,1.1026514,0.9728232,0.9813734,1.0212826,0.85493064,1.0866135,0.90570235,0.8445897,0.9417932,0.98260313,1.1163865,1.2134857,1.0847038,0.92824554,0.9684419,1.0070552,1.1640081,1.1531982,0.8617837,1.1929951,1.1800916,1.0935977,1.2021967,0.9479047,1.1117189,0.80580103,1.0971111,1.1009228,1.0190595,1.0824819,1.0909921,0.85446507,0.8563834,1.1428535,0.97705233,0.97553456,1.0309724,0.76721597,0.884233,0.88178277,1.2009127,1.0316528,0.92932385,1.1013516,1.1230164,1.1648858,1.0312735,0.96045583,1.0242504,1.2015988,1.10629,1.1324615,1.0107455,1.1274943,1.0155895,0.9687413,1.0062776,0.96822673,0.7932014,1.2041249,1.2316556,0.9739204,1.1675606,0.74296665,0.965726,1.0774918,1.1565294,1.0704893
can,1.4023983,0.84624285,0.93778497,1.2108985,0.67709875,0.61517584,1.4573298,0.5074808,1.296613,1.2289429,1.1422896,0.50597095,0.97642976,1.4395479,1.0329053,1.2951317,1.2617298,0.42256618,0.4571917,0.7401683,1.0602617,0.90710807,0.4844374,1.1795628,0.0,1.1335597,1.0281171,1.1943227,0.49158394,0.6534528,1.0193678,1.1865767,0.69601315,0.88622016,0.6372799,0.93891186,0.27861226,1.2558551,1.1493781,0.51876116,1.0285345,1.1272645,1.2905285,0.65286064,1.2903212,0.9870424,0.95825845,0.64755714,0.88000196,0.77342045,1.2781408,1.196674,0.91578305,0.6396928,1.2583253,1.2955854,0.88460135,1.4001873,0.7813721,0.7515914,1.2162483,1.3450441,1.355619,0.98580277,0.6064209,0.45052862,1.1462508,1.0641776,1.2028521,1.1398609,1.1532335,0.83383906,0.46600956,1.0267926,1.0060937,0.95064753,0.64310706,1.221862,1.4028764,1.2005901,1.1697738,0.5480006,0.65322316,0.98020744,1.3536267,0.3857916,1.281362,0.5660893,0.708959,1.0020878,1.0891477,0.9044233,0.627798,1.072113,0.9690549,1.3609388,0.77269304,1.0051951,1.236395,0.95501304,1.2537572,0.6485977,0.60703903,0.873205,1.3476596,1.0923134,1.0971472,0.91920465,1.1492338,1.2359843,0.99795717,0.88934946,0.9411901,1.4094427,0.48676628,0.91259617,1.330114,0.6046526,0.687996,0.68352073
car,0.992204,0.9642669,1.3387078,0.68275625,1.3371667,1.3068187,0.9100613,1.1425714,0.7170101,0.95734924,0.5409976,1.1001228,0.6163997,0.7446835,0.9247608,0.69417703,0.9052022,1.333596,1.0785689,0.84270525,1.0109615,1.2604682,1.2045556,1.0086025,1.1335597,0.0,1.159419,0.87654495,0.7973944,1.2007757,0.7000959,1.0275093,0.81866074,1.1337023,1.2638305,0.55268514,1.3174601,1.0847824,1.2082267,0.9623665,0.52196383,1.0166798,0.9049075,1.3261316,0.8507031,1.0439463,0.9915003,1.2994539,0.9881468,1.0943184,1.12405,0.55667305,1.1198,1.2455487,1.2298853,0.7895776,1.1319507,0.7698886,1.2814867,1.2455266,0.7102808,0.95316046,0.66843045,1.037469,1.0018265,1.2214273,0.9001859,0.84330416,1.0644459,1.1511256,0.9728093,1.2090728,1.2295891,1.1894045,1.0749308,1.2332698,0.8617848,0.92187357,0.7667741,0.6396777,0.817555,1.2202492,1.1861205,1.1341758,1.023615,1.1950572,0.90527356,1.1405421,1.0936179,1.2278975,1.1672465,1.0902328,1.0798044,0.6064369,1.0156304,0.82589567,1.293953,0.87800497,1.1198623,0.6850035,0.8566763,1.1365452,1.3748922,1.0965815,0.89877045,1.2626526,1.151899,1.3868544,0.752799,0.55059826,1.1351923,1.1876377,1.2136054,0.8478738,1.2650503,1.371768,0.8425906,0.9659927,1.267768,0.8106866
carrot,1.301255,0.6811591,0.81484693,0.949231,0.8621677,0.60809577,1.0761765,0.993671,1.3152573,1.2792664,1.2160082,0.69320536,1.0901214,1.1607358,1.1493232,1.3104776,1.4017129,0.69549876,0.94318503,1.347883,0.68229616,0.6671215,1.012023,1.2049756,1.0281171,1.159419,0.0,1.4159164,1.1053092,1.0951,0.9138142,0.96857613,0.97299796,0.50182784,0.48179245,1.3020456,0.79413193,1.3242214,1.1124008,1.1837828,1.2148547,0.76530576,0.87620515,0.77735305,1.236722,0.575362,0.77248186,1.1600349,0.54333115,0.7747276,1.1793624,1.197656,0.50132275,0.9225722,0.6350029,1.0231341,0.71406984,1.0846997,0.6859273,1.0245098,1.2666941,1.3433967,1.1448491,0.69867617,1.2073281,1.0592378,1.1267276,1.2141744,0.7931885,0.75891143,1.0308838,0.4587167,0.8591212,0.9377533,0.61282444,0.5875398,1.3101017,1.2778713,1.2032341,1.0322751,1.3982382,0.7652244,0.6591183,0.9604707,1.2712946,0.7656275,1.310238,1.1271377,0.9971312,1.0460446,1.1358372,1.0925218,0.57786536,1.3300225,0.7483554,1.2141383,0.9358328,0.83813727,0.79691875,1.2064805,1.2081952,0.44913644,0.7750514,0.97012675,1.1648597,0.5859303,0.9782817,0.75121534,1.098989,1.4439933,0.89724207,0.4514869,0.53506845,1.1115344,0.91170543,0.8945745,1.2918146,0.9902551,0.5585519,1.2687347
cat,0.46402758,1.1612023,1.2157589,0.9310012,1.2052406,1.3085275,0.9712476,1.2788653,0.8805665,0.2903484,0.84565246,1.2801957,0.96219265,0.83389485,0.8185681,0.6742785,0.6538473,1.3311578,1.2990987,1.0105958,1.1477503,1.156171,1.2293214,0.88960445,1.1943227,0.87654495,1.4159164,0.0,1.0477316,1.1619124,1.1092347,1.0876719,1.0931058,1.2985226,1.3744996,0.87888235,1.3339643,0.1739248,0.98203814,1.1035354,0.94533783,1.089634,1.101685,1.2388338,0.8140905,1.2826563,0.96523005,1.0733867,1.2696129,1.3196625,0.7024975,0.89692116,1.2931428,1.1048161,1.3044636,1.0180277,1.2551072,0.89990175,1.2678535,0.9881918,0.95165944,0.4687109,0.8785738,1.233976,1.0850354,1.1851203,0.9646516,0.9823048,1.0994551,1.1726477,1.0967846,1.3396051,1.2624269,1.1537817,1.2231042,1.2597269,1.0278583,0.25395894,0.85632527,0.8965936,0.8425364,1.2900585,1.3439789,1.121768,0.23794973,1.2775458,0.53348875,1.0432277,1.198274,0.83568597,0.9727202,1.080165,1.2663034,0.88748014,1.3223149,0.8440153,1.1661645,1.0338582,1.0874819,1.0610942,0.9408115,1.3320445,1.2439176,1.167167,0.92693216,1.2403013,0.9767358,1.2641599,0.8083129,0.7684325,1.2127066,1.32551,1.3192172,1.0261545,1.2295799,1.2117108,0.9161692,1.1428376,1.3450987,0.9646296
chair,1.2726463,0.8836385,1.2325505,0.93369496,1.1183636,1.0644159,1.2057918,0.6863684,1.1558467,1.2406253,0.6725374,0.71283793,0.62338364,1.1194677,1.0584046,0.90463895,1.1463178,0.94573605,0.8396603,0.7642045,1.1500053,0.9099697,0.8437441,1.1012542,0.49158394,0.7973944,1.1053092,1.0477316,0.0,1.035667,0.80382276,1.0759712,0.45411825,1.042709,1.0334805,0.4927163,0.82343316,1.1582482,1.075084,0.49786842,0.596408,1.0822324,1.1845946,1.1224195,1.2531865,1.0001581,0.89538294,0.9814102,0.8084659,0.95677745,1.2498751,1.0811236,1.0297701,0.78430605,1.2852423,1.1656654,0.99346757,1.0939169,1.0587878,0.7831051,0.8794544,1.3067745,1.0055836,0.8447474,0.41927046,0.7738766,1.1111524,0.99198323,1.0616648,1.1933094,1.2059904,1.1596792,0.71526754,1.0517578,1.1003251,1.1930763,0.44088948,1.153587,1.0865595,0.7596735,1.0229615,0.9304115,1.018916,1.0426819,1.2909334,0.79407954,1.2477548,0.7503648,1.0602818,1.0107733,1.190735,0.83457667,0.7762567,0.80158615,0.99811536,1.14531,0.9452602,0.72847986,0.97709507,0.8317615,1.1766722,0.8918373,1.0875459,0.9142741,1.1686536,1.0544658,1.0530059,1.1671933,1.0065333,0.76172566,1.0978522,0.9939507,1.2141556,1.2237755,0.73088694,1.121905,1.1623986,0.6275132,0.96631277,0.71711093
