,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
couch,0.7294833,0.8577253,1.5528944,1.2639958,0.46327502,1.245534,1.2127491,1.2555146,1.1740621,0.5919043,0.08976841,1.4294325,0.7584039,0.82378685,0.987662,0.2644406,0.8489827,1.0075166,1.5108683,1.4146032,0.87874514,1.4358613,1.258584,1.2333267,1.2061913,1.0360284,1.2043012,0.57537377,0.78582937,1.0430704,1.3804404,0.596907,1.373522,0.8604946,0.9626319,0.0,1.3473785,1.4333701,0.57253534,1.4949014,0.54777926,0.9477271,0.5494693,0.826707,0.5153878,1.3737092,1.4797215,0.906103,0.911675,0.6274426,1.2564306,0.80987704,1.3133616,1.0233451,1.2659894,1.4816375,1.181663,0.6427674,1.3392301,0.7445994,0.7563894,1.3153787,0.5575484,0.8226487,1.2661763,1.1939712,0.47879755,1.2399071,0.33002073,1.5241024,0.54791456,1.5096833,1.2144581,0.8581952,1.0560851,0.53577405,1.1591843,0.62024605,0.93502843,1.0766332,1.4988122,1.3423597,1.3462665,0.91769826,1.2625794,0.6103833,1.2426697,0.40461004,0.43331826,0.79681695,1.4830132,1.5088989,1.1904385,0.7554749,0.67828053,1.2713737,1.3530562,1.2747006,1.2307531,1.0683781,1.0236458,0.8335524,1.1653836,0.40587747,1.3540306,1.293183,1.2247229,1.1376071,0.3899231,1.0645782,0.57337075,1.5315784,1.035651,0.704189,0.72478086,1.4146931,0.711118,1.0440216,1.3315754,1.5273534,1.2697735,1.4921117,0.5890979,0.48497272,0.5873902,1.3078473,1.299324,1.3245696,1.0146443,1.1528354,1.2665762,0.62565017,0.6974798,1.2310649,1.4252857,0.67418087
cracker,0.9641483,1.1658487,0.6562628,0.60412735,1.2002978,0.93435043,1.1621253,0.51065755,1.2728866,1.3024617,1.3615626,0.8438848,1.1367539,1.1279103,1.0181971,1.2622722,1.1216902,1.0380756,0.91193616,1.0362413,1.3290257,0.65095824,0.97424084,1.257527,1.1657058,1.1411998,0.64662635,1.2606041,1.3307974,0.63320065,0.9203468,1.3187852,1.1222212,1.0186741,1.1008976,1.3473785,0.0,0.69982207,1.3153415,1.0001297,1.2036402,1.1301169,1.374628,1.0917187,1.2955489,0.81983614,0.58610487,1.1713381,0.7625923,1.1142242,0.5610103,1.0499082,0.66969115,0.98550016,0.71518886,0.89070225,0.7455154,1.232672,0.7697319,0.9889371,1.157856,0.4779688,1.1768904,0.92421997,0.8920823,0.98624504,1.1906259,1.1543168,1.1745135,0.81858027,1.2938113,0.90613556,0.831985,0.9652078,0.8560358,1.0975082,0.96785146,1.379246,0.7972681,0.94965017,0.6990477,0.9079672,0.7684651,0.8637029,0.83338594,1.3290808,0.99325055,1.2610476,1.145973,1.0329632,0.73972434,0.5812305,0.7012382,1.0385149,1.1317617,0.8148453,0.8684085,0.9182451,1.0003732,0.71405935,0.98114383,1.2900797,1.1976773,1.3848168,0.7604862,0.9954018,1.04709,0.9480664,1.2264295,1.0801768,1.0997394,0.8360614,1.2354608,1.2014706,1.1507335,0.73115027,1.1336629,0.8878583,0.91633713,0.77617025,0.7816804,0.5840137,1.2588257,1.1313968,1.2251151,0.9047961,0.7062341,0.69043887,0.72102475,1.0407138,0.8831584,1.1530114,1.2502346,1.1046258,0.73154855,1.3052223
crayon,1.3340039,1.1864682,0.29551703,0.84661585,1.4024584,0.7948781,0.94895107,0.72827923,1.1121839,1.3409264,1.4621944,0.2867744,1.1724379,1.3103013,1.0658562,1.4570651,1.2116752,1.0120387,0.38138568,0.81273735,1.289216,0.5898161,0.860489,1.062393,0.87433434,0.8266846,0.9794025,1.2231972,1.1453469,1.0862383,0.67991805,1.2875814,0.88023317,1.230221,1.2326785,1.4333701,0.69982207,0.0,1.3416352,0.63461405,1.3330679,1.1769127,1.3474307,1.3222096,1.3416445,0.47674847,0.5213829,1.0716139,0.96016455,1.2598169,0.7532086,1.1478862,0.5481549,0.92248887,0.40741318,0.57978225,1.003691,1.4107533,0.5568276,1.3182999,1.1338559,0.5461961,1.2716668,1.2833965,0.5216044,1.019042,1.2953353,0.9346654,1.4331541,0.41935098,1.3452916,0.4194882,0.44444633,1.2795215,1.092936,1.4790522,0.9960933,1.3151796,1.0974658,1.0967916,0.18607962,0.7312802,0.62027806,1.1189151,0.85258114,1.3284333,0.9310542,1.4095657,1.3471712,1.2674874,0.20157385,0.27060246,0.8754537,1.2884895,1.1160215,0.8485183,0.6250599,0.883899,1.0150874,0.7876482,1.2485936,1.1996312,1.0147167,1.3912892,0.9363663,1.0730587,0.88053566,1.0663985,1.3768647,1.1635315,1.3244367,0.5989607,1.1221515,1.3626548,1.2903904,0.4602924,1.232517,0.9528763,1.0245835,0.4504559,0.7887296,0.2500208,1.3702513,1.3376108,1.321335,0.8980241,0.6728738,0.326061,0.96747154,0.9304829,0.90385616,1.4349331,1.1187404,0.735061,0.23197585,1.1429636
crib,0.7530378,1.0639443,1.472769,1.2743692,0.7976955,1.2918563,1.1441808,1.156565,0.66263247,0.62837774,0.42521054,1.3577665,0.55868745,0.8405043,1.1173239,0.6500878,0.79262465,0.93016595,1.256818,1.133107,0.68227404,1.1949565,1.1216902,0.98206043,1.0803865,0.9233663,1.1992108,0.7479286,0.7689379,1.0656393,1.3031055,0.51686686,1.1215651,0.8137036,1.124056,0.57253534,1.3153415,1.3416352,0.0,1.1397903,0.5887788,0.9964231,0.56966376,0.8549815,0.688317,1.3606017,1.4594846,0.96599454,1.0997406,0.8962644,1.3941956,0.80538833,1.2111118,0.94840145,1.3412256,1.2366552,1.1179659,0.76163656,1.3859266,0.9517021,0.8926292,1.3610132,0.9018121,1.0574093,1.434531,1.191104,0.7855143,1.0468326,0.7307987,1.3224871,0.3238731,1.3145792,1.264228,0.8132624,0.94624215,0.7686402,1.0033959,0.7227739,1.1565232,0.9746501,1.4170249,1.2421318,1.4633349,1.1319275,1.1747096,0.6908984,1.0329838,0.71312773,0.82491183,0.8891736,1.3992618,1.4634458,1.1587675,0.79442245,1.0312681,1.0501677,1.0889323,1.0987054,1.1408896,1.2269918,0.9494331,0.86881065,1.0857846,0.5049292,1.1806799,1.1476933,1.1478871,1.0281955,0.76817346,1.0877751,0.9027094,1.3069639,0.75326514,0.8294951,0.6321697,1.4720299,0.78852224,1.2671067,1.1059813,1.3293641,1.2654107,1.347997,0.7146465,0.8427661,0.63142186,1.1183627,1.4304218,1.3757638,1.1005839,1.063777,1.1169907,0.7333234,0.7285818,1.0144864,1.4398025,0.5582768
cup,1.3037639,1.1105771,0.582249,0.9393109,1.3608633,0.8116913,0.704354,0.77197665,0.4243986,1.4000077,1.4996817,0.63834786,1.192014,1.2146642,1.1558126,1.5700762,1.2007506,0.80266225,0.20656526,0.26225007,0.70392203,0.5305518,0.8514966,0.3660388,0.6322639,0.7597972,1.1003879,1.4068954,1.0142262,1.1394898,0.7044436,1.3324611,0.387833,1.3635187,1.1401764,1.4949014,1.0001297,0.63461405,1.1397903,0.0,1.2865524,0.88981044,1.3392875,1.2574375,1.2563804,0.8579472,0.7145335,1.200999,1.2716327,1.3477721,1.095843,1.2071761,1.0111991,0.8395997,0.9285396,0.5416006,1.0686302,1.163176,0.88456535,1.1596935,1.3535464,0.92596906,1.4295008,1.2798282,0.8830337,0.93574345,1.4631126,0.395378,1.5755756,0.5412525,1.1727341,0.50866127,0.9434424,1.1996264,0.80777776,1.3752776,0.9549978,1.205286,1.3348262,0.87632775,0.70277756,0.5611673,0.9146777,1.2231715,0.9082747,1.290177,0.82764596,1.4503565,1.4474611,1.1777997,0.7416108,0.7389412,0.84740674,1.2596943,1.1111778,0.6382557,0.5518832,0.67496836,0.8998687,1.1363132,1.0149435,0.8419057,0.78287005,1.3449192,0.9015399,0.7084909,0.7732023,0.9734859,1.4794086,0.99458885,1.3778627,0.5157124,1.0461406,1.290162,1.319357,0.8085607,1.2951777,1.0565693,0.6696969,0.5320587,0.9768352,0.7267429,1.2519993,1.4503467,1.079539,0.5395484,0.9988624,0.9615929,1.1758049,0.7317132,0.6737908,1.2581424,1.1776896,0.70648474,0.7905761,1.1777655
dog,0.66368234,0.9586757,1.4171891,1.2102764,0.72973084,1.1400337,1.1265643,1.1564275,1.0254813,0.8355136,0.49666774,1.3989131,0.90347457,0.73822117,0.92250985,0.6357933,0.9517987,0.9454333,1.3544092,1.240003,0.88628674,1.1412268,1.2216372,1.1337724,1.3061926,1.0542536,1.2141111,0.35049683,1.1246302,1.0825803,1.2844238,0.71113646,1.2498039,1.0098453,1.0398147,0.54777926,1.2036402,1.3330679,0.5887788,1.2865524,0.0,0.69492406,0.80044633,0.9805028,0.69413346,1.3923421,1.3034774,0.9060148,1.1107599,0.7403413,1.3391738,0.8502331,1.1253061,0.86805844,1.2159107,1.2948778,0.8787583,0.7651819,1.283881,0.6799886,0.89237195,1.2713131,0.69150543,0.95157874,1.2925239,1.0051411,0.8144114,1.102876,0.7354467,1.3898079,0.7733019,1.3755223,1.1555047,0.72392285,1.001943,0.6457047,1.1621263,0.74918836,0.98330307,0.8488887,1.3966029,1.1758242,1.3924308,0.9644728,1.2194482,0.8830013,0.99634147,0.7340051,0.85275596,0.84350103,1.426861,1.421962,1.1475078,0.3702352,0.95953476,1.0149966,1.1218615,1.1640625,0.9237312,1.094315,0.9719856,0.9556033,1.1303195,0.68713623,0.9119104,1.1654407,1.1287786,1.1692266,0.73031425,0.94248676,0.8991741,1.3533745,1.0515215,0.9160295,0.8366294,1.3503406,0.81378657,1.2630926,1.1857127,1.3596814,1.245637,1.3528495,0.78766066,0.78194374,0.68444175,1.1547663,1.3157678,1.3115977,1.132054,0.9727063,1.0975355,0.7983349,0.79213154,1.2148776,1.3476607,0.84169
doll,0.9021462,0.8513813,1.1495514,1.1780558,1.0217777,0.947948,0.8460526,1.0598009,0.774714,1.2255385,1.018422,1.175825,1.0462009,0.9147561,0.9988704,1.1181142,1.0553148,0.73516524,0.994801,0.93738437,0.72790265,0.9152889,1.0120683,0.81088275,1.0538613,1.1265293,1.1632806,1.0425823,1.1388682,1.1785775,0.91645205,1.1605839,0.863411,1.1748,0.96616143,0.9477271,1.1301169,1.1769127,0.9964231,0.88981044,0.69492406,0.0,1.1398426,0.99484926,0.96379334,1.166301,0.9855698,1.1561152,1.2749368,0.9484803,1.1793735,1.0572876,1.1216561,0.79526174,1.0831763,0.9842433,0.8168807,1.0623178,1.0963244,0.702453,1.217056,1.1894218,1.039364,0.97817534,1.1163808,0.7749735,1.2223116,0.8069852,1.148625,1.1003966,1.0160608,0.98664784,1.1197463,0.7901137,0.95960736,0.93402267,1.0579609,0.9855751,1.080511,0.7344618,1.1780539,0.78485626,1.1671803,0.9248493,1.1430588,1.1116225,0.92296565,1.0133549,1.2066882,0.84059024,1.2378132,1.1398197,1.0296931,0.8286189,0.8762036,0.84897655,0.9143076,0.9583848,0.76306176,1.1486938,0.8259206,0.7781906,0.7552927,1.095666,0.67615753,0.9584908,0.89844644,0.93554103,1.1524687,0.7382506,1.1035299,0.9241931,1.1261733,1.2320143,1.1358905,1.0427788,1.0737982,1.14391,0.93352467,1.0191334,1.1016161,1.1443421,1.0082786,1.1185097,0.9955383,1.0014446,1.0755222,1.281914,1.1248482,0.65892994,0.6408443,1.0592358,1.0334479,1.0281931,1.1809839,1.0656109
door,0.85808504,0.99769944,1.4772371,1.216647,0.70860183,1.2570411,1.1487275,1.2972965,1.1292326,0.30657285,0.4506445,1.3728976,0.6117878,0.97487193,0.99379057,0.59868175,0.83999133,1.1920815,1.2849723,1.326127,0.832115,1.369576,0.9735321,1.1504288,0.9300801,0.9063849,1.1401749,0.6216018,0.68137264,1.0475012,1.1823101,0.21389437,1.1183838,0.8728483,0.9907022,0.5494693,1.374628,1.3474307,0.56966376,1.3392875,0.80044633,1.1398426,0.0,0.6484376,0.69935703,1.2335513,1.4515476,0.8262111,0.9904659,0.8304671,1.3440155,0.79890144,1.2592626,1.074777,1.2760134,1.3814871,1.1972644,0.72153234,1.3056004,1.1161103,0.6791183,1.4084994,0.76146597,1.0343716,1.3074192,1.1990181,0.6321443,1.1542225,0.5964258,1.3827785,0.51302326,1.3057599,1.1700804,0.9231273,1.0563862,0.7641416,0.82320833,0.76419,1.059958,1.0784806,1.390989,1.426903,1.3750049,1.0064591,1.1664178,0.4004624,1.2282937,0.68302727,0.64505327,0.9639415,1.3280388,1.4520701,1.1968832,0.95023525,1.0752964,1.2328608,1.3194554,1.2182144,1.1772578,1.1431786,1.0581441,0.98379225,1.1601405,0.2873788,1.280871,1.222768,1.2781628,1.1415068,0.6150626,1.1816796,0.79087603,1.3143742,0.7399943,0.6581346,0.64119375,1.4804975,0.6787435,1.2123957,1.2026057,1.4333448,1.0350441,1.4198722,0.77435815,0.78186595,0.723364,1.2647481,1.3375142,1.2779956,1.0180354,1.3273787,1.3414333,0.70863765,0.7503873,0.87572473,1.3942685,0.41769361
drawer,0.97068834,1.0191584,1.3872926,1.0916226,0.89810604,1.1407945,1.0743032,1.1473044,1.0295644,0.5750839,0.8200701,1.2242174,0.6748315,0.98109025,1.0208399,0.85252106,0.83461213,0.87261844,1.2731652,1.1550723,0.74598426,1.2792084,0.8550939,1.0751733,0.8426588,0.92065215,0.93970406,0.99420106,0.9118481,0.9891524,0.9345962,0.75462747,1.0895087,0.8066368,0.8511664,0.826707,1.0917187,1.3222096,0.8549815,1.2574375,0.9805028,0.99484926,0.6484376,0.0,1.0277139,1.2361389,1.3561141,1.0293279,0.8787151,1.0701423,1.078111,0.88009435,1.0566257,1.0322305,1.2072855,1.153981,0.99690473,0.96262103,1.2462568,0.995213,0.9006928,1.1195253,0.9839337,0.9348717,1.2361267,1.0776488,1.0318159,1.067279,0.8249756,1.1129982,0.783356,1.2843008,1.1713216,0.9743189,1.1251819,0.90551096,0.72819525,0.8293278,0.9645664,1.1393508,1.3404143,1.2055663,1.2003586,1.021266,1.2036235,0.5447862,1.0980502,1.002775,0.8953562,0.8046512,1.1366702,1.1962427,1.0217786,0.95979226,1.0144995,1.2127692,1.1992313,1.0373734,1.064982,0.98381406,1.0125757,0.92318565,0.87555397,0.8064501,1.0809505,1.0729712,1.013998,0.9610465,0.98280376,0.9226304,0.9042501,1.0835167,0.8590558,0.70303357,0.8498749,1.1830057,0.7164677,1.11905,1.1058991,1.1570615,0.98543006,1.3155324,0.7918849,0.9848837,0.909083,1.1595587,1.2015258,1.2121136,0.9038497,1.1259758,1.0478069,0.73615706,0.9689674,0.94224155,1.2538025,0.85605097
dress,0.8190514,0.8351697,1.3827984,1.1714836,0.5845521,1.2582383,1.192823,1.2373607,1.0790243,0.84818554,0.4786297,1.3526461,0.92719066,0.6938797,1.0855275,0.5202956,0.93599993,1.1006169,1.2548119,1.3034871,0.9272479,1.2868935,1.160703,1.120635,1.13803,1.0661383,1.1741441,0.75228006,0.88807994,0.94083387,1.288866,0.7215666,1.2110898,0.9697446,1.0237998,0.5153878,1.2955489,1.3416445,0.688317,1.2563804,0.69413346,0.96379334,0.69935703,1.0277139,0.0,1.1933588,1.3883878,1.0363518,1.0614123,0.6536644,1.2431387,0.8095709,1.2717817,0.91334593,1.2583053,1.3814756,1.1069502,0.7266945,1.2079526,0.834262,0.9466798,1.2419499,0.6363114,0.93326324,1.2425743,1.0395899,0.5438478,1.1591362,0.5165925,1.3960528,0.6709296,1.3276916,1.2161956,0.7982707,1.093111,0.6502532,1.1018318,0.78574693,1.0210019,1.0658612,1.3432834,1.2260715,1.2070065,0.9315103,1.2390877,0.78595686,1.1184448,0.20664895,0.5116545,0.9500059,1.3857346,1.4205709,1.2504685,0.8480748,0.88878936,1.168068,1.1585314,1.2595348,1.090657,1.2063673,0.97406703,0.8384377,1.1790575,0.605318,1.1611321,1.2164034,1.1326911,1.1616067,0.38548893,1.0323191,0.51023936,1.330256,1.0775555,0.9058136,0.8623703,1.2666197,0.8899311,1.0464642,1.241161,1.423753,1.2070872,1.2976866,0.7296239,0.64377004,0.6577771,1.2406546,1.1577219,1.2831762,1.0439131,1.1344378,1.2158357,0.8467919,0.8281556,1.077866,1.3326576,0.7568655
ear,1.3370116,0.95639527,0.48367321,0.7021027,1.2549974,0.9152723,1.066998,1.0965211,1.2224864,1.3613887,1.4626396,0.5064085,1.3088503,1.2465134,1.0510087,1.3445761,1.2780614,1.1824052,0.59534675,1.0392137,1.3152697,0.9690601,0.83341223,1.1206675,0.6992631,1.03087,0.7714783,1.1754128,0.9902323,0.96841717,0.68596935,1.2361733,0.93168104,1.1286714,1.0893576,1.3737092,0.81983614,0.47674847,1.3606017,0.8579472,1.3923421,1.166301,1.2335513,1.2361389,1.1933588,0.0,0.68607295,1.041705,0.7253944,1.0641825,0.48805654,1.1570544,0.67212653,1.082461,0.47260737,0.84907687,0.97981185,1.2696662,0.39672446,1.1149035,1.1775322,0.524247,1.019795,0.97982067,0.42242706,0.92811894,1.182178,1.064897,1.2621948,0.6511762,1.2582374,0.637854,0.4691503,1.269782,1.2716261,1.328453,0.9147325,1.3169175,0.8463274,1.2196141,0.34218383,0.8732803,0.3230586,0.7713691,0.90677464,1.2115053,1.0231814,1.2413975,1.1355319,1.3225569,0.4038384,0.38291407,1.1228,1.2502177,0.94315875,1.1787136,0.8640239,1.1771606,1.0180907,0.67480105,1.2389581,1.1606612,1.0385698,1.3602359,0.97411466,1.0898945,0.9291631,1.1243062,1.2219434,1.0583926,1.0172702,0.70660657,1.1303022,1.3981204,1.3921876,0.42209107,1.252306,0.7313416,1.1281061,0.71247286,0.72964996,0.46773005,1.2784534,1.1745746,1.3665731,1.1206496,0.34066093,0.3372332,0.7809882,1.0605075,1.0760474,1.5066841,1.257522,0.7503545,0.353473,1.1557178
egg,1.2968074,1.1780473,0.26379597,0.8250848,1.4177988,0.3608938,0.5699168,0.6377976,1.1130332,1.3940697,1.5156853,0.6332517,1.3032583,1.2695808,1.1007947,1.4917547,1.2452246,1.1049674,0.59851325,0.6702756,1.2972889,0.60749173,1.0123658,0.95529974,0.9632845,1.0480071,0.8341888,1.3237071,1.1824533,1.0129281,0.5251528,1.4082712,0.77273285,1.1571274,1.0517292,1.4797215,0.58610487,0.5213829,1.4594846,0.7145335,1.3034774,0.9855698,1.4515476,1.3561141,1.3883878,0.68607295,0.0,1.0955467,0.9967062,1.2419771,0.667412,1.1735477,0.82699525,1.0364254,0.65506357,0.71917075,0.9797333,1.3948085,0.7218765,1.2211105,1.1341056,0.64869,1.3378091,1.1723638,0.5777955,0.9199014,1.3643521,0.84896654,1.4675602,0.65207887,1.4912474,0.51110446,0.74333966,1.1994529,0.8308996,1.333982,1.1399813,1.4009621,1.0478132,0.97406185,0.35537064,0.70394886,0.73080254,0.9866191,0.5559747,1.3897212,0.93882567,1.4499948,1.3341742,1.1909108,0.61826247,0.5996758,0.73556775,1.1663291,1.0659448,0.83191013,0.81245863,0.79133445,0.8471142,0.8121841,1.0089333,1.2458974,0.9834825,1.4935724,0.7735895,0.67719775,0.97993976,1.0969603,1.4031541,1.0612395,1.2849913,0.6602204,1.1544957,1.2453072,1.3160627,0.5906153,1.3020546,0.7548008,0.6498352,0.58983314,0.8325495,0.50307,1.4631078,1.3027668,1.3153723,0.59919125,0.6732012,0.6647744,1.155262,0.95287645,0.6982681,1.27335,1.235385,0.99556553,0.61556697,1.3632987
elephant,1.0535504,0.89215297,1.0740796,1.1788288,0.8502883,1.0407085,1.0757345,1.0966874,1.0967009,0.8606091,0.8778426,1.046991,1.0017502,1.0172865,1.0313994,0.8283633,1.0687103,1.1500332,1.1069767,1.1527145,1.1270748,1.0716975,1.0041535,1.1844468,1.0248761,0.8471039,1.1463629,0.60156727,0.86967015,0.97321683,1.0536942,0.7893065,1.1658916,0.83256066,0.86185354,0.906103,1.1713381,1.0716139,0.96599454,1.200999,0.9060148,1.1561152,0.8262111,1.0293279,1.0363518,1.041705,1.0955467,0.0,0.97243416,1.0608435,1.0521939,1.0101022,1.0133419,1.1281841,1.0198655,1.0877973,1.1597079,0.9739878,1.1089238,1.1118196,0.6856188,1.165319,0.85757554,1.0362821,0.91974473,1.1020011,0.8872872,1.0547351,0.92481077,1.0794138,1.0037217,1.0827906,1.0636852,1.0568372,1.1744776,1.0158466,0.99620706,0.8880413,1.0591964,0.98430485,1.0718075,1.0925026,1.0174304,0.9895522,1.0921799,0.8997855,0.9721348,0.97551215,0.9742297,1.0592211,1.0573823,1.0853559,1.0635661,0.98527753,0.7546896,1.0857568,1.1420745,1.1089584,1.0436782,0.8801106,1.1198462,1.041674,1.1415812,0.94476783,1.0255299,1.1240165,1.0758752,1.1956066,0.90551203,1.0623735,1.0674103,1.1251818,0.79116786,0.90150726,1.0247406,1.0727655,0.7436807,0.962669,1.1709177,1.0902007,0.88879067,1.0338287,0.93477595,0.8809333,1.0184585,1.0690889,1.0226499,1.0280313,1.0502253,1.0554731,1.2894802,1.068376,0.9175183,1.0119039,1.0499846,0.876491
eye,0.9459579,1.0065628,0.92440367,0.83193254,0.99150324,1.0088441,1.1979709,1.025961,1.3916688,0.98877335,0.9887376,0.88577557,1.0984001,1.1032782,0.97478956,0.9005524,1.1229277,1.17915,1.1386515,1.2831079,1.2390548,1.2607102,1.0814779,1.3699243,0.9078625,1.1365795,0.5734263,0.90535283,0.9965026,0.8129326,1.0361421,1.0323414,1.357947,0.85662025,0.964064,0.911675,0.7625923,0.96016455,1.0997406,1.2716327,1.1107599,1.2749368,0.9904659,0.8787151,1.0614123,0.7253944,0.9967062,0.97243416,0.0,0.9399423,0.62559366,0.8419037,0.6783773,1.1128973,0.717085,1.2949138,0.9213325,0.97906286,0.8935033,0.96930546,0.87416685,0.6112901,0.82251805,0.8657919,0.8155513,1.1351383,0.934625,1.3559022,0.78732467,1.1416844,1.0848105,1.1658084,0.7265291,0.96230376,1.0686502,0.89278704,0.98902845,1.0708488,0.6801584,1.2550976,0.8039719,1.2095006,0.83109903,0.67381096,0.87021154,0.91003793,1.1635985,0.9805544,0.81309104,1.0502906,0.8432528,0.8390733,1.0479901,0.97260094,0.8955869,1.3222455,1.1223748,1.2790717,1.1910665,0.3567127,1.1939471,1.2438138,1.2859806,1.033545,1.1519046,1.1324471,1.2142488,1.1578878,0.9036978,1.163859,0.7746179,1.2526122,1.1936888,1.0045289,1.1637256,0.81350523,1.0039694,0.7808088,1.1476884,1.1483794,0.857683,0.90125877,0.94442075,0.8662944,1.1260109,1.258857,0.73987967,0.63728964,0.74052125,1.2613902,1.1933833,1.0934279,1.0290638,1.1626104,0.7279843,0.9849514
face,0.71328163,0.9063077,1.2570634,0.8540164,0.6101437,1.1292996,1.1454856,1.1673092,1.1987737,0.876277,0.6350455,1.3233249,1.0722493,0.8467892,0.93116057,0.74460745,0.90599245,1.0806787,1.3360947,1.365294,1.0659822,1.2652915,1.2842174,1.2887285,1.3939097,1.1727434,1.0052929,0.8111368,1.187186,1.0069627,1.3295512,0.8781346,1.3176389,1.0014365,0.94634145,0.6274426,1.1142242,1.2598169,0.8962644,1.3477721,0.7403413,0.9484803,0.8304671,1.0701423,0.6536644,1.0641825,1.2419771,1.0608435,0.9399423,0.0,0.91622597,1.008893,1.2145135,1.0662704,1.113714,1.3868916,1.0180165,0.4549294,0.80931747,0.90647733,0.89091045,0.93155783,0.32304585,0.6268935,1.0966501,1.1200894,0.71495575,1.2195108,0.7070302,1.4347427,0.9292021,1.309412,1.0516372,0.80444103,0.9379685,0.62482387,1.2136025,0.87071794,0.5947934,1.0537165,1.2236649,1.4653108,0.95479876,0.6334456,1.0758444,0.9354569,1.2273772,0.6685524,0.74611413,0.9066353,1.3129833,1.2700387,1.1189746,0.82567215,1.1675124,1.1781071,1.3050576,1.2516147,1.1567173,1.0975413,0.93471444,1.2083682,1.2486213,0.63526297,1.2207481,1.1629792,1.2144169,1.168292,0.44505173,1.0841762,0.76195014,1.4605763,1.0732262,0.9019156,0.8556529,1.2070992,0.97414064,1.0968827,1.1653634,1.4374664,1.114012,1.2389476,0.9462379,0.44310975,0.8912624,1.2997156,0.86610484,1.0052034,0.97095376,1.3717381,1.1802315,0.7842356,0.8151487,1.3105125,1.1381252,0.8935306
finger,1.1990803,0.99640656,0.59734076,0.6588179,0.95906836,0.8961486,1.0795914,0.8828836,1.2834848,1.3182981,1.3664188,0.78012156,1.304841,1.2178805,1.1083684,1.2329446,1.1819717,1.1964325,0.9440284,1.1591668,1.4129473,1.0786583,1.0312195,1.2747723,0.9696964,1.2040223,0.5436585,1.2629895,1.1423893,0.8580307,0.9739775,1.3422737,1.2018298,0.90097106,1.0014968,1.2564306,0.5610103,0.7532086,1.3941956,1.095843,1.3391738,1.1793735,1.3440155,1.078111,1.2431387,0.48805654,0.667412,1.0521939,0.62559366,0.91622597,0.0,1.1543006,0.7466493,1.2421641,0.5172517,1.0419033,0.9695343,1.1624236,0.55338454,0.90929914,1.0355892,0.39205223,0.9682144,0.41282648,0.65511245,1.0231408,1.0754772,1.2383889,1.0586654,0.84151304,1.3494984,0.9359019,0.7361671,1.1691482,1.0867982,1.0415446,1.0319259,1.3284667,0.6022775,1.0356011,0.5656578,1.0058286,0.3661883,0.68311024,0.7695617,1.2468901,1.118935,1.1327573,0.96496916,1.1651845,0.6588151,0.47653496,0.82198656,1.1298038,0.9225163,1.2365187,1.0886363,1.2079751,1.0857403,0.6179553,1.1166879,1.3799552,1.1802857,1.3600979,1.030661,0.99271387,1.0292988,1.1164172,1.0864605,1.0444751,0.89762926,0.9111312,1.174207,1.2385633,1.2737262,0.5248364,1.2317774,0.58339834,1.0789826,0.912479,0.8191886,0.5582926,1.2526908,0.93297386,1.3559649,1.1160349,0.16407746,0.4368316,0.6696227,1.1895789,1.063628,1.2301947,1.267181,1.1444143,0.5661873,1.2642803
