,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,cloud,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
belt,1.3365905,0.9013926,0.76724106,1.2545033,1.1205173,1.100513,0.8571297,1.146773,1.1852067,1.257484,0.0,0.38782293,1.2325501,0.7722813,1.1221663,0.88775146,1.2459865,0.8789989,0.8934243,1.1533649,0.8484256,0.5706799,1.2017986,0.34790862,0.6947874,1.2333679,0.838111,0.9055059,0.8131395,0.45954543,0.6316085,1.1324209,1.2106237,1.2013313,0.25389868,1.2888033,0.97915816,0.81232154,1.1628178,0.94572693,0.95388824,1.2798874,1.0809648,1.2543349,0.8191252,0.46143198,0.76605195,0.48224622,1.2324961,1.2287102,0.5986727,1.0289404,1.2146059,0.99689466,1.1240593,1.1564612,0.75961286,1.1451478,0.97131276,1.1724163,1.2317121,0.52417016,1.2541939,0.65394133,1.1426647,1.2219554,1.0626419,0.9844006,0.48444498,0.9709196,0.5124271,0.92809063,1.2068908,1.1877697,1.2895533,1.0460973,1.3824062,0.38318157,0.44007492,0.9357359,0.556969,0.7985761,1.0783786,1.1388474,0.9083044,1.2696595,0.2872883,1.2517228,1.1875174,0.82464206,1.0080036,1.22929,1.152174,0.92974335,1.2688671,0.8152952,1.3449494,0.72693306,1.1004741,1.2256321,0.44645125,1.3469899,0.9443655,0.68685055,1.1518517,1.2455231,1.2633703,1.3851585,0.6527245,0.6697859,0.9252074,0.5999074,1.2810725,0.67199564,1.1850833,1.1123679,0.8738272,1.0397731,0.4078828,1.217731
bench,1.3086163,1.1238462,0.92876613,1.2621918,1.1737309,1.159799,0.95481235,0.88209593,1.0885512,1.1081709,0.38782293,0.0,1.2750907,0.6696933,1.2113874,0.9400655,1.1239136,0.77401924,0.86162674,1.0370507,0.880347,0.5403106,1.1148497,0.29103667,0.48739755,1.3426166,1.010567,0.60248256,0.75877225,0.5996525,0.8273685,1.2212064,0.9926578,1.2544564,0.3954441,0.99890167,0.9380022,0.84744227,1.2438083,0.7578279,0.9881472,1.2334076,1.1771919,1.2398292,1.0894766,0.56470966,0.5475529,0.39639813,1.2451586,1.3376203,0.7726059,1.1989622,1.0481721,1.1935183,1.2184199,1.3573238,0.86977077,1.1596656,0.9878496,1.25694,1.3990662,0.45919704,1.0199552,0.5579501,1.234679,1.4308805,0.8848191,0.95187557,0.57787216,0.9834555,0.58450854,1.1064506,1.2096033,1.088098,1.3681117,1.2154415,1.3474957,0.50222546,0.5525719,1.0392334,0.59166276,0.77721727,0.8701459,1.0196764,1.0027491,1.3105893,0.34749156,1.2128401,1.115903,0.8223276,1.0177541,1.3045964,1.2414564,1.0210242,1.0771927,0.82497466,1.2170657,0.81983274,1.1947639,1.234872,0.4336679,1.2433072,0.9144035,0.65810883,0.985785,1.2674124,1.1609235,1.2350527,0.7633306,0.93397635,1.1081187,0.6017655,1.2783532,0.529654,1.0604008,0.9140376,0.5831966,0.88275266,0.6303005,1.0723993
bib,0.836825,0.8427638,1.197467,0.83870435,1.157189,1.1608827,1.205117,1.0822262,1.0248097,0.744944,1.2325501,1.2750907,0.0,1.3514757,0.583099,1.0093025,0.91214544,1.1728666,1.226663,0.99241924,1.2851094,1.2765994,1.2642021,1.3207753,1.264882,1.1213545,1.1006142,0.93960124,1.2638901,1.2317747,1.0932517,1.1161627,0.82782924,1.070793,1.3786868,0.7574722,1.0870883,1.1176021,0.74644065,1.0317515,1.0589119,0.24913186,1.1812016,0.7000494,0.98586845,1.3553395,1.2345903,1.3831396,1.1069034,0.795514,1.0862844,1.0798185,0.9096656,1.0671709,0.6925963,0.6791516,0.97041386,0.9671861,1.2288433,0.7617328,0.59954196,1.3889818,0.80207527,1.3960357,1.1212461,0.8324139,1.04464,1.27074,1.2159586,1.0429056,0.8733485,1.1147376,0.8427391,1.1921996,0.3103721,0.5419653,0.7792895,1.2597904,1.2228669,1.2108058,0.9997175,1.2605758,1.1362519,1.1433289,0.925203,0.6583333,1.3140478,0.7608497,0.97157145,1.308582,1.2550907,0.46926713,0.92771775,0.6264386,0.99230826,1.2389178,0.7905868,1.059669,0.6911332,1.039487,1.3328271,0.85625327,1.2046103,1.2144853,0.91628814,0.87888217,0.81128657,0.67902875,1.3495693,1.005406,1.0263021,1.1149663,1.0866886,1.2115674,0.9659872,1.0540531,1.153765,1.1874834,1.1931593,0.6944621
bird,1.1963918,1.0166095,0.9974875,1.2024717,1.0749989,1.1030873,0.79544187,0.96139,1.1644983,1.3595799,0.7722813,0.6696933,1.3514757,0.0,1.342099,1.0472836,1.1452336,0.84177005,0.9467889,1.2495506,0.66385293,0.88280505,0.58096266,0.69973254,0.68623877,1.0891576,0.98637986,1.1533151,0.67526174,0.7158375,0.9689988,1.0417352,1.3207992,1.0597892,0.5848642,1.3699694,0.97203356,0.7504735,1.1564456,1.0052446,1.1817198,1.2756907,1.0726075,1.2399623,1.0589353,0.5244138,0.5798565,0.53928775,0.9135656,1.3100202,0.8834857,0.9688875,1.0482285,1.0914254,1.2332174,1.2928307,0.95033807,1.148373,0.81914115,1.3656642,1.4220967,0.62717384,1.2812492,0.5474235,1.052835,1.2761126,0.9868524,0.70885783,0.77614987,0.9157884,0.7277232,1.1041718,1.3634933,0.6507526,1.3191403,1.3317137,1.2955936,0.5885335,0.614514,0.91724163,0.9589705,0.6083569,0.8273157,0.9534219,1.1303489,1.2882179,0.6465266,1.3557186,1.0446324,0.6563375,0.79630387,1.4039447,1.0709949,1.2437546,0.9660406,0.96307504,1.2386546,0.72211623,1.1465611,1.1009585,0.553959,1.2619991,0.5515172,0.64245224,1.1222476,1.0689098,1.2233993,1.3592396,0.8637933,0.95897263,0.88131624,0.76574063,1.1814528,0.79796344,1.1248833,0.96747535,0.8264376,1.0113662,0.74367344,1.1901184
blanket,0.6518816,1.1080168,1.1616491,0.8856535,1.0498391,1.0670509,1.3126354,1.0537591,0.91855574,0.33275175,1.1221663,1.2113874,0.583099,1.342099,0.0,0.9043856,0.906186,1.265759,1.1390654,0.7661911,1.3675034,1.2289928,1.2456622,1.2963006,1.3056803,1.0556115,1.0030482,0.9908321,1.2322177,1.1939516,0.93950987,1.1932229,0.57670367,1.1196204,1.3123089,0.65014243,1.1148611,1.1575432,0.76485753,1.0592657,0.8423678,0.7476957,1.1798335,0.82944655,1.13831,1.0700675,1.2519943,1.3025331,0.8581434,0.744856,1.1366155,0.9732739,0.93108946,0.99843633,0.9356071,0.8401042,1.1518843,0.8453892,1.1876242,0.6523039,0.65465534,1.2612934,0.6782057,1.3365002,1.1835405,0.5250511,1.1826699,1.3603336,1.2634797,0.8538321,1.1645951,1.0551343,0.729367,1.2667247,0.21589261,0.6119496,0.72102547,1.289721,1.3354349,1.2754369,0.8967756,1.3681166,1.1169345,1.1714283,0.872975,0.620431,1.1897459,0.7248638,0.94742787,1.2876867,0.96322334,0.53188246,1.084407,0.82169396,1.1023334,0.93774676,0.9475719,1.3602442,0.8805169,0.96576715,1.3578731,0.859349,1.1079093,1.3244088,1.0662899,0.8143678,1.0164437,0.67930526,1.1627393,1.181262,1.218389,0.99923944,1.0215011,1.0972363,0.96984845,1.2662494,1.2145237,1.0558256,1.285464,0.88434994
boat,0.9877455,1.1696464,0.97629464,1.0379089,0.96961653,0.9648304,1.165226,1.072252,1.0141284,0.92184013,0.88775146,0.9400655,1.0093025,1.0472836,0.9043856,0.0,0.9990974,1.0382208,0.9170938,1.0193743,1.181002,0.8902458,1.140676,0.9619296,0.8234762,1.0712835,0.9339553,1.0020751,1.0233315,0.8817628,1.0668483,1.1659491,1.0081255,1.1907569,1.0143807,0.9921121,1.164292,0.99465823,1.0662037,0.924464,0.9607568,1.0450368,1.061041,1.0035805,1.1366367,0.81490797,1.0395235,0.9453244,0.95086664,1.0163847,1.1220729,1.1428856,0.9149543,1.0427823,1.0763799,1.1182561,1.0333898,0.88277674,0.84325397,0.8929527,0.9922598,0.9095084,0.9504004,1.0710759,1.1454338,1.0123402,0.9237993,1.1446368,1.0625637,1.1916115,1.1035866,1.0061224,0.9372089,1.0884372,0.99212235,0.94436157,0.9948164,1.0897462,1.119369,1.1407605,0.97541827,1.0992185,1.0694476,1.0518501,0.9176675,0.89143604,0.9805517,1.0299745,0.87999445,0.90647686,1.0721632,0.92570454,1.1405933,0.94879663,0.8695617,0.9035469,0.98434085,1.1631488,1.1782072,1.0002509,1.0105399,0.9777584,0.97562367,1.058759,0.92290163,1.025031,0.99783224,0.92646927,0.8631515,1.185338,1.2171818,1.1253296,0.9294012,0.8295711,0.9264719,0.96364814,0.7594279,0.9242368,1.1434247,0.89838433
book,0.81296617,1.0371039,1.2027943,0.98487294,1.0582135,1.0487854,1.1928923,0.7956867,0.8957449,0.8942691,1.2459865,1.1239136,0.91214544,1.1452336,0.906186,0.9990974,0.0,0.8841281,1.0576725,0.61865157,1.1437271,1.0625296,0.8713615,1.1038617,1.0644659,1.0114272,1.0803951,0.9778246,1.005505,1.160029,1.0577047,1.0038161,0.7755499,0.97565,1.2344532,0.8208324,0.8978354,1.1170487,0.6976107,1.0071281,0.9441451,0.99358445,1.0351136,1.0115039,1.1791413,1.1903114,1.117699,1.2341838,0.829317,0.9746031,1.2560866,0.9433926,1.0417986,1.0563188,1.0236245,0.99052703,1.1489018,0.922701,0.96081996,0.9023545,1.0936799,1.1958195,0.93243855,1.0854214,0.9871926,0.9250002,0.9258504,1.1255103,1.2517599,1.0228721,1.3105652,1.2375572,0.80526716,1.0282946,0.929709,1.1465284,0.3565588,1.2961026,1.2545642,1.0652411,1.099406,1.1626991,0.9534779,0.9461938,1.2057922,0.91989774,1.1593996,0.83405447,1.023828,1.010437,0.88165706,1.0580751,0.8811529,1.1474652,1.0343276,1.0206938,0.87835485,1.1093565,1.0770996,0.9509694,1.3107274,0.9701335,1.091675,1.1862994,0.8585974,0.9187305,0.9078838,0.79646444,1.150512,1.281389,1.203734,1.1961653,0.6921482,0.8859844,0.9858471,0.8852935,1.0392997,0.89090496,1.3038217,0.9247695
bottle,1.1057254,0.96986914,0.9701939,1.1774759,0.97434086,0.9440051,0.849988,0.8263272,1.0934421,1.3072687,0.8789989,0.77401924,1.1728666,0.84177005,1.265759,1.0382208,0.8841281,0.0,0.8698535,1.0393084,0.7843292,0.46956944,0.90139025,0.50861263,0.74620783,1.2109358,1.0651821,0.86854523,0.73466665,0.896724,1.0156661,1.0119636,1.1914345,1.0530937,0.78142107,1.1157954,0.6100266,0.8352206,0.9502138,0.8439448,1.2400714,1.0826727,1.0244484,1.3192599,1.1738427,0.78027767,0.6507039,0.79428375,0.9827067,1.061632,1.03262,0.934554,1.2064805,1.0471522,1.2085358,1.2778803,0.9643965,1.266122,0.8476539,1.1898551,1.3179338,0.832063,1.1500773,0.738945,0.9924008,1.1868954,0.8703215,0.81010485,0.88686156,0.98940885,0.81977236,1.1167765,1.1794771,1.0774367,1.2354299,1.3098937,1.1230414,0.8752003,0.87737495,0.91843027,0.86059135,0.742306,0.7863584,0.90576935,1.1417772,1.0238081,0.8376309,1.1605271,1.210375,0.777464,1.0513434,1.3709347,0.9653339,1.0577921,1.0059395,0.9732616,1.1818566,0.83022374,1.0628941,1.0386752,0.76602614,1.2854903,1.0052079,0.7714252,0.7573546,1.0962086,1.1155995,1.2353842,0.7850208,1.059025,1.0230289,0.8473228,0.84715575,0.8027978,1.17352,0.6125029,0.8465922,0.7027734,0.858814,1.1530983
bowl,1.1504669,1.1815962,0.7250283,1.1300342,0.86674494,0.8535292,0.55507207,1.0007228,1.1200533,1.196585,0.8934243,0.86162674,1.226663,0.9467889,1.1390654,0.9170938,1.0576725,0.8698535,0.0,1.0322254,0.44777262,0.86005855,1.1393901,0.87883675,0.95013076,0.9412543,1.174854,1.0534638,1.0159082,0.79777193,1.0454987,0.54941434,1.136979,0.50682294,0.88435537,1.1732589,0.9382166,0.9597559,1.1362697,1.188235,1.1025945,1.2560844,0.8417984,1.2503259,1.0800041,0.8372601,0.80311596,0.78073716,1.1097282,1.1490335,1.0764967,1.0893548,1.1771064,0.63625455,1.2233062,1.21331,1.1129174,1.1650324,0.96185696,1.2749566,1.3109689,0.72256744,1.25329,1.0332509,0.44602537,1.1155779,1.1758696,0.5772126,0.9430001,0.9288931,1.0666125,0.86845887,1.1657313,1.020966,1.2073349,1.2530668,1.1091743,0.93634564,0.94054914,0.42597687,1.0047578,0.56500465,0.9469137,0.14355856,0.9295715,1.2398367,0.86941826,1.1916351,1.1835326,1.018664,1.2358823,1.3077079,1.1653852,1.2706008,1.1502445,0.91709954,1.2294745,1.1436833,1.1976511,0.5278476,0.7564783,1.1738981,1.0619073,0.6063589,1.1995996,1.1125325,1.2233944,0.93134344,0.72010064,1.092832,1.1088905,0.89109993,1.0011147,0.8806381,1.1766845,1.0537252,1.0610138,1.1530339,1.0447936,1.2399962
box,0.8609799,1.1818814,1.2631729,1.0211686,1.0946362,1.0456152,1.4148707,0.62641025,0.28320438,0.50545424,1.1533649,1.0370507,0.99241924,1.2495506,0.7661911,1.0193743,0.61865157,1.0393084,1.0322254,0.0,1.3193078,0.8953276,1.0309441,1.0971986,1.1760713,1.0149429,1.0126119,0.79639626,1.1577699,1.1934805,1.0153906,1.0642298,0.55958486,1.0110319,1.2690395,0.4601866,0.8765916,1.2693595,0.9800743,0.8619531,0.6989779,0.9977006,1.1058497,0.9563407,1.254994,1.2670174,1.3517609,1.2445221,0.9740783,0.8292621,1.2925246,1.0880456,0.8977623,1.0573745,1.0226157,1.0482496,1.1920373,0.91640186,1.196934,0.8374102,0.96988887,1.1360886,0.6331023,1.1482794,1.0524672,0.8406087,1.0167345,1.2866384,1.2297897,0.78488797,1.4150982,1.2357702,0.5872373,1.2037001,0.91315186,1.0375059,0.6872505,1.37748,1.3810674,1.1736751,0.93975836,1.427342,1.1303486,0.99970204,1.1483365,0.70152,1.046751,0.5444266,0.9751828,1.2845995,0.92141485,0.9012666,0.9575246,1.073613,1.0347137,0.5336219,0.8023733,1.3186142,1.0832407,0.9444564,1.3661952,0.81584775,1.1756197,1.3449324,0.89146566,0.8749751,0.90261227,0.7133307,1.2125291,1.3049012,1.2142202,1.0265616,0.8649652,0.8786744,0.97618353,1.0067382,1.0769805,0.8357135,1.366656,0.86347634
bread,1.316541,1.0339488,0.75772893,1.1703304,0.9329009,0.94478816,0.24264032,1.0947496,1.2872854,1.444088,0.8484256,0.880347,1.2851094,0.66385293,1.3675034,1.181002,1.1437271,0.7843292,0.44777262,1.3193078,0.0,0.91141206,0.9471443,0.73964965,0.84564555,0.9545496,1.1474174,1.2053854,0.81584,0.7632113,0.95689887,0.4572444,1.3192358,0.45374978,0.68221396,1.443953,1.0367168,0.72787833,1.084026,1.1645294,1.261661,1.2178533,0.8649883,1.3104936,0.9819037,0.70533884,0.6257328,0.687316,1.1502157,1.302206,0.90470004,0.9293991,1.2589929,0.664787,1.1639222,1.2737293,0.9637899,1.2137648,0.8765109,1.4009788,1.4403265,0.7707799,1.4377201,0.8526112,0.45083117,1.2591512,1.1321075,0.19453907,0.7714139,0.8871877,0.7828249,0.8497131,1.3467276,0.8200293,1.3385229,1.3599194,1.2961426,0.73913324,0.7725984,0.31920493,0.9989773,0.17257869,0.9205349,0.46767306,0.936557,1.3609346,0.81346154,1.3611927,1.2118828,0.80729467,1.2274182,1.4832317,1.1423751,1.2354801,1.1864628,1.1442963,1.2782362,0.8839785,1.1104994,0.90597224,0.6063616,1.3292143,0.9713976,0.38826776,1.141433,1.2277999,1.2308453,1.2833533,0.76377165,0.9063883,0.9105495,0.7755835,1.0723331,0.97797865,1.1967835,0.9240598,1.0029464,1.1715951,0.81188464,1.3073403
bucket,1.3749397,0.93633646,0.8350575,1.1956067,0.94322014,0.8961272,0.9072961,0.641683,0.9809317,1.1750921,0.5706799,0.5403106,1.2765994,0.88280505,1.2289928,0.8902458,1.0625296,0.46956944,0.86005855,0.8953276,0.91141206,0.0,1.1347398,0.33028656,0.75393605,1.24192,1.0168563,0.68964666,0.76788205,0.6199184,0.8434826,1.1248623,1.1159863,1.2027433,0.6260135,0.9865466,0.5687708,0.95499414,1.0909549,0.81135154,1.0102144,1.1966552,0.91046274,1.3200586,1.1015854,0.67436683,0.8391253,0.5475529,1.2302274,1.1961762,0.89242023,1.0463992,1.2628522,1.2214949,1.2411156,1.3241863,0.78074396,1.2749313,0.93193835,1.1765838,1.3281426,0.5718707,1.0729113,0.63270557,1.1245685,1.2245734,0.9893375,0.9174293,0.8380091,0.8843202,0.772997,0.9341823,1.1407132,1.1663616,1.3615358,1.2087768,1.3945385,0.729141,0.7791308,0.9927063,0.4843874,0.8672316,0.9507446,1.0025502,0.88656914,1.0066369,0.61952996,1.1461304,1.1974679,0.8524893,1.006546,1.3575728,1.0369418,0.91703236,1.0100288,0.6832451,1.2047265,0.833781,0.9512764,1.192281,0.60024524,1.236154,1.0130217,0.87274325,0.8983551,1.3466629,1.1382817,1.4025053,0.6385318,0.958394,1.0641595,0.583987,0.90480614,0.6664432,1.220993,0.72481334,0.819207,0.7454594,0.7664704,1.2099829
butterfly,0.7823591,1.054737,1.1723458,1.1201771,1.01069,0.9964228,1.0982884,0.83264416,0.9672514,1.2397374,1.2017986,1.1148497,1.2642021,0.58096266,1.2456622,1.140676,0.8713615,0.90139025,1.1393901,1.0309441,0.9471443,1.1347398,0.0,1.0528467,0.90692574,0.9463441,0.9837569,1.0916541,0.6829981,1.0962927,1.0799928,0.9885874,1.2121131,0.98048025,1.0722196,1.1609143,0.82523674,0.9210864,0.91443217,1.0691171,1.0901177,1.1545335,0.976695,1.1657364,1.1332756,0.92763853,0.83672535,0.95026755,0.44385946,1.0860103,1.1397394,0.8169311,1.0717963,1.1167145,1.1238708,1.1520573,1.0691684,0.98054016,0.7103401,1.2264547,1.2660245,0.9846356,1.1712043,0.7303628,1.0095162,0.91412485,0.95719546,0.82469565,1.1225921,1.02525,1.1064174,1.1492178,1.151201,0.6739618,1.2275912,1.349611,1.0243014,1.0375335,0.9948634,1.0184511,1.1551961,0.97353244,0.7308933,0.96441233,1.2635314,1.0640528,1.0778407,1.1338649,1.0331663,0.6026965,0.59517175,1.2380586,0.94813496,1.2152355,0.9993516,0.99701697,1.1251884,0.93425465,1.1368244,0.97531015,0.991703,1.1147625,0.78530186,1.0098864,1.0119823,0.77983344,1.0858546,1.1316379,1.0822105,1.1611152,1.0245954,1.0742451,0.86219037,0.84019935,1.0218292,0.93632007,0.92804027,0.87454,1.0936146,1.078126
can,1.3975197,1.0629371,0.82228774,1.210144,1.0311519,1.0043471,0.8302882,0.9219942,1.1132474,1.3010154,0.34790862,0.29103667,1.3207753,0.69973254,1.2963006,0.9619296,1.1038617,0.50861263,0.87883675,1.0971986,0.73964965,0.33028656,1.0528467,0.0,0.4846964,1.3174863,1.0345048,0.8203716,0.63666403,0.57393265,0.87543356,1.1165526,1.1993988,1.178905,0.36197042,1.1729643,0.8480075,0.79486966,1.2217903,0.7316418,1.0402069,1.2656186,1.092641,1.2970154,1.1099871,0.5225387,0.55404717,0.46483088,1.2378223,1.3241377,0.7679627,1.0779485,1.2148908,1.1340976,1.2946261,1.410842,0.84043777,1.1883713,0.8635107,1.2623785,1.4044652,0.57003343,1.188395,0.50846946,1.1418265,1.3940239,0.9034815,0.8154001,0.5231656,1.006794,0.6135983,1.0274351,1.1979823,1.0459089,1.4027679,1.2840741,1.3826694,0.5076604,0.5483459,0.9363782,0.62326545,0.66624355,0.8786914,1.0145139,0.9865027,1.2989676,0.39297134,1.2277195,1.2443419,0.7491425,1.0931668,1.3921564,1.184848,1.021295,1.2017958,0.86106235,1.3042034,0.7675886,1.1465976,1.2431312,0.4468019,1.3762047,0.9725084,0.56901926,0.9660361,1.3005133,1.2095556,1.412714,0.6383646,0.90573484,1.0322124,0.6383662,1.1625884,0.60597837,1.1280144,0.8250613,0.6439171,0.83382255,0.58378386,1.1588029
car,1.2835059,1.088837,0.9929909,1.200762,1.026729,1.0378727,0.9565341,0.93186265,1.1080906,1.2652608,0.6947874,0.48739755,1.264882,0.68623877,1.3056803,0.8234762,1.0644659,0.74620783,0.95013076,1.1760713,0.84564555,0.75393605,0.90692574,0.4846964,0.0,1.3542413,1.0766159,1.0620893,0.7901651,0.7882965,1.0125293,1.0934128,1.1759524,1.1422163,0.6432568,1.2830504,0.96501577,0.8134871,1.19315,1.0061353,1.096536,1.2021372,1.0998486,1.1755013,1.1251872,0.5962362,0.65670323,0.6279905,1.1114442,1.270113,0.83312726,1.0900879,1.0421327,1.1507978,1.1868815,1.3383775,0.8449892,1.0132331,0.8198365,1.2603587,1.335799,0.73678,1.268015,0.7155472,1.114371,1.4195545,0.6674638,0.8472207,0.64733726,1.0600215,0.74585575,1.108369,1.087972,0.9083719,1.3244836,1.277782,1.2835244,0.63968277,0.6590159,0.9682066,0.95314586,0.77142704,0.84839165,0.9794526,1.1478355,1.270025,0.6924925,1.2516199,1.0785706,0.7465284,1.0911659,1.3083265,1.0459609,1.0575005,1.077951,0.903645,1.1418731,0.7640293,1.147321,1.1628389,0.6046209,1.1994636,0.90102315,0.68077075,0.833894,1.1827855,1.0885637,1.2914596,0.7965829,1.0016898,1.0813901,0.9135638,1.1030685,0.6512994,0.9618873,0.86529416,0.21795225,0.95486206,0.7218817,1.1136477
carrot,0.8330194,0.9415629,0.64873594,0.9412545,0.8073312,0.7918611,0.8288592,1.128221,1.0317107,1.0268911,1.2333679,1.3426166,1.1213545,1.0891576,1.0556115,1.0712835,1.0114272,1.2109358,0.9412543,1.0149429,0.9545496,1.24192,0.9463441,1.3174863,1.3542413,0.0,1.0131093,1.112886,1.2340081,1.2158232,1.1280448,0.88250613,1.0850257,0.85405546,1.1098778,1.0411277,1.0962243,1.0125593,0.8877436,1.1521382,0.97139794,1.1075226,0.5116317,0.8689587,0.6733091,1.0923927,1.1314812,1.1758091,0.8504348,0.94930726,0.9861034,0.85399777,1.0803185,0.68828356,0.9993107,0.6578905,1.1103407,1.0822055,1.1424206,1.0181073,0.897475,1.1067594,0.9569056,1.2368605,0.83895826,0.684708,1.2051725,1.0003258,1.0645235,1.05505,1.2020196,0.6470869,1.1136832,0.84331036,1.0280439,1.015847,0.83921266,1.1214701,1.0616742,0.87322503,1.2457619,0.9992232,1.0662498,0.97594965,0.86097836,1.0335379,1.2191103,1.0653664,0.9924541,1.1864728,0.9247183,0.963271,0.99664354,1.1989249,0.9936777,1.0600811,1.0299243,1.0497013,0.9931294,0.70772785,1.0879434,1.001057,0.8412845,0.9185341,1.2522076,0.92762655,1.1499181,1.005738,0.98055834,0.8044906,0.8252337,1.0877341,0.85208917,1.2820727,1.054686,1.2213861,1.3516355,1.118576,1.0490221,1.0981702
cat,0.9508493,1.0066673,0.99072087,1.0617936,0.8884884,0.93033314,1.2031137,1.0319589,0.91880363,0.99259984,0.838111,1.010567,1.1006142,0.98637986,1.0030482,0.9339553,1.0803951,1.0651821,1.174854,1.0126119,1.1474174,1.0168563,0.9837569,1.0345048,1.0766159,1.0131093,0.0,0.9790443,0.9323674,0.88834184,0.7625415,1.0972228,1.028423,1.1353546,1.0135618,1.0600159,0.9952826,0.70254576,1.1248364,0.90501976,0.7894851,1.0384737,0.96871793,1.0529017,1.0705559,0.8618963,1.0667732,1.0834358,0.9990779,0.98658884,1.0490677,1.095963,0.8676619,1.1203177,0.91306925,1.0683728,0.97013074,0.87274677,1.0032386,1.0123943,0.97586757,1.0640815,1.0393723,0.90859646,1.1038765,0.98064727,1.0019702,1.0936073,1.0406351,0.99221885,1.0820218,0.9856276,1.0330373,0.9281447,1.0624642,0.96263504,1.0577182,1.1147279,1.1524252,1.142313,0.9540337,1.2113825,1.0537273,1.2461443,0.96651906,1.008025,0.9353567,1.027563,0.9077683,0.9191586,0.8663237,1.0401614,1.037949,0.8166344,0.8237146,0.8221949,0.9976637,1.1305867,1.1299419,1.0788996,1.1212616,0.8474804,0.9805283,1.1728011,1.0491122,1.0336804,0.91531146,1.0822219,1.028023,1.0968132,1.1653526,0.99925196,1.0895039,0.98814416,0.82488084,1.0033876,1.066999,1.0087194,1.0491403,0.9709617
chair,1.0625117,1.0310646,1.1827338,1.1234223,1.2357254,1.1792849,1.2141811,0.6850325,0.8502619,0.7647792,0.9055059,0.60248256,0.93960124,1.1533151,0.9908321,1.0020751,0.9778246,0.86854523,1.0534638,0.79639626,1.2053854,0.68964666,1.0916541,0.8203716,1.0620893,1.112886,0.9790443,0.0,0.8712408,0.9216706,0.8218759,1.2198423,0.7883118,1.2316042,1.007951,0.36701632,0.7818967,1.2307802,0.9895324,0.4759218,0.8302227,0.89626276,1.1108391,1.1746399,1.0859545,1.1556721,0.9286178,0.75335085,1.1348962,1.1308551,1.1175276,1.2155559,1.0489058,1.3358879,1.0122229,1.0435447,1.0448498,1.1467096,1.0729797,1.0582294,1.2058777,0.7049496,0.5381616,0.73811185,1.2069108,1.1107228,1.0017831,1.1562223,1.1268942,0.8718883,0.9436639,1.1956446,0.9328493,1.1814811,1.0494783,1.0856457,1.0852783,1.0465366,1.0200014,1.2242327,0.60331976,1.1856145,0.84145343,1.0154651,0.96553886,0.9287932,0.8971494,0.77447224,1.1866988,0.9755057,0.9028644,1.0758266,1.1093545,0.8672548,0.939327,0.8350891,0.9957758,1.087816,0.9441677,1.040838,0.88282967,1.0049124,1.1312047,1.1614428,0.8084329,1.215402,0.96798146,0.8294622,1.1261065,1.1301848,1.1596833,0.73320264,1.0651066,0.6910341,1.0856378,0.7898936,0.9446255,0.5512186,1.0738132,0.79045695
clock,1.1333312,1.0717098,1.0435094,1.2262443,0.9422001,0.98905504,1.0005252,0.87075365,1.0738466,1.3006755,0.8131395,0.75877225,1.2638901,0.67526174,1.2322177,1.0233315,1.005505,0.73466665,1.0159082,1.1577699,0.81584,0.76788205,0.6829981,0.63666403,0.7901651,1.2340081,0.9323674,0.8712408,0.0,0.84153986,0.9094952,1.1371799,1.255058,1.1652023,0.8067006,1.1482481,0.87313104,0.8613026,1.0484986,0.7583296,1.0148807,1.1487269,1.0057935,1.3288832,1.2590268,0.68401873,0.6496985,0.645573,0.8351166,1.2924466,1.0358893,0.9754647,1.2214087,1.3123908,1.3479996,1.3978868,1.012428,1.036309,0.52160645,1.1800181,1.4083871,0.74374413,1.1808739,0.33030748,1.1506909,1.2659793,0.84731126,0.71686655,0.985617,0.9853418,0.83356845,1.104779,1.1253874,0.7785586,1.2769827,1.2988987,1.2330753,0.8624019,0.83276033,1.058015,0.823979,0.8057035,0.81077766,0.93799686,1.080565,1.1282791,0.78943086,1.1613138,1.1689327,0.24854541,0.80601543,1.3598503,1.041269,1.0564346,1.0235068,0.9512502,1.2646769,0.81251156,1.1105694,1.1086159,0.71544147,1.1984346,0.87342244,0.85371673,0.91353977,1.2275503,1.1555121,1.2978148,0.7991046,1.1385341,1.1236387,0.8353797,1.0410144,0.66592926,1.1320236,0.7737088,0.77968335,0.7302552,0.87926805,1.0812095
