,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
comb,0.65831625,1.0411754,1.463147,0.91719365,0.7215557,1.1870106,1.2336006,1.3541464,0.69164467,0.7438559,0.6808399,1.277087,0.5898077,0.7922254,0.92404234,0.6259976,0.71888644,1.1644418,1.415204,1.2835474,0.7027912,1.4566846,1.045405,1.1783677,1.1183078,1.142248,0.81309044,0.9960774,0.7752787,0.89447457,1.2317054,0.9059077,0.78761715,0.8868564,0.0,1.4516623,0.75873935,1.3487178,1.3692825,0.600152,1.3473828,0.81190026,0.86230445,1.0447109,0.8135178,0.87036175,0.9197273,1.4294591,0.63918495,1.0303663,0.9695698,1.0331001,1.1705784,1.2424597,1.0417372,1.1446097,1.1604868,0.78339183,1.337267,0.83031166,1.1958507,0.7651156,1.38199,0.7368592,1.3309127,0.8596328,0.78093696,0.86304826,1.1898438,0.8461185,1.1221075,0.7719072,1.0866684,0.72548723,1.2230331,1.0982186,0.9147059,0.6763796,0.6466321,0.9404815,0.816113,1.3553386,1.130649,1.1190214,1.089965,1.1622038,0.69717336,1.1354979,0.765267,0.8502693,0.62528217,1.033467,1.2350839,1.188899,1.3163023,1.0670846,1.366173,1.1056665,1.2788206,0.80908465,0.9995132,1.2794598,0.73635006,1.1220009,1.1577407,0.71946293,0.81014824,1.097799,0.9566808,0.81473315,0.95536184,0.78415084,0.7184826,1.395211,0.7124572,1.2854614,1.0094151,1.1378027,1.3081181,1.1417027,0.9921726,1.3948526,0.9071565,0.78983104,0.81998885,1.4400326,1.164513,1.1966727,0.73904586,1.1405531,1.2340136,0.7968061,1.0093402,1.0352006,1.3224239,0.80288374
cookie,1.3890266,0.9797179,0.45195985,1.1174419,1.396107,0.97036546,0.7704786,0.39617836,1.1011308,1.369441,1.4348991,0.558116,1.4723632,1.4570125,0.6880125,1.4429044,1.301966,0.8510829,0.58145523,0.6343398,1.3857077,0.37909192,0.78086454,0.96357363,0.8840127,0.60758245,1.1225375,0.87502265,1.1729296,1.086748,0.63912547,1.1155252,1.3019044,1.0938805,1.4516623,0.0,1.3832953,0.38421583,0.3863244,1.3889315,0.61618614,1.170285,1.294911,1.2530376,1.1998732,1.1093813,1.2908316,0.4181862,1.2449734,1.0025147,1.23385,1.0159036,0.5303722,0.8022583,0.9669292,0.78070366,0.7854394,1.3465893,0.55872273,1.213196,0.7859272,1.3077718,0.51867104,1.4266592,0.58476794,1.0394367,1.2104797,1.3407185,0.9305101,1.40246,0.61926,1.3155001,0.95115906,1.2547953,0.6828326,0.9476521,1.1976742,1.4426972,1.2593732,1.2415626,1.1453625,0.5881171,0.6703112,1.0546088,1.0780796,0.7113716,1.3261409,0.88854194,1.4829423,1.3856891,1.3905455,1.0106151,0.5006638,0.62325644,0.47569984,0.8100084,0.38307697,0.93524677,0.62869203,1.2682083,0.9796711,0.8528718,1.246236,0.8106376,0.8827319,1.2764317,1.4175452,0.8338704,1.259376,1.1167908,1.1352344,1.2506874,1.4696832,0.45801365,1.2687413,0.38865423,0.92604184,0.8564006,0.5631355,0.7306278,0.792965,0.53645873,1.2329485,1.4361346,1.3790855,0.52805316,0.89319354,0.851764,1.3002117,0.60220724,0.9710308,1.2813706,1.1095165,0.99496365,0.6250652,1.195337
couch,0.8237901,1.2228358,1.4309886,0.89688,0.68720424,1.2221345,1.3185391,1.4445128,0.80236465,0.58895296,0.3306738,1.2944493,0.3001222,0.76966715,1.1787919,0.49547106,0.7697362,1.106456,1.3447121,1.2962538,0.6110082,1.5253932,1.0718863,1.167659,1.0720278,1.1363031,0.6974155,1.1490698,0.58569676,0.61859816,1.2472037,0.7046037,0.74301934,1.1272115,0.75873935,1.3832953,0.0,1.403861,1.4910822,0.40532267,1.3310895,0.9241928,0.5796385,0.9220367,0.6378556,0.9057556,0.74869305,1.350848,0.8052764,1.1280464,0.84187764,1.2814655,1.2259581,1.1307523,1.1498674,1.454449,1.3645294,0.81675243,1.373226,1.0309192,1.5094633,0.79276824,1.3692731,0.95075214,1.3897259,1.0499038,1.0175523,0.6251793,1.1859506,0.60636014,1.4976891,0.5118894,1.0845113,0.89144444,1.2812409,1.2079881,0.94081116,0.7804686,0.6580192,1.0094278,0.94074124,1.3625693,1.2915817,1.3386874,1.1603657,1.1908984,0.5198071,1.1626711,0.5890143,0.5732276,0.765947,1.0951239,1.4917325,1.4939394,1.2620267,0.82569504,1.4686601,1.01335,1.2947781,0.8681594,0.9227063,1.3143547,0.56475425,1.0511069,1.0642812,1.1060652,0.54817677,1.2514359,0.7953962,1.0858653,0.82202625,0.75249815,0.52956754,1.4429225,0.5801176,1.2601019,1.1712502,1.1068898,1.4994756,1.1666634,1.235692,1.3481323,0.6746146,0.51081777,0.49458218,1.4194975,1.3414075,1.3366063,1.1101422,1.240222,1.1804088,0.8024467,0.90462947,0.8434409,1.3876728,0.56438154
cracker,1.1720651,0.97004735,0.61158735,1.0242889,1.2795172,0.971436,0.91236657,0.42033422,1.1130844,1.3331113,1.4431453,0.83756995,1.4578285,1.2861191,0.76311314,1.4011191,1.2926488,0.9891348,0.7648714,0.7143726,1.3010864,0.2042296,1.0379826,1.0465026,0.8069639,0.98914695,1.2369652,0.9150096,1.2362031,1.2993866,0.8450947,1.1756632,1.2376062,1.062434,1.3487178,0.38421583,1.403861,0.0,0.6372908,1.4456735,0.78335947,1.1550257,1.1805725,1.1143817,1.3490591,1.1614445,1.2534356,0.6157383,1.2593127,1.0279808,1.2274723,0.9175664,0.42458856,0.8222774,0.87652016,0.76382065,0.5023498,1.2585156,0.71897537,1.080376,0.64203066,1.2211608,0.3541485,1.2478156,0.7792872,1.2078686,1.27035,1.3061488,0.86534923,1.4055767,0.7208251,1.3727676,1.0502306,1.1428356,0.45661396,0.9136116,1.1374991,1.2356405,1.2135698,1.0909424,0.90726316,0.7096088,0.7491981,0.9950054,1.0283656,0.7873256,1.353939,0.8116096,1.3626413,1.388227,1.2913203,0.7682018,0.7415123,0.7824549,0.5801159,0.93243545,0.19976276,0.9031414,0.56578684,1.1411107,1.0608376,0.7568892,1.4273534,0.7447447,0.87365884,1.2574656,1.3703811,0.8839495,1.2462708,0.9796427,1.1456872,1.2072228,1.5322913,0.60765105,1.2482287,0.6112764,0.9398896,0.7922733,0.64467436,0.805459,0.90506077,0.6621289,1.2323685,1.4019864,1.3290914,0.6893698,0.8305714,0.7672734,1.285591,0.7455613,0.98263156,1.1043915,1.0324318,1.1916224,0.8202388,1.3205948
crayon,1.4446787,0.79330724,0.24257243,1.333548,1.3882148,0.89828503,0.6628731,0.43459487,1.1953022,1.5190814,1.5800197,0.36383796,1.5486186,1.530646,0.69723463,1.5206985,1.4013667,0.6735723,0.40474337,0.7119298,1.553114,0.52243567,0.73248714,0.8767217,0.97407776,0.48549736,1.1703744,0.83812815,1.3182698,1.1067394,0.59088737,1.1884854,1.2872955,1.2018498,1.3692825,0.3863244,1.4910822,0.6372908,0.0,1.518297,0.47195792,1.3148091,1.4204957,1.2639563,1.3037052,1.0920906,1.3942778,0.3795417,1.2406718,0.97363836,1.3202965,0.7659026,0.5362408,0.79493415,0.7736019,0.666221,0.9154598,1.4180393,0.30286545,1.103683,0.5950705,1.3716469,0.5417382,1.3296119,0.33905268,0.9973259,1.0741073,1.3679035,1.0116189,1.3917594,0.42493725,1.3189163,0.92369395,1.2215853,0.96935683,0.9963402,1.2796882,1.4848375,1.4008625,1.1715631,1.3473902,0.27961957,0.48506284,0.892656,0.97883683,0.65238196,1.4467793,1.0041727,1.5603064,1.3851932,1.4079432,1.1707076,0.124748826,0.21153688,0.4819113,0.7943573,0.58379436,0.94246536,0.85688907,1.213895,1.0135266,0.6956496,1.3342502,0.85482407,0.8615375,1.12694,1.5233657,0.6613653,1.185849,1.2028654,1.159866,1.4606495,1.4446791,0.16597849,1.3965046,0.3218012,0.7202445,0.9735547,0.4286536,0.56848955,0.6306966,0.2487545,1.3154879,1.4707489,1.5946172,0.41807538,0.6564327,0.5859239,1.0463207,0.4121591,0.8502784,1.5073311,1.0911478,0.91912013,0.37001646,1.3458176
crib,0.8464848,1.351659,1.5580248,0.8787642,0.8079549,1.2396729,1.2729158,1.4453212,0.37446868,0.4827497,0.30584806,1.3858464,0.31936145,0.79927725,1.1590179,0.45786107,0.68545234,0.99105024,1.2915311,1.2114377,0.36799085,1.5735421,0.96023524,1.0121186,1.1870385,1.0368015,0.71598077,1.1946441,0.7453503,0.5553901,1.1948425,0.628396,0.79954654,1.0330331,0.600152,1.3889315,0.40532267,1.4456735,1.518297,0.0,1.269676,0.9499782,0.76713216,0.836541,0.52779925,0.7802626,0.71410346,1.4538853,0.77931416,1.1891764,0.9638899,1.461848,1.3556747,1.0706805,1.4026127,1.3330164,1.2704314,0.76957124,1.5079386,1.0310736,1.5110943,0.900368,1.4825145,1.0429899,1.4739677,0.9901375,0.79622704,0.6222589,0.97423655,0.769269,1.4032502,0.41073787,0.8280692,1.0030898,1.2079804,1.1838049,0.81248957,0.71968395,0.5066068,1.0758563,0.9768042,1.5322884,1.3425021,1.3567444,1.2982042,1.3853486,0.37874573,1.0753348,0.6924871,0.76514715,0.6485274,1.0301063,1.4399049,1.4499748,1.4378718,0.96630955,1.4791431,0.9595082,1.1670012,0.7621624,0.81895626,1.4279482,0.3871094,1.0344957,1.0819203,0.81495655,0.69891423,1.2978643,1.0003824,0.9247373,0.7811419,0.65239084,0.5048702,1.5821718,0.6663802,1.3829108,1.3073133,1.2390661,1.437373,1.2902818,1.177455,1.4128847,0.40552247,0.7220994,0.48710257,1.4281975,1.5400382,1.4479499,0.8930493,1.2858206,1.0252813,0.66904616,0.94169503,0.74275017,1.4191864,0.52823174
cup,1.5117899,1.0065031,0.49850637,1.3047925,1.503121,0.6403475,0.33163452,0.6203196,0.8493381,1.4316442,1.4465066,0.65098745,1.3671863,1.5026703,0.9428214,1.4347638,1.2756708,0.77014494,0.12097359,0.46153975,1.3039114,0.71673286,0.8317839,0.28838956,1.0361574,0.40172005,1.1526431,1.152044,1.2602248,0.88527197,0.50009394,1.0114756,1.2340332,0.9758338,1.3473828,0.61618614,1.3310895,0.78335947,0.47195792,1.269676,0.0,1.0971426,1.3227756,1.040757,1.1531903,1.045003,1.2378596,0.4452209,1.2451725,1.1562299,1.36568,1.1060555,0.8750186,0.53377277,1.1507447,0.7762307,0.92253095,0.9418434,0.6884647,1.0243192,0.7333435,1.4364588,0.8077688,1.4612958,0.40424246,1.0679874,1.1286362,1.3526721,0.45390153,1.4503623,0.6969453,1.2861061,0.8470253,1.3764254,0.8308175,1.0467813,0.9555113,1.3311563,1.2587082,1.2937094,1.2569649,0.64696145,0.6831349,1.0908549,1.2485039,1.0642323,1.222794,0.87595785,1.5051422,1.4320183,1.3864865,0.9861995,0.59660447,0.719568,0.8209429,0.66931874,0.71247464,0.7497542,0.7789269,1.0834436,0.76527095,0.8309605,1.1523147,0.6652089,0.77593374,1.1659428,1.4960781,0.6595448,1.2808008,1.1957839,1.0366673,1.2795544,1.4637691,0.47663736,1.2585576,0.66736794,0.9681797,1.0694423,0.5700827,0.68598944,0.75827646,0.503688,1.1258206,1.5165797,1.4018098,0.36328185,0.9833423,0.9170984,1.1439823,0.68313503,0.6810582,1.3307785,1.0248001,0.86996734,0.41964948,1.2636425
dish,0.9654342,1.1698169,1.1496955,0.7598508,0.97380686,0.74248177,0.99549156,1.1453831,1.0260773,0.79584545,0.921824,1.2996927,0.8054302,0.97843546,1.0765218,0.9433307,0.7716801,1.1619791,1.2283483,0.76295996,0.81808925,1.1625249,1.1258159,0.8974766,1.0011561,1.2173681,0.96120644,0.9819628,0.9646842,1.0672231,1.0623536,1.0377529,0.97910404,0.6643829,0.81190026,1.170285,0.9241928,1.1550257,1.3148091,0.9499782,1.0971426,0.0,0.9204228,1.0831661,0.91978484,0.9630884,1.1273637,1.1663477,1.0845606,0.99626243,1.0575122,1.1318325,1.1850443,1.1831152,1.2150972,0.90981823,1.0714355,0.6850194,1.2863429,1.036523,0.92791724,0.9860898,1.1787914,0.8812247,1.2410731,1.0792693,0.9088108,0.9981778,0.927534,0.9716131,1.1034055,1.0133532,1.0388721,1.1131926,0.929718,0.6844938,0.989406,0.8640455,0.8136291,1.0242769,0.69207716,1.2195684,1.3299164,1.1053735,1.0345112,1.0564976,0.83271295,1.098433,1.0203946,0.96125567,0.8840728,0.9575729,1.3080606,1.2549721,1.0000882,1.1487519,1.1280984,1.0892897,0.84484905,1.0488267,1.0294644,1.1034068,0.92117095,1.1529387,1.0785336,0.828348,0.9788358,1.1459247,1.0569916,0.70776945,1.0620401,0.65725553,0.947682,1.2864743,0.94447964,1.2091924,1.1773008,0.9393066,1.0141543,1.1619973,1.1689441,1.2820733,1.0372612,1.0735817,0.73783714,1.0131267,1.2042273,1.1838313,0.80773807,1.3137841,0.9711764,0.6841201,1.0283545,1.0992426,1.1830888,0.92669135
dog,0.510568,1.0503639,1.3501009,0.8579103,0.726848,1.0988053,1.2437277,1.3237016,1.0101373,0.85114807,0.59390366,1.3429507,0.77334976,0.7474499,1.1627324,0.60653293,0.89123845,1.0531795,1.3155558,1.2461221,0.84282804,1.2330234,1.2368078,1.1874175,0.8843447,1.3365104,0.9269039,1.0949377,0.22409052,1.0614259,1.2444546,0.9942805,0.8747299,1.0831714,0.86230445,1.294911,0.5796385,1.1805725,1.4204957,0.76713216,1.3227756,0.9204228,0.0,0.78104854,0.9601,1.1280248,0.7709322,1.2602074,0.8698138,1.0398363,0.76254714,1.2246437,1.0169549,1.0526143,1.1776366,1.2175914,0.9527994,0.86547303,1.2894038,0.8819746,1.2835379,0.7521366,1.2505186,0.862583,1.3161725,0.9974272,0.981838,0.7977763,1.1098952,0.809202,1.3515986,0.8618868,1.1143708,0.7909795,1.042681,1.0965035,0.9231239,0.70305187,0.7679888,0.9895486,0.655204,1.3073725,1.331658,1.1846937,1.0980158,1.1722357,0.86546826,0.9387329,0.5817037,0.81234956,0.8192832,1.000919,1.4323865,1.3980238,1.2152861,0.9380344,1.1984607,0.99650794,1.1677508,0.95835876,1.0731641,1.2790279,0.9237083,0.9115997,1.0235026,1.0076871,0.6564571,1.2026312,0.97030294,0.93296206,0.9676299,0.93081284,0.7598161,1.3742756,0.7303332,1.2941682,1.21187,1.0955889,1.3143947,1.1793677,1.1694999,1.2988557,0.85168874,0.5138612,0.6917896,1.3135837,1.2415975,1.2680199,0.97753644,1.3299378,1.079619,0.8525849,0.9557161,1.0465745,1.3114145,0.8489171
doll,0.8106535,0.7402575,1.1987963,1.0146791,0.8812363,0.97572106,0.9198065,1.0624323,0.8322362,1.1117162,0.94288725,1.2055867,0.976893,0.63176346,1.2284007,0.8790814,1.080625,0.93234706,0.9744353,1.1571184,0.9473501,1.0236255,1.2583238,0.84344393,1.0482489,1.1574625,1.2535427,1.0676293,1.0354781,0.9419163,1.1339306,0.9644985,0.9908327,1.0782919,1.0447109,1.2530376,0.9220367,1.1143817,1.2639563,0.836541,1.040757,1.0831661,0.78104854,0.0,1.067604,1.174746,0.6255027,1.0890996,1.0914754,1.1813457,0.97374725,1.0490178,1.1906956,0.83126944,1.1271707,1.001593,0.82237947,0.91459566,1.2659597,0.45822597,1.0246173,0.91686565,1.1399332,0.79052585,1.043366,1.191885,0.99275386,0.8711582,0.80212015,0.9464842,1.1309572,0.8823898,1.0399271,0.91611314,0.9188496,1.0841407,0.81505144,0.39809918,0.98064005,1.1321433,1.0030816,1.2939137,0.9099899,1.0450786,1.0975928,1.2109292,1.0792098,0.9039616,0.65069604,1.0053834,0.9213245,0.73554534,1.2240417,1.1396165,1.295632,0.8933935,1.079021,0.9068748,1.0901244,0.7518022,1.0028368,1.1158869,1.1116182,0.8569243,0.84048355,0.89848125,0.89364386,0.92241496,0.9193902,0.8119323,1.0698284,1.1913618,0.90093845,1.1985209,1.1227564,1.4277102,0.9495,1.0619781,1.103096,1.1454988,1.1643873,1.1343606,0.6170872,0.93630093,0.8935215,1.1245923,1.0603368,1.2237102,0.78886294,1.0463467,0.6546931,0.97154015,1.0225738,0.9823001,1.0899588,1.016146
door,0.99563414,1.1344608,1.3601661,1.053324,0.8897843,1.2882075,1.1627306,1.3931887,0.7957258,0.7409056,0.7176443,1.2073779,0.49299335,1.0335449,1.0805116,0.8739063,0.8731059,1.1173168,1.114772,1.2901567,0.7203052,1.4605584,0.63631207,1.0942162,1.1576701,0.74007046,0.79948676,1.1498967,0.8773036,0.4359641,0.9366935,0.3877495,0.96937466,0.93680954,0.8135178,1.1998732,0.6378556,1.3490591,1.3037052,0.52779925,1.1531903,0.91978484,0.9601,1.067604,0.0,0.64219177,0.8161402,1.3215654,0.8848104,1.0857304,0.986668,1.2414708,1.3866191,1.0123246,1.2693964,1.3212802,1.2848147,0.8900117,1.2982215,1.1626548,1.4590193,0.8815663,1.37413,1.0434763,1.3582315,0.86681676,0.94629943,0.8985762,0.9467378,0.85543144,1.2141969,0.30147725,0.7721305,0.85583246,1.1508139,1.2551434,0.90015507,1.0049427,0.8668019,1.1171645,1.0077628,1.3197663,1.193768,1.195085,1.1587818,1.2469659,0.4623649,1.0479194,0.8744633,0.8329074,0.90734524,1.117197,1.2607777,1.2996457,1.2485905,1.109674,1.3345466,0.8497494,1.303863,0.9302113,0.8473136,1.2815398,0.2678982,0.86354065,1.0653769,1.0120589,0.8210051,1.2737056,0.9090196,1.0353392,0.7232028,0.8734271,0.7346178,1.3966308,0.84387755,1.2561845,1.2625599,1.144171,1.3556967,1.1535504,0.975228,1.254657,0.7876332,0.9036516,0.7558613,1.375776,1.306138,1.3063011,1.0433267,1.182364,1.2775565,0.94116783,0.80169,0.52349603,1.269818,0.2460432
drawer,1.0478425,1.1572983,1.253449,1.1463814,1.0491084,1.2004257,1.1299092,1.160761,0.73540676,0.7711842,0.959622,0.9076225,0.5491303,1.137545,0.8357173,1.033659,0.81036097,0.9313431,1.1042321,0.88214886,0.64564204,1.1470916,0.7653556,0.94622225,1.0600436,0.72924787,0.69234085,0.9320781,1.079276,0.5813703,0.9461561,0.69577557,0.9899217,0.9940865,0.87036175,1.1093813,0.9057556,1.1614445,1.0920906,0.7802626,1.045003,0.9630884,1.1280248,1.174746,0.64219177,0.0,1.1455574,1.223206,1.0424914,1.0102129,1.1729407,1.0631405,1.1617745,1.1298445,1.0403388,0.9291576,1.0627999,1.0116063,1.0559636,1.1465389,1.2041171,1.158758,1.1176318,1.1083233,1.1578898,1.0566956,0.83604443,1.0140774,0.9875721,0.94727486,0.81597906,0.7170265,0.9053108,0.9376106,1.0263646,1.0325992,0.9371968,1.0909936,1.0049938,1.0949397,0.95042694,1.2196426,0.88067675,0.99431276,1.1163256,1.110287,0.5461501,1.02836,1.1772525,0.97349614,0.9015723,1.0742992,0.9242036,0.9545393,1.2536776,0.93029064,1.1583871,1.016332,0.95753235,0.8751552,0.6516868,1.1008626,0.57500756,0.9974437,1.161052,0.9084313,1.166181,1.0752325,0.98787403,0.98026145,1.0443743,0.7917289,0.92980915,1.0863537,1.0347829,0.9408062,0.97075653,0.9761096,0.95592445,1.0316811,0.8605,1.1918449,1.038758,1.1088381,1.022973,1.0705371,1.1480063,1.2016321,1.0769848,0.8640189,1.1313349,0.90634894,1.0008035,0.87543356,1.1270437,0.8749128
dress,0.84035957,0.97942126,1.3172054,0.8841179,0.7004885,1.1661882,1.1566607,1.3532932,0.92861736,0.84233934,0.6771616,1.2982423,0.81141233,0.50232863,1.1986953,0.65454406,0.8920442,1.1197429,1.1602057,1.3226831,0.85984296,1.2800272,1.1445328,1.0925303,1.121923,1.1863776,1.0723537,1.0896963,0.8907954,0.9799871,1.1563752,0.76086473,0.8046113,1.0482,0.9197273,1.2908316,0.74869305,1.2534356,1.3942778,0.71410346,1.2378596,1.1273637,0.7709322,0.6255027,0.8161402,1.1455574,0.0,1.2680306,0.8909813,1.0332079,0.7360067,1.162593,1.3122764,0.98671144,1.1142449,1.3002915,1.1762695,0.95710844,1.3104247,0.9214981,1.3249434,0.7061137,1.253329,0.87031674,1.2632465,1.0095437,0.9756118,0.6741422,1.0170681,0.7262031,1.3591413,0.7861379,1.0756611,0.8085166,1.1203953,1.2181587,0.8996907,0.72160757,0.88973707,0.9652358,1.0659024,1.2976815,1.1233926,0.98327476,1.0631374,1.2401329,0.8578686,0.9817321,0.23850018,0.7257615,0.8214315,0.9790276,1.3916821,1.3690792,1.3169456,1.1770891,1.2531615,1.0362439,1.2377399,0.82686234,1.1018181,1.1797862,0.83538437,1.0389855,0.9318747,1.0557532,0.5142907,1.1866384,0.7778045,1.0517504,0.93536747,0.96945024,0.7668841,1.3867612,0.79939586,1.3758543,1.0743449,1.1221423,1.3798833,1.264436,1.1755573,1.2284048,0.77652454,0.5649657,0.6772359,1.3187201,1.1489961,1.2051212,0.9780091,1.1499529,1.0627499,0.92487603,0.970895,0.97323334,1.2562857,0.8072535
egg,1.4797974,0.8957309,0.2849965,1.1853877,1.3944461,0.5981889,0.606056,0.54218626,1.1668053,1.3894743,1.4372921,0.6129509,1.4853096,1.421133,0.8346505,1.4226198,1.382303,0.88042885,0.5305954,0.62422866,1.4409492,0.47306216,0.8867172,0.8242624,0.99451673,0.6333691,1.1933885,1.0369481,1.1719887,1.1439234,0.64268154,1.2645323,1.2337967,1.0329299,1.4294591,0.4181862,1.350848,0.6157383,0.3795417,1.4538853,0.4452209,1.1663477,1.2602074,1.0890996,1.3215654,1.223206,1.2680306,0.0,1.214803,1.0470569,1.2150676,0.930175,0.65184426,0.6980344,0.9214856,0.8436206,0.91484076,1.3056874,0.5575767,1.0721936,0.6531201,1.2987739,0.6314708,1.3583605,0.35671747,1.0600609,1.2349658,1.32638,0.93473613,1.383368,0.7296913,1.3946977,0.9459704,1.2448936,0.7927516,0.99306554,1.1120257,1.3132081,1.317652,1.2027645,1.1775073,0.3942448,0.6348306,1.0091946,1.0456612,0.71306247,1.449117,0.96645343,1.4599307,1.3611531,1.3929331,1.031964,0.51547426,0.6400733,0.5140285,0.6590535,0.60659903,0.9652539,0.78400695,1.2802732,0.9885898,0.7312125,1.3814573,0.8190156,0.85398173,1.3085982,1.4107158,0.7426969,1.2393751,1.1357079,1.1120837,1.2927704,1.4424248,0.34053504,1.2637892,0.53632826,0.8697019,0.9599385,0.63213253,0.62080103,0.81653595,0.37348855,1.3047969,1.3793762,1.4499128,0.36009604,0.7563176,0.7171484,1.2542636,0.61675364,0.8236454,1.3227758,1.0707456,1.0350864,0.4066397,1.3047413
elephant,0.89764905,1.1102571,1.2454987,1.0290364,0.8987376,1.1137682,1.128793,1.2648182,0.91868407,0.74372435,0.53896576,1.0642494,0.83726156,0.82263297,0.8811763,0.47908455,0.7007632,1.0491499,1.270319,1.2607758,0.85913235,1.3413111,1.0084769,1.1789222,1.1072052,1.1171138,0.575372,1.2179515,0.5152459,1.0014673,1.1794755,0.9488155,0.6505895,0.8651636,0.63918495,1.2449734,0.8052764,1.2593127,1.2406718,0.77931416,1.2451725,1.0845606,0.8698138,1.0914754,0.8848104,1.0424914,0.8909813,1.214803,0.0,1.0122654,0.96820337,1.1432915,1.133711,1.1208571,1.0631742,1.3080921,1.1862404,0.97211105,1.1759136,1.0067163,1.2494571,0.9118569,1.2366698,0.9866039,1.1588562,0.50579333,0.9920254,0.59182554,1.2243996,0.7596021,1.26176,0.9086271,1.0396568,0.66702294,1.2110351,1.1821043,1.0381054,0.9190124,0.8855032,1.0544167,0.99327487,1.1578076,1.0683621,1.0115356,1.1216464,1.0274578,0.909589,1.002655,0.76638144,0.8083463,0.71597135,1.1386695,1.193909,1.1970171,1.1810496,0.8962343,1.3162355,1.1360172,1.2816402,0.92936933,1.1643355,1.1647383,0.79169154,1.1657405,1.0358032,1.0062777,0.8281742,1.0851742,0.95006657,1.2177775,0.9036594,0.8671738,0.6221827,1.231698,0.40804982,1.1354951,1.1246203,1.2272413,1.3455617,1.2159737,1.0677874,1.1939269,1.0105828,0.6872942,0.8866156,1.2622638,1.2077848,1.136749,1.0581224,1.0595384,1.1953077,0.97940665,1.1020323,1.1128486,1.2063457,0.8987347
eye,0.9518218,0.9413187,0.99529505,1.0392847,0.97582555,1.0857669,1.1389977,1.0907283,1.210897,1.0935807,1.1014267,0.8493123,1.1579407,1.0253537,1.0722446,1.1131381,1.1173394,1.1655436,1.1506112,1.1000375,1.1528655,0.953013,1.0578814,1.2016401,0.9671473,1.0733331,1.0537953,0.96835744,1.035286,1.2183307,1.0695537,1.0532435,1.040057,0.97634155,1.0303663,1.0025147,1.1280464,1.0279808,0.97363836,1.1891764,1.1562299,0.99626243,1.0398363,1.1813457,1.0857304,1.0102129,1.0332079,1.0470569,1.0122654,0.0,0.6621152,0.6718483,1.0956393,1.15435,0.6656841,1.072238,1.1209223,1.0484662,0.60891736,1.0925647,0.99312335,0.8405803,0.9167727,0.85522103,0.9410752,0.91280323,1.1161269,1.067639,1.232544,1.0048673,1.0757593,1.1220325,1.1193454,0.9489293,1.1756408,1.0917598,1.1180834,1.1638213,1.0679833,0.8106464,1.0104367,0.76631576,0.99749124,0.7403276,0.3721012,0.91818255,1.1301162,1.0187432,1.0516684,0.99829036,1.0867441,1.1305107,0.99156904,0.990931,0.9978018,1.2027302,1.0068218,1.11118,1.1320968,1.057789,1.1409749,0.81553715,1.1544108,1.2131376,1.0058482,1.1414162,1.0011759,0.9683359,0.9095056,1.1637373,0.98667985,1.0723609,1.1199776,0.8777942,1.051963,1.0126323,0.8956169,0.8556794,1.086688,0.9387908,1.0681126,0.9461172,1.1331083,0.9603201,1.151034,1.0442196,0.6575334,0.6846525,1.1363039,1.0196707,1.1954634,1.121296,1.032704,1.123061,0.8768418,1.0231422
