,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,plant,plate,potato,pumpkin,purse,radio,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shower,sink,slipper,snow,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.4315697,0.75447154,1.014677,1.350606,1.2551793,0.7301576,0.79352176,1.1056321,1.2792912,1.4123528,0.0,0.97813296,1.4035729,0.6148462,0.93141216,0.8932307,0.9011527,0.5797529,1.0444828,1.4347672,1.0937047,0.8941887,0.54387224,0.7850085,0.6061134,1.1046783,1.0162632,0.70679986,1.2551994,1.2648443,1.084757,0.96312577,1.3260357,0.94209015,0.3634807,1.4023743,0.45626378,0.9060025,1.3814673,0.49378693,1.2697159,0.7514531,1.3349521,0.79924035,1.0873168,1.3224125,0.9405719,0.42817152,0.9268578,0.9471517,0.554489,1.2981342,1.1400037,0.64542377,1.2337236,0.8108599,1.3152454,1.3418818,0.43239975,1.0008047,1.294118,1.4163291,1.0058199,1.4349935,1.2022004,1.3860645,0.43365133,1.2697346,1.380241,1.0003444,0.50915253,0.585971,0.31990695,0.7426071,0.85099965,1.2661512,1.1926795,1.4106464,1.3285708,1.2654428,0.4024799,0.5845016,0.7521603,1.025428,0.5312127,0.97105867,1.0786543,1.0707495,0.61867595,0.91750205,0.52484727,1.0909173,0.9060025,1.2924426,0.76065624,1.3790447,0.8585518,1.0210025,1.1506703,0.62377244,0.4941612,1.1881024,0.8221951,0.69451004,0.5227304,1.1070817,1.4946212,1.5077641,1.0556495,0.84617656,0.69518757,1.2966897,0.6540873,0.8962655,1.3957274,1.2772661,0.4977579,0.4228016,1.2305076
bench,0.94860864,0.9284691,1.2683747,0.9763716,1.1054745,1.2331015,1.0062348,0.98351777,0.6404817,0.44035447,0.97813296,0.0,0.86210454,1.134664,0.8796489,0.93121666,0.8954706,1.1842184,1.2305824,1.1194386,1.0569879,0.9489499,0.7278682,0.9546556,1.1609421,0.9827881,0.61358917,1.0561887,0.82479,0.9397739,1.055552,1.10261,0.4154322,0.8867453,1.2024765,0.5355116,1.1286074,1.0787079,1.0078294,1.1445091,0.81190175,0.7144018,0.8859577,1.2352582,1.2751513,1.117365,1.0717376,1.2199934,1.0760272,1.0716199,0.9079,1.1585261,1.1073396,1.2079854,1.0073619,1.2711121,1.1338824,1.0933536,1.220682,1.1508919,0.9321158,0.9542882,1.0199218,0.85953724,0.9354563,0.8884357,1.0553725,1.1495415,1.0326941,0.9902844,1.1830667,0.81213325,1.02205,1.1295742,1.3440297,0.8220237,1.1291989,0.8409078,0.8627643,0.81430435,0.96846455,1.1761513,1.2403333,1.1438988,0.58365446,1.0154864,1.0209419,1.1219125,1.3211977,0.9497326,0.9966597,0.6825928,1.0787079,1.1076709,1.1120721,0.8901487,0.8524381,0.7030704,0.94800305,0.53429693,1.0643642,1.0771002,0.8363714,1.1072215,1.18119,0.7910694,0.91898113,0.88181764,1.045639,1.1119397,1.1674649,0.97039944,0.7082443,1.0450834,1.0404643,1.11391,1.0108294,1.2180371,0.8211336
bib,0.6429224,1.0289756,1.3093861,0.4851383,0.986518,1.3552625,1.1249452,1.1028521,0.7323483,0.7784398,1.4035729,0.86210454,0.0,1.3178207,0.9289209,1.1496099,1.2204111,1.3105291,1.1862885,0.9302065,1.1929213,1.1051726,1.1855891,1.2330511,1.2705922,0.83439624,1.0311345,1.3028758,0.715047,0.591205,1.2248195,1.1529137,0.67115843,0.9763249,1.444484,0.81995595,1.3884441,1.2006005,0.7569675,1.3360045,0.74332047,1.2337713,0.05045414,1.2133924,1.2740498,0.7586416,0.95586044,1.4333422,1.2581341,0.93144727,1.1651381,0.9356859,0.9574868,1.1804342,0.72116363,1.1726515,0.5804421,0.62679493,1.4106383,1.2116079,0.804273,0.55748826,1.0691906,0.43172073,0.82506037,0.7246017,1.3459566,0.96524936,0.61218554,1.1684854,1.4032091,1.1151508,1.225115,1.2571541,1.3313141,0.71461236,0.79341775,0.33925593,0.5049962,0.64482653,1.4219137,1.3230329,1.2626044,1.1157693,1.1871195,1.2009392,1.1009555,1.0278529,1.3488266,1.1122074,1.4345729,0.80524975,1.2006005,0.93985844,1.2307049,0.3437637,1.1753992,0.68565834,0.91214144,1.3052648,1.3033328,0.9060471,0.9637237,1.270095,1.3215963,1.0802802,0.44555295,0.70507526,1.1612103,1.0560561,1.093067,0.73359334,0.9664347,1.291315,0.90491825,0.86641717,1.3777332,1.3496126,0.798538
bird,1.2450218,0.92264605,0.9281833,1.3638675,1.2049885,0.836367,0.8051076,1.1459752,1.3223575,1.3088934,0.6148462,1.134664,1.3178207,0.0,1.0713085,0.8160814,0.7378599,0.8614506,1.1712141,1.3396795,1.035618,0.92865247,0.80051476,0.8141314,0.75903904,1.0661656,1.0942433,0.8217624,1.2209126,1.2221627,1.0291322,0.89020926,1.2520875,0.9772273,0.59821576,1.2769029,0.76681256,0.8317989,1.15291,0.62579876,1.2547693,0.8277582,1.2714188,0.4232216,0.93422616,1.2396135,1.1058664,0.39960426,0.8106992,0.9800354,0.8028254,1.0116509,1.0026029,0.8318329,1.2217027,0.9485394,1.3239865,1.3662809,0.5619913,0.8476748,1.3142135,1.2848825,0.99180853,1.3330414,1.3295932,1.2797434,0.69702554,1.2368059,1.3556416,0.7549108,0.78007555,0.7576604,0.5945324,0.9956312,0.81862533,1.2926736,1.2165216,1.3672875,1.2562828,1.2339758,0.56763333,0.8453525,0.440808,0.9216547,0.66496056,0.83901787,1.0835153,1.0207901,0.78552204,0.881557,0.86389184,1.2150882,0.8317989,1.2666472,0.9980243,1.26391,0.86392033,1.1125755,1.1434529,0.9063979,0.70049953,0.9664879,0.95816284,0.7549579,0.7594036,1.0046839,1.3330551,1.3967707,0.9342632,0.9470345,0.81702936,1.3533908,0.8649914,0.8023722,1.3007972,1.1443363,0.58913916,0.7453327,1.1839566
blanket,1.0734836,1.2011944,1.1270965,0.95937824,1.1813463,1.0775292,1.1388512,0.9491324,1.0223322,0.9405488,0.93141216,0.8796489,0.9289209,1.0713085,0.0,1.0027729,0.6268846,0.9420591,0.99437493,1.0204943,1.0233805,0.8806015,1.0176023,0.84263504,1.2157456,1.1019068,0.78490514,0.89780575,1.0297695,1.0438561,0.85572016,1.0763645,0.8853569,1.1342402,1.0988965,1.0289094,0.87561494,1.0635257,1.0801682,0.8751989,1.0538833,1.1720847,0.9546727,1.2978287,1.07189,1.0455413,1.2233229,1.0618104,0.82132876,1.182872,0.9682359,0.9775171,1.1744615,1.2731196,1.2671854,1.1642351,1.1306016,1.2110245,1.0628395,0.8098302,0.86410344,0.9986016,0.64443606,1.1463673,1.156632,0.9976258,1.0781877,1.114271,1.2003418,0.76600456,1.0081967,0.26091444,1.1100097,1.0485862,1.1911796,0.9687964,0.9503373,1.0281136,1.1886363,0.8549718,1.0249457,1.0433372,1.2850184,1.2303902,0.7781359,0.86039495,0.91946065,1.1326151,1.0078049,0.8348815,0.74811625,1.0618001,1.0635257,0.98696387,1.0804331,1.0621825,0.80761075,1.1597083,1.0025061,1.0833013,1.1146166,0.93667,1.2901392,1.1729453,1.0939071,0.9009963,1.0884981,0.99852103,0.99578714,1.1587508,1.229632,0.8069301,0.3714379,0.6566425,1.0026633,0.9675081,1.1071123,1.199831,0.9863537
boat,1.1480168,1.079614,0.9675164,1.221624,1.1139816,1.01942,0.8512287,1.0942644,1.247705,1.0290141,0.8932307,0.93121666,1.1496099,0.8160814,1.0027729,0.0,0.72561747,1.042334,1.112142,1.1509743,0.95888674,1.0121806,0.99480194,0.7353064,0.9174419,1.1934628,0.9265367,0.9915041,1.0815356,1.1814283,0.95874983,0.86243176,1.0749531,0.84135365,0.8114047,1.0319756,0.95200366,0.974629,1.1638714,0.9507927,1.1693606,0.84452695,1.1100545,0.9812057,0.9130329,1.1031682,1.0479721,0.9573208,0.8719127,1.0218933,1.0259739,1.0320433,1.0079832,0.9699389,1.2153163,0.9521118,1.1236751,1.2066451,0.84778583,0.95568764,1.1633478,1.1196296,0.97822624,1.174671,1.2299042,1.1810216,1.0105672,1.1196206,1.257795,0.72795606,0.94033295,0.9018941,0.85604376,1.0622556,0.85048234,1.197689,1.041106,1.1653326,1.1706603,1.1628964,0.7963956,0.8371689,0.9798012,0.93487334,0.8540725,0.8453456,0.9924496,1.0118175,0.92246497,0.93551874,0.9186159,1.2291691,0.974629,1.1550058,0.9468641,1.116901,0.89146286,0.9821628,1.0324193,1.0196621,0.9396871,1.0240628,1.133992,0.86390924,0.91848946,0.94261754,1.1621807,1.2406967,0.99595803,1.0141811,0.985156,1.0517396,1.000577,0.8312168,1.039973,0.96762925,0.9284366,0.9225937,1.0813522
book,1.1931657,1.1095685,0.9513985,1.2464114,1.1523354,0.9373856,1.0327929,0.92189837,1.2078732,0.94475406,0.9011527,0.8954706,1.2204111,0.7378599,0.6268846,0.72561747,0.0,0.8555032,1.0061666,1.0521678,0.91964847,0.7591349,1.0509582,0.85001314,1.0706382,1.2849947,0.8848519,0.784538,1.2156651,1.2873238,0.6925734,0.94269437,1.0439171,1.0746413,0.8543927,0.97883815,0.7927183,1.0093795,1.1911615,0.8090284,1.2763901,0.97321016,1.1877147,1.1513239,0.924853,1.17537,1.2665133,0.9708598,0.7240088,1.1688402,1.0811168,0.96020204,1.1252923,1.16917,1.245286,1.0070553,1.313928,1.3581159,0.8494978,0.6990868,1.0176476,1.2157764,0.77828556,1.32009,1.1894621,1.1358576,1.0138872,1.1328821,1.2553216,0.46751672,0.9022031,0.62123764,0.9952488,1.0129555,0.9760725,1.2051928,1.1690068,1.2666106,1.3343368,1.0600076,0.8395122,0.89208734,1.1255934,1.0850598,0.76263535,0.7884448,0.81321347,1.0655538,0.93233,0.7277436,0.75300455,1.237856,1.0093795,1.0552927,0.9579025,1.3241098,0.7330432,1.224906,1.1359835,1.0359646,0.94180614,1.0902247,1.251817,0.9923183,0.9644077,0.84478605,1.2975883,1.1321074,0.86371565,1.0967629,1.1904335,0.9081331,0.7144841,0.15523267,0.8867054,1.0976939,0.9627231,0.98168844,1.120806
bottle,1.2911123,0.9722598,0.9101151,1.1852285,1.0756906,0.5306165,1.0896517,1.0477475,1.3031609,1.2413664,0.5797529,1.1842184,1.3105291,0.8614506,0.9420591,1.042334,0.8555032,0.0,0.71824634,1.1550548,0.97509164,0.5169648,0.70266163,0.96784765,0.7834362,1.3416834,0.95183456,0.6294066,1.2626652,1.3359638,0.9657427,1.0602785,1.3667862,1.0527563,0.4508983,1.1812844,0.099957764,1.1069522,1.3787024,0.3451891,1.2326758,1.1133335,1.2721651,1.0615369,0.97955406,1.1802069,1.0792458,0.64689255,0.82012427,1.1121944,0.991368,1.1541531,1.0170892,0.83508235,1.0302991,0.7456458,1.2591319,1.2278607,0.4196586,0.9498828,1.1419923,1.3627267,0.82543755,1.4219025,1.0777276,1.2289886,0.6565105,1.0947087,1.0836852,0.9661195,0.40542483,0.7245727,0.7185207,0.9304116,0.7505932,1.1624271,1.2030958,1.3864956,1.3866694,1.2158921,0.6048458,0.6532029,1.0359757,1.1206216,0.8807409,0.9347677,0.9042131,1.0980253,0.4459802,0.8619288,0.49373782,1.0883312,1.1069522,1.2012281,0.5847588,1.3912349,0.99196136,1.2774177,1.1261147,0.8995487,0.74278724,1.2226322,1.0407293,0.9808614,0.5899614,0.97104955,1.382849,1.2655423,0.9703366,0.9595963,1.0422714,1.2088526,0.8409098,0.57607764,1.1697357,1.2234224,0.64977777,0.57227993,1.2182996
bowl,1.0779753,1.2982764,0.7390739,1.0785536,0.94630235,0.87945807,1.1323565,0.4705059,1.003797,0.99289227,1.0444828,1.2305824,1.1862885,1.1712141,0.99437493,1.112142,1.0061666,0.71824634,0.0,0.22697544,0.8900716,0.87976134,1.0955051,1.0546678,1.0423388,1.1500016,1.0281746,1.0123276,1.0047165,1.1679808,0.9477642,0.9083842,1.1339127,1.1433499,0.8958558,0.9544472,0.67956805,1.2319411,1.1496439,0.7928239,1.0785851,1.1000886,1.1897885,1.0563426,0.8851399,0.9869016,1.2301519,0.8791519,0.9862298,1.2720605,1.0268127,0.9966192,0.99982655,1.0744774,1.3186846,1.0386648,1.137568,1.1461622,0.96603525,1.064613,0.9495886,1.1156726,1.0197687,1.184546,1.1002034,0.9329495,1.0000347,0.8483116,1.2272093,1.0176191,0.7666504,1.095755,1.2159343,1.0699863,0.80404204,1.0023297,0.964833,1.1744337,1.2132504,1.1097473,0.86537945,1.0100672,1.0570762,0.89810306,1.238646,1.0401051,0.6792723,1.0850204,0.73480386,1.1025165,0.78221166,1.1232513,1.2319411,0.5054841,0.83074474,1.187086,1.2330706,1.2444971,0.98043716,0.94919086,1.275517,0.8769307,1.3526156,1.0886972,0.9696039,1.0338483,1.1408793,0.7146836,1.0916308,1.2197533,1.16115,0.91452336,1.1415884,0.8219975,0.46524596,0.94587046,1.0381929,1.0447905,1.0706275
box,0.84747106,1.3227619,0.75735223,0.9103188,0.78176886,1.1067193,1.1685637,0.342772,0.819605,0.73558617,1.4347672,1.1194386,0.9302065,1.3396795,1.0204943,1.1509743,1.0521678,1.1550548,0.22697544,0.0,0.95201904,0.8674227,1.251804,1.172368,1.2594132,1.0808774,0.98996556,1.1722382,0.8599322,0.9804718,0.94565946,0.83107364,0.9182046,1.0946462,1.3509655,0.6974133,1.2170439,1.1876665,0.9421868,1.2481191,0.9296805,1.1205789,0.95683634,1.2074087,0.879332,0.8926379,1.2051433,1.3115921,1.0077214,1.2180551,1.1649946,0.8500052,0.9720997,1.2909421,1.1003269,1.1477853,0.97203827,0.9292841,1.3582925,1.1014327,0.79623616,0.91462094,0.9818508,0.912017,0.9372662,0.74806356,1.3031098,0.75357306,0.9432109,0.9987219,1.2474691,1.2679869,1.477889,1.1469523,1.0433397,0.83868587,0.9122625,0.9118076,0.99362534,0.96614903,1.2840343,1.2582581,1.2218152,0.809459,1.3428458,1.0058254,0.76545477,1.0027514,1.1838816,1.0810603,1.1541557,1.008091,1.1876665,0.28698075,1.03694,0.96207476,1.2118633,1.1469772,0.9012085,1.1209322,1.4736738,0.8420251,1.3190736,1.1834322,1.2740893,0.89536715,0.89674544,0.5336919,1.0499892,1.2555715,1.2423731,0.7126162,1.2421949,0.9685272,0.29124123,0.8923804,1.2823577,1.376994,0.96865994
bread,1.1107683,0.9515516,0.544066,1.2189056,0.6057112,0.75789404,0.7555032,1.0688808,1.2228365,1.0680078,1.0937047,1.0569879,1.1929213,1.035618,1.0233805,0.95888674,0.91964847,0.97509164,0.8900716,0.95201904,0.0,1.0639832,1.1671478,1.0517014,0.8070159,1.2318878,1.1297547,1.0073413,1.1867228,1.2969868,0.3857125,0.80782676,1.2005032,0.9038835,0.9330015,1.0592421,0.921938,1.0415388,1.1781104,1.0308223,1.2808635,1.0469623,1.2217927,1.0241653,0.44271815,1.114341,0.8698882,1.0070297,1.0662377,0.9821961,1.044199,1.0015664,1.0854622,1.0541219,1.0668999,0.7647723,1.105216,1.0392203,1.028554,1.0014442,1.1299205,1.2136503,0.9514413,1.1929716,1.16612,1.0592777,1.0700328,0.4341874,1.0410511,0.99143404,0.91342986,0.9814234,1.0544875,0.79031175,0.5735405,1.1707708,1.0817184,1.2389336,1.2145826,0.9472101,1.0119576,0.94896185,1.0232975,0.6775223,1.0238636,1.1025532,0.4608785,0.6941106,0.84579504,1.1035603,1.0577091,1.2370805,1.0415388,1.0118253,1.1458288,1.2032003,1.1005616,1.1207461,1.0839789,0.96843743,1.0711629,1.2164221,1.0415922,0.84160864,0.9355531,1.1658839,1.236994,1.1314833,0.7336626,0.9259651,0.9283015,1.0357668,0.9826487,0.8729348,1.0347896,1.1249998,1.1591487,0.991471,1.2213523
bucket,1.065439,0.998967,0.9956916,1.1308151,0.96114004,0.80370426,1.0360553,0.72701234,1.083805,0.94862485,0.8941887,0.9489499,1.1051726,0.92865247,0.8806015,1.0121806,0.7591349,0.5169648,0.87976134,0.8674227,1.0639832,0.0,0.78592896,1.0462631,1.0456417,1.2461329,0.8959195,0.8328752,1.1968026,1.1730615,0.9706206,0.9193993,1.1405172,0.9513361,0.9793077,0.8891915,0.65314865,1.0398606,1.1364772,0.83670163,1.1624185,1.0179752,1.1096821,1.1786978,1.010158,1.1611775,1.1589749,1.069568,0.84997296,1.1753697,1.0552094,1.0016009,1.0381054,1.1256102,0.89241314,0.93022794,1.1703463,1.1679761,0.8202444,1.0418979,0.92492807,1.21966,0.6099795,1.2393872,1.0444055,1.0802317,1.0306782,1.0550169,0.9357066,0.9127666,0.97694045,0.75974655,1.0256406,1.0519693,1.0720396,0.9884092,1.2069256,1.1657925,1.229708,1.1057945,0.98096055,0.9764331,1.1959867,1.0301871,0.87497455,0.914418,0.86960495,1.0570427,1.0000521,0.7267641,0.8612887,0.94535077,1.0398606,0.90262127,0.8882787,1.2539696,0.9281229,1.1740125,1.0961558,0.9687815,0.95551026,1.1339977,0.97702193,1.0467286,0.89194703,0.7133614,1.251763,1.063732,0.81707764,1.1118066,1.174456,0.9301887,0.8103653,0.6714653,0.87730557,1.2363777,0.8389856,1.0090429,1.167905
can,1.1692762,1.0058845,1.2126601,1.0632238,1.1894764,0.9091533,1.0307993,0.9856488,0.7456526,1.0339853,0.54387224,0.7278682,1.1855891,0.80051476,1.0176023,0.99480194,1.0509582,0.70266163,1.0955051,1.251804,1.1671478,0.78592896,0.0,0.80971116,0.9412429,0.9937283,0.7698767,0.8627032,0.9075818,1.0181975,1.1373782,1.1325252,0.98650324,0.9686208,0.8224993,1.0562668,0.71904474,1.0126622,1.2058688,0.7545707,0.76635087,0.80050397,1.1588198,1.0620347,1.2439873,1.2301683,1.1816933,0.759249,0.87757605,1.1922696,0.6467736,1.1978325,1.0956668,1.0423219,1.1077225,1.2060452,1.1929724,1.2198763,0.8333084,1.0590013,1.1094272,1.1280421,0.9306805,1.1626499,0.92018425,1.0108494,0.68894863,1.2560215,1.1703196,1.0007592,0.9095452,0.7647151,0.7533465,1.0651543,1.1376956,0.74248236,1.1762496,1.1337131,1.0760703,1.0960921,0.5935574,0.94397175,1.0258164,1.1611662,0.6108114,0.91765,0.99422663,1.1736523,0.911242,0.89237523,0.7407981,0.41135824,1.0126622,1.1885157,0.93568903,1.1213672,0.9103027,0.7727791,0.92775095,0.55656844,0.9239396,1.1660274,0.9485796,0.98942894,0.9286602,0.92908466,1.1600753,1.1317513,1.191619,1.1623696,1.0356443,1.1608236,0.77313256,1.0038655,1.287451,1.2210634,0.6219338,0.9321394,0.85384107
car,1.1336682,1.1716975,0.9978514,1.1556195,1.0694377,0.95858306,1.1603148,1.0254685,1.0701823,1.0233194,0.7850085,0.9546556,1.2330511,0.8141314,0.84263504,0.7353064,0.85001314,0.96784765,1.0546678,1.172368,1.0517014,1.0462631,0.80971116,0.0,1.0660361,0.8675449,0.8282409,0.88638216,1.0261495,0.9578138,1.0010625,1.0936323,1.0660863,1.1784743,0.9301851,1.0547966,0.8822031,0.98333377,0.975811,0.8564352,0.9221125,0.91902363,1.2259202,1.0148546,1.0279398,1.0004956,1.1606659,0.6750604,0.9319278,1.1634386,0.8916472,1.0414015,1.0404615,1.0993047,1.2645136,1.1716678,1.1799558,1.2291144,0.9133461,0.69236696,1.0793651,1.1635562,0.9645999,1.2477843,1.0388136,1.1520895,0.9351624,1.1556239,1.2804065,0.7080839,0.9505403,0.83084506,0.99161536,0.9778297,1.0496303,1.0215479,1.1341095,1.2314414,1.1868774,1.1534933,0.7276813,1.0286993,0.94914794,1.1661088,0.9320447,0.9417685,0.9729948,1.0939662,0.9602679,0.8673136,0.6595925,0.9766847,0.98333377,1.0746744,1.0419133,1.2451236,0.8420483,0.999867,0.95243216,0.8075558,0.98731995,0.90397894,1.1841409,1.1233827,0.9815664,1.0133288,1.222145,1.159611,1.0583519,1.1696599,1.0002997,1.2272278,0.8630352,0.8516277,1.1688514,0.53588545,0.952924,1.0287135,0.80429024
carrot,1.2593629,0.58809984,0.6316271,1.3687606,0.8952827,0.57568276,0.43587017,1.23254,1.4643929,1.4854552,0.6061134,1.1609421,1.2705922,0.75903904,1.2157456,0.9174419,1.0706382,0.7834362,1.0423388,1.2594132,0.8070159,1.0456417,0.9412429,1.0660361,0.0,1.1845951,1.2377208,0.92383176,1.3588238,1.2388601,0.9976316,0.7319693,1.5090345,0.5742235,0.4604566,1.4084488,0.68310434,0.9910701,1.3481863,0.7750602,1.3545108,0.7933293,1.2286643,0.6842319,0.5816223,1.2222364,0.56380767,0.58523613,0.98631984,0.69730747,0.71384245,1.2177907,1.008878,0.50386274,0.9748358,0.6026907,1.1498015,1.012873,0.58954245,1.2198573,1.4691846,1.3870616,1.0937113,1.3841184,1.3713368,1.3871591,0.657259,0.85832196,1.0926638,1.1775064,0.62688756,0.9042627,0.54386246,0.7800535,0.39571452,1.4000638,1.2506366,1.3344307,1.2810364,1.2138866,0.67336315,0.6072125,0.7187722,0.55156165,0.7900339,1.0080038,1.0861752,0.44310248,0.5299781,1.0217595,0.87731975,1.2129383,0.9910701,1.1912409,1.0226521,1.2896421,1.1980199,1.0109156,1.33407,0.8806652,0.6517314,1.2581973,0.6556847,0.54856575,0.2115975,1.180902,1.412951,1.5502839,1.0564997,0.6641014,0.64450884,1.3119891,0.97214526,1.0736356,1.3100085,1.3102225,0.71514845,0.48205853,1.3024716
cat,0.7889507,1.1641681,1.3154068,0.74629295,1.136129,1.3512989,1.1702394,1.0287926,0.63395685,0.8893293,1.1046783,0.9827881,0.83439624,1.0661656,1.1019068,1.1934628,1.2849947,1.3416834,1.1500016,1.0808774,1.2318878,1.2461329,0.9937283,0.8675449,1.1845951,0.0,1.0193043,1.257056,0.74691117,0.44904637,1.2730321,1.2457526,0.71895957,1.114083,1.3241789,0.9317131,1.337908,1.0555407,0.20063972,1.1804732,0.6239377,1.0482984,0.8458179,0.8858838,1.2988403,0.8472403,1.1323954,0.9866713,1.1755618,1.1348238,0.938368,0.8903048,0.92875385,1.1105168,0.9605544,1.3431427,0.6984004,0.8830537,1.2443597,0.88711596,0.8141427,0.62306416,1.1174334,0.70547247,0.8107544,0.9096476,1.0938972,1.0791986,0.9930538,1.1476041,1.2711684,1.242198,1.192886,0.9976548,1.2479932,0.82082736,0.7851693,0.70901924,0.6135626,1.03405,1.1005312,1.3036778,0.9085971,1.1487532,1.177862,1.1377931,1.1926593,1.0485269,1.2071719,1.0694401,1.1789161,0.71838105,1.0555407,0.9909514,1.3064177,0.6524081,1.1232847,0.7174219,0.9886878,1.0569702,1.1983105,0.6906258,1.0213166,1.163507,1.2907971,1.0771902,0.62120116,0.73174095,1.2483394,1.235514,1.0074047,1.0048454,1.1615632,1.388755,1.0099709,0.6799834,0.97558725,1.2450866,0.710618
chair,1.0670053,1.127161,1.1914684,1.0301983,1.1907235,1.1121359,1.2174034,0.749799,0.681588,0.52758944,1.0162632,0.61358917,1.0311345,1.0942433,0.78490514,0.9265367,0.8848519,0.95183456,1.0281746,0.98996556,1.1297547,0.8959195,0.7698767,0.8282409,1.2377208,1.0193043,0.0,0.8481691,0.71247435,1.0334485,1.0265256,1.1440524,0.6445175,1.1880023,1.2356815,0.5244302,0.97605795,1.1457503,1.0005887,0.9027276,0.685492,0.84927976,1.0286149,1.2990891,1.1963065,1.0098867,1.3179036,1.1483251,0.7717118,1.2580528,1.0749555,1.0381931,1.085526,1.2959214,1.2201068,1.3390219,1.1126268,1.252125,1.0675263,0.94732296,0.91442263,1.0849085,0.88287884,1.0870904,0.941126,0.7222787,0.9757165,1.2134368,1.1817746,0.8660854,1.134722,0.71561646,1.1943381,1.1504575,1.2765403,0.7122268,1.1183152,1.0638622,1.0525277,1.0276277,1.09008,1.1690593,1.3098645,1.2072996,0.7968603,0.76716936,0.99498594,1.1833699,1.1056844,0.73252755,0.7321544,0.69005734,1.1457503,1.0555104,1.0074531,1.1513866,0.8477203,1.0652552,0.76354545,0.7655034,1.1731857,1.1163931,1.1786053,1.2947,1.1873145,0.65723014,1.0457577,0.7206868,1.1427053,1.2307591,1.349213,1.063253,0.6939958,0.88292646,0.93660057,1.0121893,0.8483858,1.2265155,0.6397574
clock,1.2815453,0.8719529,0.9391699,1.2478359,1.1052442,0.79372084,1.0264287,0.8910329,1.2301952,1.2043633,0.70679986,1.0561887,1.3028758,0.8217624,0.89780575,0.9915041,0.784538,0.6294066,1.0123276,1.1722382,1.0073413,0.8328752,0.8627032,0.88638216,0.92383176,1.257056,0.8481691,0.0,1.097919,1.2017316,0.86365986,0.98094004,1.3315387,1.2207339,0.7589325,1.137151,0.6531235,0.81116855,1.2957245,0.6798651,1.0701572,0.84945196,1.2635713,0.9771036,0.9459889,1.1785547,1.2285192,0.7946128,0.7510402,1.0783656,0.8648081,1.1953744,1.1675904,0.98388284,1.2667577,0.9469541,1.3212305,1.365891,0.7149271,0.8577503,1.114327,1.2505205,0.8030978,1.4148467,1.0876541,1.1055342,0.53389037,1.1419412,1.3379841,0.91557145,0.81567955,0.7060914,0.7718033,0.7466501,0.9439423,1.1723496,1.1860504,1.3779083,1.3413575,1.2304159,0.88075364,0.8473516,0.94847894,1.0646536,0.85210556,0.7997151,1.0171595,0.9673465,0.8171388,0.6219715,0.53982836,1.042515,0.81116855,1.0856265,0.7825066,1.3833351,0.9339926,1.3784089,1.0910436,0.9122186,0.88055766,1.1552726,0.9883598,0.98275846,0.87193,0.909055,1.3475361,1.2437296,0.8510701,1.0016218,1.0171195,1.2301967,0.7969948,0.7295333,1.157203,1.1246343,0.64079505,0.7090674,1.0918236
closet,0.8645922,1.1994503,1.2996914,0.74862355,1.134746,1.3259883,1.2737513,0.97689676,0.4993496,0.6990297,1.2551994,0.82479,0.715047,1.2209126,1.0297695,1.0815356,1.2156651,1.2626652,1.0047165,0.8599322,1.1867228,1.1968026,0.9075818,1.0261495,1.3588238,0.74691117,0.71247435,1.097919,0.0,0.69837743,1.1454486,1.264866,0.613695,1.1599276,1.4014828,0.73287725,1.2766209,1.0943615,0.84270775,1.2163037,0.3167215,1.0333618,0.73911107,1.2087799,1.3111818,0.89539355,1.2298595,1.2442579,1.1128162,1.1837256,1.1182752,1.0600746,0.8685355,1.231719,1.0760877,1.3892692,0.87738264,0.95101357,1.3174638,0.9990162,0.87591904,0.6774609,1.0534914,0.71832716,0.8270998,0.6209439,1.1768771,1.0406641,0.99765104,1.0809066,1.2825239,1.1503749,1.2983148,1.2186887,1.3494694,0.60058993,0.8666959,0.6323265,0.6853714,0.92624915,1.2108384,1.3384241,1.2006981,1.2085594,1.1966416,1.0635619,1.1041772,1.2019011,1.255486,1.1352415,1.1966203,0.55965203,1.0943615,0.9253173,1.1249684,0.668163,1.0396228,0.7913482,0.48301077,1.0748308,1.3174,0.84812206,1.1444614,1.3578684,1.398606,1.0259355,0.6010562,0.62992835,1.2080109,1.2477012,1.194118,0.9781256,1.0827094,1.2660398,0.9857344,0.78911054,1.1595025,1.3723724,0.49993116
