"","target","min_distance","cleaned_target","object","source","log_prop","in_cdi","num_direct_children","direct_parent","path_1","path_2","path_3","path_4","path_5","path_6"
"70","black_box.n.01",2,"black box","black box","vqa",-8.65247830852453,FALSE,0,"object.n.01","object","black box",NA,NA,NA,NA
"71","blackberry.n.02",2,"blackberry","blackberry","vqa",-10.903770107131,FALSE,0,"object.n.01","object","blackberry",NA,NA,NA,NA
"72","blackboard.n.01",3,"blackboard","blackboard","vqa",-7.74676968598092,FALSE,0,"sheet.n.06","object","sheet","blackboard",NA,NA,NA
"73","blanket.n.01",2,"blanket","blanket","vqa_yoloe",-3.11522009878139,TRUE,0,"object.n.01","object","blanket",NA,NA,NA,NA
"74","blender.n.01",5,"blender","blender","vqa",-7.04304039609043,FALSE,0,"mixer.n.04","object","utensil","kitchen utensil","mixer","blender",NA
"75","blind.n.03",2,"blind","blind","vqa",-8.70654552979481,FALSE,2,"object.n.01","object","blind",NA,NA,NA,NA
"76","blind.n.03",2,"blind","screen","vqa",-9.39969271035475,FALSE,2,"object.n.01","object","blind",NA,NA,NA,NA
"77","block.n.01",2,"block","block","vqa_yoloe",-5.71453931978944,TRUE,2,"object.n.01","object","block",NA,NA,NA,NA
"78","blueberry.n.01",3,"blueberry","blueberry","vqa",-10.903770107131,FALSE,0,"shrub.n.01","object","shrub","blueberry",NA,NA,NA
"79","board.n.02",2,"board","plank","vqa",-9.98747937525687,FALSE,0,"object.n.01","object","board",NA,NA,NA,NA
"80","board.n.03",3,"board","board","vqa",-7.19019804042672,FALSE,2,"sheet.n.06","object","sheet","board",NA,NA,NA
"81","board_game.n.01",2,"board game","board game","vqa",-9.65100713863566,FALSE,0,"game.n.01","game","board game",NA,NA,NA,NA
"82","body_of_water.n.01",1,"body of_water","water","vqa_yoloe",-6.69380668482793,TRUE,0,"entity.n.01","body of_water",NA,NA,NA,NA,NA
"83","body_part.n.01",1,"body part","body part",NA,NA,NA,15,"entity.n.01","body part",NA,NA,NA,NA,NA
"84","book.n.02",2,"book","book","vqa_yoloe",-1.77681323152415,TRUE,1,"object.n.01","object","book",NA,NA,NA,NA
"85","bookcase.n.01",3,"bookcase","bookcase","vqa",-7.26618394740464,FALSE,0,"furniture.n.01","object","furniture","bookcase",NA,NA,NA
"86","booklet.n.01",2,"booklet","folder","vqa",-10.2106229265711,FALSE,0,"object.n.01","object","booklet",NA,NA,NA,NA
"87","bookshelf.n.01",4,"bookshelf","bookshelf","vqa",-2.88728720573969,FALSE,0,"shelf.n.01","object","device","shelf","bookshelf",NA,NA
"88","boot.n.02",3,"boot","boot","yoloe",-4.80806883310123,FALSE,0,"room.n.01","object","room","boot",NA,NA,NA
"89","bottle.n.01",3,"bottle","bottle","vqa_yoloe",-2.67368221056189,TRUE,3,"container.n.01","object","container","bottle",NA,NA,NA
"90","bow.n.04",4,"bow","bow","vqa",-10.903770107131,FALSE,0,"weapon.n.01","object","device","weapon","bow",NA,NA
"91","bowed_stringed_instrument.n.01",4,"bowed stringed_instrument","string","vqa",-9.1990220148926,FALSE,1,"musical_instrument.n.01","object","device","musical instrument","bowed stringed_instrument",NA,NA
"92","bowl.n.03",3,"bowl","bowl","vqa_yoloe",-2.57291924574374,TRUE,1,"container.n.01","object","container","bowl",NA,NA,NA
"93","box.n.01",3,"box","box","vqa_yoloe",-2.54274514795047,TRUE,5,"container.n.01","object","container","box",NA,NA,NA
"94","boy.n.02",5,"boy","boy","vqa",-5.78278675586591,TRUE,0,"man.n.01","object","person","adult","man","boy",NA
"95","bracelet.n.02",3,"bracelet","bracelet","vqa",-10.2106229265711,FALSE,0,"decoration.n.01","object","decoration","bracelet",NA,NA,NA
"96","bread.n.01",2,"bread","bread","vqa_yoloe",-5.56554136463621,TRUE,4,"food.n.02","food","bread",NA,NA,NA,NA
"97","brick.n.02",3,"brick","brick","vqa",-10.4983049990229,FALSE,0,"person.n.01","object","person","brick",NA,NA,NA
"98","bridge.n.09",3,"bridge","bridge","vqa",-8.76370394363476,FALSE,0,"surface.n.01","object","surface","bridge",NA,NA,NA
"99","brim.n.01",3,"brim","lip","yoloe",-6.41429820730524,FALSE,0,"surface.n.01","object","surface","brim",NA,NA,NA
"100","broccoli.n.01",2,"broccoli","broccoli","vqa",-8.88886708658876,FALSE,0,"object.n.01","object","broccoli",NA,NA,NA,NA
"101","broom.n.01",2,"broom","broom","vqa_yoloe",-6.41988025718766,TRUE,0,"object.n.01","object","broom",NA,NA,NA,NA
"102","brown_cup.n.01",2,"brown cup","brown cup","vqa",-10.903770107131,FALSE,0,"object.n.01","object","brown cup",NA,NA,NA,NA
"103","brush.n.02",2,"brush","brush","vqa_yoloe",-6.97709599882605,TRUE,3,"object.n.01","object","brush",NA,NA,NA,NA
"104","bubble.n.01",2,"bubble","bubble","vqa_yoloe",-7.18237064333424,FALSE,0,"ball.n.03","ball","bubble",NA,NA,NA,NA
"105","bucket.n.01",3,"bucket","bucket","vqa_yoloe",-3.8904635966576,TRUE,0,"container.n.01","object","container","bucket",NA,NA,NA
"106","bug.n.03",4,"bug","bug","yoloe",-7.45736150727238,TRUE,0,"microphone.n.01","object","device","microphone","bug",NA,NA
"107","building.n.01",2,"building","building","vqa",-9.51747574601114,FALSE,4,"object.n.01","object","building",NA,NA,NA,NA
"108","bunny.n.02",4,"bunny","bunny","vqa_yoloe",-8.31774700252592,TRUE,0,"rabbit.n.01","object","animal","rabbit","bunny",NA,NA
