category,mean_correlation,std_correlation,min_correlation,max_correlation,n_subject_pairs
frog,0.6890376678798148,0.19985430767926032,0.03971249237656593,0.9511147737503052,930
bowl,0.6862149814764659,0.19900615758184367,-0.16071143746376038,0.9504289627075195,930
clock,0.6861628563814266,0.1390550572091446,0.13853153586387634,0.901645302772522,930
closet,0.6857135214755687,0.1298891785838341,0.15581922233104706,0.9048265814781189,812
paper,0.6852233819743638,0.16339143635830278,0.19093501567840576,0.9461684226989746,930
bench,0.6819884184227195,0.13344959425166292,0.22229677438735962,0.9327870607376099,930
soap,0.6797582422378202,0.17961018040711896,-0.03333725407719612,0.9195024967193604,756
doll,0.6787939152409953,0.1576706727236231,0.1683315932750702,0.9160101413726807,930
mitten,0.6767512909667466,0.22963487704218385,0.022360723465681076,0.9529457688331604,930
vacuum,0.67377441570323,0.13136371132826977,0.27534571290016174,0.9040104150772095,930
shower,0.6735864588592806,0.16713079842296888,0.10850945115089417,0.9184502363204956,702
plant,0.6725741486395559,0.1353831208272573,0.2524873614311218,0.9216488599777222,930
cat,0.6724780132052719,0.1966242931341094,-0.06228957325220108,0.9708850383758545,930
tooth,0.6653356523283066,0.17929458418696484,0.08444759249687195,0.9626839756965637,930
shorts,0.6647809310946413,0.20036425133674823,0.13024935126304626,0.9630955457687378,930
carrot,0.6585833536396767,0.19700322645042467,-0.0010867603123188019,0.9431283473968506,870
bucket,0.6579957553736304,0.23569235479182754,-0.16496415436267853,0.9336008429527283,930
drawer,0.6509621366057344,0.14489960405695904,0.23291192948818207,0.9184757471084595,930
snow,0.6503421485424041,0.12168971666259952,0.25703781843185425,0.900448739528656,600
glove,0.649460687352124,0.17949745811533663,0.09556075185537338,0.9408254623413086,930
chair,0.6487703962511914,0.14452608837569011,0.09832500666379929,0.9006951451301575,930
napkin,0.6479383607224751,0.1928706628556958,-0.21324923634529114,0.9253623485565186,930
nose,0.6439285263997213,0.24506121605081246,-0.16541874408721924,0.9398164749145508,870
oven,0.642756079908075,0.1930140079467479,-0.15960593521595,0.9295784831047058,870
flower,0.6425899824788494,0.16560330480627716,-0.03174491971731186,0.921946108341217,930
bread,0.6419771169194545,0.22397674989576763,-0.056205034255981445,0.9413090348243713,870
fork,0.6393676852785993,0.2589298731398389,-0.32165277004241943,0.9417756795883179,870
ankle,0.6390320152517349,0.14697403733965173,0.2255120873451233,0.9029958248138428,756
banana,0.6370363406836986,0.22971901270230052,-0.14777401089668274,0.9515479803085327,930
ear,0.6355868910182396,0.29665654054432056,-0.05870169773697853,0.9465465545654297,812
ladder,0.6333716433183313,0.16076721874461225,0.12790587544441223,0.9017578363418579,812
plate,0.6317963402197566,0.17830261731408106,0.020356688648462296,0.9154548645019531,930
towel,0.6316802208221728,0.19601178743730757,-0.20647147297859192,0.9228182435035706,930
radio,0.629655548788864,0.17222633256729974,0.04496625438332558,0.900022029876709,812
slide,0.6291063616758791,0.18888536503022593,-0.0046582333743572235,0.9236755967140198,870
spoon,0.623284979645283,0.24712650147479584,-0.0916416347026825,0.9430282115936279,930
sock,0.6210219703529073,0.14077261208038688,0.17473524808883667,0.8769936561584473,870
tray,0.6184470464425382,0.1910038491904837,0.014354816637933254,0.9438700079917908,930
purse,0.617728083777011,0.20717299570543926,0.004320180043578148,0.9085051417350769,930
tree,0.615631277303283,0.18265225513825153,-0.02244221791625023,0.8903709650039673,650
