subject_id,category,stratum,cdi_domain,age_from,age_to,age_midpoint,centroid_displacement,dispersion_from,dispersion_to,dispersion_delta,n_crops_from,n_crops_to
00400001,plate,kitchen_like,household,21,22,21.5,0.32793565911369615,0.4810021904506346,0.3351971383559417,-0.14580505209469286,141,256
00400001,plate,kitchen_like,household,22,23,22.5,0.4040008327960355,0.3351971383559417,0.43508048141691824,0.09988334306097651,256,256
00400001,plate,kitchen_like,household,23,24,23.5,0.10325275824056801,0.43508048141691824,0.3890073416734495,-0.046073139743468716,256,149
00400001,plate,kitchen_like,household,24,25,24.5,0.32601172165381753,0.3890073416734495,0.46709696707651416,0.07808962540306463,149,244
00400001,plate,kitchen_like,household,25,26,25.5,0.19317207318134866,0.46709696707651416,0.4331748688256286,-0.033922098250885546,244,256
00400001,plate,kitchen_like,household,26,27,26.5,0.2845889694784356,0.4331748688256286,0.35803987008832155,-0.07513499873730706,256,245
00400001,plate,kitchen_like,household,27,28,27.5,0.30800306476664896,0.35803987008832155,0.3461979909377631,-0.011841879150558454,245,256
00400001,plate,living_room,household,10,11,10.5,0.2418724766136695,0.39091362517993894,0.44663712602661904,0.055723500846680096,14,59
00400001,plate,living_room,household,11,12,11.5,0.09425955840943367,0.44663712602661904,0.3844514532371507,-0.06218567278946835,59,39
00400001,plate,living_room,household,12,13,12.5,0.07002987507547531,0.3844514532371507,0.3986707811688516,0.014219327931700887,39,104
00400001,plate,living_room,household,13,14,13.5,0.16282535360095296,0.3986707811688516,0.3827610833696461,-0.01590969779920548,104,174
00400001,plate,living_room,household,14,15,14.5,0.09978314477526873,0.3827610833696461,0.33494404248571175,-0.04781704088393435,174,43
00400001,plate,living_room,household,15,16,15.5,0.5665561203295084,0.33494404248571175,0.3258443835681554,-0.00909965891755632,43,26
00400001,plate,living_room,household,16,17,16.5,0.4217204595362041,0.3258443835681554,0.43141186265844245,0.10556747909028702,26,26
00400001,plate,living_room,household,17,18,17.5,0.4434986509395027,0.43141186265844245,0.35373343730347445,-0.077678425354968,26,14
00400001,plate,living_room,household,18,19,18.5,0.4307675607014153,0.35373343730347445,0.3837158682062037,0.02998243090272923,14,60
00400001,plate,living_room,household,19,20,19.5,0.4848811829222983,0.3837158682062037,0.23655019239607133,-0.14716567581013235,60,24
