,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.1312538,0.9789441,0.8110242,1.3031359,0.6526335,0.71901643,0.99224114,0.9829454,1.1263164,1.018031,1.2828723,1.0595641,1.1816905,1.3014351,0.9028529,1.1836929,1.1264893,1.1132106,0.8525121,0.76248264,1.0445061,0.4731834,1.140168,0.85518056,1.0020248,0.998813,1.0213891,0.8395786,1.1513088,1.2978034,0.9115197,1.0271307,1.2238631,1.1576171,0.67218125,1.1951346,0.0,0.81902295,1.2161342,0.87907773,0.9590762,1.3290825,0.79964715,1.0166057,1.0498072,0.87230664,0.95265985,1.2903996,1.0591128,1.2953215,1.1501889,0.6270666,1.0917581,0.74096024,1.1243254,1.0191679,1.1306748,0.86432505,0.9136159,1.0655506,0.820835,0.8936603,1.0978843,1.2079676,1.2719146,1.0773839,0.9813268,1.0618999,0.7160356,1.1818109,0.68730587,1.1786116,0.91875786,0.98932546,1.1402664,1.3411899,0.7420536,1.2875519,0.9329854,1.2464457,0.7561905,1.2755216,0.9373415,0.71979964,0.9142236,1.0390041,1.0401057,0.9206861,0.6215504,0.83861375,0.71194154,1.0878456,0.91364014,0.57079554,1.157029,0.90655905,1.377889,1.3680925,1.2051461,0.9636971,1.0499512,0.9696017,0.95057434,0.8433643,0.7633169,0.92181635,0.9637194,0.8191372,1.1388079,0.87611914,0.8909644,0.6259798,0.5061754,1.1339861,0.91402245,0.80688345,1.0987034,0.8091132,0.937447,0.7294147,0.7837825,0.94401574,0.94329,1.3407707,1.192516,1.3441144,0.9073586,1.2764211,1.1125185,1.2164792,0.96091324,1.1626225,0.6069356,1.1894753,0.7861468,0.78411794,0.88286465,1.009799,0.7182893,1.2203993,1.3177319,1.1785758,0.63653386,1.0053157,0.9207521,1.0773618,1.0169566,0.6737119,1.0653633,1.1391245,1.221465,1.1841493,0.9372655,1.266995
corn,1.0038998,1.1539812,1.0962656,1.0113522,0.94702756,0.93815964,0.91554004,0.6298643,0.90388423,0.8104114,0.80129355,1.1987319,0.9975444,1.0178742,0.93682396,0.7608501,0.88551444,0.96211696,1.023935,0.9169829,0.9628654,1.0286586,1.0104119,0.9641315,0.9932592,1.1168163,1.1328335,1.1323806,0.8358016,1.0958643,0.87700605,1.0719787,0.9255203,0.9749544,1.0841202,0.6832993,0.81902295,0.0,1.0089012,0.9270058,1.1537008,0.87086236,1.0224516,1.241548,0.8554435,1.0942079,1.1455096,0.9382726,1.2508085,0.9967833,1.086549,1.116305,0.9479593,1.2420578,1.1029961,1.1458378,0.9142964,1.2255821,0.9498129,1.3385352,1.0781821,0.9643389,1.0419397,0.68161905,0.77288955,1.2192771,1.0397918,0.8596342,0.8742646,1.0522826,0.907339,0.94247943,1.1509162,1.2761805,0.9324,1.08115,1.0557688,0.88312835,1.1490624,0.9677152,1.0554005,0.93547386,0.85946685,0.57290065,0.9178926,0.7391434,0.97961056,1.1296861,0.8429538,1.2464641,0.9884727,1.2713442,1.1993916,1.1023514,1.0332152,0.7485739,1.0783384,1.1282802,0.9661601,0.74195004,1.0874635,1.2151439,1.1418868,1.047878,1.0215367,1.1696054,1.0778931,0.98930174,0.87283236,0.83618236,1.197946,1.2212522,0.9274115,1.2199816,1.0502908,1.1780705,1.039238,0.83486855,0.94530565,0.841397,0.85106325,0.8101038,1.0739133,1.0807317,0.808355,1.1200385,1.0139503,0.95704806,0.9658563,0.8076476,1.3914812,0.9832117,0.9936776,1.2582684,0.8547496,1.0555258,0.8516492,0.849818,1.0882964,1.1245089,1.0879375,0.8567883,1.050265,1.2485083,1.1147797,1.043962,1.0920073,0.98533565,0.8195053,0.9617626,1.106751,1.0738658,1.2616858,0.9678316
couch,1.1002597,1.0258213,1.2820911,0.8968458,1.2366751,1.2000831,1.0143434,0.8197843,0.8445922,1.0149689,0.6979152,1.057837,0.60765934,0.9882662,1.1178802,0.8601953,0.91295666,0.9838038,0.86668766,1.1011331,0.7508184,1.2111243,1.0711035,0.82179195,1.1469994,0.8179954,0.87123394,1.3035818,1.0188959,0.39675176,1.0843356,1.0928102,0.80336106,0.8899494,1.1486138,0.98871136,1.2161342,1.0089012,0.0,1.2826552,1.2330748,0.60078144,0.9736469,1.0102108,1.0222025,1.1056383,0.87442327,0.5316042,0.900567,0.8994618,0.85681444,1.3596618,1.0274309,1.2292154,1.0125813,1.2691903,1.0295885,1.2506887,1.1031975,1.200253,1.078413,1.1727357,0.97238517,1.006192,0.6885664,1.1421504,0.9743188,1.0166519,1.2847044,1.0132793,1.0584704,1.1041546,0.96890754,1.036651,1.031311,0.8175756,0.964862,0.8311225,1.0718294,0.5214867,1.0441178,0.98832506,1.042457,1.2825687,0.9199161,0.9440272,0.74324244,1.1757302,1.0604722,1.2429664,0.9090216,1.2223585,1.2027802,1.3021965,0.6904899,1.0808871,0.93892694,0.7949784,0.98775715,1.0379958,1.0582381,1.176322,1.226637,0.9791025,1.3851827,1.1136646,0.71963227,1.2439772,0.7668495,1.1473867,1.0760112,1.2903738,1.1505373,0.73886585,0.7901145,1.2442404,0.57166225,1.0213716,1.1378726,1.0566301,1.2222512,0.9157474,0.9453816,0.7853274,0.84873563,0.7545213,1.007991,0.7368964,0.8478265,0.92035466,1.1818976,0.9723266,1.0592242,1.0962396,1.1924359,1.1277224,1.0016779,1.0010746,1.260549,0.69324666,0.85205734,0.8332888,1.169724,1.1924711,1.2386267,1.218844,0.79599994,1.2429425,1.0654776,0.8775584,0.9106794,0.53469956,1.2272551,0.6694683
cracker,0.8329099,0.9055963,0.9794675,0.9663508,1.1018392,1.0750282,1.0242975,1.0914242,1.2040362,1.0034877,1.1397562,0.96712315,0.94567597,0.9721028,0.8448929,1.033394,0.8879218,1.0802134,1.3191261,1.2108618,1.1639941,0.91532564,0.67017454,1.3066826,0.8900293,1.1302658,1.2438123,0.4762643,0.94886935,1.0201385,1.009601,1.0678762,1.1400189,1.1283259,0.8918394,0.8540554,0.87907773,0.9270058,1.2826552,0.0,0.91629386,1.1705159,1.2702618,1.072861,0.93757886,1.0555038,1.1210992,1.1343739,0.7665366,1.0189601,0.7388156,0.8581971,0.9663879,0.99391764,1.0660878,0.7883309,1.0457723,0.78945667,1.1233422,0.9385983,1.0096719,0.8509087,1.1674159,0.92698646,1.2897775,0.9821853,0.94314784,0.93650573,0.8641119,0.9743565,1.1476293,0.82990575,1.1575903,1.0524905,0.5614498,1.117197,0.91307914,0.97470677,0.895103,1.0916531,1.2179168,0.75496703,1.0196428,0.80318594,1.2509593,0.77364373,1.0729684,1.020159,0.7783633,1.0193379,1.1409305,0.6988099,0.88889396,0.7305088,1.1955596,0.92277145,0.95823514,0.82631624,1.062735,0.84947747,0.98831755,0.8545808,0.79024476,1.0443219,0.7573544,1.0327967,0.90190876,0.87136894,1.1976341,1.0847132,1.0822359,0.8158764,0.7405732,1.1656328,1.1765304,0.96386576,1.2875233,0.83646065,1.0562704,1.1456171,0.91691446,0.9627466,1.1874372,1.1113406,0.9952539,0.8954594,1.1383804,1.2066522,1.2031665,0.82353735,0.8023547,1.0944313,1.1306288,0.67253983,0.9935522,1.0793437,0.9237455,0.6186808,0.8268239,1.0776508,1.1136785,1.1858077,1.0962396,0.9198488,0.83252513,0.96325314,0.9726694,0.9737715,1.127681,1.1918236,0.8959613,1.1659673,0.90748054,1.234548
crayon,1.3920131,0.83448315,0.2126137,1.3990538,0.37697363,0.5406184,1.1433764,1.1826978,1.4767332,1.1750467,1.4931962,0.25023675,0.9467969,1.4312745,1.1718714,1.4518871,1.28049,1.1209556,0.7135165,0.95505005,1.3121934,0.75383824,0.7429209,1.0018604,0.9911836,0.7127913,0.5460764,0.5464673,1.2930521,1.0738168,1.2480035,0.95495945,1.3603611,1.263397,1.0147161,1.3109051,0.9590762,1.1537008,1.2330748,0.91629386,0.0,1.5744784,0.6757914,0.8821279,1.3522482,1.1998422,1.0054796,1.3830996,0.8572149,1.4021945,1.2576213,0.53762925,1.1146054,0.4040239,1.187983,0.75446063,1.2491537,0.58579385,0.628926,0.34653533,0.5312093,1.160358,1.1712987,1.3485643,1.4847658,0.76693404,0.888774,1.1141843,0.6301937,1.2102517,1.0750132,1.3152447,0.5071577,0.96742934,1.0166426,1.3317897,0.66092163,1.4276395,0.36751187,1.1938751,0.5982441,1.3086014,1.3393214,1.0876925,1.1229732,1.4275148,0.9837495,0.9481991,1.3526435,0.2614479,0.89386356,0.582999,0.79070216,0.56346595,1.3363812,1.1454209,1.3879273,1.2136805,1.360312,0.97892755,1.2493862,0.121804595,0.1982454,1.0183553,0.63863367,1.0783287,0.5626571,0.8731243,1.155632,1.0364214,1.0210972,0.47805429,0.74851173,0.6244295,0.8421818,0.40389884,1.0492791,1.2753574,0.7061837,0.9202423,1.1605113,1.1140571,0.64732945,1.4310844,1.4171087,1.336107,0.7112541,1.399677,1.3532501,1.2205224,0.29454815,1.1335009,0.55509496,0.70532674,1.1964432,0.5420026,1.1423271,0.99872166,0.67512983,1.3104292,1.3721478,1.4226327,0.5059825,0.6016239,0.53852093,0.6359967,0.76186895,0.3663082,1.3711811,1.1819645,0.8898903,1.013482,0.22308731,1.3364971
crib,0.8070277,1.3689831,1.625329,0.6063,1.5286276,1.4725504,0.993908,0.5312711,0.2651255,0.8016832,0.23516977,1.4053566,0.7082466,0.71174705,1.0650238,0.41539448,0.59579897,0.80966794,1.1654849,1.0926214,0.59289634,1.507135,1.1551954,0.9534334,1.1098572,1.0999596,1.2777427,1.4630748,0.65593207,0.6066253,1.0089979,0.9562458,0.37964952,0.64689773,1.214345,0.4567271,1.3290825,0.87086236,0.60078144,1.1705159,1.5744784,0.0,1.2314062,1.2071316,0.727862,1.1084902,1.2029876,0.3930198,1.0323737,0.6938435,0.8725607,1.5686147,0.7970703,1.4529855,0.8607317,1.45083,0.73126173,1.4314877,1.4287226,1.4953434,1.4936742,1.0997976,0.83316636,0.49772996,0.28439528,1.2752537,1.3653605,0.8011279,1.4234285,0.8618453,1.1347594,0.9662275,1.4571663,1.2325056,0.99473125,0.5737977,1.3595825,0.6129394,1.3765534,0.54608023,1.2958796,0.7000221,0.7850019,1.1487972,0.89697456,0.80962586,1.015084,1.2616627,1.1113026,1.5643034,1.1271864,1.468152,1.3520429,1.5399308,0.5214825,0.9727507,0.6158799,0.7391025,0.5731679,0.9360719,0.9353033,1.507665,1.59397,1.2469736,1.5649263,1.1844372,1.2906237,1.3149267,0.90053093,1.0278739,1.2385662,1.5804033,1.473625,1.2200536,1.0269305,1.5457045,0.76594806,0.825607,1.4098275,1.1608084,1.1529943,0.9834364,1.2873201,0.54053,0.4979449,0.7169192,1.1873634,0.2094897,0.54673,0.6693081,1.5595646,0.7519448,1.33475,1.2125773,1.061884,1.4968419,0.95234936,0.9560702,1.4860405,0.60598594,0.58689314,0.4918815,1.4381344,1.4950658,1.5623388,1.3988981,1.088672,1.5108124,0.6516971,0.73558354,0.95950395,0.74412143,1.5986131,0.37054408
cup,1.4372592,1.019109,0.7679285,1.3169715,0.6843038,0.6180737,0.91990566,0.8241973,1.0345299,1.285707,1.395324,0.7342893,0.9621743,1.3967156,1.1656892,1.4206506,1.1252451,1.1403973,0.23351687,0.28426552,0.97996914,0.7732204,1.0393262,0.23287165,1.0957512,0.44408965,0.7042624,1.0404012,1.4020258,0.9374886,1.0236177,0.9924979,1.2080595,1.2736372,0.75138116,1.206085,0.79964715,1.0224516,0.9736469,1.2702618,0.6757914,1.2314062,0.0,1.0040269,0.9519944,1.1825206,1.0076158,1.1203439,0.9900698,1.3430021,1.243778,0.8366241,1.2261112,0.7557349,1.2329012,1.0841213,1.1972073,0.9501079,0.73386633,0.9264646,0.6133442,1.1599134,1.199208,1.283516,0.9166259,1.0816675,0.9005113,1.292863,0.72311795,1.3448609,0.8256252,1.3122681,0.7884642,1.0823618,1.1304866,1.3328334,0.55525184,1.2844033,0.66347647,0.9186648,0.6136183,1.2535815,1.1420789,0.94838274,0.70469207,1.3124367,0.89853823,1.0133044,1.0549474,0.8130362,0.6145185,1.0611987,1.0628096,0.90093124,0.9824731,1.2965027,1.4397182,1.2638389,1.320317,1.2133458,1.2526132,0.73539585,0.76383424,0.94308674,0.8671901,1.1166865,0.847932,1.0098736,0.79287434,0.708001,1.0751456,0.90146655,0.81032723,0.7226061,0.6197166,0.75149536,0.76770693,1.2995548,0.83150756,0.81388336,0.88495827,0.97343427,0.67717016,1.3297899,1.1294508,1.3224196,0.47028458,1.2231215,0.7426871,1.2860191,0.8369516,1.185258,0.5182031,1.0410144,0.8839554,0.5035077,0.841025,1.15697,0.95380086,1.1915766,1.3712746,0.964759,0.38614345,1.0282208,0.80083007,0.86368454,0.7242769,0.6803633,0.93172175,1.1173341,0.9617164,0.69279283,0.8245064,1.1494341
deer,0.81541586,0.9995929,0.92583007,1.1719619,0.85020626,0.937932,1.075438,1.130569,1.1890236,1.1220263,1.2057817,0.93461263,1.0264744,1.1737126,0.7853035,1.1902865,1.178435,0.9720599,0.97502416,1.1381088,0.98218024,1.000131,1.0084509,1.0587289,0.797715,1.0048748,0.82846284,1.0288451,1.142393,1.0683906,1.1946208,0.99368685,1.0832901,1.1855981,1.0750299,1.1717246,1.0166057,1.241548,1.0102108,1.072861,0.8821279,1.2071316,1.0040269,0.0,1.2277098,0.5533019,0.76391816,1.1436522,0.8933619,1.1719134,1.0842193,0.9895047,1.1686964,0.8912841,1.0421448,1.056694,1.0715312,0.7794174,0.8865623,0.92388093,0.8562814,0.85335356,0.9315673,1.1396675,1.2068322,1.0049533,1.1048826,1.1172681,0.99082947,1.1158749,1.0136681,1.1641781,0.8469044,0.1531223,1.1034688,1.2009299,0.8793024,1.2716173,0.897108,1.0083189,0.900052,1.1083765,1.1211522,1.2784929,1.0448838,1.2171125,0.9671609,0.9797317,1.1137246,0.8684044,1.0527066,0.95114106,0.95583254,0.9635305,1.1164708,1.0102317,1.190384,1.160786,1.0421197,1.1298182,0.7667878,0.8744505,0.8976716,0.80956274,1.0741508,0.5447347,0.9572729,1.0515023,1.0636234,1.178766,0.38743246,0.9542309,0.9601818,0.9466312,0.8949647,0.90215206,0.97892916,1.153146,0.746329,1.040915,1.1396165,1.1080211,0.8354453,1.1522813,1.2412847,1.1357808,0.9522839,1.190815,1.1822749,1.2474836,0.86076766,1.1575121,0.85418975,1.0619738,1.1565127,0.93442243,0.99147147,1.0426925,0.88625276,0.9096317,1.1717397,1.2556715,0.8858587,0.9573941,0.9491883,0.9860365,1.0518163,0.8252797,1.251235,1.0460786,1.0333265,1.0060996,0.91779596,1.1666067
dish,0.8902577,1.145231,1.2506335,0.90350163,1.2276108,1.0672042,0.8687471,0.82921684,0.72908264,1.093807,0.92248476,1.3195676,1.0061762,0.89496857,0.9805291,0.9266675,0.67694074,0.9633137,1.0837444,0.7692072,0.83873826,1.1253709,0.9471707,0.8725398,1.0399209,0.95760506,1.2459196,1.0297496,1.0790428,0.99838126,0.7220374,1.117397,0.9101292,0.8630244,0.7583537,0.83754754,1.0498072,0.8554435,1.0222025,0.93757886,1.3522482,0.727862,0.9519944,1.2277098,0.0,1.0847442,1.1480999,0.9212011,1.0051309,0.95720524,0.7300683,1.0882336,1.139259,1.2148627,1.0206739,0.9632419,0.9216959,1.0766507,1.216545,1.3139862,1.1383976,0.8991005,1.0597055,0.90487885,0.7135491,1.0786555,0.921703,1.16352,0.83417034,1.0493438,0.96730614,0.80193216,1.3381673,1.220578,0.9935302,0.9059362,1.1338478,0.8138278,1.1039064,0.8439052,1.1837871,0.959072,0.8164159,0.7009486,1.0033137,0.7342186,1.0378159,1.0438694,0.84084636,1.3302008,1.072103,1.205193,1.1755866,1.1208006,0.8702378,1.112989,0.88071424,0.98501533,0.91394746,1.2400963,0.92573667,1.3183016,1.2617209,1.10151,0.86260486,1.0648787,1.2288533,0.95895076,0.8982236,0.7586875,1.2023542,1.2725616,1.0585192,1.2914875,0.9763393,1.0691518,1.0318509,0.8363038,1.1914072,1.1419841,0.5916731,0.945973,1.2035544,0.9288541,0.7428041,0.92784846,1.0419036,0.88748837,0.6139806,0.97618955,1.2469671,1.1603812,1.1174421,0.9623015,0.61782134,1.0044264,0.83220667,0.9664849,1.046108,0.88493127,0.9058678,0.824211,1.1041181,1.2496107,1.0422189,0.99593264,1.1557229,1.1547642,0.723268,1.093282,1.0333271,0.97093296,1.2405583,0.8941516
dog,0.44065225,1.2456355,1.1300546,1.1803672,1.0491908,1.1018037,0.9893934,1.1915905,1.1061752,0.89587027,1.0664184,1.1928873,1.1769238,1.0844676,0.44976175,1.0542675,1.1034777,0.8879966,1.1570181,1.1655873,0.97711116,0.9521896,1.1230037,1.1382227,0.7498714,1.2107863,1.0552597,1.1178697,0.77630585,1.2833481,1.0002387,1.0305003,0.9788882,0.9961459,1.118012,1.1005129,0.87230664,1.0942079,1.1056383,1.0555038,1.1998422,1.1084902,1.1825206,0.5533019,1.0847442,0.0,0.68585587,1.1179575,1.1906751,1.1126652,1.0116584,1.0766546,1.1074306,1.0511328,0.87932026,1.2080337,0.96646047,0.7250011,1.017984,1.1919724,1.1065724,0.5048002,0.8536979,1.0359552,1.1503682,1.0894165,1.1147025,0.89584583,1.0503423,0.957892,0.9218531,1.0887634,1.0627538,0.36998856,1.1622546,1.086554,1.1467586,1.1558981,1.2368633,1.1577909,1.0777082,1.1652281,1.017293,1.0756425,1.0213896,1.0283798,0.87635404,1.0471761,0.8331132,1.1472967,1.049539,1.2044042,1.1062703,1.0304112,1.0786442,0.6661427,1.0291117,1.1622312,0.8818659,1.0332884,0.6043675,1.2317967,1.2123408,0.64505553,1.0482517,0.21712029,1.2191983,0.85730684,1.0150164,1.1081674,0.21680605,1.0304642,0.9992049,1.2514842,1.1437993,0.9653937,1.0785301,0.96490395,0.75361407,1.0662053,0.9634657,1.1035012,1.0888082,1.0842414,1.0895112,1.1623476,1.1856518,1.1375248,1.1738535,1.1678202,1.1510129,1.1006281,1.0310487,1.2578111,0.96805495,1.1409497,0.9118796,1.0651954,1.0129455,0.8160671,1.0403118,1.1395369,1.0561957,1.1591299,1.1839908,1.2004375,1.1986114,0.9663418,1.1263989,1.0128201,1.0643013,1.187655,1.18389,1.10425
doll,0.88869655,0.9486626,0.910856,1.2593039,0.928127,0.92333686,1.052107,1.13474,1.3340479,1.1316922,1.1898147,0.9778243,1.1424644,1.0353669,0.8579576,1.1923039,1.035092,0.901397,0.92586267,1.1692224,0.97987497,0.9000585,1.0904274,0.95870215,0.99326223,0.9164075,0.7795862,0.9734809,1.1889713,0.9502963,1.1032375,1.0636258,1.0928578,1.1365151,1.1178962,1.2878957,0.95265985,1.1455096,0.87442327,1.1210992,1.0054796,1.2029876,1.0076158,0.76391816,1.1480999,0.68585587,0.0,1.1292644,1.0581841,1.0816349,1.0008363,0.92866045,1.2256125,0.9319651,0.9759314,0.99491084,1.0184845,0.73151827,0.83659065,0.94186795,0.92635095,0.73845863,0.8491661,1.3199799,1.19548,0.98374057,0.767658,1.160825,0.9537857,0.90702415,0.9854001,1.0444701,0.58103204,0.7049808,1.1425477,1.0808177,0.86999667,1.1881738,1.1146718,1.0200382,0.9588975,1.2602062,1.1687175,1.1926261,1.0571536,0.9758688,0.7066102,1.0309759,0.814131,0.933758,0.9683142,0.9776613,0.96737576,0.8737154,1.1150837,0.9318382,0.97214717,1.1198888,1.1159009,1.1728338,0.8112813,1.084186,1.0034595,0.693812,0.97299314,0.7671081,0.80556643,0.865189,0.90039,1.1694902,0.72193456,0.93976814,0.75912154,0.8004626,0.90371513,0.78241223,0.8583682,1.1883764,0.70568436,1.063612,1.1143084,0.9310108,0.71321404,1.0711026,1.1356273,1.0215948,0.9862177,1.2598928,1.306654,1.1652346,0.8764365,1.277426,0.9973342,1.1425161,1.1464169,0.95169795,1.0084437,1.1168259,0.8387313,0.5214844,1.0790627,1.2912059,0.9119307,0.8974999,0.97667354,0.9893944,0.8906961,0.7576468,1.3153104,1.1330844,0.9218328,0.88535196,0.939392,1.1198647
door,1.0521947,1.1826656,1.4364748,0.65166646,1.3756263,1.2910805,1.0247473,0.84945047,0.55462074,0.92874885,0.61402994,1.188367,0.7944361,0.8186326,1.0292861,0.8093331,0.9340972,1.0718522,1.0051239,1.1552274,0.80296075,1.3548658,1.0784221,0.9533841,1.1395978,1.0097806,1.0842594,1.3535746,0.783286,0.54292905,1.0806905,0.98588306,0.5911715,0.83316857,1.1203343,0.73207253,1.2903996,0.9382726,0.5316042,1.1343739,1.3830996,0.3930198,1.1203439,1.1436522,0.9212011,1.1179575,1.1292644,0.0,0.9708195,0.7287817,0.98500746,1.4490271,0.8591491,1.2929816,0.8246616,1.2922881,0.9793693,1.4110948,1.2458241,1.3072808,1.2818334,1.2146138,1.0055664,0.72359633,0.4803996,1.1187129,1.2849283,0.85960066,1.451538,0.78399783,1.0981054,0.9408116,1.2488028,1.2023491,0.8859384,0.7327204,1.0734758,0.7387233,1.241188,0.4772433,1.0353144,0.7650422,0.9391155,1.1893103,0.8820049,0.9515196,0.918219,1.1873404,0.96810025,1.3738072,1.0969434,1.2978592,1.1799645,1.418132,0.6213107,1.0519817,0.79566014,0.68266064,0.8306463,1.0165895,1.1272746,1.346094,1.3898969,1.1305563,1.5062459,1.2057047,1.1913034,1.3182192,0.88314426,1.1184794,1.1918249,1.4219406,1.2939591,0.9945927,1.000336,1.4440365,0.63966495,1.0616745,1.2743691,1.0681509,1.1939335,0.98824114,1.162421,0.59933305,0.838002,0.69888884,1.0733054,0.3685367,0.7082149,0.74745727,1.4185294,0.6732633,1.2425956,1.1353552,1.1278241,1.3365631,0.9163476,0.854176,1.4142338,0.78201294,0.74220014,0.6347633,1.4070778,1.2567503,1.3575573,1.2696116,0.94931084,1.4881471,0.86324537,0.659832,0.88613665,0.62247455,1.392937,0.31594443
drawer,1.2142702,0.8448999,0.92892706,1.0761327,1.0041994,0.96934223,1.0472183,0.84218335,1.0340314,1.1875947,1.1131234,0.74190986,0.7444159,1.123626,1.1663342,1.1606318,0.9584712,1.0664322,1.0241977,1.0577626,0.7325231,1.0884386,0.70086914,1.0089406,0.98763573,0.7114415,1.0146029,0.7909594,1.2656826,0.6535809,1.1849731,0.98824376,0.98995304,1.2219068,0.8583411,1.0396643,1.0591128,1.2508085,0.900567,0.7665366,0.8572149,1.0323737,0.9900698,0.8933619,1.0051309,1.1906751,1.0581841,0.9708195,0.0,1.1846577,0.9541225,0.98836637,0.9803401,0.8648365,1.0941286,0.839366,1.1533723,0.91608995,1.0406291,0.8315201,0.8797835,1.0849797,1.1369228,1.1900903,1.19518,0.9042214,0.9315029,1.1534384,0.96574104,1.0839515,1.2078176,1.0629407,0.8926588,0.92814064,0.85915345,1.0846103,0.73985815,1.151519,0.6444667,0.7802284,0.95497125,1.1059748,1.2061337,1.126442,1.1434733,1.0711759,1.0137953,0.88890594,1.1071239,0.85211396,1.0191492,0.6717183,0.78089327,0.9010576,0.9446432,1.2617354,1.0834825,0.88487166,1.1341858,1.0776122,1.1098891,0.685041,0.7108328,1.1137463,0.9133949,1.0136015,0.6695423,1.2423023,1.0903871,1.0925833,1.0422094,0.91028345,0.89933777,0.75796247,0.5192085,0.8572898,0.90270245,1.0874861,1.1179923,1.2118616,1.1330936,1.0541677,0.962119,1.145315,1.1116067,0.92748153,1.0051547,1.0979755,0.90742517,1.1528385,0.73890305,1.1202859,0.87318826,0.6532819,1.1835324,0.94774866,1.0639478,0.83721995,0.8881274,1.010049,1.1298922,1.1643989,0.9196018,0.8291199,0.7919369,1.0107464,0.8114537,0.96049124,1.1669457,1.1329722,0.9288536,0.8441414,0.7887071,1.1432471
dress,0.8327219,0.79223627,1.3520858,0.3637991,1.3712356,1.3358152,0.99886274,1.1619668,0.791985,0.95277625,0.651498,1.3313632,1.0139252,0.16676748,1.0850223,0.62181485,0.87898916,0.9897786,1.2756304,1.2328354,1.039851,1.2792526,1.2286968,1.2231324,1.1371087,1.3260193,1.3319128,1.1755621,0.83620363,0.9192664,0.9064712,0.95407355,0.82583153,0.74743855,1.049447,0.7846073,1.2953215,0.9967833,0.8994618,1.0189601,1.4021945,0.6938435,1.3430021,1.1719134,0.95720524,1.1126652,1.0816349,0.7287817,1.1846577,0.0,0.8021144,1.2605792,0.9259176,1.3016818,0.76223993,0.9044662,0.92922866,1.2950654,1.3097,1.0861148,1.398242,1.1693221,0.93966204,0.78678906,0.8000762,0.9415294,0.9687021,0.9684687,1.3239219,0.68204397,1.0996244,0.5321168,1.340929,1.1845509,0.98136723,0.47685146,1.3489766,0.47238773,1.4218693,1.0048432,1.3694952,0.4446422,0.8610603,1.1348484,1.0387324,0.6208405,1.2146703,0.9814904,0.9457254,1.2620394,1.1570882,0.9631495,1.0377024,1.2638664,0.85814905,1.0756637,0.35899758,0.56423604,0.7687299,1.0166786,0.9326167,1.38163,1.3129427,1.1456525,1.3268254,1.1583142,1.2503607,1.1268204,1.0734159,1.1733824,1.2485621,1.2913189,1.3139737,1.1557161,1.3299891,1.3818097,1.1452217,0.8942128,1.3326862,1.0605066,1.0975095,0.90521055,1.3475064,0.2675358,0.72387135,0.3742702,1.2791445,0.7578764,0.931932,0.71048397,1.2480597,0.84941757,1.4108498,1.037839,1.0687827,1.4359083,1.0101045,1.0607531,1.2618244,0.9169364,0.45973969,0.7465568,1.4505074,1.011595,1.193488,1.0055196,1.128055,1.4442673,0.8452066,0.8767439,1.1598864,1.1279181,1.2879437,0.78072417
