,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bed,0.5100065,1.4039817,1.5010498,0.56476295,1.4922154,1.470873,1.0218564,1.408315,0.29804432,0.78685665,0.0,1.4197855,0.39013755,0.85926366,1.188509,0.19456065,0.93686676,0.8381203,1.4514718,1.3635714,0.99162483,1.1208401,1.249207,1.3996892,1.2785525,1.3304691,1.1849613,1.0701238,0.95980924,0.65910834,1.457921,0.8972318,1.0097281,0.66881555,0.84014213,0.24620068,0.7578862,1.5993989,0.3427006,1.5180699,0.99415743,0.9530458,0.9979149,0.7446613,0.69866943,0.5480908,1.2900549,1.4987075,0.7281251,1.2916098,0.7236955,1.4038162,1.5272336,1.3318768,1.158179,1.4102203,1.1747856,0.6109497,1.5270177,1.2868955,1.3446141,0.788066,0.97062325,1.4953384,1.168259,0.8960656,0.52027166,1.190497,0.3958099,1.0128318,1.0635865,1.362986,0.63537997,0.7251564,1.1232687,1.1007862,1.477506,1.3889568,1.4548441,1.3496784,1.4758223,0.8538511,0.79522943,0.33807933,0.52040166,0.5236774,1.5491011,1.4947783,1.0297447,0.9570966,1.1642933,0.69972634,1.1199803,1.5484089,1.0493048,1.2668719,0.89460385,1.2336498,1.3740516,0.70219505,1.4090462,0.6156338,0.9111991,0.72250915,0.47992444,1.1807964,0.68759644,0.7426727,0.6675666,0.30896616,1.5607107,0.6808855,1.4290878,1.2313315,1.5186067,1.0755262,1.3400021,0.62854993,0.4289987,0.23762429,1.3638366,1.5226159,1.2697496,0.8339421,1.3105329,1.2795482,0.9717915,0.8709789,1.0551529,1.3903804,1.2405977
belt,1.4759222,0.8924941,0.60216916,1.3591206,0.72199726,0.59410876,1.2505076,0.542922,1.3609198,1.1816584,1.4197855,0.0,1.0007002,1.2838883,1.0853996,1.3679037,1.2387767,1.1252393,0.5941503,0.8337861,1.0603304,1.1470163,0.7605185,0.8060597,0.9620166,0.6155756,0.74863434,0.6703642,0.81044054,1.0338196,0.5902518,1.0452721,0.9928827,1.22192,1.06543,1.2668843,1.403461,0.28994203,1.3738378,0.5473238,1.1721156,1.2789967,1.3329805,1.0508665,1.0884601,1.2401899,0.7593029,0.6542704,1.1379339,0.842587,1.2483351,0.7959048,0.37812942,0.70286983,1.0130601,0.52237135,1.1279027,1.2564018,0.4923606,0.9998875,0.9111463,1.2317134,1.2654152,0.6170821,0.94569737,1.2101204,1.3054907,1.0727681,1.2403522,0.8781171,0.81854486,0.7667413,1.3016908,1.4291837,1.1291621,1.1447409,0.56780416,0.5670776,0.5867521,0.93730646,0.5466599,1.0858594,1.2206743,1.3497679,1.1287386,1.3535149,0.38769192,0.5052638,1.0924432,1.2302955,0.52760863,1.2654816,1.0555018,0.55121833,1.1882036,0.9349734,1.1083411,0.8655683,0.7357502,1.0627899,0.7005751,1.2653675,1.132722,1.3547246,1.3345165,0.9740909,1.0800055,0.95949537,1.0979143,1.3087078,0.36207932,1.0922983,0.6516434,0.91609186,0.66603935,1.1397506,0.82238376,1.327497,1.3424933,1.4485784,0.9102574,0.6351699,0.5464423,1.305256,0.56285715,1.0390373,1.1422548,1.1025821,0.81438583,0.42890066,0.6740442
bench,0.85012054,1.2156754,1.3308067,0.7504375,1.4375439,1.2743489,1.1823095,1.0058429,0.3306272,1.0882308,0.39013755,1.0007002,0.0,0.9836499,1.2892272,0.5234684,1.0446362,0.92328924,1.3677099,1.2261488,0.7890116,1.1162621,1.0070546,1.1468071,1.3636885,0.9327948,1.0773642,0.854188,1.0392013,0.44559962,1.3715409,0.76467025,1.1056336,0.58530366,0.7988647,0.3336829,0.9012503,1.2228615,0.35401618,1.2980795,0.9789266,1.1526515,1.1888397,0.637246,0.33143276,0.8156527,1.1176188,1.3567803,0.9779097,1.2533296,1.0289927,1.2189026,1.1502587,1.3512613,1.1873105,1.146587,1.285985,0.7568264,1.2102232,1.2184318,1.0841557,1.0647501,1.0455227,1.4072738,1.074632,0.858091,0.9094146,1.2927083,0.6433728,0.6188554,0.8855852,1.2918422,0.72814226,0.9095541,1.1257871,1.0944204,1.3466448,1.0395067,1.1631024,1.3569059,1.3249993,0.6700019,1.1084914,0.70724535,0.63697416,0.70143837,1.1421374,1.0944158,0.94520444,0.9586256,0.88461596,0.92560256,1.1846762,1.3010877,1.1822417,1.1338766,0.8024926,1.0358257,1.3034773,0.6230347,1.2336487,0.9054301,0.88905925,0.7790375,0.84510034,1.1128675,0.7030989,0.83299476,0.52568406,0.71790516,1.2731924,0.8984536,1.0985652,1.0580397,1.20887,0.94404566,1.1952517,0.7170421,0.76128334,0.4598323,1.224497,1.3493873,1.049873,0.8573214,0.92927486,1.3218356,0.94211346,1.0772728,0.86073446,1.2598273,1.1335121
bib,0.7399015,1.1006811,1.1829022,0.7614236,1.1835223,1.1506058,0.777997,1.1863047,0.8093598,0.887475,0.85926366,1.2838883,0.9836499,0.0,1.0055636,0.70222825,1.0445137,0.85676485,1.28899,1.1329837,0.9940003,0.8545259,1.2549176,1.1594288,1.1518072,1.2476946,1.2238203,1.1413102,0.9719432,1.1787474,1.2297213,1.0752245,0.93187726,0.93594354,0.8352306,0.9974725,0.6505832,1.3354781,1.0113451,1.272341,0.7578781,0.96286005,0.8843204,1.0672749,0.9597957,0.8672279,1.124929,1.1391762,0.8920325,1.1569437,0.9097881,1.128304,1.1669364,1.3010238,0.9200242,1.1321452,1.0209647,0.9675312,1.2930614,0.8422016,0.926783,0.9754364,0.75025916,1.2780733,1.1274414,1.1115875,0.7938859,0.9338335,0.76365554,0.986095,1.2017186,1.2704115,0.96383435,0.59568214,1.0553273,0.89297765,1.2536924,1.0473931,1.1180826,1.1440398,1.1802388,1.0915041,0.8951967,0.62393135,0.9151705,0.63445246,1.3154335,1.2753743,1.0349212,0.92569137,1.0794419,0.89765984,1.3054298,1.1143882,0.9106238,0.9872939,0.9582715,1.1178384,1.1379586,1.0671555,1.2572294,0.7576612,0.7328395,0.76880693,0.58582616,0.9518024,0.7901325,1.0347713,0.7677789,0.9441303,1.3087121,0.90657365,1.1563947,0.8241051,1.087265,1.0625505,1.0349123,0.9909698,0.78607655,0.84274113,1.0740436,1.2144892,1.2183377,0.8325541,1.0153717,1.1090486,0.8539649,0.93188244,1.3442236,1.2706149,1.1828419
bird,0.7963187,1.1451035,0.96559876,1.2838435,0.8451973,0.93464535,0.9917449,0.84474033,1.1828406,1.0120257,1.188509,1.0853996,1.2892272,1.0055636,0.0,1.1758783,0.87411803,0.9169293,0.87740934,0.79660714,0.99137825,0.93758434,1.031222,0.86257577,0.69655955,1.0761571,0.9135118,1.0971127,1.0494146,1.040321,0.80651045,1.033768,1.2479067,1.0123562,1.0513415,1.1409777,1.0919024,0.98522925,1.0856664,0.8649614,0.97105074,0.4612931,0.56566024,1.1505166,1.1456702,1.1089783,1.2292892,1.0471326,1.1343573,1.0627208,1.1214651,1.2454532,0.9020147,0.83275867,0.95704514,0.9803791,0.3730675,1.0831877,1.1596413,0.6692033,0.94013596,1.0636755,1.2308958,0.9090708,0.7723757,0.9462739,0.97346175,0.875343,1.3053883,1.2305886,0.93801594,0.83535135,1.1856825,0.8943622,1.2362901,0.90101165,1.0554411,0.94613695,1.2904046,1.0609733,0.9895622,0.99757916,0.8843258,1.2557479,1.3210605,1.0804518,1.0473663,1.060856,0.858176,0.8292359,0.98957586,0.98195493,0.81386465,0.8619847,0.7981787,0.8864487,1.0480924,0.7894207,0.98646516,1.213496,0.78640676,1.0752022,1.3855926,1.0293987,1.2356673,0.82625824,1.32571,1.0650353,1.1546509,1.1141586,0.9697278,1.0823418,0.9295826,0.955987,0.99978065,0.752747,0.9971036,0.8974722,1.2294277,1.0730046,0.76229644,1.1173462,1.2076194,1.1179663,0.971941,0.53486884,0.8451873,1.07289,1.0151494,1.0442322,0.96890676
blanket,0.45869577,1.3031359,1.4840014,0.6166222,1.4891287,1.471396,0.9524952,1.3424292,0.43549842,0.70968884,0.19456065,1.3679037,0.5234684,0.70222825,1.1758783,0.0,1.039726,0.9194344,1.4895742,1.4040889,1.0866824,0.93339515,1.2427219,1.4241315,1.2944378,1.4107246,1.2836244,1.0105999,0.93859416,0.8348582,1.5107571,1.050917,0.9143009,0.82697546,0.79780126,0.41055715,0.60994375,1.5750154,0.626696,1.5339448,0.96256673,0.9113082,0.903083,0.95151126,0.8418696,0.54432166,1.2042392,1.427475,0.6859269,1.2404785,0.80903757,1.3030567,1.4442436,1.416436,1.0818725,1.2552619,1.125394,0.83493584,1.446785,0.97440714,1.2796545,0.90387213,0.86452615,1.4538763,1.1131209,0.9995278,0.5593136,1.186604,0.27267724,0.99406326,1.2074234,1.4494072,0.6720449,0.5097828,1.0812471,0.95652854,1.4498912,1.1665862,1.3370721,1.3220289,1.4315671,0.9799304,0.70242167,0.26207995,0.4672482,0.59981626,1.5036886,1.4564612,0.9952403,0.8789408,1.0215824,0.75832605,1.2379143,1.5377468,1.0205879,1.2381865,0.8478376,1.2267252,1.348724,0.89895236,1.3588086,0.46719277,0.73101544,0.8081701,0.51961243,1.0261028,0.55592203,0.9115113,0.69478405,0.5091727,1.5135686,0.8077518,1.4654007,1.0049739,1.398016,1.0952307,1.2998503,0.75489587,0.52331716,0.49444354,1.3466647,1.4330845,1.2601529,0.85159785,1.0452116,1.3176794,0.9968498,0.91998565,1.1814961,1.4068923,1.3345513
boat,0.82052624,1.1062214,1.0677574,1.1007298,1.0013107,1.0284944,0.7409667,1.1067568,0.882635,1.1054542,0.93686676,1.2387767,1.0446362,1.0445137,0.87411803,1.039726,0.0,0.7337779,1.067003,0.8525953,0.7135392,1.0446156,1.1567763,0.8792876,0.89851665,1.0165453,0.9772076,1.0799434,1.2143639,0.87769717,1.1057229,0.90497124,1.2355584,0.83296937,1.0459214,0.92966723,1.0155952,1.2413566,0.7797817,1.0378768,0.9806023,0.8021606,0.6723903,1.0159951,1.0294628,1.0259017,1.1995704,1.0994656,1.2529153,1.1303687,1.0268846,1.2279687,1.1722121,1.102789,1.0759376,1.2796793,0.7611225,0.8734743,1.2384695,1.1042097,0.7604039,0.9604101,1.0733666,1.1402024,0.9849929,0.66384876,0.8877051,0.83958906,1.1201766,1.1626238,1.0696394,1.0858679,0.99705136,0.88790673,1.0222764,0.98772866,1.2210542,1.2402165,1.2877033,1.12135,1.1028965,0.87184894,0.9953994,1.0701232,1.1625223,0.82701087,1.2944031,1.243024,1.0017684,0.7551794,1.2257005,0.91751945,0.94344383,1.0078384,0.9454958,0.87191725,0.8463086,0.9008927,1.1679794,1.0374285,1.094325,1.0840092,1.1127033,0.8974831,1.0435542,1.0304157,1.1776818,1.0680933,0.93900555,0.76680535,1.2528334,1.1210256,0.9358547,1.1671352,1.1113119,0.9002208,1.0445788,0.66697663,1.0043193,0.7709485,0.9187158,1.2751942,1.1774375,0.87776697,1.2429185,0.5265906,0.7597751,0.99427485,1.068468,1.1930602,1.1264267
book,0.7249386,1.3284059,1.2131308,1.135062,1.1390448,1.1594607,0.89483434,1.1039772,0.9187396,1.1511725,0.8381203,1.1252393,0.92328924,0.85676485,0.9169293,0.9194344,0.7337779,0.0,1.0753274,1.0573367,0.5159344,1.1804363,1.0667074,1.0357102,0.70619965,1.051756,0.8794961,1.1278588,1.1711519,0.95294714,1.0877924,0.96585095,1.2393688,0.88916063,0.8801237,0.9883121,0.94624627,1.1017325,0.7156105,1.149832,0.99934393,0.7705954,0.7351625,1.0314493,0.80939716,1.0146525,1.2352322,1.1441729,1.1616708,1.2486778,1.0103737,1.2821898,1.1240197,0.97662383,1.0358613,1.1519101,0.72115237,0.6915773,1.2579539,1.1309845,0.6310475,0.9988736,1.0346007,1.1747905,0.8910376,0.7920928,0.93914807,0.92947525,1.0496792,1.0442861,0.9636064,1.0871391,1.0880413,0.9653761,1.1548892,1.1768105,1.2834063,1.2150112,1.3371415,1.3088408,1.1014504,0.7735779,1.0401099,0.95615846,1.1858168,0.25388122,1.1239438,1.128515,1.1278905,0.84904003,1.2383947,0.55393684,0.94041634,1.0142763,0.9492094,1.0576099,0.7437855,1.0362545,1.2008003,1.0532664,1.0403464,1.0541992,1.1642525,0.86869603,1.0100093,1.001536,1.1371195,1.1515746,1.0087997,0.8714221,1.2382758,1.1392031,1.0162692,1.1303451,1.0310662,1.1025125,1.1235378,0.8085546,0.9486822,0.680713,1.0586693,1.347528,1.2051891,0.969534,1.2012872,0.73388433,0.40117043,0.8222519,1.1256897,1.1466539,1.0740331
bottle,1.4781154,1.0548489,0.44863284,1.3892503,0.43110955,0.4678306,1.2455943,0.48515046,1.4295608,1.2246152,1.4514718,0.5941503,1.3677099,1.28899,0.87740934,1.4895742,1.067003,1.0753274,0.0,0.47625303,0.91282594,1.23439,0.81915915,0.4614817,0.88169754,0.48729587,0.3750593,1.0413406,1.078503,1.0422257,0.37639034,0.9450457,1.188714,1.10648,1.2512786,1.3270468,1.3637731,0.35083038,1.31866,0.1632883,1.0963491,1.2240658,1.1837084,1.061109,1.2580334,1.30549,1.1418214,0.6411464,1.1748227,0.8413192,1.2717592,1.0313448,0.58145547,0.20221633,0.99390876,0.68033904,1.072094,1.1182089,0.65435594,0.9880069,0.934955,1.1995406,1.3980896,0.6173264,0.98129123,1.1462169,1.3406471,0.6692497,1.5091672,1.2322353,0.75137186,0.4266302,1.3679307,1.4885256,1.2495004,1.2408679,0.432989,0.5866525,0.94873405,0.8938674,0.53461224,1.0161098,1.2286122,1.4866104,1.4547688,1.339392,0.4836802,0.64193714,1.2998096,1.2647651,0.67721164,1.2730981,0.71973205,0.43692017,1.1251496,0.89384073,1.2077682,0.723059,0.7601182,1.0743049,0.6934259,1.2242666,1.3409997,1.3899593,1.3947191,0.99769187,1.4856064,0.9952382,1.204249,1.3129793,0.3244245,1.1446592,0.569913,1.0912282,0.8824166,1.0357476,0.78350306,1.1657567,1.3868701,1.334918,0.6451091,0.725195,0.71490127,1.280133,0.67428786,0.63742733,1.084471,1.1043396,0.70966697,0.2472701,0.6749433
bowl,1.3713343,0.9732145,0.6661048,1.339601,0.5781241,0.6175179,1.0603762,0.61578923,1.0548409,1.2781289,1.3635714,0.8337861,1.2261488,1.1329837,0.79660714,1.4040889,0.8525953,1.0573367,0.47625303,0.0,0.81880033,1.2105005,0.89886886,0.12585133,0.93761265,0.6128037,0.6906036,1.1316068,1.2361641,1.0083053,0.5307286,0.9523286,1.2630296,0.84953636,1.0069655,1.2771935,1.2805209,0.6755941,1.1948318,0.19030929,0.67828363,1.143192,1.024677,1.1186814,1.069369,1.3199198,1.0908755,0.83908665,1.2511778,0.85317516,1.2965224,1.0703614,0.8258138,0.627355,1.0264051,0.804492,1.0107019,1.1714997,0.854946,0.99118286,0.81085837,1.2522628,1.2711741,0.83215076,1.0025657,0.87499994,1.3504468,0.5509235,1.4527811,1.1438404,0.9275402,0.63468295,1.302305,1.2683332,1.1456952,1.2029605,0.76954675,0.8242365,1.0798808,0.9329603,0.8184854,0.97181416,1.2552564,1.4359244,1.4537154,1.2359045,0.7758429,0.79249114,1.2310629,1.2473443,0.9038374,1.2070101,0.81213474,0.3453561,1.0247593,0.71239984,1.0656799,0.73578745,0.8274424,1.1462102,0.8715948,1.3037772,1.3812528,1.1149554,1.4116578,0.94465387,1.454792,1.1010598,0.75684667,1.2551149,0.6700846,1.1511121,0.6444908,1.0408119,0.8164093,0.87262636,0.83773214,1.0579832,1.3563035,1.1530696,0.19688946,0.9416691,0.9928704,1.1501952,0.8770246,0.5773343,0.9272689,1.0428401,0.9151162,0.6958363,0.7778184
box,1.0655409,1.2312479,1.0515971,1.1533773,1.0289913,1.0827144,1.1794472,0.75714886,0.8249682,1.2842336,0.99162483,1.0603304,0.7890116,0.9940003,0.99137825,1.0866824,0.7135392,0.5159344,0.91282594,0.81880033,0.0,1.17798,1.0224435,0.6384007,0.9102586,0.5588377,0.7498241,1.0784017,1.2588692,0.67451346,0.9636462,0.62291974,1.3164973,0.74853957,0.95478565,0.84761727,1.0141925,1.1254891,0.6261747,0.88876605,0.94532543,1.0474703,0.8889944,0.75287175,0.5238652,1.1111958,1.2317574,1.1451085,1.2423342,1.1516254,1.1266415,1.2487936,1.1983583,0.96672773,1.039898,1.1337584,1.0607162,0.72415125,1.1741756,1.1462868,0.81702465,1.0790876,1.1518986,1.0877118,0.93978894,0.8885237,1.1084383,0.74031615,1.2128278,0.9693221,0.85835123,0.9041928,1.078044,1.1055462,1.2456352,1.1597389,1.2043601,0.94214255,1.2761457,1.2116067,1.1228819,0.48295933,1.1467345,1.1500869,1.2393823,0.58116025,1.1349036,1.1001437,1.1844766,0.96068066,1.0133508,0.98811495,0.9340185,0.9302442,0.9728356,0.93320495,0.6774049,0.7601366,1.1634305,0.8117585,0.96710545,1.1125299,1.1087942,1.0566865,1.1356854,0.89335704,1.1409978,1.0576495,0.91353357,1.0907621,1.1469134,1.1856587,0.81122637,1.0338249,1.1051828,0.9450634,1.0209819,0.6915468,1.0924444,0.74540836,0.8076399,1.2314489,1.2336875,1.1603384,0.9749413,0.77388763,0.6089634,1.0490506,0.91405565,1.0932446,0.9946525
bread,0.7277372,0.7785809,1.0602624,0.93977416,1.1110306,1.153108,0.8981086,1.007354,1.1192461,0.82246315,1.1208401,1.1470163,1.1162621,0.8545259,0.93758434,0.93339515,1.0446156,1.1804363,1.23439,1.2105005,1.17798,0.0,1.0853565,1.1973333,1.0099484,1.2004843,1.2373226,1.0140179,0.8788621,1.2201737,1.2177782,1.1697282,0.8900457,1.1296136,0.95523405,1.1256084,0.4243557,1.1088899,1.1402293,1.2068388,1.1448551,0.7105918,0.7391155,1.164368,1.0091054,0.99791414,0.8340144,0.9172882,0.8814763,1.0864935,0.99543166,0.83043987,1.0393554,1.2068077,1.0089185,0.92733914,0.9000463,1.1650589,0.91397667,0.7401576,1.0424534,1.0203596,0.80877364,0.9631763,0.9930811,0.9665425,1.0449014,1.0608287,1.0018834,0.8569948,1.1498073,1.2481084,0.9915189,0.7556453,0.7671201,0.2401799,0.9970573,1.0302484,0.8113644,0.9412598,1.0181477,1.1594709,0.85000867,0.9852723,1.026964,1.089255,1.0453053,0.9905775,0.8233154,0.8273704,1.0703046,1.0304434,1.090193,1.115324,0.92016923,1.0095401,1.0707624,1.0446098,1.013453,1.1673101,1.016695,0.7977197,0.77372724,1.0165969,1.0191171,0.8816202,0.91405535,1.0791512,1.1634104,1.1833613,1.0292178,1.0187993,1.1628423,0.8683578,1.0225227,0.94158435,1.0338286,1.1671631,1.099827,1.1663187,1.1271265,0.85455513,0.96333414,1.0595751,1.0161978,1.1619155,1.1590092,1.1014442,1.2200881,1.114201,1.211549
broom,1.3546853,1.0122918,0.99526,1.3081627,0.9578506,0.93416417,1.1781578,0.82684696,1.1534204,1.1077112,1.249207,0.7605185,1.0070546,1.2549176,1.031222,1.2427219,1.1567763,1.0667074,0.81915915,0.89886886,1.0224435,1.0853565,0.0,0.7748067,0.8171181,0.64762616,0.75768703,0.95510334,0.9660997,0.7643797,0.6979844,0.7715851,1.0564325,1.0063099,1.0629594,1.1481682,1.2486849,0.60749114,0.9160934,0.8202845,1.0456575,1.1863444,1.1363429,0.7483475,0.89967746,1.1809506,0.96989506,0.84314555,1.0387571,1.0104634,1.2493886,0.95178413,0.7276602,0.76887566,1.0595635,0.61985934,1.098862,1.1028577,0.83077145,1.0851024,0.98464334,1.2094622,1.190471,0.9198894,0.97593015,0.7372746,1.3078454,1.017734,1.3112335,0.8583275,0.49508166,0.5421644,1.2402213,1.3405998,1.0571215,1.1008157,0.9504154,0.6011598,0.8312198,1.0806482,0.8116061,1.0131325,1.1728369,1.3046244,1.2707665,1.2123945,0.61686665,0.61424524,1.1388161,1.1304919,0.8168053,1.202909,0.73409283,0.82489383,1.1454021,1.0667338,0.9329926,0.96491,0.9800436,0.8086654,0.7460699,1.1768883,1.0527378,1.1453221,1.3034344,1.1187739,1.265907,0.9413992,1.0855877,1.2191606,0.8454354,1.0577254,0.8932211,1.0498648,0.65144515,0.906003,1.0679245,1.0450977,1.3242621,1.2881477,0.9423436,0.9306442,0.99541736,1.0317941,0.60868776,1.0137572,0.9804203,1.0367098,0.38654387,0.87700033,0.6935159
bucket,1.4339237,0.9746755,0.74056053,1.2948568,0.6776678,0.72765255,1.1943252,0.54258007,1.0339284,1.3644751,1.3996892,0.8060597,1.1468071,1.1594288,0.86257577,1.4241315,0.8792876,1.0357102,0.4614817,0.12585133,0.6384007,1.1973333,0.7748067,0.0,0.9584293,0.3655119,0.58968735,1.1116126,1.281256,0.808835,0.5171293,0.8121035,1.2821203,0.8218472,1.0313003,1.233097,1.2687442,0.7035122,1.081296,0.2337184,0.8168764,1.1985073,1.0495249,0.9651317,0.95889205,1.3167365,1.1194028,0.8832847,1.2904025,0.9394908,1.3729999,1.0671431,0.8555502,0.63224113,0.96285295,0.7624861,1.0828528,1.176426,0.88549614,0.95649993,0.8538507,1.2888966,1.2630259,0.8248954,0.95152164,0.85831004,1.4031049,0.5681704,1.4624897,1.0172564,0.74942166,0.57084095,1.2969992,1.293153,1.2198846,1.2146807,0.86849296,0.6454817,1.0725328,1.0179453,0.85358787,0.8401209,1.3397958,1.4529755,1.4463766,1.1999098,0.79462457,0.7466671,1.2144952,1.2440386,0.8253164,1.2671231,0.7497008,0.4154235,1.0464848,0.769372,0.91506547,0.65675104,0.9102905,0.9582478,0.7682773,1.3195007,1.2801758,1.1526684,1.4144516,0.85414606,1.3937287,1.070571,0.7880186,1.3381096,0.75257754,1.2337435,0.59429145,0.94090444,0.78114164,0.8179427,0.88287926,0.9670454,1.3807111,1.1517621,0.3150766,0.9485417,1.0956775,1.1685615,0.71522975,0.632192,0.89721334,1.0919642,0.69421667,0.78953743,0.74486655
butterfly,1.0136319,1.0781035,0.9468176,1.386739,0.844053,0.8928317,0.9062317,0.97422737,1.3611819,1.0445948,1.2785525,0.9620166,1.3636885,1.1518072,0.69655955,1.2944378,0.89851665,0.70619965,0.88169754,0.93761265,0.9102586,1.0099484,0.8171181,0.9584293,0.0,1.0296272,0.9212424,1.0148603,1.0448561,1.1467042,0.7627398,1.0455235,1.1506672,1.1582196,1.1038156,1.2811794,1.1846734,0.7904874,1.1056873,0.9172515,1.0628617,0.837551,0.7629112,1.128991,1.1652722,1.1527537,1.0313346,0.7301059,1.1056255,0.9793401,1.036876,1.0737952,0.802475,0.8110834,1.0799576,0.81723285,0.4970768,1.0382771,0.93714714,0.9937209,0.82970715,0.99135154,1.215872,0.75972927,0.7544044,0.86149365,1.1304896,0.88508755,1.3617985,1.2328558,0.9132808,0.7478571,1.238781,1.2153828,1.0192671,1.0533328,0.9691268,0.98558056,1.0093875,1.0270351,0.7544993,1.0899072,0.9569095,1.263371,1.3933293,0.9813007,0.8565851,0.9220553,1.0014132,1.000483,1.0755517,1.0124384,0.7503756,0.8160126,0.83846384,0.92539984,0.91420096,1.0091469,0.94597137,1.2218565,0.6745604,1.195986,1.1881769,1.0613377,1.2327677,0.9550109,1.338242,1.1482992,1.3709887,1.107024,0.94186026,1.1048645,0.8812994,1.1245275,0.8134315,1.0053416,0.94951034,1.1021909,1.2102512,1.2590601,0.8576931,1.0012231,1.0645235,1.1276114,1.0185403,0.654161,0.82862294,1.0205222,1.0258842,0.95789456,0.83320844
can,1.5483152,1.0841048,0.80964047,1.2534324,0.8686507,0.76691073,1.4273819,0.52172637,1.0480325,1.3372766,1.3304691,0.6155756,0.9327948,1.2476946,1.0761571,1.4107246,1.0165453,1.051756,0.48729587,0.6128037,0.5588377,1.2004843,0.64762616,0.3655119,1.0296272,0.0,0.54822814,0.980231,1.0556071,0.57349956,0.5613641,0.549618,1.2268493,0.8218528,1.0368037,1.0021695,1.3200531,0.6606488,0.9452691,0.42676723,1.0582429,1.3262722,1.284222,0.55642796,0.78185564,1.2722728,1.118824,0.910426,1.2072356,0.9897075,1.3528382,1.0569685,0.74974465,0.66733724,1.0242075,0.7716751,1.3100328,1.0966744,0.8403362,1.2051935,1.0537611,1.2659805,1.3310894,0.87214077,0.99372524,0.980376,1.38133,0.7790451,1.4513831,0.8236823,0.55243134,0.50885594,1.2625923,1.5036181,1.3071915,1.2539473,0.8754673,0.42932922,0.92846966,1.1387515,0.8470727,0.6641898,1.3173835,1.455477,1.3260665,1.1873529,0.6986465,0.6928345,1.1936554,1.2153559,0.5219518,1.2875261,0.81503797,0.5873993,1.2026592,0.9682986,1.027202,0.6014828,0.9066551,0.4676485,0.78968394,1.2103266,1.1146357,1.3605708,1.3297589,1.0325388,1.2705634,0.7829539,0.87698764,1.352408,0.733172,1.0827905,0.56842077,0.98749316,0.8241399,0.8224735,0.97392756,0.93214285,1.363092,1.0963461,0.6995549,0.9184413,1.0046763,1.2859477,0.49802893,0.9752403,0.9389313,1.1575626,0.41189772,0.69596004,0.64703286
car,1.3774357,1.179694,0.6937595,1.3564675,0.6827287,0.6660075,1.2840188,0.49334818,1.1281829,1.2013861,1.1849613,0.74863434,1.0773642,1.2238203,0.9135118,1.2836244,0.9772076,0.8794961,0.3750593,0.6906036,0.7498241,1.2373226,0.75768703,0.58968735,0.9212424,0.54822814,0.0,1.0836242,1.0907521,0.78068733,0.5011002,0.89042866,1.2264918,0.97198164,1.2092223,1.0618099,1.3533864,0.5861032,1.0022893,0.54029906,1.1677775,1.1762415,1.1935601,0.9442293,0.9999862,1.2230631,1.243126,0.7580238,1.1077464,1.016711,1.2162914,1.2054517,0.64989614,0.39633596,1.0888618,0.7107464,1.0309732,0.919196,0.8875616,1.0487398,0.95174253,1.1664983,1.4372634,0.74999124,0.99957055,1.0788903,1.2581347,0.90913653,1.3481839,1.068616,0.6408229,0.6234304,1.3011827,1.447763,1.2609875,1.2293513,0.7618364,0.60065544,1.1400383,1.1070764,0.62325966,0.79862285,1.2242234,1.3039927,1.3292391,1.0900227,0.64697194,0.79704976,1.3362327,1.1889862,0.641802,1.1637573,0.66750336,0.52724284,1.1943374,0.9391341,1.0317641,0.48381394,0.970638,0.88973117,0.7755569,1.138066,1.2322944,1.3326049,1.264947,1.0898709,1.3475287,0.91135097,0.97720844,1.0647177,0.6558867,1.1224794,0.69884104,1.2140683,0.9422206,1.0731316,0.89062196,1.0298032,1.2751168,1.1196136,0.8520406,1.0245128,0.96008897,1.2891582,0.6398269,0.74534607,0.89995587,1.0545965,0.65461063,0.6630124,0.6037158
