,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
couch,0.7036961,1.2658056,1.3768722,0.98796433,0.6553688,1.1463132,0.9546839,1.1496176,0.92355365,0.38425446,0.7984814,0.26353896,1.3706377,0.20752525,0.5793592,1.1913793,0.3983605,1.1366901,1.0486399,1.4373227,1.0583695,0.7800112,1.1804409,1.1803128,1.1589992,1.3791599,1.1907585,1.1694617,1.1801485,0.7726121,0.5770451,1.4425206,0.4247244,0.6308028,0.46714318,0.96139044,0.0,1.1159273,1.4964192,0.44249701,1.391571,0.77968824,1.0813502,0.5838667,0.78925955,0.7946696,1.0980628,1.0948589,1.3029497,0.96381617,1.0471147,0.7929571,1.2930458,1.0152688,1.3984836,1.3450625,1.1882563,1.3216898,1.3534621,0.7471247,1.4566537,1.1013049,1.4399856,0.8169362,1.0176494,1.4461315,1.1638966,1.3792132,1.0771216,0.598802,0.5273037,1.0583589,0.5661948,1.3147404,1.0889006,0.9576907,1.0587258,1.0335274,0.8410566,1.0863518,1.3585403,1.1136664,1.1416816,1.4314156,1.0694858,1.3102993,1.1851453,1.4439797,0.60592306,0.6145764,0.51550055,0.63997144,0.80126595,1.444769,1.420843,1.194613,1.0170649,0.8385371,0.9658288,1.0621263,1.3956507,1.2540174,1.1576746,1.4434383,1.0308086,1.2856522,0.54812217,1.1811635,0.77543,0.70352316,1.0939288,0.6176611,0.9711549,0.86615944,1.2909598,0.5641862,0.805495,0.7320721,1.4827815,0.932581,1.3877001,1.1865281,1.0806035,1.18687,0.98706484,1.0898108,0.7382442,0.56136215,0.7504451,0.47180414,1.3928614,1.3750272,1.4065602,1.1423541,0.9704277,1.2596594,0.8609751,0.85763943,1.022782,1.0146601,0.82424384,1.3626702,0.62687933
cracker,0.7799835,1.1594741,0.9721214,0.94187164,0.75871354,1.0956198,1.0799848,0.49213016,1.0137807,1.0347648,1.0019561,1.1338516,1.1724476,1.0158017,0.87126285,1.0589168,0.9533305,1.1562252,0.9960419,1.2194057,1.0529984,1.1119015,0.58558434,1.208298,1.0924364,0.9237684,1.2804893,1.2470748,0.5368844,0.84794915,1.2290293,1.2432523,1.209289,1.0987431,1.0803756,0.72941244,1.1159273,0.0,1.083344,1.1205633,1.2256671,0.8676748,0.9756838,1.2147206,1.0558358,0.9580283,1.1764934,0.78581506,0.971353,0.9731788,0.9145894,1.0523741,0.8083958,1.0207953,0.9901106,1.2232206,1.0710356,1.0052437,0.79993784,0.9266912,1.1233152,0.72257847,0.75332785,1.0767927,0.60319394,1.2198584,1.0803702,1.1630995,1.1408923,1.0872837,0.859485,0.668936,1.076698,1.2693113,0.9217765,0.82593656,0.7613691,1.1823329,0.5023647,0.92118466,1.153455,0.89102846,0.7176466,1.1483816,1.0038216,0.9958066,0.89740986,0.9736536,1.1084237,0.9268248,0.9168527,0.97365385,0.894451,1.1637559,1.1244825,0.7286015,0.9830999,1.1558678,0.84652376,1.2782906,1.0673378,1.1060098,0.89200354,1.041637,1.1347927,1.3213959,1.2171766,1.1421156,0.6566528,1.025755,0.93827647,0.9890855,0.88603246,0.9438232,1.0112816,1.19959,1.1801637,1.0316435,1.1190633,0.7676192,1.1954346,1.0035461,1.0662279,0.82508045,0.83078736,0.9182235,1.0599219,1.0399145,0.9831988,0.9864707,1.0355269,0.98907024,0.9748245,0.7258225,1.0416514,0.99613357,0.7775034,1.0310265,1.2278371,0.95889807,1.2333403,1.0455022,1.202564
crayon,1.5119433,0.7600354,0.53288233,1.2941618,1.4706416,0.9531103,1.1648873,1.0866644,1.144084,1.5521088,1.3466804,1.5764968,0.19704604,1.5348873,1.5687358,0.8757698,1.5189773,0.8481116,0.8383752,0.26317304,1.039336,1.215631,0.82518816,0.60857487,0.8052697,0.68012035,0.46275675,0.7233585,0.9611323,1.3718452,1.2525624,0.367292,1.3854585,1.3785223,1.4702299,1.1097037,1.4964192,1.083344,0.0,1.5167363,0.2554804,1.4293661,1.1562989,1.2684293,0.9519468,1.4312525,1.0499154,0.9824022,0.7308885,1.1529757,0.8934268,1.3053563,0.6459694,1.037655,0.42688048,0.39537716,0.8980403,0.45962566,0.7229348,1.5284489,0.2607571,1.0370908,0.43086094,1.2813337,1.2344239,0.3232373,0.9841714,0.4937259,0.9841366,1.4168162,1.5078213,0.85594213,1.3711684,0.46659815,0.7448107,1.2423948,1.1763551,1.0449893,1.3890858,1.0597106,0.53513956,0.85318977,0.9889343,0.18654752,0.72081983,0.55233824,0.8530486,0.43373275,1.2393819,1.4220517,1.5966189,1.3783684,1.3475902,0.2450735,0.21262383,0.827434,1.1149299,0.7046442,1.1287206,0.89201045,0.32773155,0.8097397,0.9809345,0.52124244,1.0211387,0.64318705,1.3430977,0.9387433,1.4206266,1.3947121,0.94094276,1.47509,1.242856,1.2252707,0.8609337,1.3728013,1.1891174,1.3574659,0.21439922,1.1492978,0.60381114,0.8794664,0.8511886,0.9902059,0.90208936,1.0686135,1.39034,1.4690338,1.3527207,1.5719922,0.43773532,0.44761747,0.16103184,0.963344,0.8702643,0.8277402,1.2357926,1.1738657,1.0593147,0.97293526,0.9060746,0.34245247,1.2841877
crib,0.7181709,1.1870601,1.4132161,0.8350823,0.77209496,1.1730508,1.0000502,1.1619971,0.6182327,0.40311152,0.87221116,0.17925608,1.4553565,0.38272256,0.704761,1.1581411,0.64697266,1.0415152,0.9095399,1.38873,1.0184102,0.61845523,1.316436,1.0060608,1.0900958,1.2736088,1.1540474,0.9318199,1.1946635,0.84910524,0.6303658,1.3751788,0.3662964,0.7769179,0.5756301,0.94561994,0.44249701,1.1205633,1.5167363,0.0,1.3779488,0.8053706,0.95649445,0.46129382,0.80765164,0.8195143,1.0127195,1.2901379,1.428268,0.970623,1.1878662,0.88556886,1.4448147,0.9434605,1.4561129,1.2378175,1.161862,1.3077066,1.3035686,0.52319545,1.5408331,1.3196735,1.4462893,0.9055472,1.0919715,1.4779875,1.0588837,1.3027984,0.7934929,0.7673638,0.80285335,1.107712,0.22461867,1.188416,1.2442356,0.9866466,0.995962,0.95947605,1.0380414,0.9712423,1.328043,1.2431171,1.2284105,1.4887495,1.1467092,1.467688,1.3098395,1.4881995,0.6289687,0.8710003,0.6226974,0.9124162,0.7772085,1.3522034,1.3315458,1.2595205,0.9997883,1.219772,0.9209802,0.911314,1.4302244,1.1884456,1.1941569,1.4699451,1.0523788,1.227386,0.38583994,0.9414637,0.77933764,0.90327275,0.9534238,0.7845377,1.017877,1.0097252,1.230038,0.35729283,0.87465703,0.6312915,1.5530066,0.83276117,1.2986877,1.2046565,0.99394774,1.2315072,1.126867,1.0925028,0.5459107,0.76647735,0.62726647,0.39527446,1.4840503,1.5193475,1.5424407,1.0839399,1.0468837,1.0447776,0.76590675,0.8188034,0.8889916,0.97882205,0.7269929,1.5519197,0.44016534
cup,1.5032458,0.73922276,0.62402886,1.0820264,1.4739299,0.863413,1.0713581,1.1021502,0.9170774,1.374807,1.3122696,1.4690671,0.3005998,1.4695785,1.5313258,0.9952031,1.4521399,0.88982517,0.8806274,0.092056274,0.64903057,1.0682348,1.1273515,0.72098726,0.4966023,0.77802116,0.3976084,0.6855372,1.1225563,1.3471413,1.143507,0.3551557,1.215091,1.3594702,1.2455987,1.1963453,1.391571,1.2256671,0.2554804,1.3779488,0.0,1.368973,1.1240901,1.1010841,1.0169525,1.4309967,0.9832655,1.188842,0.73060924,1.1763964,1.1271682,1.2817035,0.9456944,1.1135569,0.5056697,0.22198272,0.9234133,0.6400075,0.8569977,1.277,0.47406173,1.1303407,0.5661299,1.2582213,1.3372433,0.40814495,0.9875058,0.4729551,0.9499652,1.3977494,1.548182,1.0944316,1.326916,0.3834834,0.8490609,1.3078499,1.2023346,0.899896,1.4603791,1.0408651,0.47962356,1.1041566,1.1105351,0.27950025,0.72122216,0.8503951,1.031372,0.5502128,1.0934331,1.391386,1.5429913,1.427311,1.3360269,0.42313987,0.4146167,1.0491626,1.149853,0.7169821,1.0783592,0.7235341,0.35703492,0.75792277,0.94878864,0.5953407,0.9781013,0.49404538,1.1751592,0.9653381,1.3448539,1.4103067,1.0761048,1.4524152,1.2639922,1.2748964,0.8031107,1.275182,0.96315,1.2806953,0.42440063,1.178689,0.4386871,0.9561952,0.639971,1.0067929,1.045789,1.120415,1.2504596,1.4450891,1.2611275,1.401442,0.48476535,0.6563034,0.4005475,1.122369,0.8343119,0.73266655,1.1509616,1.0937703,0.886318,1.10706,0.942488,0.5692452,1.1297848
dog,0.43403673,1.1933279,1.1820263,0.93386954,0.8409929,1.0687943,1.0000467,0.9201902,1.0600044,0.8393858,0.6766099,0.6910847,1.3651063,0.8230806,0.6955071,0.8902592,0.7044144,1.07609,1.0602944,1.3494745,1.0654004,1.0341643,0.91624653,1.2535628,1.2431014,1.0629348,1.4361055,1.2612505,1.1023893,0.2616276,1.1457282,1.3852981,0.9026231,0.7071555,0.84199727,1.0313284,0.77968824,0.8676748,1.4293661,0.8053706,1.368973,0.0,0.8161086,1.0242877,1.1316599,0.92353326,0.83098006,1.0850794,1.1068323,0.9764183,1.0213447,0.88096887,1.2914919,1.0203918,1.2486765,1.2002885,1.1302004,1.3016016,0.9474603,0.83897376,1.378291,0.99249285,1.2479266,0.8744335,1.0223458,1.324606,1.0081074,1.0929167,1.0449989,0.77435017,0.78051174,1.1604147,0.90432113,1.3165389,1.2635841,0.97993,0.93951344,1.0504881,0.84967697,0.92602706,1.2442945,1.1385386,0.57106376,1.3229938,1.2306432,1.341068,1.1818384,1.2532103,1.0304083,0.54631484,0.6953417,0.9427153,0.74068046,1.3715612,1.3875203,1.1004812,0.79793733,1.1528774,0.8076031,1.1059084,1.3448994,0.9056994,0.9227506,1.2189736,1.1071355,1.209974,1.0194476,0.82409894,0.44645178,0.8623297,1.1218858,0.888905,0.9940177,1.0406792,1.2624859,0.91513735,1.0339997,0.9109569,1.4019591,0.9540761,1.2906667,1.1760871,1.1109543,1.0627693,0.9936888,0.7447809,0.9423379,0.7121346,0.79735816,0.7705056,1.3121908,1.3355918,1.311668,1.1082578,1.1628156,1.0544899,0.87549734,0.9814115,1.0460614,1.0474341,1.1299527,1.3108835,0.960213
doll,0.7363576,1.0372841,1.0787677,1.0730032,1.1145396,1.0090121,1.0146708,0.97069347,0.9501138,1.091933,0.9766986,1.0013909,1.1320919,1.1652217,0.8448342,0.9485381,1.093709,0.7959193,0.7340199,1.0410435,1.0558375,0.91523963,0.9871447,1.0672699,1.0492109,0.8752665,1.230175,0.9719551,1.0507514,1.0843678,1.0777735,1.0343387,1.0575476,1.0413151,1.1164072,1.1170758,1.0813502,0.9756838,1.1562989,0.95649445,1.1240901,0.8161086,0.0,1.0780354,1.1796304,1.0357174,0.8512968,1.0206105,1.0396739,1.1777513,1.098441,0.81898224,1.1119783,0.9227638,1.111875,0.9907642,1.0700952,1.2059041,0.6690839,1.07934,1.1011087,0.99907076,1.0510739,0.78894436,1.0167023,0.9158083,0.88027334,0.91816133,1.0593312,1.0170884,1.135675,1.2443331,1.0576025,1.0794507,1.1019548,1.013324,1.0040674,0.89995444,1.0084127,1.0111662,0.9879553,1.0806895,0.9330132,1.1283785,1.1557723,1.0991294,1.0031819,1.0472366,1.1534661,1.0536314,0.9683262,1.144587,0.7216134,1.056453,1.0681248,1.1101732,1.0318216,1.2020762,0.81364906,0.95318294,1.0676608,0.8831616,1.0974798,1.0217232,1.0112151,1.0758449,1.1470436,0.55508596,0.94044286,1.005184,0.9681751,1.0501726,0.98743045,1.0601177,1.0840435,1.1357262,1.0157743,0.9001778,1.1487259,1.0732768,1.0514333,1.0797186,1.1390938,0.98400605,1.1458038,0.9147983,0.8204075,1.0055336,0.8116454,0.9700133,1.0885342,1.1102996,1.1642268,0.986563,1.1295233,0.60341954,0.851902,1.0359293,0.9683225,0.8345474,1.1248548,1.1191993,1.062639
door,1.0838239,1.0546582,1.3005838,1.0238508,0.9477506,1.1527942,1.0590563,1.205396,0.87700105,0.7122493,1.0456651,0.6711724,1.1380129,0.62376356,1.013033,1.3184867,0.9042211,1.0813308,1.1330453,1.1569277,1.0043913,0.73278654,1.2816379,0.69373965,1.0416408,1.1821184,0.71232986,0.8613504,1.079714,0.9462214,0.611863,1.0166744,0.21765709,0.99025744,0.69464153,1.0460974,0.5838667,1.2147206,1.2684293,0.46129382,1.1010841,1.0242877,1.0780354,0.0,0.6025732,0.97338676,1.0750698,1.2240736,1.2341192,1.0333366,1.1987724,0.95851505,1.2536867,0.99334204,1.1779704,1.0766808,1.0423659,1.0223488,1.3057714,0.8282037,1.2490994,1.2925305,1.3503404,0.93242645,1.0826496,1.2481979,1.0684643,1.1693826,0.9803727,0.9778041,0.97530925,1.0412871,0.384059,0.8410027,0.9855949,1.0075501,1.1503353,0.9641039,1.1654553,0.935758,1.1484185,1.2130558,1.2082629,1.2390645,0.8779825,1.1789057,1.1443164,1.2840722,0.4083603,1.0176488,0.9272939,0.9302436,1.0487014,1.1720992,1.146187,1.2227675,1.0872246,0.9361942,0.99300086,0.8403915,1.2422179,1.1439105,1.105751,1.2683916,1.0666808,0.98926556,0.23057687,0.9917965,1.0053524,0.97820944,1.0697408,0.9294362,1.1247202,0.8834378,1.1572857,0.4195434,0.838385,0.9471677,1.2919664,0.9924952,1.0725417,1.1263893,1.0168487,1.121831,1.1161039,1.0863531,0.84697354,0.97710747,0.91439605,0.7744694,1.3178558,1.2057927,1.2473943,1.1585853,0.8540407,1.2259741,0.9882815,0.7078526,0.94812095,1.0262033,0.5309448,1.3010995,0.3522057
drawer,1.1597868,0.83788437,1.1516953,1.0560051,1.0577008,1.1765066,1.1033695,1.2554388,0.76286024,0.81193405,1.2083551,0.98769766,0.9419951,0.63895327,1.0942532,1.2730477,1.0237681,1.0114477,0.8361002,1.0910232,0.9617069,0.6056148,1.0106144,0.72360814,0.90582204,1.1047909,0.6179388,0.7998575,0.9144996,1.1084443,0.69295686,0.93823534,0.7429357,1.2069114,0.6887282,0.8747594,0.78925955,1.0558358,0.9519468,0.80765164,1.0169525,1.1316599,1.1796304,0.6025732,0.0,1.1201316,1.1784748,1.1048224,1.1245296,1.2073357,1.01403,1.1423293,1.0057673,1.0061183,0.95274955,1.1328963,0.8590641,0.7257615,1.0879196,1.1299303,1.0506566,1.07,1.1120404,1.1718576,1.0248735,1.149533,1.1797165,1.2240903,0.9754829,1.1866958,1.0189774,0.6113555,0.6876226,0.8775668,0.84217143,0.9521327,1.1804072,1.0718241,1.112519,1.1059953,1.0510392,1.0306393,1.0924636,1.1346526,0.7097721,0.9653498,1.0129044,1.109194,0.3698874,1.1243525,1.1206679,0.9946029,1.0098398,0.89833355,0.8285259,0.93558717,1.1956356,0.7083244,1.0215819,1.0320016,0.78917944,1.1068356,0.99304867,1.1670678,1.0355245,0.7787279,0.5093719,1.1392026,1.1113018,1.1260898,0.96883065,1.13089,1.0274805,0.9324281,0.9549778,0.96614856,0.8025694,1.2073573,0.9583086,0.90903556,0.9736334,0.83155715,1.0550768,1.0579232,0.94273275,1.046289,0.98994935,1.16784,1.1144954,0.7829156,0.9688854,1.020176,0.9637224,1.1155486,0.7619709,1.1877958,0.67503077,0.9018378,1.1592724,0.879999,0.73212874,1.055073,0.88301206
dress,0.71406204,1.2505499,1.3877034,0.8387859,0.47619897,1.1947949,1.025303,1.021113,1.1741699,0.6900752,0.64241993,0.6830237,1.2809906,0.6549816,0.47722125,1.030537,0.54583603,1.2257055,1.1349134,1.4247696,1.2772276,1.0650169,1.0764143,1.2456704,1.3169287,1.2928467,1.2544391,1.2699258,1.0115697,0.6553049,0.8686309,1.3817096,0.889941,0.49934018,0.85997444,0.8561896,0.7946696,0.9580283,1.4312525,0.8195143,1.4309967,0.92353326,1.0357174,0.97338676,1.1201316,0.0,1.18124,1.0206727,1.2629373,0.5061217,1.0422566,0.8897083,1.0939362,0.99855155,1.3832893,1.3582349,1.186281,1.2839777,1.3838329,0.7721416,1.2575657,0.9024377,1.4084363,0.9350208,0.75446236,1.3492017,1.1652781,1.3210025,1.0829865,0.43434882,0.32101387,0.8648024,0.8545271,1.397671,0.95853496,0.5546854,0.8628737,1.1036894,0.67263323,1.1299266,1.3074313,1.0023042,1.0939741,1.3766967,1.0023087,1.028121,1.0805284,1.3999245,0.9496702,0.6868453,0.24580854,0.42227602,0.8014673,1.4003667,1.3933294,1.1509669,0.71457607,1.1800683,1.0157293,1.2515521,1.3863542,1.2915881,1.2190033,1.3504856,0.9907336,1.4291294,0.7923079,1.2187462,0.8958078,0.40778255,1.0420502,0.25152326,0.94460326,0.4298113,1.1814971,0.65383244,1.0763326,0.7568896,1.3530649,0.80353975,1.3677976,1.1152669,1.2220037,1.146411,0.9969825,1.079935,0.83034927,0.46936333,0.8662958,0.7016481,1.425174,1.2658575,1.3402392,0.9930796,0.9134216,1.3769796,1.1154876,0.9151052,1.2040651,1.075939,1.1638486,1.237679,0.92480695
duck,0.9830547,0.80416656,0.9381669,1.1184344,1.2229806,0.8622464,0.9002751,0.98646384,0.87941957,1.0667288,0.93609405,1.0573962,1.1035061,1.1737345,1.112035,0.48112345,1.0998658,0.76398885,0.96565926,0.9213624,0.9611137,1.0200127,1.1560893,1.0020704,0.99769604,0.7518201,1.1482282,0.9582698,1.1711669,1.0260546,1.1486456,0.9659,1.0476005,1.0436218,1.0976286,1.0616993,1.0980628,1.1764934,1.0499154,1.0127195,0.9832655,0.83098006,0.8512968,1.0750698,1.1784748,1.18124,0.0,1.1547844,0.98313403,1.109961,1.1531202,1.0122979,1.2289109,0.8944507,0.9887476,0.83700037,0.81180656,1.1351366,0.7694048,1.0973775,1.1498785,1.0886695,0.98388976,0.99967706,1.2342585,0.9752075,0.7891296,0.80071115,0.8781024,1.071267,1.2508572,1.2787355,1.125173,0.89337003,1.2101022,1.2671071,0.99722695,0.82364017,1.1530627,0.9276384,0.9789932,1.1548966,1.0170243,1.0437264,1.0682087,1.2657931,1.1852511,0.9941323,1.1360972,1.0742195,1.1635433,1.2244853,1.0183575,0.9149845,0.9764156,1.1671916,1.0633897,1.0863856,0.92027324,0.8699653,1.017383,0.7274188,0.96464026,0.9802124,1.0500396,0.87536025,1.1263891,0.804066,1.0677291,1.1453072,0.9475847,1.1864645,1.060297,1.2731962,1.0164119,1.1066695,0.86933315,1.0352799,1.0573994,0.98982227,0.8918759,0.8974348,1.0715036,0.97111326,1.2180744,1.007654,0.95293885,1.0807364,0.9618656,1.0440046,0.98987937,1.1597348,1.1559966,1.0358793,1.0373161,0.6870986,0.99138486,1.0004249,0.77349436,0.9737808,1.0682703,1.1965731,1.080452
ear,1.164022,1.268678,0.9331684,1.1055521,0.90313244,1.0412651,1.0530927,0.78631437,1.3784096,1.2594993,1.0360508,1.2009547,1.050164,1.1475263,0.92208326,1.0411142,1.1507307,1.1913737,1.2244514,1.1681614,1.2082726,1.2616465,0.5201644,1.1918049,1.2346778,1.0337389,1.1757908,1.2362592,0.7120505,1.0587983,1.2664572,1.1110312,1.1709988,0.95858973,1.1797558,1.0325855,1.0948589,0.78581506,0.9824022,1.2901379,1.188842,1.0850794,1.0206105,1.2240736,1.1048224,1.0206727,1.1547844,0.0,0.71941304,1.0580977,0.47508264,0.65288174,0.3903637,1.1105133,1.0176183,1.250823,1.1839448,1.0802703,1.0451505,1.0824697,0.6117878,0.8452495,0.8623502,0.6894649,0.5885738,0.7930751,1.1456602,1.110492,1.275794,0.95563686,0.9299924,1.0270814,1.2539647,1.270555,0.90017325,0.9356837,1.0743823,1.1792965,0.8338821,1.0608417,1.0857816,0.3745883,0.6389711,0.81653214,1.2050819,0.44201672,0.28675604,0.8186476,1.224704,0.82954353,1.0169693,0.9184997,1.0776997,1.1693677,1.1590865,0.8063707,0.9722521,1.082159,1.1554507,1.2044736,1.0912769,1.0994279,0.8728435,0.7643146,1.2342615,1.2363572,1.2970701,1.0924095,0.98886067,0.77672046,1.216016,0.8778407,0.91067547,0.92965835,0.9366932,1.2112466,1.2230237,1.1363277,0.81785667,1.1545112,1.182229,1.1198419,1.1579851,0.8517244,0.6214401,0.93923265,1.1949099,0.87940896,1.1425614,1.2753896,0.8416196,0.46613717,0.8336544,0.8873848,1.2687664,1.1987752,1.2721162,1.2213535,1.226298,1.0754883,1.2022138,0.5344518,1.2619936
egg,1.3928692,1.0333757,0.50855577,1.0913723,1.1640953,0.47873008,0.6911981,0.76717025,1.2641315,1.38169,1.1803368,1.3837373,0.8251289,1.370888,1.2292538,1.0571623,1.2715429,1.1766288,1.2227774,0.7921349,0.86610925,1.2531106,0.78331065,0.89324594,0.9208156,0.8640022,0.9216225,1.1146168,0.89163345,1.1456256,1.2412975,0.6698028,1.2898088,1.1663961,1.2579087,1.2170979,1.3029497,0.971353,0.7308885,1.428268,0.73060924,1.1068323,1.0396739,1.2341192,1.1245296,1.2629373,0.98313403,0.71941304,0.0,1.1493275,0.887762,1.0597788,0.6440235,1.1860993,0.627391,0.8455478,1.0501783,0.91543365,0.9866494,1.240965,0.6695955,0.9693198,0.7268885,1.0196211,1.0132895,0.65142274,1.0983983,0.8397702,1.0948983,1.204781,1.2378504,1.1916829,1.4008417,0.78705335,0.8030296,1.0903465,1.0291682,0.9989398,1.0427595,1.0781535,0.8536601,0.7700852,0.80445373,0.5382259,0.9306665,0.69349396,0.65391946,0.3778082,1.2791641,1.1152457,1.354135,1.1728016,1.2770467,0.93510073,0.9078903,0.8643345,1.0395417,0.7589047,1.1513875,1.0565459,0.7255926,0.786821,0.48682177,0.36978316,1.2228092,0.8608353,1.3727288,1.1034437,1.0856273,1.1675184,1.1462735,1.2287899,1.1343349,1.1648445,0.94900745,1.2997361,1.0295384,1.2748783,0.6913968,1.2106783,0.78221047,1.0309573,0.9773609,0.5392325,0.9420345,1.02537,1.2940161,1.1839184,1.2161446,1.420807,0.57651556,0.44898403,0.6380609,1.0953588,1.0258286,0.91261035,1.3250799,1.1495,1.0940685,1.1984284,1.127989,0.6430453,1.2669859
elephant,0.77635694,1.0883886,1.1967252,0.8805457,0.72892255,1.1720786,1.1208872,1.081295,1.169557,0.80341756,0.4744619,0.8175597,1.0449623,0.8286265,0.8698483,0.8458563,0.6045408,1.212966,1.1817224,1.2250223,1.2349337,1.2077812,1.0706968,1.1382564,1.3175614,1.1113629,1.1455842,1.1737659,1.037433,0.5269755,1.0188345,1.1186429,0.978368,0.6887498,1.0225111,0.710886,0.96381617,0.9731788,1.1529757,0.970623,1.1763964,0.9764183,1.1777513,1.0333366,1.2073357,0.5061217,1.109961,1.0580977,1.1493275,0.0,1.0253664,1.0518912,1.0704178,1.0793009,1.1125034,1.1186601,1.0777309,1.02972,1.2583616,0.81835586,1.041588,1.0259148,1.2367828,1.0884237,0.9478722,1.1749167,1.1212928,1.1223363,1.0653001,0.7181985,0.6855477,0.8049587,0.967695,1.0873858,0.96071935,0.8353263,0.87486875,1.0448145,0.9026084,1.0829989,1.2143624,1.0850697,0.9727513,1.1120147,0.96716565,1.0029421,1.0896858,1.209953,1.0178633,0.77588195,0.66569257,0.7659795,0.9682982,1.1397555,1.150799,1.1751518,0.37113273,1.1068504,1.0520443,1.1557919,1.1864682,1.1622375,1.1466192,1.1906586,1.0090652,1.2815263,0.9157392,1.0464036,0.99668956,0.7677475,0.97709006,0.6240309,1.0440844,0.86034644,1.202259,0.6734249,1.0141435,0.8351077,1.1487484,0.67429054,1.2057365,1.0621097,1.1530215,1.1541952,1.0066091,1.1505005,1.1211876,0.77561975,1.0526464,0.90355766,1.2624322,1.1105783,1.0828193,1.0868114,0.92397,1.350203,1.2051815,0.9199231,1.0821772,1.16594,1.2032676,1.1008325,0.86910385
eye,1.0525699,1.2013038,0.954003,1.0926682,0.9058756,1.0581715,1.0240897,0.9992245,1.3355021,1.1163327,1.0116488,1.0651469,0.94510025,1.0232778,0.9677745,0.9774209,1.0588918,1.1737657,1.0421761,1.1744976,1.155086,1.1933904,0.60569406,1.1759572,1.2569269,1.1276202,1.1596687,1.223422,0.8493484,0.9848983,1.2512336,1.0910616,1.1041638,0.9948796,1.0924604,0.9749956,1.0471147,0.9145894,0.8934268,1.1878662,1.1271682,1.0213447,1.098441,1.1987724,1.01403,1.0422566,1.1531202,0.47508264,0.887762,1.0253664,0.0,0.8336443,0.54058754,1.0882039,1.0435593,1.2067354,1.1523111,1.022449,1.0621145,1.0647509,0.58858943,0.9087726,0.8970031,0.85756534,0.7635243,0.86132336,1.118842,1.1386809,1.1590155,1.0009345,0.9145127,0.904497,1.214063,1.2291799,0.86039555,0.9706123,1.0624622,1.1413453,0.92736375,1.0684391,1.1007285,0.38536012,0.8187577,0.79290533,1.1828647,0.58696055,0.4197241,0.93867385,1.1271765,0.88341373,1.0137026,0.9341733,0.9589475,1.0977641,1.0680169,0.78938246,0.9674139,1.0511657,1.1364852,1.2370363,1.0427303,1.1554211,0.99504966,0.90836155,1.1584579,1.1805356,1.2305158,1.0706457,0.990584,0.92999715,1.1502142,0.98099244,0.87735415,0.98814684,1.1157676,1.1296588,1.1816145,1.0451765,0.7810706,1.0868485,1.2593045,1.0851064,1.1123222,1.0617414,0.6676753,1.016719,1.1979417,0.9555404,1.1113578,1.1001627,0.82441735,0.6161059,0.7872653,0.94933546,1.2379216,1.2031425,1.1761497,1.1920532,1.2739481,1.0391624,1.1974165,0.5828195,1.1476965
