,cat,alligator,frog,fish,hair,hand,arm,lamp,crib,table,bed,bench,drawer,bathtub,window,door,oven,refrigerator,chair,knife,crayon,clock,tape,bottle,apple,egg,orange,pumpkin,ball,balloon,hat,banana,melon,gum,carrot,comb,box,book,dish,plate,bowl,bucket,can,basket,plant,flower,toy,doll,sweater,shirt,blanket,glove,pillow,towel,napkin
bed,0.5704784213164367,1.0243600433723838,0.9749822043165408,1.1967677294817505,1.1365899878098429,0.7214348726949603,1.0643605782777374,1.1417268823145006,0.39590017473213956,0.6900923617301613,0.0,0.5101357510674304,0.7635983413270861,0.7607802554104447,1.0313074484896925,0.8988848017673962,0.9597658095199922,0.8230690024835572,0.8980848764256523,0.3350373590617466,1.1920158514994834,0.14408267064833613,1.0888311828892911,1.339046419657711,1.3071328243863032,1.2408704443227427,1.1736804336317688,1.2357536345410627,1.209967827317276,1.2296291232057601,0.8210141629672727,0.9752251304455248,0.9752251304455248,0.9752251304455248,1.1347477654767157,0.2635372450250443,0.9289543043933765,1.0519223062231626,1.0548112183288434,1.1342176916562485,1.139666077030232,0.9812768037475711,1.1509755933750512,0.9524558667562617,1.0746678767521214,1.1965430283626393,1.2207026238014895,1.0161982966710987,0.7817980114758929,0.7229182272969719,0.13942436287434168,1.0368504561134535,0.33312129290628034,0.972377587355116,0.7826517908474673
bench,0.6419982226957525,0.7805844964866793,0.800405310793634,1.0763253942053599,1.0718759377999647,0.8338725860256643,1.023617703025766,1.1187258035857477,0.8120329651318089,0.8822457386124873,0.5101357510674304,0.0,0.8903544505357363,0.8495758369722073,0.9615471455642877,0.9872887186891153,1.0096395115440944,0.8781259559393944,0.9808272180696177,0.5909163477700542,1.0091260158402133,0.41269191104588065,0.8598219555400775,1.0334991458475566,1.0722523834589643,1.0041688766423986,1.064311190949236,1.0689231873270513,1.0494108166445584,1.1208080484334373,0.975803393118084,1.0145035255408739,1.0145035255408739,1.0145035255408739,0.9184472845773555,0.5013265536834026,0.9853119975414144,0.931018290867135,0.9150998708911633,0.9628459043681507,0.9405191857857127,0.9792104235500791,0.9794335506340021,0.9881772661723138,1.051941920157235,0.9265596102809412,1.0852698833255363,1.0402667004231283,0.9207189306405951,0.8409923863394791,0.3369915343051717,0.8865857284163284,0.6956683223398419,0.9359317918857087,0.818652028523355
drawer,0.81234856831678,0.9144921730157688,1.016029981556455,1.072022174442472,1.088954030212413,0.7162860756978294,0.8376241853082663,1.0048918053361546,0.8777628133373157,0.9490761614518096,0.7635983413270861,0.8903544505357363,0.0,0.5080534847957707,0.8380027445057421,0.7731372558227432,0.909743089505226,0.6292696879280822,0.8360037059887577,0.639073239682036,1.1209883820616446,0.7676101136375679,1.126319565168344,1.2396702000484425,1.2853354529197918,1.2066020821537697,1.1314568088806505,1.235231828731983,1.207082490363737,1.139304688965046,0.829408471774155,0.95055913335052,0.95055913335052,0.95055913335052,1.0992513885176518,0.7321265348613508,1.0003489045902247,1.067280445582726,0.967258279799778,1.1301589535105068,1.0965579814612048,1.0472412067253625,1.1081951557555643,1.0126216909143426,0.9512344179260562,1.1202075754632714,1.2904890672592404,1.0619115426656276,0.9548480690635556,0.8992003129754742,0.746154539407052,0.9125180583975696,0.7056404022825348,0.833724133482515,0.959184018865777
bathtub,0.7998072716304183,0.7820623254452768,1.0310280753792165,1.15359767446112,1.0677777113748599,0.7958579047861968,0.7782818970548968,0.8566135463372732,0.8484174704556561,0.9377594394867592,0.7607802554104447,0.8495758369722073,0.5080534847957707,0.0,0.7485907805338121,0.7131567195592059,0.8110382047283844,0.37696937338633774,0.8094002791238116,0.6864417180851876,1.223182557007773,0.8113446145944424,1.2046076249325324,1.1910721737366115,1.3347465829080218,1.226204670820874,0.9959932902769661,1.1946558300010302,1.193035634818696,1.1207771116344483,0.8054358021313609,0.9365941469299855,0.9365941469299855,0.9365941469299855,1.177197384725476,0.8261966895432091,1.0028925487749867,1.23776813729339,1.023604285185479,1.1230301254230608,1.1536376254372904,1.1494561793590656,1.0280987253465907,1.0301847690699828,0.8812937691344096,1.2054316800634768,1.3826018487519245,1.0383489946997102,0.9799293362306262,0.8159383770900133,0.7626179752889316,0.9696096938966486,0.6818826975777117,0.7458215654787207,0.8926007807426948
window,1.0136096117328115,0.9282461632100215,1.07361519399194,1.1179183670081363,1.0835343920491098,0.9804360538011689,0.9462242232667677,0.9501344069117993,1.0347222062827153,0.8800797565195788,1.0313074484896925,0.9615471455642877,0.8380027445057421,0.7485907805338121,0.0,0.7886655833152966,0.39455750094193276,0.6767414720244722,0.7286503623304288,0.9596061488563608,1.166572822125239,1.0934534720305487,1.1446908814903292,1.131908577241809,1.2354965783403637,1.2009353640200062,1.0432579069487578,1.089770671823256,1.1341703374982264,1.1277839879729716,1.016374570369268,0.9394377344253394,0.9394377344253394,0.9394377344253394,1.1114764698378399,0.9894665807195643,0.850070094447304,0.9726988346215985,0.8006585046644559,1.0991699529656083,0.9906155057834579,0.8296866095072774,1.088936189325567,0.809808960233662,0.8042652715207533,1.077726282615942,1.0690117134308168,0.9224033940586889,1.016819648677008,0.9786475545493636,1.0118603090511407,0.9413823243009518,1.031459309256224,0.8998168517304909,1.0307530289939253
door,1.1235331499114876,0.9794275158900106,1.168649758852146,1.2876378448209642,1.0063560475870674,0.7141637254839621,0.8289787604746605,0.9719470220424378,0.9255569378163389,0.9531883761551514,0.8988848017673962,0.9872887186891153,0.7731372558227432,0.7131567195592059,0.7886655833152966,0.0,0.6821383402736506,0.8096469685289678,0.7763322966150955,0.833635666878972,1.2331095643086385,1.0059588483401039,1.0950481857530237,1.2464520866174362,1.2724436608750884,1.1732030847060195,0.8705528758830474,1.0504289381704435,1.2449306914874847,1.2724293165113578,0.87349886333872,0.7195717938539313,0.7195717938539313,0.7195717938539313,1.0525967421560594,0.9273239607675257,0.9481226405373214,1.2270663596376734,0.8789076450425025,1.061076619483658,1.053094429540108,1.0275817932464153,1.2133280056239752,0.9620346465302619,0.9023514952673869,1.2398166429092048,1.2459222894203916,0.915676018961275,1.0483373412924857,0.7376641542251459,0.8995061526746251,0.8948769086394243,0.8076167981837765,0.7662365871947108,1.0282516816074583
oven,1.156488717076587,1.0604444789509668,1.23907936075506,1.2659224044537623,1.0823149868804722,0.9440933328259584,1.0080612020480888,1.1715171018533987,0.8472848595317639,0.7625543164980525,0.9597658095199922,1.0096395115440944,0.909743089505226,0.8110382047283844,0.39455750094193276,0.6821383402736506,0.0,0.7027533546942438,0.6265060573569573,0.9710117133751648,1.2390610505285082,1.1013756903961576,1.0957394449068916,1.2461723949528773,1.2470975468911951,1.2326309422752992,0.9604349034171618,1.0821076132997747,1.2325396089798206,1.322824835671829,1.016628530723714,0.8616866888584861,0.8616866888584861,0.8616866888584861,1.0560705176115848,1.03321556115882,0.8229772292056627,1.0073509901322788,0.7900248702968394,1.0439946420905843,0.8915117304629875,0.858399417289836,1.2486221784810572,0.7682893870700054,0.7332782770796739,1.14874505400042,1.0377661111254723,0.7596053296627332,1.0845646639686959,0.8822576922965301,1.040036025536968,0.9904346434535521,0.9866256173675845,0.9630776430935789,1.0996592968882084
refrigerator,0.7599700208966144,0.671957052134519,0.9218127196853495,1.1343379439225345,0.8985949662655983,0.9471555844041113,0.9404486677036001,0.8527826796145395,0.7991836244886934,1.0156103544255126,0.8230690024835572,0.8781259559393944,0.6292696879280822,0.37696937338633774,0.6767414720244722,0.8096469685289678,0.7027533546942438,0.0,0.7278347594537673,0.7414303197046108,1.0542852389691533,0.8582642879046621,0.9482421476845924,1.06043651506916,1.2520256370396017,1.1286102384968255,0.9568498692916113,0.9735874321112051,1.1870620175868511,1.0555769383182931,0.7390581179509184,0.9764950180557064,0.9764950180557064,0.9764950180557064,1.0609465964437375,0.8801617587909385,1.0501798899412802,1.1199743114775498,1.045204001581694,1.0474397980577212,1.0210108288224926,0.9101312836902529,0.8818870234327197,1.0184100272751337,0.7678288654718086,1.0510891843290393,1.2319297277824885,1.0013885123182305,1.0152612838705701,0.8053333888463263,0.8454596485001085,0.8476824310553968,0.7619441401512443,0.7283068665968783,0.8327603132551709
chair,1.1279095958022176,0.9720014472860313,1.113490162927957,1.2153732999947995,1.0026076749667894,0.9431570741167237,0.9172196591778329,1.0750485922665791,0.8505348052247929,0.8685450245137056,0.8980848764256523,0.9808272180696177,0.8360037059887577,0.8094002791238116,0.7286503623304288,0.7763322966150955,0.6265060573569573,0.7278347594537673,0.0,0.920392082028981,1.244473542991967,1.0245883038339598,0.9804691365888675,1.2093512026123083,1.3116944487595217,1.228976380789547,0.9557967779232652,1.1218456544728144,1.2346321841216474,1.2467319120668412,0.83694123592374,0.9398780265423116,0.9398780265423116,0.9398780265423116,0.9649814486887952,0.9329663697030401,0.9333423938690009,0.9694533245353396,0.8642999878721962,0.9159296421117079,0.8788591225595336,0.9159291568373922,1.197431573213075,0.8887867720373921,0.7117854648546746,1.0459960761409532,1.1619716881779625,0.787491125702666,1.0489419507282571,0.942344994667044,0.9445407468823599,0.9175691073407426,0.749982033291688,0.7816502313809179,0.9885088176675637
knife,0.8096174403798846,0.8213433135897852,0.8712301904906048,1.1275697870782215,1.0234706847694284,0.5690877831796388,0.9104524498391401,1.206412003307272,0.6286288795570597,0.8281334129891091,0.3350373590617466,0.5909163477700542,0.639073239682036,0.6864417180851876,0.9596061488563608,0.833635666878972,0.9710117133751648,0.7414303197046108,0.920392082028981,0.0,1.098677932355245,0.2979817118062267,1.015624088953498,1.2692674990931065,1.2593806742366953,1.1228095365061121,1.1093122215580713,1.1169207582415683,1.2428568682593282,1.265201608802294,0.8481985141861991,0.8491307962496544,0.8491307962496544,0.8491307962496544,0.9851774768322025,0.2859846538179637,1.0436111524040135,0.9969656643737976,1.0365919519395779,1.0646601680857972,1.1001994703966103,1.0106438019307902,1.1259942547853892,1.045621703312582,1.0473649883261906,1.1126982464519257,1.262906527257631,0.9930631315905406,0.9767436466404015,0.7569243335358986,0.2829379747230262,0.8969730701835911,0.49159039947023775,0.960706297307526,0.7300034243992157
