,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bench,1.226059,0.87019145,1.2564994,1.1752529,0.7399193,0.9839986,0.808468,1.2039886,1.178718,0.50244105,0.0,1.3537076,0.451765,1.1860894,1.212654,0.7495066,0.6003759,0.93717605,1.1709517,1.193903,1.0634382,0.44107294,0.88299155,1.016274,1.2226675,0.9365564,0.76616895,1.0602654,1.2158128,0.9545232,1.193551,0.81072354,1.2061071,1.188725,0.50497115,1.100252,0.68215144,0.636902,1.3009133,1.1948375,1.2031232,0.9158432,0.86399364,1.2189655,0.93132734,0.78539455,1.239352,1.0460993,1.0056505,0.50838006,1.1379427,0.6694024,1.1595773,1.261778,0.56226707,1.1638557,1.0676088,1.2968884,1.1731019,1.3492807,0.7056222,0.78121895,1.0651453,1.3064283,1.0983618,1.1663074,1.0163909,0.4667865,1.1968411,1.454889,0.86462724,1.117233,0.62127304,1.0265586,0.7720994,0.7814036,0.7228422,0.6954665,1.123981,1.3862246,1.1302092,1.2071851,0.5117265,0.48256445,0.7736293,0.9301572,1.0285323,1.0599498,0.83180577,1.2645481,1.0633593,0.62254155,1.0125504,0.8509321,1.2230444,0.8091507,1.072807,1.3533764,1.1407125,1.0647618,1.0732439,1.006424,1.0393002,1.0612004,0.5050072,1.1589518,1.0478525,0.86242294,1.2530005,0.68430364,1.041584,1.3097974,1.258637,1.0318643,1.0194252,0.5230603,1.2341385,1.0838335,1.2811533,1.3293437,1.1642368,0.73720306,1.0441973,0.6323165,0.98806554
bib,0.5899023,1.2694547,0.86214966,1.1090968,1.2199041,1.1732261,1.012481,0.82697713,0.75484586,1.2495997,1.3537076,0.0,1.4163996,0.6077282,0.9122211,1.153052,1.3088961,1.2336072,0.9256556,1.0595118,1.2051939,1.4171324,1.1393828,1.0203091,0.9315619,0.9937627,1.1636117,0.9168253,1.1067222,0.7220471,1.2148762,0.9571766,0.8121865,1.0910542,1.3770022,0.85434026,1.3296242,1.2598743,0.7563714,1.0579532,0.8655325,1.0402108,1.1576692,0.64922094,1.3248048,1.1017138,0.7566767,1.1300005,1.0218245,1.4198544,0.9806641,1.2842247,1.0111653,0.7280261,1.3425161,0.8907772,0.98789114,1.0055208,0.8802264,0.83085907,1.2796087,1.0827448,0.8928619,0.5036991,0.7018834,0.8185873,1.0165325,1.4049515,0.865718,0.82099146,1.0905075,1.023393,1.3634784,0.975317,1.146898,1.2396086,1.1698261,1.3547134,0.5557358,0.39868826,0.595824,0.7732568,1.3877459,1.3860013,1.0798151,1.1279176,0.8473439,0.9817222,1.2121623,1.0054199,1.119857,1.3355601,1.1111308,1.1745055,0.86628205,1.0550258,0.92772883,0.37498206,0.92430145,0.8411606,1.0353807,0.9359877,1.0379372,1.0591995,1.390425,0.8278351,0.9095426,1.2488674,0.9388777,1.190189,0.94387627,0.4489956,0.77986693,1.1985085,1.1322263,1.3172853,0.84092134,0.9704319,1.0185529,0.7758322,0.9538353,1.2867153,1.0968255,1.3270054,0.9248508
bird,1.359022,0.66139674,1.356991,0.97249097,0.7350765,0.90600115,1.0205498,1.3860285,1.3931437,0.5806056,0.451765,1.4163996,0.0,1.360378,1.2363901,0.84002054,0.4409833,0.9195971,1.3380615,1.0640696,1.0290031,0.46840507,0.8558312,1.0546885,1.1824325,1.2158375,0.7412572,1.2048702,1.2067237,1.2766646,0.93135,0.88030356,1.3721825,0.97210306,0.49116784,1.3468792,0.55820316,0.46338946,1.3079472,1.0723194,1.0653477,1.1415441,1.1355104,1.275399,0.75326145,0.7266321,1.2565587,1.0689764,0.9814085,0.36858308,1.0450523,0.6408105,0.9432449,1.3117089,0.5984636,1.1273575,1.0154337,1.065861,1.2582295,1.3255626,0.61870337,0.71542174,1.1704844,1.3313485,1.2190155,1.1807914,1.1835244,0.47410077,1.1659234,1.3285202,0.79733646,1.1192396,0.53982484,1.0434855,0.8096395,0.6373589,0.960348,0.6517588,1.1380278,1.4061012,1.2958971,1.2954872,0.5391285,0.47955763,0.86150706,0.73712426,1.153086,1.034146,0.75983536,1.128071,0.8921101,0.63625014,0.98672336,0.63779277,1.1426389,0.98014045,1.0243239,1.3456064,1.115737,1.2540135,1.0200918,1.1328422,1.2459341,1.0632489,0.5108279,1.121868,1.0419424,0.5800179,1.2225238,0.612167,0.9891741,1.3335161,1.4154009,0.7994877,0.97347546,0.60251445,1.2546751,0.9524412,1.1060606,1.3824686,1.1143136,0.6222717,1.071991,0.55748415,1.203188
blanket,0.5011772,1.5226159,0.61410105,1.2035025,1.4912233,1.333506,0.71165806,0.643018,0.3537885,1.407168,1.1860894,0.6077282,1.360378,0.0,0.8410976,1.1341981,1.3806956,1.31173,0.69673014,1.0556183,1.1087139,1.4145226,1.0320933,1.1281942,0.8012465,0.5604289,1.323738,0.7348677,1.1461897,0.515945,1.3263783,1.1107715,0.39607847,1.2459023,1.5170891,0.5727468,1.2487236,1.3068199,0.8866708,0.80982864,0.8892131,0.9005374,0.8452002,0.7247744,1.5053842,0.91453934,0.92786664,1.3006178,1.0215782,1.518925,0.9689858,1.3995081,1.1714275,0.7723481,1.4245629,0.93889767,0.9458537,1.1119416,1.0110264,0.955684,1.3790932,1.0326393,0.6705307,0.65278554,0.5439445,1.156591,0.76801264,1.5490541,0.65271986,0.83106637,0.97555715,1.2137412,1.4356021,0.7969688,1.3281044,1.34568,1.2866304,1.2045133,0.9568705,0.5964368,0.81490386,0.65668046,1.4732425,1.4846815,1.3456633,0.79221463,0.55907565,1.01841,1.2909156,0.9321795,0.8146117,1.1884707,0.9468359,1.0141468,0.8633757,1.2197139,1.1468835,0.7148849,0.731362,0.8405434,1.0207613,0.8961589,1.0537343,0.97476226,1.3946228,0.78756094,0.8871641,1.4621674,0.83504117,1.2643644,0.7289773,0.72550553,0.4677698,1.3581526,1.3021226,1.4032863,1.099195,0.61460185,0.9989708,0.74667424,0.9215489,1.1768395,0.7710917,1.4749019,0.823366
boat,0.83250976,1.3106954,0.9836766,1.1682234,1.3841422,1.1425147,1.1090826,0.4176339,0.6001542,1.2527776,1.212654,0.9122211,1.2363901,0.8410976,0.0,1.2353882,1.3522451,0.7859154,0.87286234,1.1850033,0.6052966,1.2240797,0.19820297,1.1318566,0.97557735,0.90068126,1.2981495,0.8266085,0.96625954,0.77464324,1.1389682,1.0935514,0.79010856,1.138994,1.4100535,0.5342431,1.3549261,1.2958164,0.8232811,1.015085,1.1765684,1.0624683,1.0487967,0.9108424,1.2931522,0.79824185,0.9398565,1.1041747,1.038485,1.309247,1.1286062,1.3178985,1.0128183,0.633013,1.306303,1.055329,0.63387084,1.1790677,1.0561404,0.8790719,1.3945433,0.78176475,0.85836124,0.67914253,0.7009702,0.89695317,0.83775663,1.4250051,0.78009266,0.8979447,0.78411126,1.1721538,1.3360071,1.1074151,1.384516,1.3235855,1.2732797,1.1933059,0.9676782,0.83927023,0.8907989,0.77965665,1.2836732,1.2926931,1.093936,1.3795962,0.89246196,1.1639941,1.2085906,1.0386384,1.2144251,1.2515616,1.1142787,1.0378278,1.0275934,1.2458993,0.96582216,0.914611,1.0491256,0.8775987,0.7660363,1.0573647,0.5925137,0.22402203,1.4201328,0.5949139,1.1484662,1.3780975,0.30596948,1.1314481,0.99966216,0.8842715,0.77071106,1.2512279,1.2961042,1.3219187,1.0733974,1.0805557,1.1040732,0.65854454,0.87359655,0.983256,0.9626364,1.3931859,0.92831516
book,1.2438192,0.8421346,1.1418309,0.93979913,0.79695016,0.79563,0.7083932,1.1825039,1.1779332,0.81305087,0.7495066,1.153052,0.84002054,1.1341981,1.2353882,0.0,0.8061885,0.92682153,0.72405076,0.98530585,1.1058728,0.7881564,1.1349739,0.8813099,1.1407199,1.0823839,0.853583,1.2059196,1.0596533,1.2260653,0.9407872,0.8722056,1.1554857,0.9944424,0.6505445,1.1386379,0.7769869,0.9080322,0.9781886,1.045268,0.9587623,1.098262,0.9397831,1.0929497,0.89155406,1.1863921,1.2097359,1.0386989,0.944357,0.74895644,0.9463358,0.7980319,0.8337507,1.0471382,0.89419526,1.0482733,1.2580538,0.58586216,1.16117,1.1749699,0.76585215,1.1488373,1.0768011,1.3872879,1.16685,0.9278053,1.0813018,0.8084507,1.1279137,1.2598138,1.06692,1.0445427,0.86894137,0.9296448,0.8596629,0.90049493,0.82762593,0.659222,1.0180136,1.3618425,1.1609544,0.7432522,0.66494286,0.7054569,0.8658042,0.8281435,1.2179863,0.90015614,0.62762535,1.1440974,0.95926094,0.7027546,0.8440905,1.0702477,1.0519627,0.8815095,0.9724394,1.2968346,0.9821777,1.1314896,1.1445471,1.2365702,1.0867366,1.221162,0.7152892,1.1545655,0.90846574,0.8436388,1.3405224,0.90168154,0.9807473,1.3020182,1.0459017,0.8241166,0.99259615,0.74015415,0.9608685,1.0193046,0.86357486,1.0301223,1.1368883,0.89234555,1.0297793,0.83274764,1.1136589
bottle,1.4135538,0.5258965,1.2728543,0.8314438,0.58593893,0.9250219,1.16005,1.3861291,1.4346642,0.57771885,0.6003759,1.3088961,0.4409833,1.3806956,1.3522451,0.8061885,0.0,0.81917924,1.3359551,1.0965892,1.0120095,0.21288037,0.9139098,0.9083035,1.2109562,1.2725582,0.8035381,1.2022854,1.1322926,1.3649228,0.9151454,0.9064598,1.338449,1.0364724,0.2966802,1.372277,0.2933097,0.64409214,1.2420449,1.1402569,1.069893,1.1203934,1.2811459,1.2248094,0.64591706,1.0522294,1.1627812,1.0452609,1.0092475,0.3402089,1.0270557,0.76090825,1.0356255,1.3200185,0.510176,1.0895644,1.1216007,0.8908803,1.1343443,1.332121,0.4487164,0.94939166,1.2361964,1.2496849,1.3274679,1.2044252,1.1573074,0.45903814,1.2422264,1.2665335,0.9106755,1.0832876,0.27456933,1.1963563,0.86841965,0.671794,0.87696,0.73446715,1.0689551,1.3896656,1.2756627,1.294292,0.5097965,0.4700545,0.8082455,0.84656954,1.27389,1.0098454,0.76149774,1.1600679,0.9751194,0.6632291,0.95842063,0.93027675,1.1433688,0.9237568,0.8967609,1.2758012,1.1028043,1.3187096,1.0321081,1.1538608,1.2227306,1.1641775,0.4795732,1.1705228,0.99363494,0.65389293,1.2111464,0.8787974,1.0663553,1.2684671,1.4154372,0.6782377,0.9306822,0.45775926,1.0969752,1.102793,1.0351156,1.3648868,1.0732945,0.732429,1.1281309,0.37967777,1.1877558
bowl,1.2218362,0.8252083,1.2890282,0.69691354,0.7405025,0.8540595,1.093302,0.92157364,1.2460927,0.79997885,0.93717605,1.2336072,0.9195971,1.31173,0.7859154,0.92682153,0.81917924,0.0,1.0563513,1.0045047,0.25623596,0.6119154,0.7514483,0.97160786,1.207266,1.2672343,0.7970323,1.2305219,0.6875804,1.0564895,0.90393454,0.897241,1.3021857,0.93122935,0.78950703,1.0637072,0.66186774,0.99737966,0.794258,1.1864071,1.2692316,1.215355,1.1003302,1.21847,0.82304686,0.9566266,1.2372614,1.0235815,1.0965855,0.72328365,1.2166879,0.82651186,0.89642614,1.0498521,0.81940484,0.9289807,1.0037692,0.8553582,1.2071319,1.1479281,0.7049115,0.91084063,1.1464581,1.2700243,1.0839523,0.924118,1.2132635,0.73974264,0.9517592,1.1453314,1.0683033,0.9777712,0.8053671,0.9264401,0.977062,0.88576037,0.85864425,0.9323904,1.0313852,1.3665072,1.0902653,1.0033095,0.7870986,0.82145834,0.78768486,1.120063,1.158702,1.2126313,0.44558603,1.1255572,1.1160483,0.94053686,1.1394881,0.9190532,1.2252603,1.0190283,0.93265176,1.3310453,1.1043175,1.0614041,0.98276997,1.1826276,0.42269176,0.9368364,0.77697796,1.0015926,0.9391475,1.0581518,0.8465599,0.95915407,1.1426033,1.3249891,1.1802478,0.47049803,1.1311575,0.70003426,0.9994704,0.9793695,1.0208726,0.8594861,1.1809647,1.0340087,1.2484016,0.9330934,1.1747586
box,0.7952528,1.3441626,0.8919129,1.1635044,1.3631032,1.229886,0.49800646,0.5126398,0.4962712,1.3147466,1.1709517,0.9256556,1.3380615,0.69673014,0.87286234,0.72405076,1.3359551,1.0563513,0.0,1.1305778,0.91898775,1.247528,1.0977553,1.0281234,0.862816,0.73422927,1.180105,0.6946093,0.9586462,0.8833202,1.1121305,1.1939383,0.66962266,1.1500564,1.4326181,0.449759,1.1008348,1.2966697,0.5835718,0.9080127,0.85470134,0.7700712,0.59845626,0.9120773,1.350888,1.0998932,0.94362307,1.3100913,0.8829485,1.533716,0.9300747,1.3625615,1.0321256,0.70393866,1.5108287,1.1927941,0.9804647,0.91730523,1.0885348,0.9847502,1.4559147,1.0913297,0.5636744,0.9050856,1.0322927,0.883781,0.56895554,1.3097513,0.8889545,0.97382325,0.9181987,1.2052331,1.4255505,1.0898072,1.306389,1.2883855,1.2300338,0.85892624,1.0616659,0.92184484,0.983394,0.6169902,1.4160719,1.380954,1.2619258,1.0644605,0.9039773,0.9657611,1.0709718,1.0435493,0.81792426,1.1242093,0.6964581,1.2200239,1.02767,1.3319528,0.98052305,0.9130213,0.9442343,1.0823796,0.9299546,0.9382912,0.9121952,0.9670197,1.4502444,0.92653644,1.1256491,1.3116602,0.8456652,1.2263316,0.6840064,0.92034614,0.313008,1.0599145,1.3715068,1.3331785,1.0513245,1.0476904,0.70635235,0.49294513,0.89018345,1.0145018,0.64940006,1.4492241,0.87157345
bread,0.87541306,0.7385688,0.93803793,0.7066736,0.9129797,0.5283534,1.0283107,1.1969931,1.1816719,1.1762329,1.193903,1.0595118,1.0640696,1.0556183,1.1850033,0.98530585,1.0965892,1.0045047,1.1305778,0.0,1.1232576,1.2670065,1.3129978,0.9370664,1.0131116,1.2112764,1.0150788,1.2492838,0.8176479,1.0872264,0.5333106,0.8378966,1.0987053,0.4932376,1.030512,1.1339451,1.0046744,1.0000461,0.91687995,0.867434,0.9669834,1.2666466,0.9618735,1.0223324,0.5412686,1.1359913,1.0974582,0.7661867,1.1464059,0.8981814,1.12021,0.96968347,0.6745977,1.1011046,0.93398947,0.77491736,1.185717,0.76972234,0.96342075,0.8749071,0.86459017,1.1918862,1.263407,1.185237,1.1729496,0.93869245,1.2743082,1.105402,0.5381951,0.6602191,1.3005561,0.65025914,1.0147922,0.6444706,0.98253506,1.0527203,1.0431088,1.1621475,0.89741457,1.0822761,1.1160625,0.9530908,1.0640886,1.0486234,1.0519828,0.7784264,0.6970962,1.1743717,0.9021878,0.65566975,0.9157817,0.9981139,1.1693664,0.8290721,0.95734215,0.89578325,1.0817934,1.1354673,0.99745274,1.074269,1.0178545,1.1080283,1.2113426,1.2467253,0.8591839,1.2552215,0.92963827,0.787899,1.2725549,1.0965396,1.2487113,1.1134821,1.1231841,0.7252064,0.74790466,1.148128,0.87904966,0.6577122,0.8315136,0.9078368,1.2760441,1.1805902,1.2040211,0.9052599,1.297698
bucket,1.0738056,1.1144236,1.0947111,0.8720626,1.0502794,1.1161773,1.0440135,0.7722269,1.0482883,1.0473264,1.0634382,1.2051939,1.0290031,1.1087139,0.6052966,1.1058728,1.0120095,0.25623596,0.91898775,1.1232576,0.0,0.71591586,0.5975165,1.1218194,1.043448,0.99865836,0.95715,1.07918,0.79100174,0.9604311,1.0363984,1.1251018,1.063936,1.0997709,1.138134,0.9198799,0.7364303,1.0023111,0.9389503,1.0480614,1.1571481,1.1129247,0.96542054,1.1346598,1.122436,0.8098711,1.1460638,1.1265489,0.9968985,1.058662,1.1662372,1.0575259,1.0548327,0.9360896,1.0649258,0.8804598,0.85939574,0.9958086,1.1635429,1.0331501,0.9747246,0.82648194,0.9678755,1.0432153,0.9189231,0.9216869,1.0597783,1.002487,0.87251455,0.96934116,0.8355171,1.1138582,1.1325904,0.9639892,1.153366,1.0378234,1.074078,0.85248363,1.1478758,1.2092203,0.98633134,1.029036,1.0504608,1.0952511,1.0630661,1.0671443,1.002868,1.1684301,0.77447546,1.0216315,0.9640578,0.98231125,0.9882828,0.9327122,1.2038165,1.2069504,0.90383947,1.1931858,0.9153274,0.9811488,0.7894789,1.0537474,0.47993457,0.66372865,0.9641491,0.9844011,0.9651345,1.119698,0.59765893,1.0338054,0.8622051,1.1726131,1.0214775,0.7100296,1.2400157,1.0413086,1.1154886,0.9273523,1.0100265,0.8840398,1.1010557,0.93005127,0.92455363,1.1479939,1.1222293
can,1.4465222,0.6853266,1.2914661,0.91762733,0.5416021,0.98142713,1.1067746,1.3131495,1.4603655,0.38470793,0.44107294,1.4171324,0.46840507,1.4145226,1.2240797,0.7881564,0.21288037,0.6119154,1.247528,1.2670065,0.71591586,0.0,0.81954384,0.9838214,1.2405051,1.1752747,0.6950536,1.1513383,1.1052738,1.2602218,1.069297,0.94650435,1.3791995,1.1685264,0.31425202,1.3391187,0.38242507,0.6778362,1.2877101,1.2276539,1.258574,1.0007982,1.1263536,1.296725,0.78211975,0.9477631,1.260759,1.0031565,1.0429544,0.3440194,1.1007179,0.6911138,1.1686862,1.3185607,0.44608384,1.0133039,1.1316836,1.0493762,1.1450244,1.3266884,0.46021998,0.9116074,1.2023811,1.3067371,1.1687497,1.1733093,1.1885631,0.34894115,1.2716289,1.3898193,0.90608007,1.0859607,0.32521677,1.0841635,0.74907744,0.5914649,0.6686586,0.5981302,1.1312656,1.4788306,1.1145794,1.3222785,0.4501099,0.43465257,0.74490416,0.89747804,1.2765982,1.0323985,0.66875863,1.2410783,0.99470836,0.63758117,0.97014934,0.92952114,1.3089643,0.895679,0.95631295,1.3910178,1.0707947,1.1042864,1.05568,1.1015799,0.91648185,1.0927134,0.411605,1.2307441,0.9240806,0.7844764,1.1338587,0.8084314,1.0403218,1.3626186,1.4329987,0.76167727,0.92196846,0.39062834,1.1476454,1.1033213,1.2171583,1.3792882,1.1659858,0.77801263,1.1389647,0.42411953,1.1543663
car,1.1061208,1.1115086,1.1702135,1.143697,1.176317,1.2122065,1.1513008,0.68653864,0.8783802,0.98779476,0.88299155,1.1393828,0.8558312,1.0320933,0.19820297,1.1349739,0.9139098,0.7514483,1.0977553,1.3129978,0.5975165,0.81954384,0.0,1.1963034,1.0624791,1.0211885,1.1387804,0.96197176,1.1038077,0.98009735,1.1836598,1.0685444,1.0059835,1.2269534,1.0758512,0.7972312,1.0233152,0.9679907,1.0968697,1.0524858,1.2071007,1.1130047,1.1797904,1.0405173,1.1915783,0.6759194,1.0244248,1.1562073,0.90786695,0.9750001,1.1201704,1.1674008,1.1339817,0.80916923,1.0205775,1.1730907,0.58858263,1.2428029,1.1361064,1.1021839,1.0996985,0.648424,0.9507816,0.8475904,0.87235475,1.0874301,0.9308432,1.1102487,0.9115766,1.1054716,0.569037,1.2478163,1.0006896,1.2345712,1.2903146,1.0800537,1.2016871,0.97513914,1.0769795,1.0953174,1.0607353,1.0319828,0.9967472,0.9976549,1.0361425,1.2218094,1.0085572,1.1296659,1.1036052,1.1488237,1.1538156,0.98550266,1.0344745,0.8819904,1.1134138,1.2165952,0.9654995,1.0837932,1.0260944,1.0673501,0.76942813,1.1288619,0.75217754,0.29004085,1.0682504,0.63483775,1.1749803,1.1960738,0.4081546,1.0110075,0.98810226,1.041873,1.0732117,1.1541803,1.2743702,1.0432557,1.260596,1.0855553,1.164665,0.9888072,0.8735509,0.5817073,0.9778717,1.0597142,0.977722
carrot,0.90754825,0.878317,0.9012623,0.86235607,0.8440188,0.69928277,1.0862161,1.0762794,1.1113495,0.950056,1.016274,1.0203091,1.0546885,1.1281942,1.1318566,0.8813099,0.9083035,0.97160786,1.0281234,0.9370664,1.1218194,0.9838214,1.1963034,0.0,1.0443399,1.1091526,1.0965568,1.1022502,0.97824454,0.99499995,0.9499994,0.81205314,1.0848646,0.94213045,0.66163707,1.1075386,0.97896415,1.1863774,0.8880404,1.0521462,1.0147642,1.048642,1.0646921,1.0181111,0.8313766,1.273075,1.0300566,0.8153801,1.1953412,0.87638724,1.1185426,0.8349358,0.84445006,0.9430295,0.85492796,0.993942,1.1856276,0.78381205,0.9741889,0.9363047,0.97389746,1.233268,1.0773501,1.1303655,1.1376903,0.789393,1.1405755,1.0285978,1.1551766,0.96180874,1.1727054,0.7955613,0.82518584,0.9915213,0.9291149,1.075351,0.8290537,1.1949464,0.93155164,1.0367875,0.9219988,1.0013927,0.78725445,0.80130917,0.7704509,1.1981326,1.1156886,1.1165025,0.9488771,0.9628899,1.1554515,0.9214929,1.148833,1.2660146,1.113538,0.71625936,0.7834003,1.0993562,1.0420775,0.9220365,1.1127653,0.96238816,1.026972,1.123264,0.92004377,1.1891919,1.0420378,0.9432547,1.160152,0.99164844,1.193743,1.0901711,1.07256,0.8633791,0.83537805,0.88308233,0.5969607,1.157507,0.7777678,0.91227114,1.200005,1.2910705,1.0762718,0.7854465,1.1391215
cat,0.72618437,1.1808035,0.8609409,1.0891644,1.2714746,1.1648225,1.0512408,0.89665574,0.7800271,1.1695938,1.2226675,0.9315619,1.1824325,0.8012465,0.97557735,1.1407199,1.2109562,1.207266,0.862816,1.0131116,1.043448,1.2405051,1.0624791,1.0443399,0.0,0.8162641,1.1159294,0.85551226,0.9504672,0.9204655,1.1107852,1.1181087,0.74421024,1.1192176,1.302747,0.9106782,1.1854913,1.0354248,1.0151404,0.10235202,0.83722454,0.9328031,0.8843809,0.9780362,1.2151185,0.78465796,0.76877403,1.1602092,1.0360596,1.234108,0.93425274,1.2433457,1.0456411,0.85267645,1.2016983,1.1035128,0.9194741,1.1268699,0.8543448,0.96163136,1.2558595,0.982934,0.88500476,0.870145,0.94781286,1.0813782,0.9030645,1.2209144,0.9415969,0.8775067,0.9527641,1.0074193,1.2003858,1.0934412,1.1953399,1.0108011,1.1938072,1.1031877,1.0114368,0.83566725,0.9272446,0.9744823,1.2921821,1.276271,1.1664953,1.0640935,0.8776619,0.9855707,1.1960833,0.93114513,0.932593,1.1195781,0.91979235,0.9896011,0.8937683,1.221286,1.1489904,0.8193419,0.9790962,0.9047044,1.0742981,0.85725176,1.0436184,1.0301893,1.2115257,0.9965438,1.2014381,1.1851954,0.9457285,1.16656,0.86691034,0.81802523,0.79220504,1.159835,1.1603202,1.2260945,1.0982172,1.0661827,0.90452564,0.9316362,0.9143608,1.0916735,0.8678552,1.2484872,0.94383717
chair,0.85262084,1.4695227,0.5956362,1.3497849,1.3676507,1.3257784,0.7752979,0.67314,0.44791234,1.1974821,0.9365564,0.9937627,1.2158375,0.5604289,0.90068126,1.0823839,1.2725582,1.2672343,0.73422927,1.2112764,0.99865836,1.1752747,1.0211885,1.1091526,0.8162641,0.0,1.2679036,0.6581944,1.0802212,0.77013206,1.377192,1.2844316,0.15056902,1.3837137,1.3501992,0.62460554,1.1626961,1.2640254,1.0536456,0.89406556,1.0448343,0.6287576,0.5834851,0.87811553,1.3975964,1.0987422,0.8518926,1.0780791,1.107492,1.4155278,1.0329196,1.3202655,1.382527,0.86341757,1.2239561,1.0086981,0.9875947,1.2369179,0.8337222,0.90756935,1.310472,1.1414304,0.71264714,0.667837,0.67654526,1.1435094,0.6084137,1.25826,1.0079278,1.0202229,0.88060236,1.1763453,1.2537848,1.0095595,1.2018251,1.2401491,1.0818179,0.99009985,1.1466309,0.6536548,0.8268864,0.8142646,1.2423649,1.2665586,1.2353333,0.99895245,0.7653409,0.9990285,1.3397835,1.0549201,0.88807833,1.0537144,0.8350554,1.2287086,0.9964871,1.1297987,1.1902832,0.7328748,0.9464918,0.6932445,1.1164994,0.7267204,0.89231414,0.82237375,1.2249743,1.0348504,1.0871536,1.386873,0.8612534,1.2105944,0.6539539,0.67950433,0.5374199,1.3804913,1.101991,1.2637942,1.0191834,1.0343641,1.1665431,0.90670455,0.95567733,1.1281662,0.59395397,1.2874787,0.69526196
clock,1.2383384,0.71556467,1.2968634,0.7772274,0.6936032,0.80517644,1.0471557,1.3746662,1.4002366,0.6934629,0.76616895,1.1636117,0.7412572,1.323738,1.2981495,0.853583,0.8035381,0.7970323,1.180105,1.0150788,0.95715,0.6950536,1.1387804,1.0965568,1.1159294,1.2679036,0.0,1.1611143,0.8819535,1.2277365,0.76008785,0.82694185,1.3743242,0.8463675,0.7166164,1.3684819,0.7935275,0.7435925,1.0655996,1.0745744,0.985607,1.0055426,1.0258398,1.1925392,0.64076954,0.9890856,1.014185,1.0492512,0.91761225,0.6072124,1.013849,0.67415684,0.77522933,1.2021383,0.7073959,1.0355663,1.1350031,0.8961332,0.991499,1.2703087,0.6298361,0.91300416,1.1880276,1.291481,1.2567343,1.0896358,1.1805294,0.46707696,1.2316236,1.2988579,1.060873,0.8980223,0.6840817,0.98633087,0.63505065,0.73099893,0.81496346,0.85976017,0.9543219,1.388402,1.156035,1.1892968,0.74041843,0.7144222,0.91981506,0.90376836,1.2968774,0.99144983,0.4419831,1.1452141,1.0091016,0.93457633,1.030259,0.9102578,1.0788941,0.9259981,0.99575806,1.269326,1.1413693,1.1788989,1.0163922,1.1466489,1.0394245,1.2973439,0.65646666,1.1456008,0.95280886,0.77208674,1.2066331,0.8803265,1.065843,1.28935,1.299291,0.69960296,0.93781126,0.69956166,1.2683355,1.0073876,0.9982573,1.2775178,1.1428337,0.86445296,1.1219997,0.75644505,1.1133281
closet,0.8502699,1.293065,0.77113825,1.2369322,1.3028857,1.2811592,0.982669,0.69913626,0.56494963,1.1512113,1.0602654,0.9168253,1.2048702,0.7348677,0.8266085,1.2059196,1.2022854,1.2305219,0.6946093,1.2492838,1.07918,1.1513383,0.96197176,1.1022502,0.85551226,0.6581944,1.1611143,0.0,1.0998077,0.81035656,1.2333753,1.1735874,0.6420975,1.212603,1.3158717,0.6786075,1.1975598,1.2221184,0.9226091,0.97866344,1.0532923,0.24189937,0.8399186,0.981355,1.2879192,0.9974772,0.77578586,1.2000299,1.0709381,1.3501227,0.9748924,1.3112329,1.2256955,0.8589221,1.2729704,1.2222288,0.85097337,1.1950804,0.87046844,0.9937392,1.3597465,0.9963216,0.6600741,0.66004634,0.8662157,1.1203427,0.53076226,1.1615832,1.025729,1.0469339,0.92252684,1.1911961,1.2120552,1.1406286,1.2394108,1.2623165,1.1502948,1.0408494,1.1018091,0.728089,0.90858424,0.8256526,1.3136964,1.2869298,1.1868887,1.1864554,0.87383443,1.0139121,1.2673856,1.0924014,1.0009407,1.2532188,0.789921,1.1761177,1.0276301,1.1809655,1.083406,0.7660257,1.0888985,0.89627004,0.96127003,0.7760398,0.9416956,0.8473774,1.3636389,0.76342857,1.2033933,1.2842882,0.7900386,1.2064945,0.94473743,0.77448183,0.68123925,1.286615,1.213982,1.2505971,1.090115,1.1341294,1.1284552,0.8739779,0.7841861,1.0932869,0.8035574,1.2765708,0.6320375
