,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shower,sink,slide,slipper,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,vacuum,watch,window
belt,1.4492793,0.8184085,1.2551972,0.79400814,0.9484372,0.42394412,1.1137402,1.1680355,1.0860734,1.2777812,0.0,1.2643542,1.356427,1.2427006,1.2025248,0.87396145,0.22047913,0.4821906,1.2679605,1.2728555,0.73741174,0.71567434,0.9143642,0.618348,1.1454008,0.9186588,1.2387512,1.3185207,0.7484585,1.2802142,1.0469354,1.3731388,1.2617155,0.20477045,1.3681238,0.40950692,1.2344843,1.1429509,1.100215,1.1965863,1.3209656,0.89391387,0.73755336,1.0830419,1.2723473,0.8193052,0.94762826,0.80391014,1.1329494,0.6119236,0.895302,1.1418282,0.45814514,0.47385013,1.148855,0.9150934,1.2313247,1.2462347,1.2736316,0.6400615,1.1530659,0.7968622,1.2855986,1.1766976,1.3046236,0.9488122,1.278512,0.7213658,1.2648177,1.1636764,1.015691,1.1858691,0.60931504,0.97031844,0.3657015,0.97875977,0.94410235,1.0092124,1.347247,1.1436975,1.3398613,0.3282103,0.35402,0.6824961,0.89652467,0.7453606,1.2151088,1.0702332,1.1559123,1.1681544,1.1324028,1.1184876,1.3434929,0.92558116,0.76619154,1.0998285,0.69022304,1.2900838,0.29213256,0.53925055,1.1068604,0.9010124,1.3425797,1.302541,1.4393371,0.24876934,0.81863606,1.1219931,1.2686282,0.8505043,0.7116869,1.1362436,1.2363479,0.77542245,0.26877147,1.1117458
bench,0.72816527,1.3351218,0.95231473,1.3181798,1.247088,1.2936066,0.8106861,0.5990026,0.9979793,0.5120852,1.2643542,0.0,0.9595911,0.71453816,0.71803486,0.8298253,1.3892294,1.1930653,0.5383418,1.1396352,0.9773674,1.1693915,1.2001821,0.91968894,0.6982341,1.1872367,0.8666364,0.46848494,1.3325298,0.80136263,1.2053381,0.53329945,1.0931025,1.2860849,0.57881695,1.3305031,0.9194206,1.1695778,0.9564745,0.64383036,0.87537557,1.3251388,1.3869624,0.970426,1.0227635,1.3039508,1.0665425,1.1999199,1.0281827,1.2526374,1.2806766,0.9436094,1.4150224,1.3734887,0.85842764,1.1418856,1.0394927,1.0025806,1.0816373,1.3453178,0.8146325,1.2569287,0.7059179,0.8243035,0.73594695,0.8887247,0.59900856,1.191172,0.96208984,0.8398208,1.1988363,1.1764386,1.4704236,1.0203109,1.383076,1.187213,0.76036096,1.2478147,0.8906747,0.80456626,0.7940007,1.2190857,1.1694922,0.9487723,1.2112103,1.3302588,0.7559967,0.8121901,0.8581677,1.0007133,0.9595789,0.87472254,0.87843835,1.2234507,1.1171048,0.789598,0.8293933,0.5093534,1.3479795,1.2828591,0.97341347,1.1607307,0.7151625,0.79705167,0.4479357,1.2200664,1.3295245,1.1587085,1.0251093,1.1148598,1.2345376,0.8068025,0.7470931,0.93083066,1.3955438,0.86484444
bib,0.8293123,1.2269125,0.64280266,1.256104,1.2123083,1.2342982,1.0485913,1.0066149,0.8565531,0.82922643,1.356427,0.9595911,0.0,0.8846739,0.8265188,1.1701895,1.3460999,1.3122636,0.9023801,0.887049,1.3042071,1.3141379,1.176326,1.4112632,0.9464096,1.15108,0.9085884,0.9455094,1.3044596,0.77580607,1.1241977,0.829,0.87437236,1.4547284,0.7873401,1.4327973,0.9825779,1.0301155,1.0262785,1.1292763,0.33425915,1.0295867,1.2894391,0.8468461,0.5721117,1.0133989,1.2598798,1.2560264,0.9701018,1.3688596,1.2725017,0.8574598,1.2651732,1.3847404,0.8469064,1.2652142,0.7556793,0.89780676,0.7214083,1.2514806,0.82579684,1.2256632,0.761718,0.77078986,0.74917465,1.1400484,0.8510753,1.3743277,0.9686394,0.81142926,1.1187731,0.9911346,1.2004895,1.0897682,1.2646695,1.1117706,1.1756673,1.0934964,0.32721138,0.8784097,0.7609627,1.4239556,1.4116521,1.3983045,1.1897913,1.3444524,0.84335995,0.9962898,0.92769754,1.0487809,0.6567371,0.9016945,0.25196207,1.1343247,1.0846299,0.9300385,1.3602252,0.81623447,1.4348047,1.3614554,0.99444675,1.2908962,0.8805592,0.6426067,0.8343063,1.3484586,1.1948651,0.9217933,0.8560341,1.1752124,1.3121902,0.9581627,0.77741945,1.2249625,1.2791729,0.9906631
blanket,0.8063631,1.3032675,0.9396393,1.2383636,1.1851721,1.2346448,0.7813598,0.83424306,0.997766,0.5846331,1.2427006,0.71453816,0.8846739,0.0,0.99502736,0.99352205,1.2619946,1.1975445,0.8080386,0.96035403,1.1519077,1.1420548,0.99605393,1.1364505,0.82977724,1.1351587,0.95100266,0.7181164,1.2027335,0.8059007,1.0730811,0.48096776,0.90878797,1.2937589,0.7169254,1.2209309,0.9899766,1.0131276,1.0222675,0.9778979,0.9317802,1.2507297,1.2820169,0.95134586,0.9460497,1.2541797,1.0320745,1.0713412,1.0839257,1.2190636,1.1635847,0.8840945,1.3107547,1.2642257,0.90411854,1.0417389,0.95331246,0.8641256,1.0969718,1.2429489,0.9844566,1.136243,0.8762535,0.74284494,0.7587768,1.0412675,0.8385881,1.1884766,0.9883454,0.93103564,1.0539999,0.99527705,1.2235551,1.0043063,1.2858684,1.2091445,0.98743993,1.0654119,0.80467415,0.92458683,0.7196657,1.2524775,1.2190335,0.8781345,1.2201602,1.1695461,0.7227316,0.9847206,0.96242315,1.0933819,1.0032669,0.9767584,0.86897916,1.0160145,0.952704,0.91960496,1.0877546,0.8517563,1.2716318,1.1942413,0.9434413,1.1597474,0.9292242,0.6670509,0.69363177,1.1740688,1.2727087,1.026969,0.99107814,0.98339593,1.1111984,0.9460242,0.9515464,1.1550874,1.2804978,0.8771766
boat,0.88506466,1.26568,0.85198426,1.2295551,1.2081153,1.1469913,1.0410923,0.7421875,1.0868455,0.6316689,1.2025248,0.71803486,0.8265188,0.99502736,0.0,1.0284503,1.2359686,1.090733,0.823586,0.84627676,1.1613518,1.2669913,1.1622825,1.3307486,0.9355376,1.0984044,0.95621556,0.9424617,1.2103515,0.83147323,1.0988712,0.8598353,0.8507404,1.1936994,0.59973013,1.3169136,1.0347775,1.1419444,1.092916,0.78844404,0.82372427,1.0808129,1.20832,0.9140892,0.92308533,1.1334788,1.1957625,1.1687002,0.9876335,1.198919,1.1911409,0.96858287,1.217291,1.3858134,0.89150655,1.2139429,1.0200126,0.8462053,0.92563546,1.2987134,0.92083657,1.201278,0.86275786,0.7138388,0.98229283,0.94255954,0.69650006,1.1042639,1.1410228,0.8704381,0.99707234,0.96214545,1.2902062,1.1329125,1.1975186,1.1307877,1.0897746,1.0373111,0.90102935,1.1088375,0.700408,1.1084358,1.1102111,1.3082392,1.2008531,1.059106,1.0291127,1.0678811,1.0069098,1.0582981,1.0956914,0.8351652,0.8332747,1.2885906,1.2877046,0.78725886,1.043462,0.6071197,1.3292639,1.1865529,1.100727,1.2244409,1.0166354,0.9481726,0.74161136,1.1538976,1.287173,1.0911707,0.8293894,1.1977955,1.2035986,0.81180125,0.7951991,1.1709924,1.1882844,0.98306733
book,1.1613572,0.8551816,1.2130804,0.9756092,0.97904235,0.84483236,0.61865133,0.91892785,1.1372179,0.98951966,0.87396145,0.8298253,1.1701895,0.99352205,1.0284503,0.0,0.8127557,0.8052376,0.9040942,1.1851319,0.84849,0.56192136,0.8880552,0.7314647,0.9713188,1.0742413,1.2771854,0.95491713,0.8977943,1.204774,0.9043536,1.1267773,1.1895486,0.7991815,0.9737799,0.8342148,1.1337571,0.8986354,1.0557001,0.7899367,1.2361962,1.1133076,0.99396074,1.3212509,1.180888,1.1055554,0.7519163,0.94610983,1.1031861,0.8466763,0.87837505,0.9499734,1.0721304,0.88227093,1.3564417,0.6427494,1.22504,1.0894642,1.1814342,0.9258795,1.1992296,0.8330503,1.1246227,1.0607796,1.2306361,1.0886933,1.0582004,0.83914447,1.0737303,1.142085,1.086642,1.1657803,1.0429004,0.7825221,0.94802773,0.889573,0.720652,0.98350763,1.1587536,1.2367113,0.836218,0.7828631,0.85152185,0.7350836,0.8637941,0.7681297,1.0196309,0.7431375,0.9649545,1.0826545,1.1799967,1.1702577,1.2830111,1.0031968,0.97883075,1.1616677,0.74321276,1.0044227,0.88223267,0.6844802,1.0001488,0.7651861,1.0951288,1.1974933,0.9973664,0.759423,1.0029752,1.1991867,1.2203045,0.72455454,0.7428895,0.682956,1.1318396,1.0107207,0.9976885,1.0320376
bottle,1.4363674,0.681944,1.3078419,0.7017893,0.87256175,0.37320447,1.0913944,1.279562,1.1514264,1.3916976,0.22047913,1.3892294,1.3460999,1.2619946,1.2359686,0.8127557,0.0,0.53375185,1.3702073,1.2765238,0.86869997,0.5865558,0.8839093,0.7197112,1.2429307,0.94918185,1.2749026,1.3615041,0.5807016,1.3003755,0.9077162,1.445633,1.2451389,0.22726095,1.4239268,0.30011302,1.185889,1.025696,1.0120771,1.1549804,1.3818872,0.8405009,0.6510607,1.1890234,1.1944759,0.76832056,0.9634726,0.82683325,1.1658307,0.5675338,0.8195095,1.1587894,0.4470963,0.40659058,1.2275674,0.86307824,1.1897762,1.2051477,1.3169203,0.51394093,1.2310153,0.7477136,1.3123376,1.244146,1.387908,0.89713764,1.3261286,0.63343275,1.2920023,1.2513546,0.99933004,1.1482675,0.5698478,0.9521011,0.36542523,0.89139783,0.95136404,0.91438484,1.3811129,1.291905,1.3554708,0.30478376,0.3574807,0.7179195,0.83022726,0.6214123,1.2195225,1.0306486,1.122246,1.2160393,1.1968107,1.1668172,1.4155179,0.9482849,0.8814269,1.1292504,0.76220685,1.330661,0.26156992,0.40455568,1.0915302,0.87962806,1.3461146,1.3533137,1.5077765,0.19889224,0.7659273,1.1200426,1.3101958,0.81201243,0.5491305,1.0617629,1.3438733,0.6952313,0.22479737,1.155528
bowl,1.4677621,0.65516233,1.2693576,0.6170753,0.6984333,0.7089808,0.8881869,1.0167893,1.1841005,1.1796733,0.4821906,1.1930653,1.3122636,1.1975445,1.090733,0.8052376,0.53375185,0.0,0.807464,1.1227126,0.8081281,0.5936115,0.98133904,0.68921006,1.067056,0.7714568,1.2316974,1.2743982,0.75201225,1.3295107,0.8198752,1.2133484,1.1777998,0.48159462,1.1144477,0.52638084,1.240128,1.0971351,1.3288851,1.0857278,1.2520425,0.9480591,0.6911479,1.2024053,1.2296641,0.86292416,0.8974043,0.70899236,1.0387094,0.64664936,0.9572574,1.0748492,0.742066,0.66631126,1.0037944,0.60936147,1.3172474,1.1780208,1.2306347,0.8796297,1.1944224,0.9332206,1.2779467,1.0826558,1.235466,1.0008054,1.2988551,0.85738856,1.020097,1.2040459,0.82382905,1.1165087,0.80312127,0.9453443,0.729993,0.85540587,1.0748175,0.97957706,1.3351991,1.1363087,0.998882,0.6289346,0.6091916,0.87080634,0.96121967,0.67217827,1.1626493,1.2414244,1.2248577,1.1933613,1.1841877,1.1096121,1.2962142,0.8762541,0.87164766,1.1458377,0.65806454,1.1045034,0.5579318,0.6157281,1.0841858,0.8629056,1.2688551,1.2877145,1.1112132,0.5052206,0.93852305,1.1556175,1.0573211,0.84235656,0.48218977,0.7633195,1.232116,1.1090595,0.6264534,1.1944298
box,0.8202703,1.1856921,0.9972382,1.2485409,1.1216265,1.2874125,0.55760264,0.6650598,0.99190676,0.49797422,1.2679605,0.5383418,0.9023801,0.8080386,0.823586,0.9040942,1.3702073,0.807464,0.0,0.9516393,1.1272681,1.0530177,1.2124882,1.0217599,0.6536884,1.1123164,0.9041921,0.67644995,1.3380505,0.82332724,1.0924122,0.6055133,0.9245291,1.3527634,0.37882268,1.3631887,0.97954655,0.97895795,1.073488,0.72840345,0.8507045,1.2717323,1.3215872,1.054897,1.0123425,1.2412469,1.1785088,1.1232425,1.0978818,1.2791833,1.2729604,0.6979267,1.4024698,1.4716343,0.8743409,1.0433474,1.0149823,0.86437666,1.0567487,1.4088528,0.9579156,1.1591048,0.92057186,0.77819586,0.77449936,1.0287946,0.7247874,1.3006876,0.94266844,0.8995187,1.2094997,1.0226446,1.4208814,1.1046621,1.4467047,1.1675242,0.92304075,1.0650469,0.9340659,0.8511323,0.591502,1.35254,1.300062,1.2211767,1.2510896,1.2539561,0.69320196,0.8127379,0.85672903,1.0822201,1.003639,0.9727057,0.88344884,1.2671568,1.0776391,0.85632086,0.9576373,0.5982999,1.4396957,1.2277765,1.0972451,1.1681249,0.7543287,0.8041358,0.37718427,1.2950073,1.3727024,1.1713883,0.96262103,1.1519531,1.0509844,0.39960527,0.74184895,1.1530313,1.3907826,0.88018256
bread,0.7763202,1.0086393,0.86387014,1.0460817,1.0577924,1.1134999,1.0010334,0.973172,0.981452,0.93188614,1.2728555,1.1396352,0.887049,0.96035403,0.84627676,1.1851319,1.2765238,1.1227126,0.9516393,0.0,1.153956,1.2981626,1.1321099,1.334749,1.154095,0.85466444,0.7611968,1.1179596,1.1898513,0.86307526,0.82141036,0.93588793,0.2173866,1.329342,0.8869644,1.3019915,0.80538833,0.9743364,1.0968509,1.0546659,0.8128206,1.1259207,1.1049308,0.81080866,0.95708776,1.065914,1.1451515,1.0155379,0.9762387,1.305338,1.0655056,1.0314993,1.1472001,1.2617128,0.95159477,1.0894805,0.9391525,0.419109,0.8430364,1.1997536,1.0713173,1.1495619,0.98369133,0.92725986,1.0142851,1.16362,0.951947,1.2196449,0.8802836,1.0010602,1.088673,0.19902575,1.1373519,1.0535628,1.2246518,0.97830087,1.1770505,0.8815211,0.88031346,1.0661958,0.83866435,1.3085513,1.2553041,1.2560664,0.9765551,1.0986124,1.0622039,1.0322896,1.0121475,1.1823931,1.0734433,1.0570853,0.87658703,1.0365169,1.0734484,1.0608354,1.2945758,0.99041814,1.3182261,1.1879264,1.0317558,1.0137701,1.0077772,0.9054794,0.97004044,1.3036884,1.1852914,0.85367334,0.8093232,1.0500627,1.205292,0.95647854,1.0013729,1.327802,1.2410591,1.0651406
broom,1.2416271,0.9023246,0.999069,0.87657416,0.8623749,0.8775747,1.0538807,1.0196054,1.1610801,1.2466481,0.73741174,0.9773674,1.3042071,1.1519077,1.1613518,0.84849,0.86869997,0.8081281,1.1272681,1.153956,0.0,0.892196,0.8837152,0.51812863,1.1877704,0.8174446,1.1985636,1.1016767,0.9347285,1.1360711,1.0767435,1.0997797,1.2302469,0.5891732,1.2625836,0.6920018,1.1224642,1.1142422,0.97110844,0.9138745,1.1762276,0.7154569,0.8319721,1.1355344,1.1926196,0.84358895,0.64134455,0.82376313,0.83359724,0.61705834,1.0057621,1.2709413,0.63460934,0.8420874,1.254388,0.7536568,1.1213819,1.2845519,1.0297321,0.8157332,1.2065964,1.0243924,1.1583222,1.213902,1.0164319,0.91097647,1.1160873,0.8102318,1.0274587,1.2455275,0.9273254,1.2161471,0.81230175,0.9424498,0.6233723,0.9471221,0.8519056,1.225061,1.159484,0.8652156,1.1961942,0.7774764,0.7115518,0.6417712,0.6617173,0.8928965,1.2533996,1.0475177,1.2242811,0.93385106,0.7451901,1.1739026,1.1879995,0.75173134,0.62372786,1.1356473,0.6464149,1.1400554,0.6440412,0.8777677,0.8541792,0.79012203,1.3021822,1.3005725,1.1891377,0.93404377,0.80639434,0.9404617,1.034778,0.91200376,0.9877531,1.2865638,1.2091832,0.8812128,0.7897869,1.0560497
bucket,1.3686295,0.7565981,1.3788484,0.79221594,0.8219334,0.7345022,0.7118336,1.0035316,1.0936317,1.2336994,0.71567434,1.1693915,1.3141379,1.1420548,1.2669913,0.56192136,0.5865558,0.5936115,1.0530177,1.2981626,0.892196,0.0,0.7781279,0.47255123,1.0130938,1.0389401,1.353498,1.0621978,0.61367357,1.2989925,0.8605673,1.3575158,1.3128338,0.6117489,1.195941,0.44107044,1.2333757,0.9202826,0.9285394,0.9091495,1.3308852,1.0066617,0.7478123,1.3136015,1.2892175,1.0344344,0.7294285,0.86209005,1.1969165,0.59341455,0.72307944,0.99907863,0.8414206,0.50820196,1.2905765,0.7044502,1.2800813,1.2662848,1.3453403,0.654854,1.321208,0.70925987,1.2433186,1.238408,1.2793033,0.88911664,1.1825404,0.587922,1.0627315,1.290674,0.9291787,1.1676697,0.767147,0.6650458,0.79015446,0.8455235,0.6689453,0.9931214,1.2845732,1.2124442,1.2077314,0.61491114,0.6886192,0.6213891,0.8763594,0.5732964,1.0379748,0.91002643,0.99503714,1.0296776,1.1883874,1.2185564,1.3479483,0.83120304,0.8775518,1.1341758,0.6450289,1.336171,0.6063466,0.47734445,1.0328553,0.6269847,1.2089186,1.361443,1.2547752,0.5378264,0.7908942,1.1185898,1.1672156,0.5836232,0.5927472,0.8563123,1.2635974,0.78788567,0.79016364,1.0314522
butterfly,1.1573341,0.8653217,1.1950967,0.90209776,0.90016395,0.9392488,1.011908,1.2251086,1.1897848,1.223203,0.9143642,1.2001821,1.176326,0.99605393,1.1622825,0.8880552,0.8839093,0.98133904,1.2124882,1.1321099,0.8837152,0.7781279,0.0,0.8848326,1.086123,0.8883467,1.159956,1.1779097,0.73349595,1.1853776,0.8408443,1.2487924,0.99850893,0.8591791,1.220506,0.8139155,1.0325334,0.9115508,1.1180493,1.0470214,1.2331154,0.931742,0.9307969,1.1554011,1.1212573,0.995294,0.5189662,0.74673533,0.9478724,0.75377965,0.51898015,1.0907766,0.94778764,0.79171455,1.2044694,0.8278127,1.0938672,1.168692,1.0518788,0.88619745,1.0756652,0.7773239,1.1251166,1.139549,1.1699454,1.0438173,1.1154503,0.8965839,1.0488183,1.1003481,0.8551127,1.0507622,0.8904775,0.97222847,0.87998885,0.87878186,1.0778425,0.9196358,1.1963907,1.122602,1.0975487,0.86644197,0.8953052,0.88826627,0.7165215,0.7542914,1.076392,1.0399982,1.1202955,0.8487166,1.077301,1.032806,1.2016721,0.8793769,0.8294611,1.1246622,1.005439,1.1769824,0.82002676,0.80613226,0.9513429,0.7715534,1.0948751,1.2486329,1.2239656,0.92223966,0.89876187,1.0447222,1.146822,0.8974587,0.7980492,1.106864,1.1296054,1.0010664,0.9515698,1.0935118
can,1.3569226,0.8928709,1.299243,0.9235236,0.9815024,0.7378844,0.8401218,0.94293845,1.1532362,1.2111351,0.618348,0.91968894,1.4112632,1.1364505,1.3307486,0.7314647,0.7197112,0.68921006,1.0217599,1.334749,0.51812863,0.47255123,0.8848326,0.0,1.1012393,1.0056634,1.1964264,0.8479405,0.80843115,1.1614512,1.0903385,1.1682225,1.3971369,0.4908545,1.2590387,0.50213075,1.1263018,1.0388012,0.8505014,0.91553044,1.2666829,0.9738449,0.91693825,1.1184578,1.3236382,0.94067484,0.7769341,0.8776969,0.96207285,0.5759379,0.906798,1.245003,0.7171375,0.59218,1.2389121,0.8618872,1.235749,1.3857977,1.2648618,0.6317493,1.2783555,0.8696282,1.1477956,1.3008864,1.0497733,0.6945696,1.1531873,0.6703812,1.0760965,1.2552977,1.0778601,1.3171427,0.77002704,0.7621467,0.72363245,1.0087911,0.35444605,1.2244409,1.2468252,0.8462174,1.3515334,0.5752031,0.5579196,0.42269087,0.7823276,0.8177047,1.1463083,0.897089,0.96244526,0.9843288,0.8895822,1.1999991,1.3162985,0.700055,0.6972667,1.0306978,0.43637013,1.3043427,0.46714848,0.69389015,0.8358085,0.7302223,1.1282475,1.3306943,1.2351433,0.7656751,0.736318,1.0950634,1.2380552,0.754949,0.8690629,1.1234367,1.3005226,0.5593914,0.75259906,0.9647889
car,0.75796056,1.2276146,1.175381,1.2738991,1.1556504,1.2079,0.88288003,0.6858348,0.8334262,0.5432493,1.1454008,0.6982341,0.9464096,0.82977724,0.9355376,0.9713188,1.2429307,1.067056,0.6536884,1.154095,1.1877704,1.0130938,1.086123,1.1012393,0.0,1.1694089,0.8453618,0.71734124,1.1581731,0.9192528,1.1940812,0.8414617,1.1242208,1.2899401,0.59753686,1.257282,0.9596646,1.1233938,1.0690156,1.0348629,0.96121347,1.2766514,1.2989247,0.94929886,0.9776178,1.3671314,1.0112298,1.1981199,1.2581074,1.1410897,1.0555369,0.59673166,1.3686665,1.2531303,0.8577568,1.1564254,0.9757837,1.0005945,1.1438253,1.3192118,0.7679008,1.0373646,0.900496,0.90852654,0.8176305,1.0669546,0.6712179,1.116191,0.8894235,0.68837243,1.1473614,1.1079826,1.3800269,0.9918476,1.4118798,1.0677899,1.0642614,1.0857983,1.0204235,0.9348005,0.801629,1.2402315,1.2239171,1.0842626,1.1984124,1.149603,0.7573378,0.9500202,0.7472539,0.8661224,1.1098207,0.7648753,0.89027387,1.2946625,1.148299,0.8901572,0.8859723,0.830619,1.370142,1.1377597,1.2163798,1.1751307,0.6661415,0.7647825,0.69848716,1.1564343,1.3903008,1.0957139,0.93253493,1.1071514,1.1537964,0.756767,0.29784775,0.9832808,1.3241397,0.7245855
carrot,1.1699735,0.5719242,0.99056554,0.6217226,0.74536324,0.8894405,1.0654429,1.2035918,1.1157103,1.2735093,0.9186588,1.1872367,1.15108,1.1351587,1.0984044,1.0742413,0.94918185,0.7714568,1.1123164,0.85466444,0.8174446,1.0389401,0.8883467,1.0056634,1.1694089,0.0,1.0859995,1.3194375,0.9966916,1.2518331,0.62656355,1.1415596,1.003753,0.83621776,1.1990042,0.95071983,1.0626708,1.005243,1.1859496,1.1129661,1.1129164,0.77498263,0.74293053,1.1021104,1.0971934,0.7157122,0.8276976,0.47742182,0.7975317,0.821722,0.8832397,1.189171,0.8338867,0.8524326,1.1229151,0.56951547,1.0651603,1.0749599,0.8241022,0.98091483,1.1430205,1.1220267,1.2156243,1.1194714,1.0679361,1.1510972,1.2269702,1.0947977,0.588084,1.2313559,0.74167925,0.7286173,0.8292644,0.9258645,0.91507065,0.5573972,1.1644119,1.0532215,1.1258872,0.98174286,1.1374055,0.9972111,0.94955987,0.976298,0.90619624,0.98678535,1.2734784,1.1710929,1.2281487,0.9253592,0.97486955,1.2079154,1.0809901,0.85204333,0.89607596,1.2815338,1.0690073,1.1427978,0.8504144,0.94546616,0.9988991,0.85980916,1.1923906,1.1801031,1.1788967,0.9495096,0.820954,0.96101654,0.909907,0.9102204,0.78265595,1.0776691,1.1046569,1.2620928,0.8536674,1.1779808
cat,0.42960602,1.2258321,1.0121038,1.2139513,1.1611414,1.1908863,1.1075627,0.95336515,0.8403388,0.79649633,1.2387512,0.8666364,0.9085884,0.95100266,0.95621556,1.2771854,1.2749026,1.2316974,0.9041921,0.7611968,1.1985636,1.353498,1.159956,1.1964264,0.8453618,1.0859995,0.0,0.86965656,1.234827,0.7762146,1.148047,0.79060674,0.7848557,1.3446927,0.83124405,1.264303,0.1424824,1.0092871,1.0109977,1.0600027,0.8001479,1.1924855,1.2626112,0.5556958,0.9094086,1.1950231,1.178992,1.1900454,0.99325603,1.2464328,0.9396671,0.77888286,1.2468741,1.2007608,0.6539382,1.2734497,0.86005384,0.8343752,0.9675193,1.2299347,0.8697083,1.0233016,0.94064385,0.91877854,0.7850076,1.0446821,0.89427394,1.2131336,0.85844517,0.8812689,1.1074857,0.83312166,1.3035281,1.1628315,1.3225157,1.0426099,1.1200441,0.92860043,0.95089024,0.79602087,0.9822917,1.3142338,1.2200058,1.2000946,1.0880008,1.262415,0.88353986,1.0059862,0.93029225,0.9855643,1.0075614,0.8952178,0.8246517,1.0130528,1.2176907,0.91572326,1.1598878,0.91938055,1.2686529,1.3119026,1.0857441,1.21105,0.8041363,0.7811376,0.77294695,1.2868822,1.2188177,0.94350386,0.85588723,1.2700369,1.2732347,1.0276942,0.8521091,1.0793521,1.2692446,0.915691
chair,0.7400583,1.3155813,1.0262232,1.3921101,1.2576276,1.3429372,0.8876213,0.59694517,0.9379093,0.4605565,1.3185207,0.46848494,0.9455094,0.7181164,0.9424617,0.95491713,1.3615041,1.2743982,0.67644995,1.1179596,1.1016767,1.0621978,1.1779097,0.8479405,0.71734124,1.3194375,0.86965656,0.0,1.2866054,0.7363679,1.1623847,0.36022586,1.1212115,1.4159184,0.5317849,1.2388276,0.8993442,0.98872024,0.91415864,0.8040384,0.88203853,1.3502266,1.4703879,1.0187725,1.0049272,1.3156221,1.2081277,1.3208725,1.1306977,1.239317,1.1857702,0.96624345,1.453412,1.3007486,0.92431605,1.3069459,1.0402484,1.0468429,1.1186471,1.233616,0.7717944,1.1415429,0.6193227,0.7947062,0.7148502,0.80310684,0.5729173,1.123472,1.0045147,0.67888993,1.280613,1.201133,1.4237646,0.97333956,1.4538512,1.2223518,0.51965785,1.1762815,0.878034,0.8401772,0.89943826,1.2865078,1.3281403,0.90984076,1.166753,1.3025873,0.70727545,0.8307347,0.52148163,0.9578449,0.9752707,0.77965546,0.9034512,1.2087262,1.1723318,0.78326577,0.878842,0.66508806,1.3659341,1.2733816,0.94192475,1.0890843,0.37865233,0.7738597,0.47190273,1.2934978,1.2996441,1.0753554,1.0631293,1.0905021,1.2306685,0.90872055,0.78987944,0.7517634,1.4461423,0.76648784
clock,1.3418735,0.67107034,1.308373,0.5183168,0.62149155,0.7384069,1.082288,1.1879786,1.0639366,1.3720537,0.7484585,1.3325298,1.3044596,1.2027335,1.2103515,0.8977943,0.5807016,0.75201225,1.3380505,1.1898513,0.9347285,0.61367357,0.73349595,0.80843115,1.1581731,0.9966916,1.234827,1.2866054,0.0,1.2133396,0.80901587,1.4542375,1.179656,0.61731505,1.3873639,0.52204263,1.1624428,0.9448731,0.9113388,0.87569076,1.3882236,1.0285685,0.4705832,1.1377705,1.1553719,1.044726,0.82672626,0.76349956,1.1550293,0.6872343,0.6254715,1.083991,0.8090421,0.63677526,1.1338667,0.78522456,1.1674743,1.2081194,1.3054338,0.72848964,1.075494,0.71968937,1.189985,1.3049115,1.3863238,0.9175147,1.2839255,0.37091547,1.1873255,1.0691991,0.92388546,1.020774,0.74577177,1.0463973,0.7485858,0.8727176,0.97559726,0.7949758,1.373482,1.3184232,1.2064964,0.52600956,0.54494804,0.8370999,0.8851689,0.21749991,1.1614316,1.0759825,1.0395919,1.0212828,1.2016218,0.9389653,1.4012066,0.9506103,1.057053,1.1030734,0.8207612,1.329634,0.63006246,0.63312256,1.1028357,0.76976717,1.1775376,1.3538039,1.3827734,0.65092796,0.8100506,1.0486797,1.1685848,0.9166588,0.6047384,1.0614785,1.2597284,0.73364174,0.7459818,1.0917095
