,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,chips,clock,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,jar,knife,ladder,lamp,milk,mitten,muffin,nail,napkin,necklace,orange,oven,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,sandwich,sauce,scissors,shirt,shoe,shovel,sink,slipper,snow,sock,soup,spoon,sprinkler,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
chair,0.87675446,1.1335338,1.0181538,1.1716955,1.0607789,1.091792,1.0240767,1.2306697,1.008196,0.94104826,0.9988763,0.896978,1.011709,0.50220287,0.97511554,1.176954,0.76165104,1.053628,0.7971481,0.5398286,1.0039458,1.1271622,0.0,1.0808692,1.06712,1.1510088,0.8427185,1.1438634,0.85365534,0.57786953,1.0646292,1.2500832,1.1123484,1.1350312,0.82956564,0.9001483,1.0441154,0.89619595,1.0996635,1.0103185,1.1299933,0.8496883,0.9614904,1.2393059,1.215928,1.0860869,0.9937829,1.026833,0.6128515,1.0009607,1.0227472,1.1612495,0.4941252,1.2309619,0.9425664,0.7996716,0.8158258,1.0478015,0.93703055,1.0485208,1.0262127,1.0038375,0.76069975,1.1403694,0.8164889,0.8425394,1.0451094,0.9058528,0.3912655,1.1564018,0.7419616,1.1697209,1.0977211,1.0597259,1.1247603,1.1444672,0.8606037,1.2170168,1.1975435,0.8147605,1.0136925,0.6921862,1.1077449,1.227864,0.75285375,1.0479035,0.964341,1.2911307,1.21405,1.064791,0.79669106,1.0696218,0.95310444,1.0071801,1.0123098,1.006753,1.1465573,0.647593,0.80926704,1.2085522,0.84078765
chips,1.0028498,1.0090365,1.0862384,1.093594,1.2719858,0.9315334,1.007034,0.92826164,1.1335343,1.0784906,0.963466,1.1664307,1.1145943,1.0609554,1.2286106,0.9255103,0.9224084,0.33068776,1.0603222,1.1029456,1.100625,1.1604339,1.0808692,0.0,1.1765603,0.5364509,1.1195836,0.35798776,1.1794713,0.99653226,1.1261744,0.9160313,1.0899384,0.8918098,1.1704931,1.1443548,1.0118239,1.0315205,1.213439,1.015025,0.9716565,1.1450868,1.1047105,1.0249463,0.87190557,1.0485135,1.0648019,0.95140654,1.1152632,0.99306357,1.1588632,0.93687195,1.2635959,0.86436725,1.029628,1.0390083,1.3073007,0.94936216,1.0924436,0.9942314,1.2193484,0.9485154,1.1364558,0.9380705,0.9720649,1.008785,1.2314353,1.2402883,1.1551521,0.39921844,1.197517,0.8460152,0.96453756,1.1456364,1.0502163,0.95871764,1.0922477,0.4400081,0.8269,1.0348873,1.1133405,0.9203332,0.85109484,0.9503819,1.2335272,1.1297226,1.0733194,0.77829903,0.89900684,1.0525751,1.1986781,1.0636468,0.93609565,1.0610647,1.2724801,0.9642802,1.0609392,0.9031071,1.1266736,1.199832,1.2009858
clock,1.0690893,0.75222486,1.420741,1.2185347,0.81515336,0.7697669,0.9784395,1.2394078,1.2951978,1.3541403,1.3436708,1.4048002,0.68193483,0.7157896,0.647644,0.8561971,1.1579957,0.9773745,0.95541203,0.88631,0.6552893,1.1447544,1.06712,1.1765603,0.0,1.0523745,1.3745682,1.1927063,0.6590012,1.1286626,0.63873637,0.9511966,1.132248,1.1461126,1.2416813,0.94398373,0.9875247,0.9346139,1.0468671,1.0663333,1.0581837,0.7376628,0.99175316,0.8365556,0.87417686,0.54870164,1.0043318,1.331137,0.9163691,0.6119496,1.160448,1.3711207,0.96438575,0.9289206,0.8003761,1.3653816,0.6264852,1.098221,1.3504963,0.85160565,0.74027306,1.14845,0.8481924,0.7598766,1.1820107,0.9858344,0.7246366,0.73831725,0.94233596,1.1660331,0.81985617,1.0286934,0.75129753,0.9103863,0.9037404,0.8306388,1.2301266,1.2879093,1.0321947,0.9525555,1.282788,1.1038929,1.0239956,1.264459,0.83692276,0.70535165,1.3137798,1.0184156,0.95524585,0.602267,1.2531896,1.3163294,0.7367436,0.9964292,0.6958243,1.1401831,0.9838278,1.0986397,0.9733919,0.6145681,1.1189655
cookie,1.0410522,0.99437064,1.1221069,1.1535848,1.1849023,0.95609844,0.9651014,0.8791882,0.9783691,1.0962354,1.0680355,1.2114815,1.0667229,1.244911,1.2476263,0.84368396,0.8456924,0.5886062,1.0354259,1.2085726,1.0286342,0.8256031,1.1510088,0.5364509,1.0523745,0.0,1.1623331,0.55968225,1.3102933,1.067423,1.1286114,0.7285106,0.7564461,0.8032701,1.085599,1.095207,1.1882877,1.0691409,1.2372241,1.1119676,0.95209026,1.2599355,1.2885816,0.9674911,0.79666376,1.0165151,1.1686163,1.0294487,1.1547595,1.0814233,1.2408322,1.0336008,1.3148694,0.8377769,1.0983895,1.0224621,1.1577054,0.8569983,1.0164785,1.1376375,1.2439601,0.8205581,1.2640473,0.95754707,0.810338,0.95410174,1.2117833,1.3236867,1.328966,0.57127494,1.3220122,0.7946879,0.9766914,1.1931189,1.0342187,1.0771903,1.0846031,0.66125125,0.8464203,1.1454731,1.1215696,1.1093645,0.73132217,0.87556136,1.341521,1.058936,0.99663866,0.7183683,0.7788642,0.9733703,1.3019931,0.8792412,1.0623652,1.244976,1.166028,0.7986028,0.8416156,1.0108472,1.0817436,1.2057229,1.1776842
couch,0.8891469,1.2855318,0.32430434,0.7925549,1.2770232,1.2526112,1.2401274,0.7316342,0.5228902,0.15582788,0.35271233,0.25887835,1.0731809,1.153301,1.3614489,1.3230869,0.9296669,1.3832489,1.0945551,1.1122584,0.93694186,0.6864839,0.8427185,1.1195836,1.3745682,1.1623331,0.0,1.0988523,1.4228497,0.67697185,1.4457314,1.1726022,0.7339616,0.798603,0.74013966,1.2461492,1.1235722,1.193721,1.0182554,1.07447,0.97197336,1.3465104,0.8836966,1.3648317,1.3138999,1.2807993,1.0283853,0.85221565,0.9073156,1.3686874,0.7710721,0.78585523,0.9475439,1.2102795,1.4121835,0.50646555,1.322223,1.0670974,0.7894466,1.2642606,1.2483832,0.93810856,1.0409713,1.2889061,0.889105,0.9620876,1.351353,1.3106327,0.80801505,1.1345705,1.1043248,1.2420764,1.2676911,1.100577,1.2075214,1.3494496,0.47841048,0.94223535,1.1076405,1.2161813,0.37803048,0.89411676,1.069822,0.75716084,1.2233475,0.9233612,0.79024136,1.0731242,1.333693,0.96841425,0.62887955,0.59313303,1.3793846,1.1743304,1.353256,0.9045489,1.0743372,0.930555,0.9247761,1.3895708,0.8676519
cracker,1.0516531,1.0981181,1.0340571,1.1061529,1.2758934,1.0398868,1.059382,0.8174341,1.0222849,1.0901225,0.972822,1.1158596,1.1376089,1.2046841,1.3256071,0.98688257,0.9295907,0.3426664,1.1113724,1.2281557,1.0287485,1.0513233,1.1438634,0.35798776,1.1927063,0.55968225,1.0988523,0.0,1.311682,1.0303293,1.2102444,0.9030728,1.0143123,1.0234549,1.0354164,1.139793,1.0931665,0.9230198,1.1552347,1.1256489,0.95582014,1.2029195,1.1102045,1.0328809,0.9453865,1.0988101,1.1120564,1.0422672,1.1097925,1.1503438,1.0458342,0.9508545,1.2675194,0.8904839,1.1229424,0.9782763,1.2623813,0.91343665,1.0530404,1.162604,1.2658368,0.9500352,1.1442964,1.0219251,0.92858166,0.9543096,1.3087046,1.3183055,1.1946048,0.09700382,1.2054505,0.7205856,1.0668572,1.2116708,1.1143699,1.0410621,1.0145862,0.1856271,0.7924614,1.0735533,1.0751197,1.0257497,0.7944643,0.8236316,1.3268127,1.0751557,1.0529532,0.8062713,0.8863933,1.0064181,1.1325278,0.89576757,1.0686315,1.2128866,1.2310749,0.93298334,1.1338698,0.7933611,1.1360887,1.2739513,1.1033756
crayon,1.1439633,0.70807093,1.433162,1.1505857,0.4137358,0.6822473,0.9254974,1.4731568,1.420595,1.408203,1.4579277,1.4187257,0.974895,0.4815964,0.39769328,1.0413582,1.3054461,0.8503712,1.0309728,0.64275455,1.1320829,1.3160528,0.85365534,1.1794713,0.6590012,1.3102933,1.4228497,1.311682,0.0,1.2446138,0.54561305,1.2799001,1.2999524,1.2119699,1.3298268,0.86078286,0.6591955,0.6954985,1.000136,0.78833044,0.87529147,0.36800712,0.7208786,0.8086173,0.9897249,0.9187817,0.82717556,1.3024869,0.8722137,0.6098551,1.1135225,1.2837119,0.714703,1.1996375,0.4491704,1.4147735,0.46190494,1.2723714,1.3466771,0.53038573,0.21207058,1.268111,0.69691205,0.7071758,1.2759576,1.1020336,0.21586514,0.17414534,0.66344404,1.2379107,0.5139452,1.1627077,0.67266196,0.87374717,0.9396802,0.7560663,1.4190097,1.3864437,1.316733,0.71077067,1.3848077,0.9496821,1.2729708,1.4650028,0.25580359,1.1243443,1.3352039,1.3228428,1.0152947,1.2727419,1.0478789,1.5081723,0.6505592,0.63662374,0.37145865,1.3128349,1.068109,1.0607272,0.8829897,0.28452206,1.1615402
crib,0.82031107,1.2459425,0.8327935,1.0494597,1.2626951,1.2245293,0.9409997,1.013599,0.91214585,0.77028906,0.7271733,0.684419,0.98882526,0.9512077,1.1979189,1.1192315,0.7828577,1.171257,0.97917485,0.82975197,0.9547888,0.85117435,0.57786953,0.99653226,1.1286626,1.067423,0.67697185,1.0303293,1.2446138,0.0,1.2078947,0.9743974,0.83865917,0.97486436,0.71859586,1.0289521,1.0412354,1.1036265,0.8985234,1.1975157,1.1210394,1.1123664,1.0092543,1.2296948,1.1472249,1.0121248,0.9545429,1.0125322,0.8873095,1.2001288,0.7480261,0.9787073,0.87353885,1.0688094,1.2340164,0.59041893,1.1710557,0.9618254,0.9732727,1.1617162,1.2342536,1.0490626,0.8557095,1.263717,0.839008,0.9475612,1.2684946,1.2074221,0.7767484,1.0808107,0.94980943,1.1664941,1.2334267,1.1048639,1.1033919,1.2416303,0.6101501,1.0077846,1.0279281,1.0030074,0.7813857,0.89365476,0.952323,1.0134861,1.1603732,0.993152,0.9543574,1.0605195,1.154321,0.9750172,0.8772274,0.90160525,1.1813121,1.202825,1.2480692,1.0204402,1.1430383,0.88653934,0.8612354,1.3209944,0.8165053
cup,1.1010244,0.7198683,1.4764104,1.1386011,0.6572198,0.767059,0.6771445,1.4082749,1.3151208,1.4058988,1.3983124,1.4260523,0.927915,0.65780413,0.36844736,0.8306463,0.9763494,0.87629914,0.6553956,0.59201473,1.1776865,1.2987529,1.0646292,1.1261744,0.63873637,1.1286114,1.4457314,1.2102444,0.54561305,1.2078947,0.0,1.074742,1.2543342,1.1180894,1.2768086,0.9013213,0.9426987,1.0032454,1.0546606,1.0935483,1.1996164,0.57540536,1.110062,0.7736731,0.767647,0.7860969,1.0993901,1.110226,1.037405,0.5803839,1.3243704,1.3896697,0.9751324,0.60874325,0.7025268,1.3463578,0.7146339,0.9166696,1.2610677,0.687886,0.68564683,1.0459099,1.0389166,0.7129643,1.1646407,1.165501,0.6188898,0.71974593,0.9887385,1.2005911,0.56705946,0.9750959,0.7410225,0.5289886,0.5620165,0.65198934,1.3192577,1.3030014,1.1571604,0.8175511,1.3408908,0.9064214,1.2331475,1.4058508,0.6173311,1.1694975,1.2524562,1.1573007,0.96022356,1.1492141,1.2402068,1.3153164,0.74409056,0.7687268,0.58585477,1.1064923,0.8596787,1.0302156,0.9228234,0.4947958,1.2308178
dish,0.97078156,1.1191101,1.0717181,0.99160826,1.103188,1.1625512,0.9629487,0.7654167,1.1049759,1.1545861,1.1339808,1.0781786,0.89731824,1.2542076,1.095888,0.4596768,0.95871264,0.9991823,0.97032356,1.2451295,0.94526047,1.0240754,1.2500832,0.9160313,0.9511966,0.7285106,1.1726022,0.9030728,1.2799001,0.9743974,1.074742,0.0,1.0432217,1.1088698,1.07692,1.0512296,1.0862918,1.1566133,0.9417347,1.1243265,0.9692102,1.1877278,1.2089275,0.9746927,0.87675345,1.0173345,1.0940288,0.9679385,1.1380029,1.0694559,1.0409868,0.96910006,1.1416252,0.80122143,0.9799305,1.0872642,1.1982791,0.90225315,0.8726027,1.1753623,1.2199339,0.9709232,1.1946709,1.1290469,1.0489689,1.0572084,1.1755687,1.1932259,1.2898617,0.8681898,1.2276735,0.5885064,1.1606328,1.1602187,1.0436498,0.890996,1.0515366,0.868945,0.6019765,1.097385,1.1056652,1.136073,0.7370026,0.76495224,1.3308405,0.9039846,0.8505741,0.4846226,0.67840135,0.8710183,1.182122,0.99136585,1.0332968,1.2194037,1.0671543,0.95618653,0.8910934,1.0282274,1.2791667,1.1328514,1.142051
dog,0.89609903,1.0901822,0.77619785,0.9868994,1.1953282,1.0542014,1.1441526,0.9185972,0.8124735,0.74442935,0.79232085,0.7867346,1.0959635,1.2358288,1.2343915,1.1349511,0.9105366,1.1909456,1.1146665,1.1690061,0.95423293,0.08822405,1.1123484,1.0899384,1.132248,0.7564461,0.7339616,1.0143123,1.2999524,0.83865917,1.2543342,1.0432217,0.0,0.7935549,0.8082823,1.1581177,1.1955953,1.1619197,0.96782684,1.1144243,0.9723079,1.2083391,1.0747299,1.1505183,0.97681624,1.0750827,1.0221084,1.018381,1.0858725,1.1764945,0.7997249,0.9207301,1.1000174,1.0574666,1.2783965,0.70777845,1.1902763,0.9256015,0.9719058,1.1282505,1.1626278,1.0306367,1.1267546,1.1101905,0.8792167,1.0292989,1.1710206,1.254075,1.1332372,1.0673031,1.0980244,1.1729667,1.0809829,1.0133584,1.0630573,1.1627393,0.8834048,0.9259691,0.93434006,1.1728522,0.7828938,1.1097628,0.92714816,0.91869456,1.1947755,1.0075371,0.9730535,0.94933176,1.0855205,0.9373775,1.0027232,0.77848035,1.2071129,1.1966306,1.2091199,0.9983481,0.94322944,1.1517274,0.9484546,1.1673698,0.9845155
doll,1.0697137,1.0772424,0.73600423,0.7615879,1.0913389,1.1017618,1.1109176,1.0984374,1.0368303,0.7413037,0.7469556,0.9487044,1.0148535,1.1387548,1.1917765,1.1159977,1.0433686,1.0516738,0.8826992,1.1085877,1.0412269,0.89172554,1.1350312,0.8918098,1.1461126,0.8032701,0.798603,1.0234549,1.2119699,0.97486436,1.1180894,1.1088698,0.7935549,0.0,1.150378,1.2536845,0.8880771,0.812816,1.1739883,0.69429076,0.9516581,1.1695459,1.0060312,1.1362308,0.94106305,0.9213886,0.9296353,0.6022492,1.1137794,1.0347283,0.9491969,0.5899129,0.999564,0.8786324,1.1705498,0.98168004,1.3070748,1.003603,0.7923304,0.8688439,1.159682,0.8160278,0.9040774,1.0902474,1.0464478,1.0579467,1.1309115,1.3141232,1.0627334,1.0699425,1.2216374,1.2137622,1.1006136,1.0858004,1.0944531,1.0369376,1.1218511,1.0236263,0.9216307,1.0900879,0.9233913,0.96562135,0.9003322,1.0974604,1.084528,1.1576304,0.77941364,0.89964265,0.9760062,0.94009715,1.1006352,1.030554,1.1823633,0.77932453,1.2227321,0.8370717,0.82170033,1.1987331,0.91728973,1.1188034,1.30835
door,0.8596878,1.2516748,0.74091244,1.0100416,1.1540238,1.278543,0.8944509,0.7753258,0.7207365,0.77823675,0.82606804,0.72412246,1.0503916,1.2680395,1.193308,1.2662479,0.69311243,1.3303137,1.2119114,1.0035031,1.1069087,0.7810831,0.82956564,1.1704931,1.2416813,1.085599,0.74013966,1.0354164,1.3298268,0.71859586,1.2768086,1.07692,0.8082823,1.150378,0.0,0.57738173,1.2285062,1.1976728,0.88897747,1.1516943,1.1337177,1.1184082,1.1672523,1.0342845,1.0677905,1.0428017,1.0029732,1.033425,1.0912445,1.2620915,0.7636529,0.8618969,1.0089071,1.0318228,1.2880042,0.52561134,0.98526263,0.8790302,0.87735325,1.3224065,1.2617729,1.0225321,1.1458304,1.289212,0.52585465,0.844149,1.2067131,1.2248595,1.1737564,1.104884,1.0797303,1.1204679,1.2728301,1.0483083,1.0230091,1.2152852,0.44134045,0.97769225,1.07672,1.0621963,0.7290574,1.1928004,0.9859277,0.7466332,1.2882202,0.9623965,0.93344617,1.0928779,1.1739969,1.0502986,0.8287937,0.7619045,1.18907,1.2110422,1.1504711,0.97618574,1.1497889,0.95678097,0.8723204,1.2988687,0.3397873
drawer,1.0374348,1.0850786,1.235208,1.2329828,1.0016882,1.1031132,0.563756,1.0526352,1.0593901,1.2685361,1.2396722,1.2081127,1.007513,0.93175304,0.91710514,1.0779475,0.7301223,1.1231279,1.144441,0.8645292,1.0772612,1.1361203,0.9001483,1.1443548,0.94398373,1.095207,1.2461492,1.139793,0.86078286,1.0289521,0.9013213,1.0512296,1.1581177,1.2536845,0.57738173,0.0,1.0369776,1.0969003,0.9149296,1.009273,1.1198058,0.76948524,1.1353323,0.6495962,0.81402624,0.8065205,1.0088396,1.1865563,1.0665635,0.8985895,1.1153113,1.0572866,1.0321093,0.9137473,0.80023825,0.90791756,0.6308954,0.9094551,1.1539465,1.1206033,1.0150107,1.0443484,1.0081187,1.1103251,0.6769159,0.74107,0.8289771,0.7961024,1.093633,1.1373824,0.8971405,0.9870829,1.1031576,0.93671626,0.806407,1.0109154,0.8154228,1.1938052,1.1604354,0.76127255,1.2236449,1.0333102,1.0576608,1.0131397,0.90325844,0.9711166,1.183871,1.2142228,0.8661032,1.1110681,1.036915,1.138417,0.8749097,1.0112467,0.8704709,1.0614151,1.0704517,0.9452669,0.74606097,0.9653405,0.65321064
ear,1.160572,0.89107734,0.99559,0.9299196,0.9321097,0.8911432,1.0687557,1.2529503,1.25459,1.1992977,1.0717965,1.1112106,1.0750823,0.8575982,1.0376736,1.0781113,1.3259411,0.9600513,1.0087886,0.8852213,1.1491013,1.278345,1.0441154,1.0118239,0.9875247,1.1882877,1.1235722,1.0931665,0.6591955,1.0412354,0.9426987,1.0862918,1.1955953,0.8880771,1.2285062,1.0369776,0.0,0.75382686,1.0121177,0.67741656,1.0340904,0.743237,0.52865624,0.9815486,1.0866548,0.9590909,0.54803497,1.0270592,0.9217843,0.99391264,0.70901346,0.7162924,0.7893387,1.1964976,0.88348204,1.2457442,1.0950937,1.1920145,1.1487781,0.5901226,0.83488184,1.183605,0.4392494,0.8928296,1.1893332,1.1492144,0.8756534,0.7432041,0.74328816,1.0727887,0.93270886,1.1771008,0.8852178,1.098413,1.0850441,0.9089837,1.1818781,1.1510509,1.1355422,0.82234955,1.0651234,0.8230673,1.1051289,1.250206,0.71649516,1.1945593,1.1676673,1.1147215,1.0221522,1.225281,0.9434108,1.2872645,0.96594685,0.43153095,0.9943368,1.2092017,1.0565296,1.0355464,1.0528691,0.8621761,1.20453
egg,1.1374707,0.9758044,1.102134,0.9267262,0.775421,0.98135984,1.1616961,1.2413671,1.3236718,1.1732749,1.1391201,1.1596593,0.9563804,0.90399325,0.9509437,1.0834218,1.1827477,0.81669146,0.88840234,0.9525035,1.0230308,1.1933091,0.89619595,1.0315205,0.9346139,1.0691409,1.193721,0.9230198,0.6954985,1.1036265,1.0032454,1.1566133,1.1619197,0.812816,1.1976728,1.0969003,0.75382686,0.0,1.0768901,0.6190473,0.9043842,0.8236189,0.78070486,1.0867116,1.1266549,0.93532306,0.7417461,1.040695,0.9865923,0.9063569,0.87861353,0.8105837,0.6653844,1.1359193,0.89150655,1.2638712,0.78649795,1.1582328,1.0705405,0.634724,0.7171314,1.1264119,0.61570823,0.9644961,1.1295056,0.9482614,0.8246625,0.81356716,0.7491181,0.913547,0.95432276,1.1150577,0.96734965,1.162247,1.1645613,0.8669118,1.3052962,1.0775138,1.0232185,0.85306525,1.1774265,1.0471619,0.92499566,1.2366183,0.66981995,1.0934267,1.0791196,1.0590621,1.0017388,1.103813,0.9368207,1.3459011,0.9509909,0.5844106,0.8216866,1.1199882,1.1659453,1.1318516,0.98465556,0.8270514,1.1277312
elephant,0.71906877,1.1430817,0.9872712,1.0206317,0.96007323,1.1287374,0.89414847,1.045817,1.0306153,1.0471494,0.9446015,0.8247856,0.9824021,1.1560314,1.0511519,1.07841,1.0819854,1.1693652,1.2202297,1.1133384,1.0296365,0.83654225,1.0996635,1.213439,1.0468671,1.2372241,1.0182554,1.1552347,1.000136,0.8985234,1.0546606,0.9417347,0.96782684,1.1739883,0.88897747,0.9149296,1.0121177,1.0768901,0.0,1.1184967,1.0548339,0.9474615,1.0229456,0.9744975,0.94054663,0.94461364,1.0258056,1.0775031,1.0550529,1.0286744,0.78542006,1.0671042,1.0725708,1.0940657,1.027333,1.0009862,0.8332125,1.0760199,0.973366,1.0609306,0.9986873,0.9544014,0.9440963,1.1499391,1.0789796,1.0511434,0.9716307,0.80104995,1.0488487,1.1117984,0.9246484,1.0931151,1.134668,0.89193606,0.91901714,0.9725569,0.98890567,1.1409142,0.9826628,1.0158595,0.96452075,1.0755885,1.0755965,1.0497146,0.9372696,0.8686653,1.0146878,1.0696017,1.0335951,1.0649929,0.6708838,1.0370675,1.0344404,1.0609658,1.0179099,0.96998125,1.0104169,1.1642208,1.0664438,1.0272214,0.74750066
finger,1.1022462,0.99805087,0.83550644,0.8607799,0.9085863,1.0033222,1.0645063,1.1706654,1.2432449,0.9741232,1.0743766,1.1674707,1.1878262,1.00958,1.0229043,1.1918826,1.1453416,1.0425512,1.0301313,1.0062697,1.0722111,1.1741815,1.0103185,1.015025,1.0663333,1.1119676,1.07447,1.1256489,0.78833044,1.1975157,1.0935483,1.1243265,1.1144243,0.69429076,1.1516943,1.009273,0.67741656,0.6190473,1.1184967,0.0,0.9462451,0.9032903,0.7611214,0.9502197,1.1157012,0.8824017,0.7729218,0.80525714,1.0180222,0.9440125,0.974435,0.47926825,0.8690363,1.111546,0.92473704,1.0463759,0.9345019,1.1130832,0.8832333,0.78269935,0.9045039,1.1731472,0.78596747,1.0076804,1.0318952,0.87776315,0.82401574,0.82557386,0.8900518,1.1277552,1.0276362,1.179234,0.9992153,1.1640444,1.1832737,0.94242096,1.2183255,1.1398381,1.1338595,0.9328703,1.0273579,0.92065823,1.0333849,1.1578201,0.68057823,1.1184366,0.8842814,1.1014678,1.0083337,1.1381235,0.94514304,1.3410962,0.9944532,0.40065956,0.91255546,1.1742399,1.1115003,1.1843982,0.8492683,0.92271304,1.1577513
fish,1.0682772,1.053053,0.9064745,0.9536991,0.84421355,1.0086381,1.2621975,0.8464491,1.1201603,0.9696225,0.90233606,1.0479729,1.0880924,1.1308587,1.0375414,0.91051584,1.1974543,1.0484669,1.1556368,1.3016522,0.9159725,0.8967952,1.1299933,0.9716565,1.0581837,0.95209026,0.97197336,0.95582014,0.87529147,1.1210394,1.1996164,0.9692102,0.9723079,0.9516581,1.1337177,1.1198058,1.0340904,0.9043842,1.0548339,0.9462451,0.0,0.97478706,0.8737654,1.0359715,1.0100011,1.0986514,1.036211,1.070905,0.913855,1.0888801,1.0134702,0.94470614,0.9781483,1.1502881,0.80711395,1.115595,0.9051858,1.1715473,1.0231842,1.08092,0.7596099,1.1840124,1.0260084,1.0629735,1.0689946,1.0565202,0.79742754,0.76800257,0.89091986,0.9819551,0.9727279,0.96048874,1.027517,1.2417701,1.2307935,0.97038364,1.0501442,0.94491,0.83855885,1.0306922,0.9510139,1.0909296,0.66968286,0.8587874,0.9500128,0.91052955,0.98931944,0.7993196,0.67583,0.91698253,0.95086086,1.1080458,1.1704376,1.0572786,0.8907474,1.1649851,1.0661285,1.1237571,1.0223979,0.9572852,1.1051127
flower,0.99524724,0.831703,1.3675487,1.1056015,0.7771783,0.8572359,0.8769497,1.3480406,1.4108443,1.3717964,1.3270838,1.3160751,0.9817051,0.6287888,0.6738856,1.0581286,1.2062187,0.9531121,1.0620673,0.6588804,1.1148149,1.2442205,0.8496883,1.1450868,0.7376628,1.2599355,1.3465104,1.2029195,0.36800712,1.1123664,0.57540536,1.1877278,1.2083391,1.1695459,1.1184082,0.76948524,0.743237,0.8236189,0.9474615,0.9032903,0.97478706,0.0,0.92386323,0.7294948,0.79104984,0.80247945,0.852036,1.2535489,0.8530887,0.736763,1.084052,1.196536,0.81220007,1.0750839,0.5191189,1.2758343,0.56953835,1.2049674,1.3347439,0.63567984,0.6777566,1.273673,0.72694004,0.8439956,1.0909076,1.055016,0.53038627,0.42500055,0.7295007,1.1917002,0.4151355,1.1751022,0.8388518,0.83899504,0.90864,0.81600404,1.2564983,1.3037397,1.2022812,0.57334006,1.272875,0.9960456,1.0976562,1.3697362,0.52563226,1.1125684,1.3452852,1.2287694,0.8821738,1.144923,1.0481031,1.4458051,0.8490343,0.6787429,0.6080086,1.3126385,1.0791535,1.0486515,0.688905,0.6180578,1.1048833
foot,1.1526717,0.97442853,0.8741479,0.9474969,0.9776397,0.93462515,1.2443318,1.0467794,1.0944839,0.9612109,0.89145577,0.9566184,1.0584254,0.8374797,1.0707167,1.1642703,1.3172977,1.128474,1.099596,0.9865281,0.9928769,1.10848,0.9614904,1.1047105,0.99175316,1.2885816,0.8836966,1.1102045,0.7208786,1.0092543,1.110062,1.2089275,1.0747299,1.0060312,1.1672523,1.1353323,0.52865624,0.78070486,1.0229456,0.7611214,0.8737654,0.92386323,0.0,1.1445764,1.2924621,1.1667261,0.4929428,1.1293046,0.7162365,1.101302,0.6058091,0.84004784,0.73563766,1.2791791,1.0359684,1.0323821,1.034971,1.2077101,1.1836336,0.8000705,0.73928565,1.3177066,0.5135169,0.98539525,1.20298,1.0984323,0.9265916,0.70867085,0.5849324,1.1073267,0.8072122,1.2404101,0.93636596,1.1778103,1.2092298,1.0487261,0.97188175,1.0860503,1.1543045,1.0518522,0.8841397,0.91830254,1.0333514,1.0630696,0.74180025,1.0088375,1.1579487,1.0939198,1.1699485,1.0860689,0.78085446,1.1730349,1.1236932,0.71995676,0.99188375,1.3164775,1.1410923,1.0022069,1.043201,0.89878434,1.0896809
fork,1.042663,0.9503159,1.2678144,1.1862843,0.91894627,0.9814601,0.65856427,1.0430455,1.2095535,1.3265809,1.3306264,1.3782765,1.1203853,1.0490048,0.8108402,0.8783878,1.0479704,0.93923163,1.0579013,0.9652203,1.1430808,1.1851472,1.2393059,1.0249463,0.8365556,0.9674911,1.3648317,1.0328809,0.8086173,1.2296948,0.7736731,0.9746927,1.1505183,1.1362308,1.0342845,0.6495962,0.9815486,1.0867116,0.9744975,0.9502197,1.0359715,0.7294948,1.1445764,0.0,0.70392793,0.6543376,1.0857877,1.0822475,1.1557566,0.8117542,1.1746919,1.0592124,1.2079666,0.7735443,0.6459866,1.0939399,0.7249801,0.90340084,1.1392999,1.0710531,0.95277506,1.038692,1.1666441,0.93611807,0.99565494,0.9513433,0.71144253,0.83966184,1.3182435,1.004722,1.0993824,0.7300152,0.9660878,0.8968812,0.8552406,0.90730166,1.1249775,1.0946681,1.0632578,0.8059251,1.2218028,1.0944203,0.8978292,0.96559954,0.9887904,1.1072593,1.1301346,1.091706,0.4073128,1.1131555,1.2302992,1.1785563,0.7461766,0.9632741,0.76694536,1.0413799,0.9438897,0.99535674,0.769565,0.85796607,0.972231
