,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
couch,0.9355814,1.0318029,1.3645785,0.5449267,1.2906747,1.3473704,1.3019264,1.2533693,0.7355344,0.13687575,1.2084098,0.45542789,0.5887074,1.1030865,0.33612835,0.92068213,1.0746841,1.3318911,1.3068358,0.9196484,0.8563392,0.915456,1.365975,1.2045081,1.2098039,1.1936758,1.1955196,0.7127452,0.73140675,1.0560191,1.2686934,0.611544,1.0413387,1.1084003,0.0,1.4053898,0.60887384,1.4551798,0.92163503,0.77059305,0.90342104,0.79413325,1.1344458,0.81753904,1.1353546,1.376909,0.74366486,0.90484035,1.205522,1.3645794,1.2533187,1.1138419,1.3151675,1.1366976,0.95126206,0.901014,1.2594064,1.0450228,0.74225736,1.0835229,0.8066792,0.95688665,0.99343485,1.294775,0.7845093,0.96014637,0.56676775,1.1106453,0.48708844,1.2139374,0.7118483,1.3143183,0.9181138,1.2813954,1.1489731,0.91036564,0.59076166,0.97188264,1.3004303,1.1953329,1.1500895,1.3658419,0.87376064,1.204358,0.4991408,0.5994482,1.2773433,1.3900813,1.3361369,1.0968071,0.9627683,0.6733848,0.9639377,1.1304055,1.2911973,1.1789247,0.97000736,1.1833699,0.78698564,1.2539628,1.232342,0.79825056,1.1984228,0.56147087,0.93169177,0.680581,0.99160767,0.7365469,0.8834361,0.71120965,1.3496348,0.91325104,1.2252369,1.1235394,1.4333228,1.3774846,1.286046,1.2779832,0.90607643,0.62477416,0.7867156,0.58708984,1.4363735,1.2212324,1.2687943,1.2740742,1.0789713,1.1739385,0.7939098,0.9253691,1.0445849,0.998676,1.3196766,0.7042775
crayon,1.3768436,0.8169285,0.39388514,1.4414091,0.7478195,0.34769273,0.5717457,0.6147382,1.489172,1.5193491,0.3545956,1.4903696,1.5280566,0.97121114,1.3964207,1.134194,0.7500935,0.7172628,0.5633154,1.1402881,1.3575176,1.25224,0.6733055,0.68755513,0.4737996,0.37966394,0.5193463,1.095589,1.2011577,1.2580912,0.7980727,1.4695773,1.1678529,0.9863663,1.4053898,0.0,1.5037377,0.5116508,1.1248263,1.2422395,0.978008,1.3401845,0.9314393,1.335629,0.97662,0.6447398,1.324145,1.2505322,0.7565025,0.20508516,0.6369556,0.81914616,0.6326591,1.0337888,1.2713987,1.4072752,0.536429,0.9826021,1.3225327,1.0079985,1.3633102,1.3708771,1.1626716,0.38814557,1.2389123,1.1869179,1.3470478,1.2186977,1.3444636,0.32798517,1.3376414,0.5460701,1.2853606,0.82965446,1.0633394,1.3927078,1.4516191,1.2342954,0.42883337,0.31195104,0.5993783,0.57533836,1.3197293,0.8176148,1.56027,1.281987,0.6597149,0.12032628,0.13715053,0.9799903,1.1108024,0.5493777,1.1353729,0.9948504,0.29686344,0.8909854,1.0710682,0.6166661,1.3625548,0.6495799,1.0835235,1.3687795,0.70092344,1.5266826,1.0871531,1.2672276,1.2232283,1.4348161,1.3671321,1.4512203,0.22859228,1.0956678,0.66141593,0.6382872,0.3013307,0.7599082,0.53487045,0.37552905,1.1588106,1.2745869,1.3127106,1.5146501,0.60397404,0.63253504,0.5496148,0.7010789,0.45971143,0.7834848,1.4105353,1.2931553,0.8534474,0.9964436,0.23970312,1.3589743
crib,0.78475785,1.2221181,1.4609027,0.82879597,1.3146333,1.4738839,1.3228626,1.0763595,0.53751916,0.5252305,1.3849698,0.40405273,0.75581795,1.1078916,0.6735349,0.9957097,0.98364794,1.2175007,1.1425576,0.5129073,0.9370606,0.7508085,1.1225697,1.2096921,1.2124317,1.3417416,1.3858654,1.0063087,0.36742055,0.9284158,1.2264433,0.35422742,0.9998783,0.84504396,0.60887384,1.5037377,0.0,1.2754536,1.0192503,0.8954031,1.0324757,0.5616045,0.888523,0.8173239,1.1584661,1.2066243,0.9402804,1.0272578,1.3431075,1.5397713,1.2861335,1.3610725,1.138646,1.0708877,0.789285,0.8474696,1.4219327,1.1689763,0.8007251,0.8710105,0.9539265,0.8455652,1.1167977,1.4872932,0.9187603,0.85621727,0.79933685,0.9336795,0.7885463,1.2059939,0.30868614,1.3230157,0.8659549,1.2014029,0.9737944,0.90687615,0.6370914,1.0504544,1.4694378,1.3709092,1.3656952,1.2283537,0.5871739,1.1779674,0.71623164,0.9300216,1.1577222,1.4621806,1.4917701,1.1654216,1.0709921,1.1795337,1.0209274,0.96703494,1.3738985,1.1151232,0.91350913,1.0613292,0.4882691,1.2733822,0.9143604,0.8390237,1.0230284,0.8224461,0.91416377,0.9548669,0.7951186,0.51301503,0.65355766,0.62352794,1.5558188,1.0102764,1.373043,1.2920642,1.3245525,1.1848481,1.4233731,1.3570973,0.6828894,0.94172424,0.661222,0.3049823,1.2111987,1.4555869,1.3822103,1.1582007,1.275822,1.0170192,0.47389323,0.7711991,1.1305413,0.9156885,1.5206939,0.5920822
cup,1.3165702,0.96390164,0.53301924,1.5155616,0.51624817,0.4407431,0.6779731,0.59136784,1.3613582,1.5724617,0.62179804,1.4307318,1.5421598,1.1403558,1.3820498,1.1883105,0.9556468,0.2648213,0.23918164,0.9545724,1.1501235,1.0520718,0.171852,1.0412169,0.6597684,0.6101039,0.85387754,1.2471256,1.1036882,1.1614937,0.7403852,1.3621286,0.8989927,0.7638227,1.4551798,0.5116508,1.2754536,0.0,1.3052084,1.1270533,0.8030288,1.3078082,0.9104855,1.2794213,1.1259339,0.3474359,1.361548,1.2837114,0.9942509,0.595056,0.7010857,1.0574846,0.7588831,0.9034746,1.2541252,1.168592,0.9269849,0.71810746,1.3413413,0.7786381,1.4286654,1.1911142,1.2606096,0.6234218,1.126317,1.1640503,1.4155929,0.9809625,1.4172151,0.8030896,1.3418555,0.6997677,1.1475949,0.6765944,0.7078803,1.0135804,1.4360204,1.1835924,0.7065996,0.67951876,0.97732764,0.33384252,1.2609693,0.7410771,1.590262,1.4742883,0.62317926,0.61856556,0.6206577,0.81604356,1.2039609,0.8586504,1.277017,0.93474275,0.49967396,0.7293354,0.7650141,0.59035623,1.3132865,0.68478554,0.46020567,1.3340789,0.8194333,1.5473927,1.0014524,1.4172741,0.9479709,1.3495545,1.0770357,1.2233622,0.52124757,1.2025566,0.7937145,0.7637979,0.524456,0.7212717,0.8032691,0.5551772,1.0300558,1.3802428,1.3389436,1.3683934,0.22337914,0.8900876,0.9037204,0.7310031,0.7668685,0.512481,1.2728884,1.3075888,0.97598976,0.89096093,0.6440621,1.3898234
dish,0.90943974,1.0754421,1.1469848,0.87887037,1.1028789,1.1528956,1.0585433,1.1583169,0.9529702,0.862571,1.0512499,0.9612432,0.93874615,0.92194486,0.87688965,0.93490225,1.1579018,1.2699628,1.2343564,1.1064088,1.0280194,1.1485285,1.3452116,0.95139396,1.1061819,1.1185539,1.0312339,0.8152661,1.1054454,0.87846947,1.0221845,0.9866536,1.086024,0.9956081,0.92163503,1.1248263,1.0192503,1.3052084,0.0,1.0645947,1.2916763,1.0684261,1.1313456,1.0143132,0.9464442,1.1273495,0.8152856,0.8615222,1.0277786,1.1014214,1.1920956,1.007582,1.1356109,1.0799589,0.9590689,0.942661,0.9294972,1.0877259,0.92684036,1.1076179,0.88476676,0.9235911,0.9817007,1.1589212,1.0459648,1.0187894,0.87556374,1.0503838,0.8243096,1.0820489,1.0831534,1.1046655,0.6672838,1.1650504,1.190274,1.0025914,0.7490054,0.7925147,0.99556476,1.0999813,0.9874895,1.1579019,1.0935924,1.1673526,0.86945736,0.8426675,1.2826908,1.1023306,1.0988053,1.1498897,0.82645637,1.0701096,0.05204594,1.0670379,1.0697495,1.1361808,1.1443361,1.175922,1.0399727,1.1363288,1.1574173,1.0256228,1.0968732,0.8833845,1.0811931,0.916605,1.1854556,1.0634315,1.0471919,1.0002241,1.0739648,0.799924,1.0078562,1.1124835,1.2159219,1.1864882,0.9947052,1.1727716,1.0259632,0.84624594,0.9329373,0.9794695,1.2289246,1.0409385,0.87670743,1.2133194,1.0565609,1.186345,0.973161,0.89164793,1.0938567,1.2384133,1.0184455,0.9714442
dog,0.9475999,1.109792,1.0943191,0.9580026,0.9996909,1.170059,1.0782185,0.9928511,0.9745216,0.8426213,1.0575609,0.86862874,0.9834707,1.076864,0.7845231,0.99017113,1.1612748,1.0193967,1.0946426,1.0120393,1.0094223,0.9387723,1.0147152,1.124384,1.0503129,1.0517472,1.1518829,0.66139066,0.9062119,1.0593117,1.0310973,0.8888075,0.94228786,1.1340375,0.77059305,1.2422395,0.8954031,1.1270533,1.0645947,0.0,0.7774678,0.9174466,1.088722,1.0397617,1.1323994,1.1763847,0.7954223,1.010374,1.1972775,1.1399267,0.8503434,1.147098,0.9887162,0.87707806,1.0028002,0.99125874,1.1481208,1.0498078,0.86392426,1.1175324,0.9650064,1.0761044,1.1312435,1.0249861,0.7128761,0.86236143,0.97765166,1.0156779,1.0167612,1.1924809,0.85108835,1.0177401,1.0422841,0.9858322,0.9522158,1.0064243,0.8579098,1.0304639,1.1425875,1.1566046,1.1760732,1.1961297,0.9466935,0.84892356,0.9693142,0.99564505,1.1223187,1.1842898,1.2074279,0.85809827,1.13609,0.92769116,1.0445362,0.8321992,1.1796842,0.92280936,0.81840676,1.0140873,0.9138948,0.54920024,1.0743701,0.9601452,1.1014161,0.9490746,0.92009896,1.0295072,1.0072129,0.89127254,0.94650733,0.98331106,1.0853845,0.98629284,0.9817379,1.0988119,1.084609,1.0851014,1.1533854,1.1834515,0.9008558,0.9181369,0.9025223,0.8318088,1.126209,1.1697083,1.2430605,1.0477011,1.1430856,0.9953061,1.0775054,0.96328676,0.9711239,0.8868298,1.1424006,0.84174573
doll,1.0799559,0.75197434,0.925614,0.99701583,0.79861975,0.96358156,0.8969917,0.79454535,1.3140469,1.042452,0.9606248,1.1153105,0.8875619,1.1681052,0.93482095,1.1518302,0.97184694,0.85175437,0.8895008,0.9787031,0.7143372,0.9577653,0.76378876,1.0903744,1.0513537,0.91674596,1.0730071,1.192356,0.95580024,1.1432277,1.0581285,1.2190453,1.0379992,1.0576067,0.90342104,0.978008,1.0324757,0.8030288,1.2916763,0.7774678,0.0,1.2182143,1.0292512,1.0647097,1.117237,0.95663035,1.1396735,1.1384103,0.8579687,1.0139123,0.68783706,0.923192,0.9129224,0.7313831,1.1147423,1.1236937,1.0376058,0.7678568,1.1258459,0.87910616,1.1628,1.1067713,0.95063514,0.81488997,0.86561346,1.1697396,1.0475465,0.98833406,1.0896456,1.0364176,1.093696,0.99815863,1.1214508,0.852851,0.94253373,0.90303516,1.120595,1.0762556,1.0262756,1.0161077,1.0426084,0.91703963,1.1656502,0.66064787,0.8994802,1.2101394,0.9328247,1.0144342,0.96004814,0.58691114,1.1230311,0.81611264,1.245967,0.8937982,1.0437431,0.79846954,0.71826863,0.92618555,1.1137891,0.70976126,0.9415443,0.9166489,0.98514915,1.2069526,0.81080616,1.0772743,1.061535,1.1694362,1.20418,1.1920165,0.8228479,1.2014894,1.0251819,0.65768945,0.9366084,1.0165248,1.0379001,0.967908,0.7133722,1.2197844,1.1413087,1.1113174,0.8483461,0.84187555,1.1660876,0.94395137,1.031952,0.543875,1.1676515,1.1694617,0.91992366,0.94336927,0.9807362,1.2324024
door,0.86266506,1.25543,1.2873566,0.9236855,1.3329353,1.3418348,1.2763653,1.0551176,0.45107657,0.754125,1.1008275,0.7408575,0.9689348,0.99545366,0.8464669,0.93315303,1.0765727,1.0949733,1.254895,0.69182605,1.0883944,0.863698,1.1858647,1.116119,0.7561281,1.1798,1.2947395,0.72142065,0.6583761,1.011795,0.9983166,0.52648866,0.99018365,0.9802332,0.79413325,1.3401845,0.5616045,1.3078082,1.0684261,0.9174466,1.2182143,0.0,0.6255136,0.9862709,1.1123848,1.3882737,0.9333358,0.9377728,1.2493193,1.2744383,1.1792735,1.1698605,1.1459904,1.1954627,0.87631613,0.98358864,1.214024,1.3365426,0.85853654,1.1235489,0.9176057,0.93882775,1.0579504,1.2853599,0.9585631,0.7112576,0.968497,1.0268129,1.005575,1.1903203,0.54756975,0.7992525,1.0842427,1.1928768,0.8924365,1.1801853,0.82505894,1.0988173,1.2662921,0.99858314,1.2011142,1.3675147,0.31022,1.173352,0.8992076,0.77798796,0.94503105,1.2819833,1.2692308,1.1831225,1.1505238,1.1379677,1.0755221,0.9287333,1.1488174,1.1547972,1.0620323,0.9314498,0.4205305,1.136694,1.1233592,1.042972,1.1877217,0.81966895,1.112414,0.86622614,0.95267355,0.3583281,0.7044084,0.8718869,1.374568,0.9462003,1.1347309,1.2878118,1.2134914,0.8723402,1.1709696,1.1685416,1.1286395,0.76359546,0.8546314,0.6441302,1.3100822,1.2658973,1.2445712,0.9131544,0.97480506,1.3582134,0.8584752,0.8250792,0.9854328,0.789524,1.3019774,0.3131588
drawer,0.97780204,1.1894963,1.1238894,1.1164069,1.0847106,1.091159,1.1119587,0.7936159,0.6621289,1.1696664,0.8847469,1.0150068,1.1899142,0.8729193,1.1179754,1.0436033,0.819847,0.88530153,0.8301629,0.6806554,1.2477345,0.9405176,0.8341006,0.89586127,0.73498994,1.0082368,1.2660728,1.0523216,0.903843,0.97788316,0.8574861,0.82847,0.86386454,0.8751535,1.1344458,0.9314393,0.888523,0.9104855,1.1313456,1.088722,1.0292512,0.6255136,0.0,1.1304212,1.0274659,1.1111755,1.0874655,1.1870108,1.1139305,0.9706505,1.1723485,1.0610636,0.63978577,1.0553302,1.1584872,1.2748581,1.0815212,1.2088304,1.1704595,0.94754,1.205289,1.0653919,1.0141747,1.073645,1.1519209,0.65573364,1.229065,0.9395071,1.2111673,0.77017254,0.997138,0.6716908,1.2130989,1.020979,0.8262604,1.1765814,1.1744064,1.177251,1.151336,0.80837756,0.9400668,1.0786247,0.54789627,1.1030313,1.202332,1.0924332,0.5567524,0.7793021,0.93652254,1.0827086,1.0477811,1.0752958,1.1023395,1.0693384,0.8946523,1.0421172,0.93372667,0.5829934,0.83631563,1.028596,0.8371246,1.2372707,0.7235797,1.205431,1.030375,1.095299,0.87340474,0.80692434,0.7374054,1.0081886,1.0440348,1.0685278,1.1190618,1.0811485,0.67115796,0.6279294,1.0602813,1.0000144,1.1181335,1.132659,1.1839205,1.0106889,0.7963085,1.105918,1.1000704,0.72690576,0.9042747,0.99492866,0.87389135,1.1240917,1.0985612,0.86247444,1.0998144,0.86612165
dress,0.7196845,1.042295,1.3296508,0.6942293,1.2072214,1.2829866,1.2046679,1.2648966,0.87567484,0.68427336,1.3554354,0.71728045,0.5776706,1.024326,0.6920301,0.9717092,0.98543274,1.1394058,1.2735707,1.0545472,0.84133595,0.908802,1.2266285,0.989607,1.3046572,1.2443188,1.1181539,1.045017,0.96806705,0.9469286,1.1793897,0.87346303,1.0052855,0.9212379,0.81753904,1.335629,0.8173239,1.2794213,1.0143132,1.0397617,1.0647097,0.9862709,1.1304212,0.0,1.0320226,1.229491,0.81240755,1.0022821,1.1982065,1.405586,1.2096564,1.1735873,1.1828725,0.9030373,0.79917026,0.8746275,1.2815139,0.9609848,0.82037854,0.78427756,0.8327287,0.9018697,1.0161966,1.3907075,0.9815166,1.0052927,0.62506634,0.79610485,0.5651045,1.2657659,0.9543869,1.3997127,0.8638978,1.2097726,1.0202386,0.7647328,0.85206544,0.9099476,1.3384132,1.2805638,1.1001841,1.2156965,0.9898611,1.0618992,0.46701467,0.7839228,1.232518,1.3333353,1.366841,0.9805277,1.0313187,1.1900187,1.007165,1.096587,1.4348673,1.2591504,0.8336592,1.2384108,0.9017442,1.3592647,1.097202,0.51415634,1.0928128,0.6826614,0.7540426,0.8174076,0.9243353,0.8277342,0.9866342,0.8086388,1.380372,1.0061604,1.2376105,1.0574342,1.3370597,1.1550113,1.228298,1.3312294,0.6899079,0.7851084,0.86892533,0.845884,1.265451,1.2529916,1.2281665,1.21699,1.0540924,0.9282479,0.7992298,0.77371603,1.1236744,1.0347271,1.3376453,0.87770176
ear,0.9793572,0.78761625,0.94473624,0.9125718,1.0120106,1.004016,0.98908085,1.223496,1.132688,1.1418989,1.1007515,1.1615134,0.9356359,0.7623991,1.0366132,1.0671562,1.060108,1.2173045,1.1258994,1.2417811,1.0686424,1.0605993,1.1643859,0.892205,1.0147028,1.1476376,0.86903024,1.0665447,1.1430306,1.0428616,1.0493726,1.0920464,1.0262247,1.0484093,1.1353546,0.97662,1.1584661,1.1259339,0.9464442,1.1323994,1.117237,1.1123848,1.0274659,1.0320226,0.0,1.0204451,0.97797716,0.8113037,0.59144074,0.914935,1.0966474,0.5532311,1.0810256,1.1042897,1.0599918,1.1512836,0.56282413,0.9349022,1.0634557,1.0742936,0.69965816,1.1432658,0.58436453,0.7602446,1.1041625,0.920878,1.0942893,1.0902383,1.0112697,0.9487981,1.117021,0.9495814,1.030205,1.0507054,1.1465385,0.9226968,1.0565388,0.92470574,0.7890542,0.9095142,0.63295996,1.042671,1.1378399,1.0566766,0.997696,0.89290416,1.1180114,1.004635,0.8902938,1.0622265,0.79602826,1.0228869,0.96169597,1.0625813,1.0479639,0.98299414,1.0899844,1.1417594,1.1535805,0.9973166,1.0630285,1.0781687,0.9688507,0.9838236,1.0018581,0.79299045,1.1167051,1.1582242,1.1916666,1.0825154,0.88718617,1.1445571,0.9345842,0.81340545,1.0214736,1.0649016,0.7634043,0.97906935,1.2084888,1.035192,1.0797894,1.1765863,1.036043,0.5973657,0.79691243,1.0870948,0.93624115,1.1795785,1.1770935,1.0809618,1.0316486,1.1393567,0.8636457,1.1697671
egg,1.2820113,0.9334153,0.61816645,1.3896453,0.6338587,0.54587686,0.66212916,0.8228152,1.2744793,1.4090402,0.8353304,1.3554705,1.3069139,1.096322,1.3150471,1.078265,1.0426078,0.7292666,0.3897984,1.0998338,1.0861222,1.0162777,0.55429304,1.0167587,0.9609465,0.77789897,0.7451878,1.2429138,1.1897835,1.0132008,0.8414134,1.3066368,0.9454114,0.88961446,1.376909,0.6447398,1.2066243,0.3474359,1.1273495,1.1763847,0.95663035,1.3882737,1.1111755,1.229491,1.0204451,0.0,1.3250465,1.0692768,0.88988864,0.7135018,0.8061798,0.9796487,0.8622394,0.93755764,1.1973509,1.092329,0.84280276,0.87393063,1.2393067,0.93182504,1.2117677,1.0364648,1.1415598,0.72188455,1.1090671,1.2242937,1.3220019,0.99565226,1.294321,0.8384044,1.318041,0.9744613,1.1036161,0.6771606,0.9832892,1.0192131,1.2732937,1.0729451,0.6749615,0.88742113,0.9691237,0.0669477,1.2501233,0.95879865,1.3712949,1.3359752,0.85317284,0.78465474,0.7243098,0.98583806,1.0418324,0.97213346,1.111781,1.0523342,0.6470411,0.7271583,1.0712073,0.88298917,1.2761687,0.7922468,0.35951626,1.2559737,0.78953314,1.3483452,1.0799198,1.2724619,0.8393489,1.3117864,1.0483416,1.141355,0.6686553,1.1348542,0.86711514,0.8360111,0.6820718,1.0221193,0.85113424,0.71610415,1.0275743,1.3183628,1.2548978,1.2780223,0.3365903,0.84793305,0.7978389,0.9833613,0.9489018,0.71990967,1.0653621,1.2775,0.9863346,1.1490668,0.71695775,1.397469
elephant,0.7422595,1.0211506,1.2886021,0.6625255,1.2015792,1.2658823,1.1949002,1.2110366,0.76074266,0.6521608,1.1898532,0.8464867,0.61907274,0.99748224,0.72916245,0.9935454,1.2117647,1.2311176,1.3273073,1.1602666,0.89137495,1.0795485,1.2990975,1.0175465,1.1781247,1.2681731,1.145421,0.6739222,1.053369,1.0405508,1.0171567,0.7827604,0.98080367,1.1261373,0.74366486,1.324145,0.9402804,1.361548,0.8152856,0.7954223,1.1396735,0.9333358,1.0874655,0.81240755,0.97797716,1.3250465,0.0,0.9528366,1.1472595,1.2211286,1.2684364,1.0805582,1.2120023,1.0942582,0.93132997,0.97134143,1.1235483,1.0299648,0.8589652,1.0371904,0.8247349,0.98028624,0.98970747,1.219094,0.81588817,0.92737156,0.58514416,0.9726313,0.61158955,1.2114732,1.009438,1.1461712,0.91111875,1.2521942,1.0185522,0.92783856,0.82314557,0.8984218,1.1995237,1.1737213,0.9921141,1.3063352,0.8964465,1.1717598,0.60739946,0.62415576,1.2254854,1.2736073,1.2746233,1.1510229,0.92191464,1.1019225,0.8371571,1.2102304,1.2463926,1.2622662,0.9727904,1.2107904,0.90966207,1.1896397,1.2202942,0.8745236,1.1701664,0.51916957,0.96812236,0.76596284,1.0609185,0.81761456,0.8966754,0.77338886,1.2526596,0.8718202,1.0816897,1.0708147,1.2627071,1.1469764,1.166923,1.2520188,1.0768514,0.6319553,0.95337254,0.9126513,1.3576653,1.1795659,1.0586466,1.1380023,1.0757875,1.2541317,1.0030904,0.8548572,1.1293861,1.096789,1.2119606,0.77957636
face,1.0266689,1.0264611,1.1104525,0.81458753,1.086023,1.0783266,1.1029586,1.2598162,0.9818653,0.7967849,1.1904514,1.002234,0.71360904,1.0233968,1.0043914,0.928765,1.1805227,1.2246317,1.2711451,1.1240385,0.890008,1.0678501,1.3464359,1.0761034,1.2389805,1.1442966,1.0168813,0.92694074,1.1674248,0.9690388,0.9630962,0.9051982,1.0584174,1.1656417,0.90484035,1.2505322,1.0272578,1.2837114,0.8615222,1.010374,1.1384103,0.9377728,1.1870108,1.0022821,0.8113037,1.0692768,0.9528366,0.0,0.78294533,1.116256,1.1480182,0.7610118,1.3003929,1.0729074,0.97177494,0.8056053,0.63998306,1.071326,0.95571214,1.2312866,0.3331535,0.8989687,0.7672527,0.9614649,0.81014806,1.1578434,0.8983628,0.958312,0.9293149,1.2957467,1.0473346,1.1206062,1.0434982,1.1654804,1.1058998,1.014271,0.8158561,0.9390369,0.7911274,1.2625333,0.99223155,1.1527338,1.0173664,1.2135204,0.7211503,0.81622934,1.2229111,1.2314787,1.1285747,1.0873687,0.96424073,1.2140442,0.8259634,1.1136618,1.2066,1.0872821,1.2032249,1.2529016,0.9760749,1.0254899,1.1298544,0.96633273,1.3116939,0.58439744,1.1697869,0.76827896,1.0661275,0.95317745,1.049704,0.93902874,1.1188611,0.95753425,0.91446304,1.165734,1.3610522,1.1481296,0.9182536,1.1183834,1.1189599,0.72082436,1.0094368,0.9498215,1.2280189,0.75925946,0.87729794,1.1345131,1.2872326,1.2474614,0.92255205,0.96358496,1.0802996,1.1171801,1.0540223,0.88808376
finger,1.1940897,0.4180587,0.7249588,0.8705682,0.87405324,0.8482219,0.9133818,1.025966,1.357777,1.240654,1.0045366,1.3489269,1.0004702,1.0505632,1.1815379,1.1817364,0.95090824,1.1213019,1.1019373,1.2322898,0.9172546,1.169111,1.1296462,0.8208245,0.97120035,0.99731725,0.8114036,1.2112879,1.2512978,1.0684165,1.1503407,1.3122452,1.1779752,1.0222391,1.205522,0.7565025,1.3431075,0.9942509,1.0277786,1.1972775,0.8579687,1.2493193,1.1139305,1.1982065,0.59144074,0.88988864,1.1472595,0.78294533,0.0,0.80035263,0.9623323,0.24973083,1.0610646,1.1344497,1.13481,1.1424061,0.5104028,0.7230104,1.1887249,1.0644909,0.8405401,1.114763,0.2389704,0.6417771,1.0471765,1.2439923,1.1456077,1.1869845,1.1175961,0.8355483,1.2439287,1.00942,1.0910871,1.0437068,1.1492078,0.9561469,1.1662805,1.014636,0.5574633,0.88028455,0.5974298,0.90683246,1.2902161,1.0481793,1.0168148,0.9967504,1.0400937,0.7757365,0.62998337,0.92465323,0.7247656,0.9802122,1.0291277,1.1559052,0.9120033,0.9367361,1.2097771,1.1175463,1.2736449,0.95396364,1.0859321,1.1150022,1.0484545,1.061764,1.0487537,0.8644885,1.2660712,1.2435031,1.3379414,1.136308,0.60635453,1.1770177,0.84751666,0.6417863,0.9759901,1.0908272,0.56912464,0.756865,1.1813518,1.1228678,1.2159175,1.3008363,0.98135537,0.16263175,0.62354946,1.0554936,0.9998864,1.0806197,1.2085809,1.2291459,0.9871844,1.2152983,0.65876395,1.3354785
fish,1.3718338,0.9232812,0.33767772,1.3676522,0.7478167,0.2404449,0.6654252,0.7846484,1.3743322,1.438967,0.27650106,1.4712229,1.4658546,0.9456372,1.3850275,1.0070461,0.9549944,0.791041,0.59596264,1.2763873,1.2658962,1.3400979,0.80880374,0.79688156,0.5614978,0.38855517,0.4906469,0.93027294,1.3026617,1.2414873,0.7212558,1.3739961,1.0815593,1.1878471,1.3645794,0.20508516,1.5397713,0.595056,1.1014214,1.1399267,1.0139123,1.2744383,0.9706505,1.405586,0.914935,0.7135018,1.2211286,1.116256,0.80035263,0.0,0.5900847,0.79105234,0.8661031,1.0104727,1.246761,1.2663336,0.5320964,1.0783044,1.2050316,1.2090605,1.2548711,1.3259536,1.1734431,0.3907112,1.2036748,1.1561699,1.3109298,1.2348758,1.3863167,0.64385694,1.3674377,0.41703737,1.2720206,0.86042696,1.1379006,1.3711271,1.408066,1.2088399,0.32354861,0.41210896,0.7351446,0.6841278,1.2951889,0.8306154,1.5369077,1.2364879,0.66835535,0.26692998,0.2259463,0.96041214,1.1465992,0.61573386,1.1117706,0.95220494,0.29630226,0.86264026,1.1825416,0.78717536,1.3602846,0.57940423,1.1109451,1.3411318,0.9846226,1.4006181,1.1979555,1.2438157,1.2787478,1.355128,1.3288395,1.3754652,0.21503711,0.95503956,0.5919388,0.7397349,0.5303104,0.7690084,0.47330785,0.37661636,1.3171763,1.1430598,1.3008548,1.5119969,0.6947918,0.61393446,0.48058867,0.75068825,0.59077,0.9585826,1.5182769,1.2022232,0.8451757,1.0493453,0.22983658,1.2434298
flower,1.1713337,1.0319635,0.53142107,1.3931704,0.75782776,0.61992824,0.5949755,0.6771497,1.4444532,1.3807853,0.57785124,1.2506919,1.3773899,0.98630357,1.3237846,1.0956154,0.9718343,0.7673684,0.7522912,1.0924548,1.0158228,1.1367393,0.68021846,1.0215809,0.76302576,0.46762228,0.8049798,1.0981565,1.0281994,1.1228346,0.8480369,1.2725859,1.1232557,1.1648892,1.2533187,0.6369556,1.2861335,0.7010857,1.1920956,0.8503434,0.68783706,1.1792735,1.1723485,1.2096564,1.0966474,0.8061798,1.2684364,1.1480182,0.9623323,0.5900847,0.0,1.0442363,0.8727331,0.7974601,1.0975394,1.1445178,0.8400669,1.0960275,1.0016595,1.160736,1.2460136,1.1531503,1.2378201,0.6386578,0.9487006,1.1712838,1.3473065,1.0135002,1.3707936,0.9748278,1.0186259,0.70600146,1.209691,0.6237615,0.97428435,1.2890043,1.3077372,1.1477059,0.7026273,0.8104247,1.0008097,0.8361928,1.2030905,0.5145049,1.4143935,1.280791,0.9220261,0.73727846,0.6808733,0.6288155,1.1832477,0.7875153,1.1601653,0.38683724,0.72982967,0.66887426,0.9161112,0.8148688,1.1133558,0.47519004,1.0600798,1.2211885,1.0884908,1.3305457,1.0657867,1.250819,1.1858873,1.2433039,1.2898254,1.4696269,0.573653,1.1089474,0.77544373,0.9174571,0.7693919,0.89184904,0.8236003,0.7413157,0.9639824,1.2163022,1.0447894,1.2094659,0.8021954,0.8843893,0.9661952,0.80285615,0.8744408,0.7952376,1.4015002,0.9444493,0.7112433,0.8834361,0.5906446,1.1877229
