category,clip_mean_bv_to_bv_centroid,clip_n_bv_exemplars,dinov3_mean_bv_to_bv_centroid,dinov3_n_bv_exemplars,delta_bv_centroid_dinov3_minus_clip
lamp,5.1151116493839375,200573,12.140082870299693,200573,7.024971220915756
basket,5.337952438464331,29745,12.337399518319392,29745,6.999447079855061
stick,4.931064432588233,79,11.907789224446086,79,6.976724791857853
foot,4.373571527435756,728,11.346286955871365,728,6.97271542843561
necklace,4.621759079659563,3668,11.5939056389238,3668,6.972146559264237
watch,4.3062310866292925,3070,11.230398939414979,3070,6.924167852785686
vacuum,5.21764608664646,4433,12.110064057382136,4433,6.892417970735676
drawer,4.3313339643607245,20456,11.217193090821212,20456,6.885859126460487
pony,5.126303609802096,244,12.004320589923255,244,6.878016980121159
box,5.29715483052813,66750,12.141367760294841,66750,6.844212929766711
shower,4.827805667678528,296,11.644193107062291,296,6.816387439383763
tray,5.672396443816743,10348,12.417089684332302,10348,6.744693240515558
purse,5.173184413640832,10269,11.886229711664996,10269,6.713045298024164
closet,4.887897298176813,1529,11.58221073093359,1529,6.694313432756778
refrigerator,5.230183577160711,66957,11.9054213571211,66957,6.675237779960389
door,4.520931671617576,63777,11.183330976831103,63777,6.662399305213527
bed,5.173151400627716,85010,11.813213732207988,85010,6.640062331580272
jacket,5.152338633799328,1252,11.78302199104422,1252,6.630683357244893
pillow,5.0072703496813045,142943,11.594724873406088,142943,6.587454523724784
oven,4.8932789436346695,28153,11.479643548367102,28153,6.586364604732433
rock,5.025710443151511,254,11.611240570221167,254,6.585530127069656
glasses,4.189919234595781,59879,10.764000969544426,59879,6.574081734948646
grass,5.243666169192096,3803,11.796640178004633,3803,6.552974008812537
arm,4.92588494730372,3084,11.41406743320375,3084,6.48818248590003
sock,4.884327504075064,3368,11.325338490144125,3368,6.4410109860690605
paper,5.184048609169087,5505,11.619258001979421,5505,6.435209392810334
slide,5.4166654387146025,5723,11.850101072478555,5723,6.433435633763953
couch,4.974112223596437,162393,11.339845528455289,162393,6.365733304858852
blanket,5.167913575292588,28388,11.45364127597684,28388,6.2857277006842525
table,5.287770961584121,164719,11.565560065822684,164719,6.277789104238563
shorts,4.578842766292037,3792,10.855550584834461,3792,6.276707818542424
plant,4.775659835207683,30220,11.047438953809845,30220,6.271779118602162
pants,4.479418979431483,5664,10.750955961108865,5664,6.271536981677381
doll,5.401425983117438,3809,11.665689042427275,3809,6.264263059309837
mouth,3.6411644124058347,318,9.877666019182925,318,6.23650160677709
ear,3.7444281957242422,298,9.975481545876232,298,6.231053350151989
jeans,4.774103321487511,4220,11.00059449653961,4220,6.2264911750521
dress,5.109910624232357,1087,11.312997860675733,1087,6.203087236443376
pajamas,5.243254292653929,3041,11.405749864345415,3041,6.162495571691486
window,5.0695607418880595,56686,11.206302834480669,56686,6.136742092592609
butterfly,4.285196278123262,386,10.302525365527805,386,6.017329087404542
sweater,5.027096618047281,989,11.018877769196322,989,5.991781151149041
hair,4.639533258820302,7310,10.583308490488076,7310,5.943775231667773
scarf,5.093972862428737,338,11.029730619568538,338,5.9357577571398
face,4.858215003335437,557,10.709669440210794,557,5.851454436875357
shirt,5.270793955325513,9402,11.072717931273045,9402,5.801923975947532
stroller,5.059943353485163,9463,10.723557278888082,9463,5.6636139254029185
tooth,3.621363897328601,410,9.221043593173324,410,5.599679695844722
book,5.809208427431596,44652,11.389608965391126,44652,5.58040053795953
dish,4.035417785612878,986,8.675882698254403,986,4.640464912641526
