,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.103736,0.94989103,0.8193213,0.92476356,1.1568674,0.7830734,0.9334024,0.6704555,1.0056558,1.2205534,1.3377004,0.98735434,1.2037818,1.1982325,0.9790344,1.2201998,1.0111443,1.1335267,0.90673715,0.88530564,1.2058666,0.5942168,0.9303022,1.0210514,0.9700692,1.1202252,1.1260815,0.6386653,1.157757,1.2865019,0.8831456,1.2090154,0.9061057,0.9888486,0.0,1.2897775,1.0242335,0.8951185,1.2496538,0.89996207,0.93785423,1.1060083,1.0001327,1.2710056,1.153434,1.2026631,0.99224144,0.6811518,1.0648966,0.8920273,1.1883078,0.9031652,0.7653552,0.9136466,0.9892038,0.81779075,0.8018652,1.0496287,1.1806602,1.0111024,1.085803,0.9986098,1.256496,1.0101593,1.0528091,1.030287,1.2069877,1.1535391,0.98509246,1.2246544,0.8785753,1.2269963,0.84253013,1.0526026,0.9871715,0.95335925,1.1123116,0.9024825,1.1929668,1.0642016,0.87847733,0.8787027,0.93803924,1.1002499,0.74378484,1.186713,0.92217994,1.2703803,1.2592928,1.1731808,0.8672183,0.86536086,0.9495582,0.81532645,1.0622355,0.43078893,0.96155906,0.70028996,0.8626775,1.0117407,0.64842725,1.0216993,1.0919648,0.87553555,1.2583327,1.0701563,1.1696159,0.9037014,1.2498944,1.1194586,1.218972,0.8797767,1.0565975,1.1057068,0.95888126,1.1850277,0.8221628,0.9869662,0.9798041,0.7588128,1.020701,0.84428984,1.3006341,1.2831227,1.1142132,0.843927,0.898749,0.99791914,0.9633388,0.8971789,0.8622938,0.79878104,1.1215532,1.1768072,1.1708281,0.96932614,1.2062818
couch,0.5734364,1.3749115,1.4348724,0.9500814,0.64949065,1.3820834,1.3361095,1.3671215,1.174507,0.5863415,0.14468539,1.3979347,0.67025197,0.7182529,0.99992156,0.24642724,0.97743475,0.74941015,1.5321902,1.1908523,0.6284485,1.462166,1.3029523,1.289324,1.0630459,1.2522166,1.1147311,1.1084515,0.75598586,0.92258084,1.3834189,0.6502468,1.101812,1.0287191,1.2897775,0.0,0.7931427,1.4228547,0.5724884,1.3507607,1.0298806,0.75618386,0.96062946,0.62160826,0.9314231,0.75216913,1.2582731,1.4091022,0.7800386,1.1121488,0.69830775,1.1873727,1.0761744,1.3772464,0.97567546,1.4618514,1.1859388,0.7303215,0.8889767,1.3514898,0.9355745,1.1502149,0.7366642,1.2077934,0.82230616,1.3020959,0.64096326,0.5137496,1.199281,0.48706913,1.4933045,0.6308643,1.500041,0.7433044,1.0418383,1.0525857,0.61736655,1.213039,0.8971072,0.9795689,1.3410493,1.2864242,1.4077184,0.96299654,1.384198,0.6696903,1.051117,0.47954834,0.53764534,0.48831165,1.5116273,1.4917998,1.3563124,1.0445294,0.85386235,1.2406898,1.4053898,1.2517715,1.1730347,1.1747013,1.3232462,0.9993346,1.1865611,1.1531696,0.52419686,0.8470901,0.8618135,1.1811699,0.53422284,1.0055751,0.7058635,1.4054546,0.70427525,0.6690079,1.4621549,0.5871842,1.1154388,0.9515022,0.96126753,1.5454041,1.1995397,0.95045334,0.8136121,0.55386615,0.5962668,1.4923662,1.3541783,1.2304915,1.2381331,1.2963943,1.2344124,0.890267,0.89852154,1.0130955,1.0424889,1.4679605,0.6452808
cracker,0.6044888,1.0405719,1.1419317,0.9221513,0.9878569,1.1760561,1.1964164,1.0979509,1.1108663,1.0231925,0.9216753,1.1904899,0.93918526,0.79084,0.774066,0.97334373,1.1380165,0.501721,1.2661524,1.2434815,0.77366114,1.2144585,1.0707444,1.2573981,0.8340658,1.2198778,1.1255552,0.9663522,0.9447663,1.1531324,1.2000152,1.0585458,1.1973872,1.022495,1.0242335,0.7931427,0.0,1.0913996,0.93859106,1.2273493,0.99675363,0.91401774,0.77009493,0.994715,1.0715474,0.91261727,1.0410478,1.1617113,0.9837953,1.0203224,0.9434476,0.9977179,1.1370077,1.038743,1.0620933,1.2336088,0.853143,0.15339088,1.03468,1.117881,1.1646369,0.95438385,0.89546233,1.0660908,0.90201414,1.1755831,0.88078547,0.9571342,1.2132244,0.9928433,1.219143,0.9802995,1.1927501,0.55184484,1.078422,1.0005038,0.9976976,1.0282025,1.1546065,0.8853061,1.08817,1.2358252,1.0892652,1.0819684,1.1463573,1.0884299,0.90492916,0.9508075,1.0158565,0.47682452,1.1629833,1.0826815,1.097684,1.0360212,1.1333423,1.0768088,1.074722,1.2281201,0.90206844,1.1013557,1.083045,1.1981263,1.2362258,1.1484652,0.97096413,0.5226127,0.9343828,1.0214721,0.93879825,1.0326154,0.9218184,1.120692,1.0410346,0.8876226,1.1465079,1.0274593,1.0904262,1.028971,1.012708,1.2650564,1.0763016,0.9262285,1.0787446,0.946833,1.0131847,1.2177842,1.0745952,1.0465754,1.1174266,1.2445612,0.9170316,1.0039666,0.959128,0.97747034,1.0494828,1.133167,0.96835005
crayon,1.3771597,0.47496176,0.28807306,1.0887504,1.2170341,0.5236349,0.61986315,0.82879215,0.91184676,1.3658144,1.4864904,0.4171003,1.3574456,1.3650799,1.2362173,1.4282999,0.82199466,1.0478657,0.39072496,1.0185716,1.3498554,0.5085458,0.5985851,0.9150976,1.0415491,0.6286008,0.86011386,0.9729318,1.2837328,1.0741832,0.66593325,1.2281523,1.0382198,1.0070646,0.8951185,1.4228547,1.0913996,0.0,1.3668854,0.8340985,1.2657378,1.3572416,1.2183642,1.3013498,1.1185116,1.2528192,0.79415226,0.62225574,1.1459868,1.0630964,1.3136628,0.79305196,0.8488523,0.58054394,1.1845837,0.48964506,1.0675358,1.1839137,1.3826153,0.50447816,1.1621319,0.9716094,1.2972593,0.9803584,1.2880483,0.5850018,1.3114774,1.315321,0.92714214,1.3832132,0.38970745,1.3578036,0.43403703,1.2525795,0.9678722,1.1240199,1.4908414,0.88611835,1.1885964,1.1624526,0.26521873,0.62403864,0.4458952,1.2512665,0.3424431,1.2398611,1.1757677,1.4358317,1.3888983,1.3042853,0.120208144,0.16704035,0.71524477,1.2476907,0.88115263,0.8768836,0.45592457,0.8912854,0.8359325,0.81197685,0.72448,1.2105092,0.8901243,1.1428502,1.3569192,1.1301028,1.2198921,0.94109285,1.4002895,1.2314714,1.3437678,0.6649743,1.3530924,1.2222972,0.26738715,1.2175351,1.0812815,1.1608456,1.2308095,0.47685492,0.69301414,0.97994936,1.2602692,1.4294086,1.3714927,0.34298486,0.5359748,0.7288132,0.9212769,0.550055,0.8160884,1.2459713,1.0997516,1.0742942,0.86808395,0.3021081,1.2250142
crib,0.7695056,1.350434,1.3748411,0.977225,0.8430749,1.3063769,1.3647894,1.2060063,0.79107356,0.59370506,0.41285872,1.415366,0.34120464,0.9299742,0.8929161,0.67456424,1.0026852,0.8380238,1.2980515,0.9809078,0.63430583,1.3952249,1.221393,1.0671052,1.0076107,1.1382766,0.97739863,1.2286814,0.7316271,0.78953874,1.2985846,0.55697817,1.0505553,1.019473,1.2496538,0.5724884,0.93859106,1.3668854,0.0,1.1015487,0.9268464,0.7234732,0.9925515,0.5953537,0.91068214,0.8406021,1.3175876,1.3615394,0.8434341,1.09851,0.79258686,1.3341422,1.2157605,1.2257676,1.0459737,1.348861,1.1344663,0.811532,0.77306336,1.4271051,1.0943019,1.1567423,0.8570029,1.0654793,0.98048013,1.4106512,0.77624214,0.7179249,1.0757118,0.7790788,1.4284198,0.3418435,1.3413184,0.8458657,1.0375254,0.96003,0.831394,1.1643044,0.8011346,1.122647,1.3987759,1.2533922,1.4967103,1.0298227,1.33862,0.72783613,1.0276157,0.71010363,0.7877947,0.73459506,1.4625969,1.4750783,1.301202,0.9512955,1.1857582,1.1024809,1.287427,1.1232941,1.1187594,1.2832453,1.3374336,0.9648424,1.0098261,1.0471811,0.56930554,0.8798646,0.89102405,1.08648,0.7145499,0.9475745,0.9972692,1.2672288,0.7985832,0.38442063,1.45379,0.6846699,0.951854,1.032372,0.90164137,1.4335437,1.288753,1.0304204,0.83718526,0.7636936,0.6099117,1.32578,1.4691694,1.2850932,1.1389233,1.2716706,1.1627958,0.88423246,0.8551686,0.9887257,0.99808174,1.4501534,0.5992915
cup,1.3445513,0.9822816,0.8407485,0.89851373,1.3304391,0.74968904,0.8122905,0.6055883,0.57298845,1.2738727,1.3928806,0.9324013,1.0685099,1.1787268,0.9835356,1.3197851,0.9962889,0.99308777,0.41756785,0.37411964,0.93271464,0.7182725,0.90376157,0.1384095,0.9662499,0.6310418,0.8076533,1.049483,1.2669938,0.8312991,0.7693732,1.2492975,0.63689166,1.0386763,0.89996207,1.3507607,1.2273493,0.8340985,1.1015487,0.0,1.0042231,1.2114818,0.99471956,1.2817972,1.051469,1.210515,1.0488968,0.71155876,1.2388096,1.1024863,1.3266189,1.1453506,1.159852,0.7512194,0.990408,0.6385518,0.93979126,1.1674521,0.80246675,1.0047565,1.0693246,1.0507994,1.3911905,0.7864903,1.2870033,0.88333255,1.3432238,1.3218096,0.43572688,1.457268,0.7381918,1.1245826,0.60108805,1.2005843,0.99073225,0.6984455,1.2279055,1.0880499,0.9579092,1.2737107,1.0633594,0.6293687,0.98017967,1.1762618,0.7638116,1.1553599,1.0518905,1.4325886,1.42161,1.2892421,0.8370189,0.93411386,0.8502072,0.89857346,0.9215659,0.75327086,0.7915387,0.6171824,0.9891973,0.99223894,0.87818867,0.6264352,0.6112262,0.85836303,1.2399683,1.1561718,1.1854479,0.89372855,1.4001948,0.95554984,1.309597,0.6109304,1.1304814,1.1200315,0.8824964,1.2731977,0.7627965,1.0241499,0.9617349,0.68354106,1.0432397,1.2076274,1.0442451,1.428392,1.0849892,0.55319095,1.0800132,1.073672,0.9420893,0.6783368,0.71572983,0.97859627,1.1654862,0.996449,0.9027834,0.9496326,1.2029684
dish,0.9861283,1.1714516,1.0743473,0.8378503,1.0158365,1.0395585,1.0916915,1.0330479,1.2059133,0.83713865,1.0200903,1.2040596,1.0039481,1.0019544,1.003151,1.0033653,1.0758328,1.092976,1.1575326,0.9065819,1.0129217,1.2040238,1.1961901,0.99321634,0.9664682,1.2014015,1.0773425,1.002011,0.9972763,1.2051117,0.95917016,1.0086051,1.0156493,0.985055,0.93785423,1.0298806,0.99675363,1.2657378,0.9268464,1.0042231,0.0,0.9758097,1.0919764,0.9774059,0.9235902,1.0038555,0.9369264,1.0335921,1.119118,0.69644725,0.93449223,1.0498675,0.9254109,0.9770118,1.0924897,1.2305436,0.9191294,1.0485826,0.6196017,1.128794,1.1439927,0.7994003,0.9911634,1.1661288,0.93233097,1.3354112,1.0511656,1.022971,0.95465124,0.9981253,1.2870898,1.0907654,1.1905127,1.0272484,0.94480824,1.0184109,1.0090718,0.9895159,1.0861069,0.8974166,1.0933487,1.3065934,1.1842694,0.79684913,1.1035312,1.0215176,0.717936,0.94473773,1.0255678,0.9553715,1.3077626,1.235113,1.1974493,0.61600566,1.2343848,1.0607145,1.0590346,0.9654295,1.1044561,1.1291431,0.9385729,1.1265674,1.0974474,0.7011033,0.9790102,1.0389744,0.9087292,1.1760105,0.98549736,1.0216429,0.89088726,1.2763796,0.71357876,0.9753394,1.228248,0.90980935,0.89171726,1.0767331,0.52583414,1.091104,1.0721011,0.8966192,1.0748491,0.94936854,0.7669319,1.1567959,1.1529534,0.94047785,1.1037198,1.3482084,1.1189492,0.79697067,0.8717483,0.9757,1.2329603,1.1113616,1.0163484
dog,0.58919084,1.2822254,1.3204232,1.0931603,0.9356869,1.271056,1.3072863,1.2612101,1.1544702,0.9039424,0.69990575,1.3022299,0.84219396,1.0100361,0.6642662,0.7188177,1.0347259,0.99503756,1.3360491,1.0713238,0.8919718,1.2133603,1.2732831,1.2640653,1.0070117,1.2986336,1.1124208,1.1363453,0.12776303,1.037061,1.2662323,0.8369862,1.0819958,1.1441071,1.1060083,0.75618386,0.91401774,1.3572416,0.7234732,1.2114818,0.9758097,0.0,0.8100332,0.83267945,1.0831561,0.8858379,1.2044567,1.2852712,0.5669737,1.0067129,0.686023,1.2453427,0.9909763,1.1125607,0.9975814,1.2817111,0.91527224,0.89332277,0.8874675,1.251574,0.95247334,1.1634668,0.73197246,0.96260047,0.93250895,1.2502313,0.49472994,0.8617611,1.1299613,0.823586,1.3470535,0.7350995,1.32026,0.7525443,1.1435908,1.0089052,0.85487574,1.175428,0.86946416,0.94955146,1.2810885,1.1635681,1.390165,0.851269,1.296897,0.91781795,0.79180944,0.7978187,0.81378496,0.8411321,1.4049368,1.4140787,1.2186904,1.0244318,1.1176565,1.0064764,1.2399018,1.1398528,0.6040454,1.183214,1.2492204,0.95905954,1.2279316,0.96838844,0.83848333,0.777924,0.8617968,1.2316656,0.7910204,0.9363474,0.94301254,1.3857092,0.9244723,0.615907,1.3644094,0.8525132,1.0706911,1.0400444,0.95877874,1.2890716,1.1854514,1.0481428,0.84168327,0.7602625,0.7269256,1.3460727,1.3013462,1.116694,1.2019678,1.2038842,1.110474,1.0502045,0.8606899,1.0471219,1.1569234,1.2823408,0.807942
doll,0.7322413,1.139164,1.1953349,0.9422436,1.1281768,1.1363528,1.0676535,0.96873903,1.0639402,1.2267332,0.9662685,1.2123586,1.0260988,0.7026158,0.7527293,0.9003468,1.1341141,0.69157445,1.1805956,1.0070305,0.83957005,1.1096843,1.1803374,1.0734124,0.9026191,1.212504,1.0073895,0.905777,0.9427823,1.078308,1.0643953,1.1154,0.9664936,1.1901598,1.0001327,0.96062946,0.77009493,1.2183642,0.9925515,0.99471956,1.0919764,0.8100332,0.0,1.096175,1.0469329,0.81970507,1.1136037,1.0727696,1.1142606,0.9610847,1.0395858,1.0887781,1.1922345,0.8919071,0.8858262,1.2009866,0.589162,0.6464927,1.0963856,1.1645402,0.8984961,0.96085,0.94219184,0.8787564,0.9792155,0.91463804,0.9800419,0.9191128,0.92106247,1.0506209,1.2359216,0.96761245,1.099963,0.7493234,1.0357451,0.81777185,0.7636782,1.0866258,0.93640804,1.0373464,1.2193334,1.0641353,1.1450634,1.0254842,1.1376395,1.1595612,0.8870559,0.9201236,1.0146389,0.82069826,1.2592878,1.261513,1.0690494,0.93595797,1.0239683,0.9964589,1.0539472,1.0688452,0.97747153,0.9657748,1.0434089,0.86323655,1.0677626,0.9783758,1.1155852,0.6985121,0.82119644,0.89219904,1.0468807,0.95511144,1.086432,1.0807819,1.1898265,0.96062064,1.1400206,1.1444745,0.9564075,0.82845944,1.1820608,1.2192727,1.1516771,1.0937414,0.9421654,0.9485487,0.97963715,1.0677783,1.1344267,1.1778743,1.0391912,1.0911654,0.39042825,1.0288949,1.0142404,1.0441337,1.118799,1.2234867,0.99723566
door,0.8337439,1.2265278,1.3934592,1.0850414,0.72929037,1.3395827,1.3343971,1.3962252,1.0817105,0.33423215,0.54976636,1.2575959,0.6269382,0.98158574,0.9364842,0.731031,1.0283309,1.0581446,1.239545,1.1499889,0.73241484,1.4676158,0.933291,1.1331471,1.0727334,0.8641532,1.0603971,1.1693668,0.7173126,0.78982353,1.1837234,0.33943057,1.1409999,0.9586879,1.2710056,0.62160826,0.994715,1.3013498,0.5953537,1.2817972,0.9774059,0.83267945,1.096175,0.0,0.7454972,0.7862296,1.2021263,1.4254179,0.82891333,1.0369776,0.6828928,1.2091267,1.2040403,1.291253,1.0937506,1.3631436,1.2102344,0.8823932,0.8080667,1.2217859,1.1018065,1.2792734,0.6994819,1.2096021,0.89493906,1.3321443,0.774351,0.73833394,1.1821649,0.63173366,1.3985517,0.56995815,1.2985563,0.9119358,1.1384232,0.9857438,0.9049346,1.0633694,0.9686523,0.9997777,1.2743938,1.3925877,1.291877,0.86762214,1.3968909,0.35426903,1.1349199,0.683012,0.5989501,0.79611355,1.3345954,1.3590529,1.2255253,1.0953653,1.1733071,1.2787222,1.2958032,1.2247334,1.1565543,1.286139,1.3602039,1.1181698,1.0983013,1.1966434,0.16633892,0.92630786,0.8688452,1.1630222,0.6114936,1.1235805,0.7342758,1.2427981,0.69714683,0.7664814,1.4416063,0.67103875,1.0854869,1.1049285,0.85684305,1.4326663,1.1006271,0.90187943,0.895021,0.62225986,0.7415967,1.4390213,1.3067865,1.2028409,1.1914341,1.3848011,1.3794279,0.9249528,0.8114162,0.8770828,0.728732,1.3048515,0.5575735
drawer,1.1306523,1.0937004,1.1562628,1.0596614,1.0135736,1.2468001,1.1091654,1.183353,0.7226646,0.6968483,0.9796753,0.90959966,0.6823361,1.1285269,0.92970836,1.0580976,1.1526146,0.874617,1.0501959,0.94132674,0.67185026,1.23874,0.88234776,0.89896494,1.0607773,0.6845331,0.78697145,1.0553348,1.0885912,0.7161556,0.82551384,0.86656743,0.90907776,0.70152485,1.153434,0.9314231,1.0715474,1.1185116,0.91068214,1.051469,0.9235902,1.0831561,1.0469329,0.7454972,0.0,1.1030566,0.98002875,1.2187879,1.1941917,0.920738,1.144387,1.0088308,1.0728623,1.1295302,1.1133062,1.0484492,1.0217656,1.105555,1.0295582,1.1170615,0.9833357,0.90135884,1.1513621,1.1188388,1.027214,1.0982208,1.148652,1.1492112,0.9451445,1.0829865,0.9939571,0.96349084,1.1582422,1.122621,0.9339131,0.992731,0.92515254,0.7376227,0.9691542,1.01625,1.1407877,1.0535127,0.9424841,1.0185324,1.1771548,0.5756365,0.8805152,1.146386,1.1000184,1.0320393,1.0143794,0.946706,1.0699455,1.0219147,0.9984301,1.1677008,1.1388675,1.0008411,1.207911,1.1181006,1.1138499,0.8379244,0.6395532,0.885522,0.7888125,1.0920318,1.0849196,0.7988982,1.1912984,0.9224839,1.0393264,0.8887067,0.98065275,1.0298305,1.0089046,0.99278307,0.9911446,1.1162187,1.0733868,0.99820745,0.9536972,0.7909144,0.89403844,1.1582223,1.0595418,0.9866956,1.1120102,0.8582473,0.8171687,1.041769,1.103385,0.76827264,1.0037409,0.72166,0.6863727,0.97740895,1.0520275
dress,0.809699,1.131847,1.304163,0.99456185,0.9106683,1.3336515,1.1966176,1.2934345,1.1897844,0.94712245,0.68863475,1.0908482,0.8975571,0.69017595,1.0193108,0.59790576,1.0248643,1.079021,1.2095544,1.2477845,0.94863224,1.2707107,1.1195009,1.1926173,1.1017852,1.0482864,1.0464468,0.97544897,0.89973444,0.96836376,1.3013153,0.9041238,1.1766607,1.0846996,1.2026631,0.75216913,0.91261727,1.2528192,0.8406021,1.210515,1.0038555,0.8858379,0.81970507,0.7862296,1.1030566,0.0,1.0610981,1.3133634,0.9512563,1.1219407,0.88157064,1.0978146,1.2075644,1.2136232,0.802098,1.3288183,1.1365961,0.88233274,1.0081505,1.1327822,0.7640917,1.0636406,0.71833414,1.0224549,0.90306,1.0568479,0.8343512,0.7309317,1.1992621,0.5916935,1.2835116,0.80228513,1.3326766,0.8898977,1.0723058,1.0023309,0.64263844,1.0386356,0.966894,0.89533,1.2225047,1.209105,1.1567372,0.89874464,1.2610626,0.846546,0.9777612,0.5516632,0.48759878,0.926622,1.2941214,1.2842848,1.1643717,1.0856991,0.911163,1.1719148,1.1929798,1.2832537,1.1004051,0.9819265,1.2358817,1.0801796,1.1557022,1.2067893,0.74573517,0.88345665,0.60597134,1.1333579,0.6075792,0.99856794,0.75137943,1.22439,1.0253448,0.9605315,1.2026553,0.8034646,1.0341835,0.8058486,1.0997833,1.4029285,1.1083583,0.9603723,0.8103392,0.5480758,0.8763404,1.3801728,1.1054056,1.1094065,1.1595826,1.1490724,1.1396178,1.1745747,0.92903626,0.8580928,0.9806978,1.2370632,0.7995368
ear,1.2902608,0.48521614,0.728417,0.79651797,1.1508248,0.9345649,0.78561056,1.0273818,1.1200366,1.2644582,1.3626943,0.6282285,1.2806145,1.1387534,1.1300915,1.2827394,1.1785285,1.2149262,0.83338845,1.110446,1.2387766,0.8780321,0.85314345,0.9971741,1.1735212,0.83372676,1.0100721,0.8423194,1.2019721,1.0904613,0.8822223,1.2067585,1.0673796,0.9963731,0.99224144,1.2582731,1.0410478,0.79415226,1.3175876,1.0488968,0.9369264,1.2044567,1.1136037,1.2021263,0.98002875,1.0610981,0.0,0.8229754,1.0942881,0.99353033,1.1389934,0.62343675,0.97973526,0.97803885,1.0227798,0.9849935,1.1202005,1.2229145,1.1292703,0.53114486,0.92649555,0.8745682,0.978143,1.0916965,0.92791396,0.77904487,1.124099,1.2642391,1.0626388,1.0652325,0.83823246,1.2827203,0.93606275,1.181635,0.99475545,1.163233,1.106485,0.9342979,1.0778712,0.7297939,0.6240519,1.0253959,0.5766807,0.89236623,0.84236836,1.1275924,0.9558598,1.1528504,1.0429332,1.242364,0.7632066,0.59522086,0.8377847,1.0038455,0.8834214,1.1339144,0.8177881,1.1659515,0.94006497,0.7382041,0.7482387,1.2374017,1.0214093,0.9969756,1.2115983,1.1161911,1.0332217,1.0708829,1.176335,1.0048703,0.97001505,0.8939563,1.2078335,1.2559248,0.5812522,1.1747068,1.0759878,1.0080552,1.0224931,0.7913667,0.5193566,0.970951,0.8701073,1.0686221,1.3442708,0.86677766,0.47408348,0.72421455,1.0131148,1.0083268,1.090337,1.2185717,1.1782397,0.84630656,0.91948795,0.46806163,1.2887022
egg,1.4342582,0.68433154,0.3664838,0.9204591,1.2154965,0.18738282,0.30685318,0.57650405,0.99612063,1.3762554,1.453595,0.8711908,1.3436605,1.2375231,1.1395556,1.3402343,0.9968671,1.1837361,0.65699613,0.8835186,1.3343507,0.44501197,0.9461948,0.84071815,1.0640403,1.0090568,1.0309405,0.80054045,1.3105013,1.208601,0.682657,1.3351817,0.9314672,1.099271,0.6811518,1.4091022,1.1617113,0.62225574,1.3615394,0.71155876,1.0335921,1.2852712,1.0727696,1.4254179,1.2187879,1.3133634,0.8229754,0.0,1.2312944,0.8997766,1.2375145,0.66538084,0.84447515,0.74094546,1.0924301,0.71855074,0.98882663,1.2320105,1.2123802,0.74573296,1.0908358,0.8227956,1.254678,0.8484151,1.091662,0.6282903,1.3775316,1.2562884,0.8950873,1.3466663,0.6815653,1.3944495,0.62607265,1.2332639,0.85559976,0.98239255,1.2747612,0.9749826,1.3104484,0.96770203,0.46311593,0.706733,0.7487664,0.99512637,0.35889453,1.3957406,1.0271791,1.36748,1.4008714,1.3178555,0.68322605,0.67689997,0.8622732,0.8706496,0.95645267,0.75429296,0.76393914,0.8127128,0.92921793,0.6908405,0.27870065,1.0842603,1.075594,0.8182956,1.4770808,1.1905248,1.270183,0.97670335,1.3657352,1.1526845,1.1380543,0.7496549,1.1979145,1.2392226,0.6061084,1.2505746,0.943487,1.0364373,1.0521679,0.59647185,0.948991,1.1211982,1.362792,1.4007442,1.2893322,0.4939406,0.5306051,0.9362669,0.9713173,0.7167818,0.6799712,1.1114192,1.2388114,1.1821034,1.2367342,0.6469246,1.2867749
elephant,0.65598476,1.2064861,1.2097412,0.97537225,0.90083516,1.204102,1.1833246,1.142691,1.1435133,0.79193664,0.7154882,1.1758553,0.9614831,0.9766057,1.0265898,0.8053024,1.0224991,1.0864611,1.2416046,1.1868416,1.0582972,1.1173358,1.0826118,1.2718617,0.9666966,1.1947873,1.1353437,1.0612646,0.51638544,1.0961354,1.2221934,0.6285572,1.0382049,1.2234809,1.0648966,0.7800386,0.9837953,1.1459868,0.8434341,1.2388096,1.119118,0.5669737,1.1142606,0.82891333,1.1941917,0.9512563,1.0942881,1.2312944,0.0,1.0343099,0.78611314,1.0848789,1.1262276,1.2300369,1.0357287,1.1554745,1.1013052,0.9297052,0.9942244,1.0511627,1.1192782,1.2149076,0.76301074,0.96928,0.9511985,1.1066389,0.54117966,0.696196,1.1748425,0.6981214,1.138489,0.89583266,1.2307377,0.7271041,1.1340287,1.1182616,1.0407022,1.0630467,0.91247153,1.0257448,1.0976877,1.1529517,1.173362,1.0609546,1.2389289,0.96731174,1.1022179,0.66430444,0.76617426,0.85909814,1.1393772,1.1790773,1.0867416,1.0965271,0.92393863,1.0965437,1.2191365,1.1539018,0.78359205,1.0486193,1.2121006,1.115846,1.1488377,1.1829287,0.83590126,0.8767209,0.95321596,1.1448605,0.6037179,1.0307304,0.92571026,1.2082098,0.82041585,0.75042653,1.2292645,0.7702985,1.1225312,1.0542601,0.95919025,1.1744277,1.1759346,1.1124752,0.9402002,0.64670515,0.89605993,1.2249486,1.1346878,1.1130214,1.1399229,1.1626654,1.2711662,0.9865481,0.9423644,1.1835852,1.0398568,1.2247474,0.87384087
eye,1.0268911,0.94380426,0.88860816,0.9728752,1.0666182,0.80040526,0.8691981,1.0521113,1.1485207,0.9237883,1.0893171,0.9832715,1.103515,1.0921013,1.0355072,1.1370778,1.0390556,1.086184,1.1065366,1.0874261,1.1159333,1.1132504,1.0600802,1.0848318,0.96190923,1.0922039,0.8302702,1.0555475,0.9857586,1.2037988,0.7147578,1.0444094,0.96464986,0.9626128,0.8920273,1.1121488,1.0203224,1.0630964,1.09851,1.1024863,0.69644725,1.0067129,0.9610847,1.0369776,0.920738,1.1219407,0.99353033,0.8997766,1.0343099,0.0,0.9290503,0.9521841,0.9621295,0.9788621,1.1176045,1.1109796,0.81312025,1.0479224,1.0765097,0.9160296,1.089402,0.8810324,0.9938188,1.1315775,1.0459206,1.0153799,1.050447,1.0381892,0.97810775,1.0162989,1.1415274,1.1862904,0.9951261,1.0804338,0.9703282,1.0841191,1.0988859,0.868641,1.0073119,0.9918349,0.8269789,1.1490777,0.9922496,0.9032375,1.0335703,1.0275681,0.6479516,1.0966177,1.1281856,1.0440049,1.0484024,1.0533243,1.0911944,0.828584,1.1900115,1.0542352,1.0784686,1.0185146,0.9415281,1.0949765,0.9175266,1.2069092,1.0638707,0.9189825,1.0540645,1.0874206,1.1938417,1.0242295,1.0439479,1.0435303,0.9762877,1.1893477,0.91430974,1.0897477,0.9810232,1.0699447,1.0263803,1.12482,0.88977623,1.0494342,0.8196543,0.993949,1.128217,1.0520613,1.0328306,0.84994954,0.9541294,0.9573866,0.92787075,1.1673927,0.88314706,0.9391666,0.97016954,0.9388386,1.1352608,0.9490918,1.0224444
