,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
couch,0.8862326,1.1836102,1.4360472,1.2475295,0.66206175,1.3111973,1.3500977,1.3046075,0.8367628,0.5819525,0.09951973,1.2313424,0.28388464,0.8144706,0.98762524,0.4492687,1.0366641,0.95385855,1.2907298,1.1161256,0.60255253,1.3709577,0.88041055,1.181247,1.1316575,1.0108825,1.0305202,1.4454758,0.80735457,0.3454728,1.0861818,0.4298154,0.8847414,1.142489,1.019258,1.1100018,0.0,1.1567891,1.4069743,0.32135236,1.1980772,0.8736872,0.80333793,0.827499,0.7208624,0.52943194,0.758812,1.2073983,1.1204886,1.3933022,1.0189329,0.9584374,1.2652681,1.1785544,1.1799555,1.0070466,1.3686129,1.1810875,0.9697038,0.8463676,1.2795818,0.9783068,0.9763624,1.4209805,0.86050713,1.1644539,0.9826655,1.2856563,0.8161385,0.7008107,0.46610934,0.86408734,0.6307032,1.2310661,0.46775043,1.168879,1.1094832,1.131307,1.0346037,0.9570647,0.8841289,0.897438,1.2520418,1.2854546,1.3950388,0.8943638,1.3222452,1.2118129,1.381243,0.5858467,1.1682453,0.67149454,0.594663,0.8825227,1.0983746,1.3210226,1.3366793,1.115777,1.2988237,1.1426762,1.0240672,1.0823774,0.94789475,1.1297047,0.9812045,1.3462272,1.2396368,0.7381413,0.94774604,1.1478994,0.65448844,1.1220554,1.1231706,1.1819968,0.7631866,1.3210292,0.7137485,0.92027557,0.93442094,1.0878414,0.81533,0.7790549,0.68593967,1.3528416,0.9721271,1.4169888,1.1072112,1.0869392,1.3049653,0.98978865,1.2268325,0.7366377,0.72887105,0.6980146,1.4453574,1.320627,1.3745646,0.9642477,0.7786913,1.1366913,0.8064523,0.7450607,0.9008212,0.9541116,1.3827851,0.62390625
cracker,1.0975732,0.97851104,1.0952063,0.87018514,1.0161064,1.1406951,1.1409693,0.7886963,0.6606469,1.1189831,1.1986858,1.0787767,0.93976957,1.1749414,1.1020887,1.1706529,1.0793041,0.78716826,0.9482074,1.1233017,0.7973601,0.8367862,0.80431485,0.8685646,1.0053941,0.894519,1.0854478,0.96683353,1.233628,1.1217552,1.05547,1.1069605,0.90664357,0.9971239,0.81202376,0.90258926,1.1567891,0.0,0.8307278,1.1606375,0.94680417,1.1233046,1.2066168,1.1448882,0.8373658,0.7667947,1.1380132,1.0035449,0.89331096,0.97490245,1.1101061,1.19572,0.8900652,1.0756757,1.0309948,0.8924008,0.7599609,1.0843147,0.89190704,1.2452419,1.0209323,1.0363466,0.92912894,0.8820253,1.1406823,1.1512862,1.0134524,1.1023557,1.1752334,1.0868447,1.1492479,0.983324,1.1686981,0.8069695,1.0221661,0.9434583,0.84950185,0.9139443,1.1073661,0.8295386,1.1576378,1.1694701,0.8936422,0.94827783,1.0512433,0.7343109,0.7944621,0.9188642,1.0208265,1.0830618,1.101813,1.1684152,1.1232107,0.8688989,1.0979986,0.8734633,0.83969635,1.0006026,1.0425947,1.0467762,0.9071455,0.97606295,1.0509068,1.0366699,0.906043,0.9313834,1.1179533,0.97294194,0.97341603,0.91661763,0.9927301,0.9734941,0.94450474,0.9179777,1.0570165,0.67035437,1.2373817,1.0055723,1.021958,0.77948326,1.0584587,1.1273018,1.2355908,0.9716969,1.1138608,0.8236767,0.8140204,0.9860776,0.85061675,1.2209176,0.95263445,1.0060055,1.1340504,1.1392341,0.98626834,0.86229944,0.93359995,0.9150549,0.7696417,1.0923581,1.0818553,1.1045334,1.0993654,0.8320379,0.7841427,1.1182373
crayon,1.4661433,0.8909,0.40284586,0.94571334,1.4571857,0.76065224,0.5392539,0.40869582,0.8046003,1.5146005,1.5288035,0.19705933,1.2611492,1.5497633,1.2537566,1.464028,0.8965113,1.1782715,0.2450127,0.7343591,1.306984,0.4637959,0.72843945,0.6421877,1.1024947,0.498852,0.5130473,0.27880967,1.2526956,1.3687074,0.9939616,1.3820264,1.0781782,0.956213,1.0795178,1.2251385,1.4069743,0.8307278,0.0,1.5306568,0.53329766,1.4714768,1.4388845,1.5064261,1.0345364,1.0847336,1.4003302,0.90987414,1.0310328,0.72177505,1.1078801,1.2914429,0.79765195,1.0020643,0.71110106,1.0522597,0.2661134,1.1941003,1.2754272,1.5566138,0.5583441,1.1959894,1.0723608,0.77838695,1.2921671,1.0224539,1.3726604,0.36875308,1.1482671,1.3669004,1.3664151,1.1032985,1.4672604,0.20968819,1.3959622,0.35437799,0.6174296,0.980367,1.311106,1.1572688,1.5401088,1.125253,0.67623305,0.9535836,0.20651126,1.020003,0.5143165,0.5407722,0.6045569,1.3370632,1.1530303,1.4930925,1.459744,1.450793,1.1345394,0.040047884,0.038196743,1.0664074,0.35484773,1.0905974,0.4209156,1.2478784,0.9187273,0.84092,1.1264337,0.53287125,0.6884847,1.3756009,0.84780127,1.0469989,1.3678063,0.9950901,1.0211036,1.0123675,1.2110003,0.7261931,1.4377677,1.1070137,0.98709947,0.76564586,1.1921465,1.2157648,1.4075246,0.19021845,1.1412382,0.23585773,0.7864006,1.2741189,0.54177797,1.3412147,0.83478135,1.3071651,1.4386132,1.5335596,0.5301425,0.55467397,0.6760358,1.192524,1.0030955,0.96414465,1.5288119,1.1803195,0.94775903,0.56717294,0.39534712,1.1450881
crib,0.7639486,1.1313666,1.5590119,1.2657235,0.50277656,1.472664,1.5342869,1.41184,0.81032693,0.39225823,0.21051049,1.36499,0.34661508,0.6780117,0.9442066,0.47766787,0.95063066,0.77839947,1.4311104,1.2057785,0.447569,1.5461224,0.9013812,1.2263521,1.0621943,1.1483312,1.0859929,1.5555077,0.6717639,0.30676603,1.0721333,0.22779155,0.8392476,1.2346504,0.9275214,1.1121246,0.32135236,1.1606375,1.5306568,0.0,1.3398776,0.7562355,0.7631358,0.83993936,0.6246962,0.6372391,0.6807926,1.2127671,1.0565233,1.5334738,0.98003125,0.8664589,1.3882425,1.1687593,1.2797359,1.1592115,1.5097294,1.1653473,0.81567085,0.64478743,1.3633952,1.165737,0.9128289,1.4840969,0.8667598,1.0733192,0.9270053,1.5102406,0.82833207,0.4237815,0.56995815,0.8820323,0.5085182,1.341717,0.29193044,1.3201536,1.2294077,1.1791909,1.060114,0.92699265,0.8624699,0.7998772,1.21061,1.3110653,1.5337231,1.0438819,1.4337871,1.3891579,1.4775996,0.45694625,1.0846367,0.53477657,0.52298266,0.60517913,1.035052,1.4692942,1.4797436,1.1515329,1.335298,1.1102823,1.3082786,0.92153895,1.0504417,1.1147008,1.042193,1.5038228,1.3731625,0.61574423,1.0857476,1.1561391,0.5003493,1.285686,1.1701826,1.2350314,0.75863016,1.241172,0.58634746,1.0569892,0.9723323,1.1616898,0.5900361,0.71012294,0.43097234,1.5370505,0.7548311,1.540395,1.2119436,1.0600121,1.4961668,0.9086254,1.2601007,0.63981,0.56875986,0.42528576,1.535522,1.5070753,1.3488755,0.7769114,0.9835035,1.2308582,0.63446623,0.78166634,1.0246866,1.058712,1.4837592,0.64948636
cup,1.4644494,1.1583698,0.6101073,0.97697186,1.4577934,0.691632,0.5067937,0.75968134,0.78091484,1.3109268,1.3530576,0.5911906,1.1523427,1.4847208,1.2211607,1.4387889,0.9538673,1.1270046,0.22889638,0.37149465,1.1083528,0.6399542,0.87148875,0.2025764,1.1786867,0.35293126,0.7105761,0.69064355,1.3981011,1.1852653,0.804228,1.2097511,1.1230615,0.6437464,1.0379376,1.003582,1.1980772,0.94680417,0.53329766,1.3398776,0.0,1.0899513,1.4060669,1.3299766,1.0039551,0.9251877,1.3742642,0.90078723,1.237273,0.6278174,1.153142,1.2824328,1.04242,1.2816079,0.7359464,1.1205913,0.67605567,1.2576785,1.2595927,1.1573051,0.87427306,1.2052591,1.1366991,0.8387766,1.3030062,1.1949977,1.376833,0.51486915,1.1677654,1.4122722,1.301336,0.74704516,1.5217834,0.58555394,1.2142625,0.48340082,0.777292,1.0129443,1.186121,0.69637656,1.391644,1.1322412,1.0102403,1.1129448,0.5065956,0.8704106,0.9192575,0.7056956,0.60828775,1.1631131,1.129615,1.537645,1.4438628,1.393004,1.1795173,0.520525,0.5564317,1.0499456,0.73774016,1.0301113,0.6389204,1.277759,0.5889387,0.72106427,1.1338984,0.6071273,0.7409208,1.2017497,0.4874246,0.99501485,1.0843104,0.7349797,1.0596317,0.6874355,1.1374556,1.1334707,1.4427271,1.0070734,1.2658904,0.7885612,1.2248411,0.9607563,1.390896,0.6070369,1.2680199,0.584424,0.98925775,1.0729384,0.5951296,1.0756192,0.8726809,1.2177074,1.4075568,1.3549736,0.40953767,0.8366041,0.8345046,1.2519379,0.9197687,0.77608323,1.2256582,1.1193738,0.7632481,0.5521998,0.80977356,1.0870738
dish,0.86996067,1.1749429,1.222673,1.0353048,0.8341858,1.0575699,1.2035341,1.2878109,1.1666794,0.59621584,0.8013402,1.4325213,0.8777534,0.884522,0.9484276,0.8885609,1.0443943,0.7932645,1.3927422,0.6045837,0.7136874,1.2497975,1.1866118,1.154559,0.9503903,1.3018508,1.2381401,1.3872952,1.0474025,0.87940013,0.7473912,0.86179096,1.1692371,0.92671734,0.8400792,0.7322724,0.8736872,1.1233046,1.4714768,0.7562355,1.0899513,0.0,0.9245415,0.7451283,1.0752167,0.8908015,1.0326641,1.0630674,1.2289791,1.0228901,0.99788725,0.90809244,1.2506721,1.0458071,1.1072611,1.2288384,1.3474069,0.9752591,0.9914186,0.41623974,1.3314338,1.0741985,1.1178861,1.0322099,1.0553991,0.97238535,0.8532785,1.5011345,1.0630581,0.90244955,1.0828422,0.9783059,0.9657835,1.2760892,0.7877316,1.3055811,1.2640315,0.83456516,0.7722539,0.9096521,0.77795607,0.9132279,1.1930666,0.9168899,1.4169661,1.0059761,1.4161906,1.3640609,1.0444325,0.7385707,0.969254,0.91023,0.98348546,0.73399574,0.91577286,1.4417546,1.4332078,1.084082,1.2705913,0.9693969,1.5004263,0.7129748,1.0373639,0.40658903,1.0584986,1.2330694,1.2272297,0.91991174,0.9043189,0.690209,0.73907006,0.94792026,1.1278236,0.630812,0.95874214,1.1321815,0.9665246,1.0487472,1.3127863,1.0206062,0.8790524,0.47717053,0.8447615,1.4834361,1.0283697,1.314139,1.3025671,0.5519984,1.0275975,0.48537755,1.1031355,0.9283299,0.8852052,0.5898196,1.0759313,1.3905301,1.14212,0.84152895,1.1061885,0.9346931,0.14142734,0.8893415,1.0899959,1.2513498,1.4545513,1.030918
dog,0.2876895,1.1590135,1.349456,1.1474104,0.80312,1.1669081,1.3420306,1.2757628,1.1950233,0.80174536,0.65418094,1.3368993,0.9655641,0.58241254,0.6100321,0.5871953,1.0033809,0.9039493,1.4268737,1.3587475,0.97415066,1.2708551,1.292351,1.3746219,0.721807,1.4144843,1.1809846,1.3633589,0.50851464,0.90789783,1.0069963,0.926963,1.084731,1.2230123,1.0118352,1.0086279,0.80333793,1.2066168,1.4388845,0.7631358,1.4060669,0.9245415,0.0,0.36411834,1.1927513,1.1642308,0.7809181,0.9768707,0.96107656,1.3482358,1.0311308,0.7706655,1.1847391,0.6869988,1.1233194,0.9523608,1.3750479,0.49224615,0.72878444,0.85300934,1.1826704,0.69363666,1.0231438,1.1948674,0.8445705,0.9135262,0.87744534,1.317333,0.6974999,0.8196709,0.8576283,1.1236457,0.65236765,1.3812623,0.8700787,1.4776453,1.2705805,1.0068115,0.8247477,1.0983585,0.53906167,0.8989141,1.2084205,0.93441534,1.3759449,1.12182,1.3383095,1.2838972,1.3123654,0.95921725,0.781468,0.6398191,0.7299216,0.74288905,0.82419837,1.4021609,1.4029074,0.6870773,1.2620854,0.5939258,1.2886608,0.7601482,1.144158,1.241856,0.7687446,1.3345442,1.1228185,0.8158594,1.2042872,1.0823874,1.0354583,1.1862366,0.6914067,1.197123,0.91377676,1.0352197,0.74537224,0.8715422,1.0541602,1.1837199,0.94098,1.0738236,0.67003953,1.314568,0.8391962,1.4266014,1.1891317,1.0461025,1.3423369,0.8574852,1.1141196,0.7771471,0.714863,0.66142005,1.3355976,1.2856274,1.2344612,0.9712665,1.0959907,0.8684305,0.83934176,0.9164029,1.0800776,1.3552804,1.3200719,1.0781444
doll,0.4772206,1.041624,1.2341008,0.9382048,0.8189549,1.0305518,1.2497241,1.3230758,1.1865077,0.907,0.7440917,1.5316167,1.0425345,0.55207,0.6708984,0.71314,1.0914903,0.85975957,1.4205604,1.3171263,0.866523,1.2324214,1.337301,1.278846,0.80793035,1.4697485,1.3328624,1.278181,0.8661164,0.8777855,1.0661058,0.9907741,1.1233721,1.13122,1.0850532,0.98734796,0.827499,1.1448882,1.5064261,0.83993936,1.3299766,0.7451283,0.36411834,0.0,1.2814708,1.1614743,0.82273674,1.0571573,0.9775115,1.151568,0.8931003,0.80303717,0.94190645,0.7309825,1.0288848,0.82082474,1.4329656,0.5034733,0.8484204,0.74345845,1.1823176,0.49945718,1.1993841,0.8722893,0.7943976,1.0298545,0.60610026,1.3127503,0.99972695,0.8651376,0.9602161,0.9438638,0.787607,1.4489484,0.8006872,1.5135853,1.2845483,1.0412335,0.7130847,0.9460329,0.3077401,0.92956483,1.1415201,0.93438685,1.3548265,1.0865824,1.260211,1.2377867,1.2434226,1.0926334,0.7208787,0.64996624,0.83042634,0.781584,0.8084784,1.5173718,1.5007095,0.8092568,1.3705091,0.7601627,1.3846703,0.787157,1.117961,1.1874044,0.8816621,1.3163104,0.9972217,0.8774655,1.1604598,1.0335699,0.9947476,1.0430555,0.75080866,1.0832978,0.96357036,1.0105963,0.8492322,0.87884873,1.0709641,1.1320059,1.1408498,1.138439,0.8220338,1.3671513,1.1672599,1.4339621,1.0323517,0.8118243,1.1926224,0.72821546,1.0497465,0.7689608,0.8109453,0.68801713,1.2754862,1.1207358,1.1083945,0.85043746,1.1007457,0.6537298,0.70059943,0.9059168,1.0930686,1.4058154,1.3086904,1.1515331
door,1.171877,1.0965134,1.2298014,1.2148762,0.90802526,1.2641103,1.1245067,1.0349617,0.6959885,0.76970017,0.7891965,0.9530954,0.50135887,1.1714178,1.134118,1.0018702,1.0151983,0.9094808,0.95171857,1.0311236,0.6881875,1.2016058,0.41872495,0.81978405,1.1641212,0.6715207,0.90095806,1.2213223,0.8390829,0.6887368,0.9845051,0.38365948,0.721666,1.1354692,1.0162098,1.1477603,0.7208624,0.8373658,1.0345364,0.6246962,1.0039551,1.0752167,1.1927513,1.2814708,0.0,0.5309361,0.96314067,1.0175897,1.1986245,1.263155,1.0548992,1.1669616,1.2479974,1.2710841,1.0627105,1.2095873,1.0872492,1.2025458,0.9749795,1.0159477,1.243495,1.3305085,0.83696043,1.2995974,1.1048049,1.2442,1.1686337,1.1496098,0.951365,0.82694125,0.74294335,0.86789334,0.97771364,0.9304079,0.7090297,0.8708638,0.9645639,1.1301531,1.1770425,0.8610541,1.2984961,0.9718416,1.1389856,1.3797393,1.2328811,1.0149946,1.1206715,1.045199,1.192965,0.5424945,1.1308488,1.0273491,0.8643426,0.9588599,1.1094339,1.0110639,1.0239171,1.0435588,1.0188526,1.1235539,0.8913448,1.1980293,0.8741943,1.0373293,1.0918494,1.1678203,1.1420768,0.9970815,0.90501344,1.185096,0.23373067,1.0853553,1.1342244,1.1444241,0.95546925,1.0558335,0.9956083,1.2057905,0.9757781,0.9820323,0.6272838,0.7862996,0.91013765,1.2238809,0.78058183,1.1242794,1.0197555,1.0515404,1.10774,1.1547202,1.1152064,0.8727628,1.0140238,0.9775009,1.2256474,1.2495024,1.142849,0.81955045,0.94270146,1.1409197,0.9803779,0.89186573,0.90469164,0.51389915,1.193017,0.4214114
drawer,1.1189332,1.1767734,1.2039287,1.2466778,0.88700676,1.1793712,1.144518,1.0345967,0.6288768,0.68740124,0.6743638,0.9942179,0.20127583,1.159486,1.0765547,0.899587,0.9933888,0.74649185,1.0774115,0.80507326,0.3479548,1.1851295,0.7192758,0.9240393,1.12436,0.7347715,0.9230027,1.2990754,1.1241455,0.7259847,0.94536877,0.63556063,0.96670604,0.95535445,0.89085835,1.0251275,0.52943194,0.7667947,1.0847336,0.6372391,0.9251877,0.8908015,1.1642308,1.1614743,0.5309361,0.0,1.1643627,1.047582,1.2942336,1.167783,1.2280605,1.1699853,1.2130756,1.2212925,1.1257647,1.0570451,1.0078958,1.2366831,0.99049467,1.0556167,1.2437865,1.185879,0.9636321,1.2336334,1.1355743,1.2484996,1.1320001,1.1926464,0.99742955,0.95639306,0.9006207,0.9118648,1.1075809,0.8578986,0.6959596,0.89975154,1.0584135,0.9754093,1.0579504,0.8514658,1.1690285,1.0029159,1.1991122,1.2379049,1.2618388,0.67727137,1.1954113,1.0907602,1.1113755,0.5589008,1.2045532,1.1133596,1.0511764,0.84349537,1.138511,0.9932441,0.9999756,1.0389873,1.1027882,1.0147271,0.9156602,1.14324,0.89129084,0.93487674,1.0006983,1.2319962,1.1662636,0.85887635,0.64166576,1.0217403,0.5615077,0.9859071,1.190679,0.88915235,0.95921946,1.1023223,1.1623548,0.9773224,1.1317005,0.8598671,0.88327366,0.62081677,0.98884964,1.1879272,1.0484717,1.0901653,1.0858685,1.0437404,0.99838454,1.1062583,1.0309423,0.96965164,1.0605137,0.9540692,1.1512327,1.2486331,1.2434858,0.9752609,0.6707005,1.0688123,0.83952916,0.9486127,0.92390287,0.7198428,1.2418004,0.7530294
dress,0.86564076,0.86956775,1.3566315,1.0552852,0.4856702,1.3339802,1.3888941,1.2981997,1.2083184,0.7306129,0.6624191,1.2703443,0.9444432,0.5153309,0.91602474,0.68344516,1.0150272,1.09007,1.3147082,1.3931082,1.0282141,1.2963895,1.096884,1.3066188,1.0784819,1.2075971,1.1696739,1.226765,0.69290555,0.68110335,1.1513982,0.75928473,0.7811198,1.270184,1.0437241,1.0046849,0.758812,1.1380132,1.4003302,0.6807926,1.3742642,1.0326641,0.7809181,0.82273674,0.96314067,1.1643627,0.0,1.1939924,0.8103986,1.2641997,0.9143696,0.74881124,0.9548675,1.1395934,1.2084602,0.8797557,1.398101,1.1399074,0.85895026,0.7967316,1.0878518,0.92837256,0.98052686,1.3209893,0.625135,1.0234874,0.6891333,1.2409955,0.7965559,0.58990365,0.48745358,1.0318569,0.30106813,1.3390169,0.73934686,1.3988256,0.9704919,1.2018064,1.0895898,1.104222,0.81147265,0.9088288,1.1155343,1.169377,1.2880076,1.1693487,1.0567285,1.1770169,1.3432518,0.7324723,1.0965006,0.39771664,0.27948833,0.7915206,1.0312945,1.387825,1.3953444,1.1969993,1.2080112,1.1022364,1.182717,0.98755944,1.2319903,1.2813766,0.97339535,1.25415,1.2563133,0.70251644,1.3119483,1.1273913,0.8579465,1.2036443,1.007954,1.3463323,0.9765201,1.2322192,0.18048024,1.042921,0.46559912,1.112008,0.7677481,1.0458826,0.5839716,1.303457,0.8109395,1.3380705,0.9352512,1.1182064,1.3702896,0.9707686,1.1413598,0.7691151,0.39709723,0.7300513,1.5128076,1.05575,1.1641684,0.84500974,1.1332372,1.3533497,0.9518441,0.89052385,1.0648099,1.2134517,1.1763952,0.856951
duck,0.92682725,1.100152,0.929531,1.0414156,1.2512671,0.88650924,0.84366405,0.8369264,1.0480415,1.1449896,1.2507272,0.9576874,1.1724796,1.1504825,0.62885845,1.2375007,0.98222303,0.93760043,0.9543207,0.98227113,1.0313091,0.9768093,0.96893483,0.9283829,0.7078163,0.96577436,1.0357326,0.9825052,1.1198772,1.1691512,0.86460406,1.1762723,1.1130235,0.83585596,0.9545246,1.0362921,1.2073983,1.0035449,0.90987414,1.2127671,0.90078723,1.0630674,0.9768707,1.0571573,1.0175897,1.047582,1.1939924,0.0,1.2127159,0.94893044,0.9746586,1.1319928,1.1206044,0.7855237,0.91827995,1.1541352,0.88744783,0.7120492,0.94300544,1.2066545,1.0448357,1.0612782,1.0808032,0.94891936,1.1951537,1.0452785,1.1908352,0.9375009,0.8020338,1.1927059,1.2522147,1.0377232,1.272263,0.9026191,1.1624517,0.95458454,1.0170661,0.98357505,1.045195,1.0296304,1.1383563,1.0769267,1.066707,0.9825224,1.0227644,0.9442078,1.0901308,1.0692255,0.91079503,1.1016488,0.8181263,1.2671192,1.2840593,1.0714474,1.0282596,0.91278076,0.9140834,0.39053982,0.9303242,0.8882996,0.9939429,1.0619596,0.90607846,1.0302845,0.81405276,0.9419098,0.9463654,1.1542542,0.9327278,1.0486094,1.0440007,0.9751214,0.87196445,0.8461045,1.1809132,0.72454166,1.2053957,1.0592004,1.148604,0.86259264,1.0980042,1.0237733,1.2032291,0.9551621,1.0620117,0.93266,1.0497332,1.1308081,0.8223647,1.0297391,0.9385611,1.0536463,1.188426,1.1669406,0.74609315,1.1293008,0.8202684,1.0426292,0.9698923,0.8103782,1.0467525,1.0807526,0.98099583,0.9183696,0.9683109,1.0768268
ear,1.0365082,0.5713099,1.0806729,0.7239361,0.77584386,1.1807206,1.2419628,1.0868986,1.0706265,1.1042349,1.0845461,1.0885322,1.1904137,0.78935635,1.0708572,0.9807929,1.178432,1.1890663,1.1246431,1.3611716,1.1481652,0.8973845,1.085754,1.2186304,1.1720291,1.081244,1.236223,0.7693167,0.8758127,0.9939231,1.2845054,1.1307479,0.63759136,1.0124862,1.0383832,1.076112,1.1204886,0.89331096,1.0310328,1.0565233,1.237273,1.2289791,0.96107656,0.9775115,1.1986245,1.2942336,0.8103986,1.2127159,0.0,1.071178,0.9817668,0.7152136,0.5623236,1.1190832,1.1949522,0.71947587,1.0247377,1.1440148,0.96744186,1.1149287,0.6021935,0.86642647,0.9127396,1.0523822,0.70821667,0.94375235,0.6121664,0.88618094,1.0300536,0.83678484,0.87249684,0.9920206,0.7634459,1.1288391,1.1104983,1.1399778,0.7847572,0.9877172,1.1100944,1.1760442,0.8720803,1.1140807,0.5463021,0.7358961,0.86681867,1.097772,0.49337763,0.8594494,1.1928577,1.1161677,1.0582803,0.74707544,0.7229086,1.0306342,1.0399635,1.0654888,1.0442824,1.2029808,1.1319479,1.0266495,1.0058266,0.9631611,1.3036302,1.264715,0.950868,0.9757686,1.0381947,0.8049165,1.3520316,0.9930576,1.2627017,1.256136,0.90447456,1.2343659,1.0158684,1.0351418,0.79722196,0.95698667,0.60826397,1.0983288,0.98731965,1.2336028,1.1267331,0.82818806,1.0330359,1.0487876,0.8371592,1.0891099,1.1344955,1.1387455,1.0952781,0.9679909,0.7776761,1.0804904,1.1835938,0.55346656,0.93431735,0.962331,1.0999634,1.3390751,1.1929724,1.184652,1.274518,1.2126299,0.6429553,1.1564095
egg,1.3866045,1.0327265,0.32754028,0.7317679,1.3761139,0.26958537,0.26098502,0.71947277,1.1514685,1.3387051,1.459206,0.8606761,1.4047337,1.2620524,1.1736761,1.4519371,1.0725664,1.2408574,0.6697467,0.6912189,1.3377429,0.58939266,1.1177168,0.79953504,1.1684192,0.9860934,1.0190482,0.59119314,1.3454198,1.4695665,0.9191493,1.3771088,1.2736435,0.58718866,1.1038433,0.5652724,1.3933022,0.97490245,0.72177505,1.5334738,0.6278174,1.0228901,1.3482358,1.151568,1.263155,1.167783,1.2641997,0.94893044,1.071178,0.0,0.8432351,1.1267544,0.77005017,1.0868102,0.8879721,0.98653805,0.75371015,1.1028756,1.1879629,1.0781705,0.81743526,1.0397708,1.0724397,0.54491854,1.1209239,0.9471287,1.1571689,0.6060833,1.1853132,1.4871596,1.3667915,1.133353,1.395492,0.8477699,1.4092084,0.65435994,0.81813383,1.0201246,0.7552886,0.9735421,1.1383225,1.2472421,1.0118175,0.8845507,0.50490797,0.97624123,0.8430896,0.66158843,0.19184339,1.3692794,1.0401361,1.423079,1.3965516,1.2924321,0.98547804,0.7724545,0.7585852,1.086908,0.8308182,1.0177277,0.9251081,1.1721334,0.9985191,0.84822047,1.1161729,0.40838444,0.63617545,1.4263642,0.93093276,0.9084809,1.2758126,0.6297803,1.142027,0.6430968,1.201025,1.0417249,1.2836857,1.1457242,1.1611189,0.88970774,1.3194363,1.1434569,1.3745589,0.7330481,1.2200642,0.4409641,1.0221455,0.882812,0.6999593,0.9227971,0.7985923,1.4815047,1.2977304,1.3251152,0.43293482,0.6684775,0.77089995,1.2425785,1.1037846,0.79100466,1.2159284,1.2031559,0.9050258,1.0069944,0.8317322,1.2384022
eye,1.0610955,0.83772624,0.94862485,0.8979947,1.0557021,0.9437321,0.89763343,0.9039502,1.0150486,1.0966313,1.0014399,1.1097013,1.166373,1.0171119,0.84221953,1.0716273,1.1207544,1.0841311,1.1042935,1.1419156,1.0434074,1.007247,1.034524,1.123715,0.9524969,1.1830237,0.93661606,0.9604821,0.9725027,0.94709295,1.0248388,0.9760059,1.0574622,0.84144586,1.1227477,0.9152822,1.0189329,1.1101061,1.1078801,0.98003125,1.153142,0.99788725,1.0311308,0.8931003,1.0548992,1.2280605,0.9143696,0.9746586,0.9817668,0.8432351,0.0,1.0060744,0.98392594,0.7443255,1.0952736,0.9639972,1.1156403,0.9664318,1.1265326,0.81637543,0.919531,0.9675597,1.07511,0.75076413,0.9163953,1.0440004,0.95687497,1.0019592,1.0658234,0.9823157,0.99497557,0.9909962,0.8702549,1.1825051,0.9158771,1.0789679,1.2154238,1.0674702,0.9569792,1.0582136,0.988044,0.77825356,0.96961296,0.9368969,0.9705529,1.215948,1.0846802,1.0211084,0.90184957,1.0654153,0.957934,1.0210791,0.95800334,1.0422482,0.96169007,1.1421369,1.1588078,1.027615,1.0605817,1.1441021,1.1493813,0.8291669,1.2259562,1.0377351,1.0392828,0.9410004,0.9973619,1.0688587,1.102123,1.0766705,0.94375825,1.099762,0.96961385,0.9920224,1.1842847,0.8264638,0.9870304,1.0468957,0.8883825,1.2025974,1.1598554,1.1188867,0.9295972,1.0123847,1.0381719,0.9170435,0.9957728,0.8401345,1.11921,0.9930667,1.0488778,0.91836125,1.0415249,1.0583174,0.88712907,1.0246825,0.7500331,0.88158965,1.2266909,1.0167205,1.0491384,0.8821816,0.958235,1.247778,1.0958147,0.9693911
