,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
crayon,1.3564701,0.57114804,1.1305325,1.382812,0.76081663,0.7689276,0.6149428,0.6909723,1.5308518,1.3595536,1.5214908,0.45001477,1.126593,1.470752,1.3301499,1.500686,1.0424248,0.27490437,1.000206,1.2076061,0.88586104,0.36765242,0.4195994,1.1866117,0.679626,0.8522763,0.62991637,1.4396616,1.3196315,1.0885066,1.0470042,1.5021529,1.0574021,0.83209944,0.78737795,1.3907099,1.1267381,0.0,1.4733102,0.49445236,1.2300099,1.4422085,1.3155825,1.37561,1.1434796,1.0498576,1.4140192,1.0026888,0.61434704,1.0648423,1.016484,1.2806202,0.5854949,0.83980966,1.2512559,0.6486941,0.40463376,1.078235,1.1846275,1.4491744,0.43132567,1.0986474,0.5629895,1.2562512,0.5905994,1.1727133,0.4779542,0.9615,1.3254732,1.0899056,1.4972873,0.5768686,1.3132578,0.56384176,0.549178,1.2999885,0.98984367,1.1620493,1.2110775,0.408489,0.9283234,0.9324478,0.8773955,0.2701072,0.91078043,0.5363737,0.57378995,0.6861061,1.2813331,1.3023129,1.4380631,1.4270923,1.400486,1.199466,0.73255426,0.12074053,0.1838181,0.7266909,1.3682067,0.51480687,1.3893371,0.79759026,0.9633529,0.41068673,0.9508561,1.1305043,0.5017209,0.63491184,1.3249215,1.1763228,1.1868912,1.1013567,1.4986925,0.5646077,1.377573,1.1143117,1.4604127,1.277765,1.2480618,0.13106692,1.1087397,0.28762794,0.79727423,1.1881566,0.8570625,1.3068297,0.5002799,0.44788027,1.2251062,1.2450421,1.5523014,0.52951103,0.53666186,0.6089809,1.1247735,0.9823159,0.8524258,1.4375246,1.3493903,0.48209387,0.2413587,1.1948922
crib,0.9046166,1.4238222,1.1657494,0.6542578,1.3279551,1.3672832,1.4275129,0.88614005,0.58127517,0.8856114,0.29216993,1.2820125,0.5227188,0.7543219,0.87931216,0.46551466,0.8275753,1.3472493,1.1770933,0.6135955,1.3321736,1.1531177,1.241878,0.98595774,0.9870324,0.97399074,1.2413254,0.75524557,0.39201713,1.0947981,1.0910646,0.293226,1.1885247,1.027735,1.3507869,0.26608527,1.1063832,1.4733102,0.0,1.3030341,0.8849373,0.8993016,0.86704624,0.76910526,0.5506654,0.66002524,0.7766253,1.1584091,1.4962798,1.059073,0.96510583,0.8761012,1.2707627,1.2170628,0.84147036,1.2107267,1.3240755,1.2047086,0.9946211,0.7275104,1.3844419,0.99274397,1.3829663,0.84221244,1.4037051,0.9708341,1.3287851,1.1664346,0.5586147,1.0868405,0.66205174,1.14484,0.45814312,1.1569227,1.1354034,0.9489517,1.1581509,0.7384232,1.011033,1.164629,0.89996815,1.2168399,1.269693,1.4289801,1.0192466,1.3027418,1.3085841,1.3792452,0.6605854,0.89820313,0.6723612,0.6564646,0.6959661,0.9697799,1.2704048,1.4179091,1.4298166,1.3624978,0.8713645,1.1139567,0.8983418,1.1084226,1.1547515,1.4752624,1.1332896,0.9037723,1.25084,1.2390983,0.5779387,0.9880448,1.0773082,1.0189098,0.69662964,1.3469782,0.71023613,1.0035262,0.48001742,0.7641642,0.86114246,1.4836334,0.97580904,1.3836067,1.0698072,1.1050624,1.199014,1.0424705,1.2132901,1.4169759,0.8080119,0.7798443,0.56274205,1.4563172,1.3244923,1.3195271,0.9390658,0.9225228,1.2871679,0.7927679,0.6360941,1.0543623,1.3916148,0.60905015
cup,1.5066754,0.6913785,0.8937032,1.4865022,0.60583055,0.70625967,0.8578576,0.6161979,1.3459849,1.4477708,1.4800689,0.67080235,1.0368342,1.4358352,1.4569657,1.481067,1.0603719,0.2233932,0.48458892,1.0197408,0.8762311,0.6063369,0.19147551,1.2985516,0.6666192,0.8891348,1.0242404,1.5062342,1.1810834,1.1971844,0.9248729,1.3204037,0.55602264,0.93788743,0.8025955,1.2863702,1.3350389,0.49445236,1.3030341,0.0,1.1830189,1.1188054,1.3216174,1.1921535,1.061904,0.9287824,1.4391303,1.0946734,0.48736882,1.188363,1.1565046,1.2751964,0.9125383,1.2320778,1.2932465,0.9637486,0.6648171,1.1662742,1.2885635,1.1188108,0.72704995,1.0173674,0.7457977,1.3659568,0.7257302,1.3117564,0.582577,0.9838787,1.3766389,0.5790977,1.5871003,0.98116475,1.1582547,0.5397537,0.6569575,1.2384453,0.7731947,0.873405,1.0064793,0.65544975,0.84423375,0.9356863,0.8606266,0.53780293,0.7609196,0.920208,0.66467243,0.50994,1.1198324,1.2389915,1.4595444,1.4828646,1.3701454,1.1365933,0.814424,0.48459607,0.5389767,0.94368863,1.2866952,0.7194668,1.3473723,0.53023255,0.7915357,0.78347325,0.8117758,0.8101782,0.6131574,0.9206166,1.1284319,1.2647643,0.6215935,1.0612415,1.5483955,0.6455058,1.4358389,0.91518277,1.3018906,1.0489168,1.246614,0.54493344,1.1973296,0.46216762,0.8664133,0.78372264,0.7184045,1.1340313,0.6612444,0.55376357,0.9865926,1.3016939,1.3730234,0.30178428,0.8208781,1.0021251,1.2331619,0.9172688,0.78574026,1.2516584,1.2990897,0.567433,0.53604984,1.0493985
deer,0.8394005,1.1299498,1.0096041,0.92697054,1.1173228,1.1248487,1.1289568,1.1257752,1.0812329,0.9318516,1.0425574,1.0982919,1.0577595,0.88722104,0.88650614,0.9994751,0.99615794,1.2014527,1.0874295,1.0447181,1.0862098,1.1868851,1.1624714,0.9217808,1.0801067,1.0759512,0.8833169,0.88464653,0.83633316,1.0373403,1.1135486,0.9851324,0.9998938,1.0937963,1.0870214,0.9816231,0.9765787,1.2300099,0.8849373,1.1830189,0.0,0.99533737,0.8064892,0.70045453,1.1130657,1.0639976,0.96231055,0.8391571,1.1406593,0.8764349,0.9549079,0.9809314,0.9232281,0.7652345,0.8465541,0.9778178,1.0017097,0.8444604,0.7467181,0.916715,1.0700115,0.8481025,1.0345154,0.8806067,1.2206799,0.8166188,1.1233683,0.7519599,1.0996504,0.9751979,0.97169894,0.980284,0.891608,1.1899453,1.1310813,0.86560035,1.0460707,1.0067085,0.83898365,1.120595,0.86190426,0.9805882,0.9232821,1.1716691,1.0394882,1.0099957,1.0973316,1.1344858,1.1471646,0.9687792,0.9615265,0.911009,0.9674601,1.0356903,1.1353455,1.2259402,1.1789765,1.1250961,0.80714107,1.0212094,0.9449793,1.0647994,1.1138763,1.1270099,0.9747696,0.87153786,1.1103445,1.0033942,1.1188457,0.76182735,0.99285483,0.94457924,0.8822067,1.0888852,0.86314636,0.86790067,1.0036527,1.152756,1.159365,1.2031374,1.1919253,1.2111454,0.95339227,1.0081984,0.93751836,1.0186988,1.166376,1.1380649,0.8170757,1.1076288,1.0760756,1.2474598,1.011558,0.95006853,0.91217,1.0115343,1.1002963,1.0578996,0.9215915,1.1696708,1.1196175,1.0778503
dish,0.7973527,1.2557064,0.7880249,0.92743313,1.1050998,1.1543021,1.1777409,1.1669631,0.4254468,0.81172943,0.77019155,1.4756725,1.1219468,0.83983624,0.8522407,0.7621201,0.878453,1.2982568,0.44699234,0.7948799,0.795349,1.388741,1.3069293,0.95468473,1.3964797,1.2165557,1.3077991,0.8100064,1.0367203,0.9339105,1.0620763,0.8682361,0.92574924,1.1957042,0.92507905,1.0069846,0.5930662,1.4422085,0.8993016,1.1188054,0.99533737,0.0,0.86870086,0.99332345,1.0643064,1.1096842,0.96135056,1.1930051,1.0570098,1.0950474,1.1916151,0.95859516,1.4476078,1.1290338,0.96765435,1.373096,1.271889,0.98110247,0.9789168,0.5375951,1.4887041,1.18694,1.0213509,1.0665011,1.2184068,1.0382547,1.486065,1.1136179,1.0499423,0.69226825,0.8145479,1.1357032,0.9129977,1.2607989,1.3406433,0.750084,0.8885445,0.80220103,1.1317871,1.3739271,1.1840341,1.0482033,1.0385576,1.4147543,1.1673479,1.4292812,1.2657233,1.0012332,0.9541432,0.652549,0.9089354,0.9995857,0.6906636,0.6139959,0.95046574,1.3758531,1.3758736,1.2291751,0.69456637,1.5276631,0.26775062,1.0312135,0.4291749,1.3137798,1.1877954,1.1338966,1.3400071,1.3430609,0.84137654,1.0601826,0.5826362,0.7486686,0.94020927,1.2472436,1.0938041,0.6273216,0.7802756,0.532457,0.87995225,1.458699,1.0279824,1.2615614,1.2836163,0.40278566,0.8288876,0.66306746,1.2303327,1.3805492,1.0628494,1.0500432,0.4480995,1.1052256,1.4540842,1.3178616,0.73313385,1.2145247,0.93154776,0.20993543,0.86878484,1.3423686,1.481745,1.0220551
dog,0.5548619,1.1707139,1.0287861,1.0307591,0.97609556,0.90218455,0.90323603,1.2406063,0.91898096,0.59760314,0.8471825,1.3109803,1.1669325,0.9568058,0.7148164,0.8756795,0.9921378,1.2646016,1.1867943,1.1375916,0.99341714,1.3645527,1.3557761,0.7968137,1.3193393,0.85156536,1.1145496,0.50064206,1.098742,0.86577266,1.0685532,0.9398689,1.1353459,1.1617768,1.0542964,0.9358515,0.72502273,1.3155825,0.86704624,1.3216174,0.8064892,0.86870086,0.0,0.60992676,1.1759782,1.2388563,0.9675243,1.0855601,1.1466159,0.70212746,1.028214,0.73229927,1.2941711,0.84773123,0.8549783,1.2088445,1.269741,0.58523804,0.8438785,0.7670517,1.165309,0.8992017,1.0955831,0.90678823,1.0341781,1.0534898,1.1137918,0.65046835,0.9379117,0.98983383,0.8947348,1.1479844,0.9640594,1.2413371,1.3491089,0.6525229,1.0420463,0.98531544,0.777845,1.3348277,0.9062312,1.1193976,0.7695604,1.2285812,1.1986325,1.284732,1.2143652,1.1576736,1.118476,0.7233525,0.99866754,0.98897785,0.92926216,1.0089335,1.1002954,1.3083158,1.3032718,1.108474,0.7592466,1.2259257,0.609066,1.0555844,1.0818595,1.096758,0.9493445,1.1006562,1.1790652,1.0566531,1.0571911,0.58300394,1.0811344,1.0119587,0.9595438,1.1158309,1.0490069,1.0019308,0.95846677,1.1260971,0.9114237,1.2705452,0.8735993,1.260242,1.1710343,1.0148792,1.093057,0.976484,1.2361718,1.209032,0.96242976,0.9844083,0.8509103,1.2354097,1.2755299,1.1501238,0.993978,1.1531867,0.8542766,0.844628,0.80184305,1.3596056,1.2557583,0.9633059
doll,0.78418136,1.2384737,0.95249504,0.8246379,0.9777347,0.97454226,0.9916128,1.1969203,0.9981541,0.99992555,0.8688154,1.1957922,1.0696105,0.728776,0.95131946,0.88525575,0.94437367,1.2619921,1.1182566,1.0080632,1.156966,1.2768382,1.2503269,0.96750253,1.1337323,1.113621,0.9375817,0.9137284,0.8547799,1.0317528,1.0278976,0.95101446,0.9773207,1.0426372,1.1951581,0.79819757,1.0704684,1.37561,0.76910526,1.1921535,0.70045453,0.99332345,0.60992676,0.0,1.0816218,1.1374049,0.8078934,0.88288325,1.1848402,1.1794717,1.0815701,0.8029145,0.9843815,0.96026504,0.7710033,0.987433,1.2001526,0.69404393,0.96287274,0.8537053,1.1089858,0.56825334,1.078894,0.9048264,1.0535796,0.7549675,1.0710632,0.83471847,0.9657248,0.9695209,1.0027037,1.1187246,0.858797,1.2857314,1.198594,0.8197367,0.98507684,0.99907506,0.4828363,1.2364814,0.89749646,1.0271403,0.8325293,1.2854621,0.934934,1.1242895,1.1105039,1.1580681,1.2295077,0.87769216,0.77342105,0.84856474,0.92403334,1.0894701,1.1875463,1.3894036,1.332571,1.1265064,0.97089994,1.0731386,0.93394005,1.039573,1.1692797,1.259332,0.6811255,0.76544225,1.2185643,1.0871608,1.0295538,0.6415268,0.93435395,0.8898878,0.83588076,1.1635573,0.798281,0.8524877,0.85483015,1.1804051,1.0348319,1.3521163,1.1674678,1.3985051,0.89218,1.0233685,0.954635,0.88501894,1.2280236,1.1661825,0.70877945,1.0249946,0.97848827,1.2055037,1.0051348,1.0024108,0.84463257,0.8356493,0.7900975,0.96186244,0.9506445,1.1978772,1.2945862,1.023677
door,1.0610899,1.2342539,1.2128236,0.9485054,1.2600601,1.1990848,1.29389,0.77639425,0.68545437,1.0769486,0.7795919,1.0040557,0.5940588,1.0515867,0.98599315,0.83953214,0.94639117,1.0480442,1.1858131,0.6804037,1.2390164,0.7356223,0.9196485,1.0289811,0.7558284,0.95154977,1.18398,0.91340804,0.6117339,1.2299981,1.0552188,0.30685258,1.1367259,0.9771637,1.2103107,0.61343694,1.2221806,1.1434796,0.5506654,1.061904,1.1130657,1.0643064,1.1759782,1.0816218,0.0,0.5534092,1.017509,1.1439811,1.3911346,0.96795905,1.0656368,1.1080633,1.1135079,1.1754768,0.95329934,1.0623206,1.0167803,1.2001348,1.0048572,1.0065045,1.2066668,1.1074935,1.2797096,1.0386741,1.2287492,1.0584058,1.2061284,1.1605102,0.7275524,1.078759,0.87031335,0.94007224,0.67978716,0.8757366,0.7247352,1.0815309,1.1721318,0.775311,1.1379862,0.7147386,0.96605635,1.1888986,1.2224443,1.2166884,0.97737044,1.0452739,1.2232958,1.3072367,0.44726264,1.130032,0.96248424,0.80994654,0.88184094,1.0933647,1.161688,1.0735056,1.0984938,1.233249,1.0552906,0.9507001,1.1607438,1.0063618,1.0134917,1.3200994,1.2267029,0.9590222,1.0033303,1.1697476,0.22222143,1.1838627,1.1759789,1.0063494,0.9586048,1.1500251,0.83618975,1.0758274,0.5950165,0.6454565,0.84722567,1.1799955,0.87898153,1.108929,0.95653856,1.1478332,1.1113569,1.008103,1.0074364,1.2231894,0.8830607,0.89087445,0.861655,1.2700909,1.1400578,1.1958344,0.8762351,0.9181804,1.2332263,1.0568284,0.8803201,0.60374665,1.1383995,0.43265378
drawer,1.1098334,1.1455783,1.0479228,0.95801604,1.2102176,1.1789541,1.1741366,0.538761,0.8046909,1.1678109,0.85071695,0.9391134,0.14890873,1.1185207,1.0686747,0.90656084,0.6749032,1.0548689,0.9020843,0.23272264,1.1364962,0.87422657,0.8463359,1.0413381,0.81613326,0.7812162,1.1499162,1.1208287,0.5853495,1.0540968,0.96236956,0.6778401,1.026209,0.92387617,1.0872922,0.56874347,1.2250056,1.0498576,0.66002524,0.9287824,1.0639976,1.1096842,1.2388563,1.1374049,0.5534092,0.0,1.1482993,1.1898609,1.2122265,1.1460508,0.9844384,1.1685098,1.1242052,1.1860585,1.0771129,1.1059572,0.97702956,1.2241677,1.091219,1.0807321,1.1662676,0.95239943,1.1620274,1.0822933,1.2142806,1.0765419,1.1182623,1.1264696,0.93667305,1.0312594,1.0261267,0.8811186,0.6216648,0.8488852,0.92690563,1.1970205,1.0067332,0.8298818,1.0169327,0.857443,1.0049998,1.1439195,1.2605134,1.2137442,0.6838593,1.1532118,1.2120531,1.1639892,0.5422234,1.2280467,1.0527751,1.0012609,0.8059108,1.0494386,1.1072458,0.9289914,0.91212153,1.1854546,1.1537834,0.87188375,1.1947143,0.9826718,0.8717629,1.297658,1.1166465,0.80187917,0.7820559,1.2121271,0.58557117,1.309294,0.98052216,0.98867166,1.083961,1.0564224,0.9889844,1.037827,0.9457431,0.503072,1.0727639,1.0705067,0.9041771,1.0405849,0.95346105,1.002004,1.032891,1.1013367,0.8265797,1.1395668,0.86108553,1.0339603,0.864257,1.078738,1.1579735,1.1649663,1.0194209,0.80365133,1.1740658,1.091088,0.7906933,0.801754,1.129489,0.6872474
dress,0.9175292,1.2362977,1.143696,0.4307717,1.2524216,1.2717757,1.3863305,1.3877382,0.7002092,0.73554313,0.5503546,1.1834553,1.0252535,0.22699118,0.86319816,0.61674625,1.0801543,1.3555951,1.3574445,1.0635432,1.2815013,1.3213274,1.3941445,0.9593891,1.110795,1.176663,1.0712199,0.7200679,0.77320564,1.0373079,1.0829482,0.7230576,1.2068335,1.1358488,1.3250182,0.72536534,1.117051,1.4140192,0.7766253,1.4391303,0.96231055,0.96135056,0.9675243,0.8078934,1.017509,1.1482993,0.0,0.9829597,1.3200442,0.908451,0.91363937,0.73022866,1.0390397,1.2005794,0.8108165,1.0506786,1.4119971,1.2078683,0.92084813,0.8365383,1.1986263,1.087122,1.4221455,0.6299349,1.2238392,0.7655773,1.209775,1.141639,0.63100517,1.2206059,0.38448322,1.2977479,0.8719742,1.3159113,1.2105645,0.9398588,1.253367,0.95298415,1.0458187,1.3241789,1.1361287,1.0582558,1.294733,1.2348938,1.1662488,1.0013559,1.1361024,1.3315363,0.7961525,0.9103696,0.37102395,0.36446607,0.77912414,0.9127097,1.2617658,1.4020545,1.3981993,1.1328101,0.8570043,1.212612,0.97780514,1.259305,1.3873217,1.2133768,1.0690888,1.0461649,1.3881073,1.1087186,0.9050667,0.7871086,1.212314,1.1496688,0.18049753,1.3444977,0.35644948,1.1629245,0.5477398,1.0060304,0.6958852,1.3534652,0.906081,1.2894683,1.0436227,1.2384096,1.3191594,0.96880645,1.308469,1.2879004,0.884993,0.40313333,0.652745,1.4434983,1.071207,1.15814,1.0427452,0.97999936,1.2665356,0.82338846,0.81530607,1.2788448,1.2889282,0.93671656
ear,1.1085885,0.9070632,0.94435406,1.0068157,1.0407463,0.93006057,1.0054873,1.2338963,1.2643456,1.1272643,1.1969302,0.8562771,1.2549684,0.92333305,1.0945213,1.2011125,1.1640981,1.1458931,1.1548488,1.2626901,1.220316,1.0927984,1.1616213,1.043886,0.892086,1.1590137,0.50550556,1.0985982,1.1045892,0.8911023,1.0128443,1.1802456,0.87660664,1.0936768,1.192823,1.1406025,1.1222646,1.0026888,1.1584091,1.0946734,0.8391571,1.1930051,1.0855601,0.88288325,1.1439811,1.1898609,0.9829597,0.0,0.92153883,1.064272,0.7484391,0.76610106,0.41850144,0.83496106,1.0056746,0.55717987,0.93145424,0.96242106,1.0213978,1.0551715,0.51742977,0.94965845,0.9275976,0.54599893,0.9422783,0.6122423,0.75969076,1.091625,1.1995435,1.1251624,1.0473137,1.0090976,1.1715662,1.0876743,0.8898629,0.81584954,1.1366242,1.2078754,0.978659,1.049362,1.002971,0.64299554,0.87736994,0.7216077,1.1485798,0.4188735,0.819817,0.93113315,1.2097085,1.06237,1.0361872,1.0081364,1.0872704,1.108525,1.1832143,1.0861567,1.0474663,0.73662865,1.041572,0.93216246,1.2056392,1.1261253,1.2387515,0.7787204,0.9257199,1.0940777,1.027516,0.51240003,1.2170764,0.94496053,0.9907109,1.0827878,0.9576111,1.0898587,0.9441455,1.080445,1.173581,1.3413441,1.209778,0.90633446,1.1792867,1.1439959,0.8924641,1.078126,1.0176526,1.0514054,1.1164919,0.9259703,1.0610156,1.0800358,1.2503079,1.024564,0.49127948,0.50377977,1.0580255,1.0770842,1.083719,1.1892631,1.1169747,1.1299638,0.76179,1.1784337
egg,1.3720368,0.46947753,0.5508056,1.4144354,0.5092546,0.57031584,0.5463857,0.99863756,1.4427719,1.2473786,1.4763925,0.8674681,1.2991145,1.3421799,1.2998676,1.4916668,1.2501752,0.58474475,0.61672086,1.2611175,0.5807916,0.9242556,0.68751687,1.2183806,0.9921396,1.1094714,0.8083676,1.4130923,1.4554772,0.8992561,0.96857303,1.5080651,0.56491256,1.1578829,0.58170414,1.432755,0.8765944,0.61434704,1.4962798,0.48736882,1.1406593,1.0570098,1.1466159,1.1848402,1.3911346,1.2122265,1.3200442,0.92153883,0.0,1.1262913,1.0908386,1.1674557,0.8477601,1.027113,1.290679,0.9493296,0.88613266,1.0457923,1.1437926,1.2149606,0.75883794,1.1685641,0.71550155,1.2508591,0.50208247,1.23225,0.6565551,1.0079188,1.4164207,0.8419945,1.5125527,1.1008989,1.3446994,0.6814777,0.8812741,1.147608,0.6960103,1.1287906,1.080855,0.9817431,1.0559142,0.8145166,0.6138348,0.46258336,0.9481471,0.92075247,0.5217718,0.23922265,1.4382317,1.1672058,1.3987298,1.4806262,1.3770657,1.0497159,0.6133193,0.688833,0.69758964,0.6886313,1.1245841,0.9095477,1.1225598,0.8433716,0.8173066,0.3921007,0.7458972,1.1130942,0.8587098,0.7484149,1.3754609,1.1939728,0.6181175,1.0992436,1.4259913,0.7503364,1.4767301,0.9568801,1.381062,1.3370885,1.2961758,0.58973706,1.2341065,0.5263756,0.969613,0.6219132,0.78671336,0.94101477,0.72420955,0.4397825,1.3156316,1.275896,1.3750398,0.35081875,0.7316761,0.83708906,1.2901478,1.1300837,0.7146889,1.215329,1.2937064,1.005168,0.65324134,1.341057
elephant,0.8947847,1.0771112,1.2552984,0.9887561,1.074633,1.097281,1.0993116,1.0745887,0.9180209,0.43458515,1.0036162,1.0432262,1.0403693,0.97052395,0.8513539,0.9180308,1.1966666,1.0492791,1.2675626,1.2003609,1.0275393,1.0354643,1.0777422,0.99815536,1.0898418,1.0100416,1.075115,0.5005164,1.1047596,1.1169524,1.0114194,0.9317925,1.1512332,1.023174,1.0515872,1.0257952,0.97546065,1.0648423,1.059073,1.188363,0.8764349,1.0950474,0.70212746,1.1794717,0.96795905,1.1460508,0.908451,1.064272,1.1262913,0.0,1.0883756,0.9759306,1.080243,0.9546025,0.94618464,1.055989,1.0767107,1.0803363,0.8845054,1.10205,1.0375469,0.9644313,1.2300285,0.9296904,1.082336,1.0776188,0.96543044,0.864015,0.8106375,1.1469907,0.6909723,1.0780072,1.0673395,1.0422486,1.0024447,0.9809352,1.1245071,1.0437315,0.9324594,0.9820244,1.1074213,1.1411957,1.0174075,1.0242711,1.1135185,0.99657375,1.1166288,1.1835583,0.83377224,0.9340657,0.9437961,0.7885082,1.1182194,1.0512211,1.073889,1.0438507,1.0587155,1.149635,0.8331796,1.0011394,0.9838693,1.0440727,1.1927298,0.9563078,1.1056572,1.0607074,1.0258188,1.0159388,0.98977154,0.8734581,1.2577157,1.147019,0.8837688,0.96331215,0.84968555,1.1544855,1.0252423,1.039235,0.83077615,1.0348282,0.72807974,1.0462929,1.1242532,1.1287824,1.1464775,1.1631894,1.0555885,1.0631984,0.89637166,0.72835886,1.0563065,1.2171532,1.0921354,1.0939425,1.1180465,1.0285119,1.1854577,1.0366228,1.025853,1.0568585,1.0067841,0.899295
eye,1.016167,0.96672267,0.79989046,0.9937438,1.2574422,1.1302935,0.96129066,1.1309332,1.1195385,0.9909453,0.99659795,0.81114113,1.0565348,1.0259459,0.97217435,1.0426624,1.1654453,1.1332412,1.2173591,1.1843452,1.2605314,1.0593722,1.0489826,0.81924045,0.57309806,0.85250026,0.766074,0.9240116,0.97158265,0.68942,1.0474638,0.9518926,1.0594187,1.0249238,1.1697322,0.9509046,0.9747043,1.016484,0.96510583,1.1565046,0.9549079,1.1916151,1.028214,1.0815701,1.0656368,0.9844384,0.91363937,0.7484391,1.0908386,1.0883756,0.0,1.0086437,0.8201088,0.68525124,0.821856,0.7045873,0.9776326,0.937765,0.92737985,1.0026759,0.87015086,0.9873213,0.97583026,0.7926739,1.0399418,0.9300209,0.9496197,1.2244334,1.0081172,1.0985123,0.8262564,0.85628337,1.1054053,1.1367981,0.9861735,0.9930129,1.0850508,1.0436957,1.0589069,1.0652406,0.70061105,0.934267,1.0557876,0.9314921,1.1536179,0.7950232,0.90193945,1.1315789,0.94975376,1.0731198,1.0358073,0.9630099,1.0704275,1.2186811,1.195914,1.0602964,1.115074,0.69585574,0.9780531,0.76204574,1.1858662,1.2655718,1.1810836,0.8066205,1.167374,1.1524216,0.90440214,0.5020446,1.1126994,0.9445431,1.2539983,1.1538973,0.87946224,1.1412052,0.8624011,1.2014867,1.0895541,1.0974867,1.1429136,0.93676746,1.0684323,1.0201724,0.7599009,1.2551781,1.2123325,0.98504573,1.1797122,1.1037176,1.1664205,0.96773803,1.1199563,1.0744858,0.8239187,0.6192256,1.0433689,1.0909339,1.2402024,1.1882856,0.8762406,1.113649,0.7828287,1.1464877
face,0.90353096,1.1190335,1.1678429,0.79737765,1.0710139,0.9810762,1.2067529,1.294948,0.9088245,0.90071285,0.7923051,1.1281285,1.1663847,0.6394938,0.98334813,0.896981,1.0013562,1.2061003,1.2071838,1.0700341,1.0968109,1.2768122,1.298723,0.8898287,1.237495,1.0135758,1.0627856,0.88335294,1.0811647,0.87259376,1.0737857,0.8899636,1.0986607,1.1375482,1.1325918,0.9530938,1.0234784,1.2806202,0.8761012,1.2751964,0.9809314,0.95859516,0.73229927,0.8029145,1.1080633,1.1685098,0.73022866,0.76610106,1.1674557,0.9759306,1.0086437,0.0,1.0208478,1.126902,0.95573264,1.0471816,1.2534094,0.9922761,0.90174246,0.8399813,0.9071022,1.1747952,1.2341572,0.36846453,1.0480583,0.81795555,0.9117986,1.0485561,0.91832393,1.0583457,0.87942845,1.3226578,0.9914009,1.203213,1.1751243,0.76570594,1.2778714,0.99383795,1.098201,1.305171,0.9864155,0.9242848,1.072111,1.0253665,1.3383096,0.9495384,1.0925686,1.1419567,0.963471,0.91935337,0.79586494,0.85175824,0.8242328,0.9186651,1.1105158,1.26369,1.2513112,1.0624337,0.9576731,1.2551527,0.8932194,1.1267381,1.2142315,1.1116424,0.9966741,1.1850305,1.2422991,0.9323355,0.9968945,0.75251615,1.1199285,1.1483155,0.7098081,1.1771846,0.88423306,1.1982083,0.7436722,1.0698594,0.6865105,1.2079165,0.88418347,1.1670425,1.275835,1.0825146,1.2460982,0.96865225,1.2231646,1.1195837,1.1130996,0.86903423,0.80199254,1.2609051,1.0102026,1.083074,1.0913018,1.2812456,1.057906,0.8604636,0.9475208,1.2494335,1.1263549,0.88578427
finger,1.3142997,0.7578721,1.0796441,0.8938344,1.0660206,0.9225545,0.9254449,1.0075185,1.4327178,1.2714602,1.3673227,0.55776566,1.174777,1.0029755,1.3303027,1.3522072,1.194797,0.869511,1.2211761,1.2970384,1.1935744,0.7693173,0.8876518,1.1669024,0.69273424,1.1471868,0.19254369,1.2342402,1.1393565,1.0674672,1.1799718,1.3811647,0.9678158,0.982136,1.1246868,1.2255324,1.2048552,0.5854949,1.2707627,0.9125383,0.9232281,1.4476078,1.2941711,0.9843815,1.1135079,1.1242052,1.0390397,0.41850144,0.8477601,1.080243,0.8201088,1.0208478,0.0,0.74635446,1.123374,0.2376154,0.575869,1.1283808,1.1264793,1.2189004,0.37017596,0.8647083,0.8350694,0.79496056,0.8734316,0.4300735,0.6420608,1.1215726,1.2374761,1.1985786,1.1834266,0.67124605,1.2658432,0.8869443,0.54180115,1.1701825,1.0961325,1.1927514,0.9759553,0.7679541,1.0399903,0.69867516,0.95841295,0.47980738,1.0111834,0.22687864,0.72751844,0.9533709,1.2764575,1.2906246,1.084449,1.0263504,1.2523623,1.2232568,1.0815121,0.70676595,0.6799507,0.72572374,1.2213304,0.55465263,1.4141798,1.0897374,1.2335427,0.5970075,0.91509366,1.0806612,0.8828135,0.4339428,1.3150461,1.0784326,1.1998309,1.18097,1.0445505,0.93055624,0.9220367,1.1111842,1.3076637,1.3558121,1.2108724,0.55981416,1.2269338,0.869308,0.57164085,1.1764421,0.95423204,1.2435584,0.82924765,0.6827647,1.119787,0.985003,1.4655235,0.9932175,0.085972786,0.32189512,1.0596582,0.9653099,1.1470728,1.4425585,1.2824786,0.8984541,0.4681275,1.1538398
